Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Exceptional,Absolutely nothing,Absolutely everything. You cannot fault this hotel. We have travelled extensively and this is by far one of the best places we have stayed. The attention to detail is super. We'll done💯,10,May 2024,"May 19, 2024",King Room,3,Family,7.5
Great for a short stay,The pillows was horrible. Bed is firm but I like a firm mattress.,Location and hotel overall was great.,8.0,August 2024,"August 6, 2024",King Room,1,Couple,7.5
It did its job,The whole place had a smell of skunk weed and we don't smoke anything when we arrived.  But when we left the next morning I didn't smell it then.,"We were only there 1 night and it was clean,comfy and what staff we encountered were nice.  There is an IN and Out Burger joint right next door... But Whataburger is a better burger.",9.0,July 2024,"July 19, 2024",King Room,1,Couple,7.5
Very Good,"Dishonest housekeeping, didn't return a necklace from previous stay.","Location, ice machine",8.0,May 2024,"July 15, 2024",King Room,5,Family,7.5
Very Good,I had to wait about 15 minutes for someone to show up to check me in. Finally went next door to use the restroom. When I came back they were there. They were nice though.,"Price, room",8.0,July 2024,"July 11, 2024",King Room,1,Family,7.5
Great value for a comfortable north Dallas hotel,,"Price, location, and comfort",9.0,June 2024,"July 1, 2024",King Room,1,Family,7.5
It matches the price for the stay.,No breakfast.,"The price is right and the hotel is clean, quiet and mostly filled with people who work. People may hang around to “smoke” because it is a smoke free property but other than that, this is a place to stay when you are transitioning into your own space. Maybe sort of like an extended stay. Mostly families here so I wouldn’t stay here for fun only for necessity.",9.0,June 2024,"June 21, 2024",Queen Room with Two Queen Beds,1,Family,7.5
It Would Stay Again As Long As I Have A Bottom Room,Online It Said Bottom Floor Room But When We Got There It Was On The 2nd Floor & They Wouldn’t Let Me Change It Big Inconvenience For Me Because I Smoke & It Was A Long Way To Get Outside,The Property Was Good Clean A lot Of The Staff Weren’t Very Friendly,7.0,June 2024,"June 7, 2024",King Room,4,Couple,7.5
Very Good,"Stayed three nights, staff only came in cleaned and replaced towels once.","Got to the room and it was really clean. My stay was quiet, the bed was comfortable, the water was hot.",8.0,June 2024,"June 3, 2024",King Room - Disability Access,3,Solo traveler,7.5
Wonderful,,Great location!,9.0,May 2024,"June 1, 2024",Queen Room with Two Queen Beds,1,Family,7.5
"My stayed was very good, staff was very helpful and kind. The location is next to in and out so that’s very cool. WiFi i","The bathroom curtain doesn’t prevent water from going out when showering, all of the gym equipment needs to be replace with the exception of the bicep curl. The treadmills have the risk of tripping someone as the run because when you put weight it lags. Stationary bike doesn’t work and unbalanced, elliptical buttons don’t work.",Close to my school and the rooms were nice.,8.0,May 2024,"May 31, 2024",Queen Room with Two Queen Beds,2,Solo traveler,7.5
Great stay for a good price,NA,"Good location, right off the freeway. Older property, but was all remodeled.",8.0,May 2024,"May 28, 2024",King Room,1,Couple,7.5
Good,"No breakfast, pool was dirty, small rough towel, thin pillows",Location and quality for the price,7.0,May 2024,"May 27, 2024",King Room,2,Family,7.5
Very Good,long walk to room,Near where I wanted to be,8.0,May 2024,"May 16, 2024",King Room - Disability Access,1,Solo traveler,7.5
"Clean, new and comfortable room.","Lady at front desk super rude, and they don’t have breakfast. Small towels in shower. Parking lot duty.","I like room, new furniture and beds. Lamps with connections for phones. Carpet clean. Mattress confortable. Maybe more pillows. Swimming pool outdoor we didn’t use. Laundry room. Restroom clean. Really small towels. Easy access to parking lot.",9.0,May 2024,"May 9, 2024",King Room,1,Couple,7.5
Satisfactory.,"It was fine.  You might want to reconsider the lighting.  Those super-white (almost fluorescent) bulbs are hard on the mind  and eyes (especially at night - Yeow!) - perhaps some 'soft white' bulbs?  You might like to include somewhere (maybe on your desk(s), a writing pad perhaps, a pencil - In case someone might like to jot something down?  And, also somewhere to print something out from one's computer.  You asked!","Everything was very nice - soft pillows, clean sheets.  The In and Out place next door came in so handy!",8.0,April 2024,"April 30, 2024",King Room - Disability Access,2,Solo traveler,7.5
"Quick business trip and meetup with friends, good place for price","Small TV in the room, where did they even find a 30"" TV to put in the room?? No seating around pool. Parking could be an issue during an event or busy travel season. No breakfast in hotel.","Location was fine, 20 minute drive to Irving for business meeting, 20 minute drive to Toyota Music Factory for fun. Room was spacious, clean, TV was small, like 30"" so it was hard to view and hear clearly. Pool was ok, they need more seating. Only 1 chaise lounge and 1 table with 3 chairs. Wi-Fi could be better. Fast food places nearby, donut shop around the corner, beer and wine in same plaza. Didn't see issues like roaches and noise that other reviews listed, I think property is under new management since those reviews (used to be OVO?)",7.0,April 2024,"April 21, 2024",King Room,2,Family,7.5
Good,N/a,Bed,8.0,April 2024,"April 19, 2024",King Room,3,Couple,7.5
"Clean rooms, great staff, kind of sketchy area",Can’t quite explain it but the area seemed a bit off.,It’s right next to In n Out. The employees were very nice. I also liked that the inner door required key card access,7.0,April 2024,"April 19, 2024",King Room,1,Solo traveler,7.5
It is a very nice hotel,The water doesn’t drain fast in the bath and the toilet took a long time to flush,The room size and the mirror light!!!!!,8.0,April 2024,"April 18, 2024",King Room,2,Group,7.5
Alexis hotel meets most basic needs in a quality way.,"I wish I had a flatter pillow to sleep on and the WiFi was rather slow. Also, the shower needs a longer curtain (or move the rod) because it was tricky not to get water on the floor.",I really appreciated the quality of our rooms for the price that we paid. Everything was clean and professional and the Staff were helpful. They accommodated our need for extra towels but weren't able to deliver them to our room. Not a big deal.,8.0,April 2024,"April 17, 2024",Queen Room with Two Queen Beds,3,Family,7.5
Wonderful,,"Everything OK, rooms are clean, beds comfortable. Little far from city center must take Uber or public transport. Shops, restaurants around.",9.0,April 2024,"April 16, 2024",King Room,2,Couple,7.5
Would recommend or stay at again.,"Overall great hotel for a great price. Being in a major city, there were some homeless people around but none loitering on the property. There were several stores nearby in walking distance for anything you needed. The room was very clean, along with the shower. Beds were comfortable and clean.",I did not have breakfast at the hotel. There are plenty of restaurants nearby to eat at.,9.0,April 2024,"April 13, 2024",Queen Room with Two Queen Beds,2,Family,7.5
"Clean, comfortable, and affordable.",Didn’t look like the picture on the outside,Clean and quiet,8.0,April 2024,"April 10, 2024",King Room,3,Family,7.5
Very nice hotel,The water did not run hot enough to take a shower in the morning,The bed was super comfortable,9.0,April 2024,"April 10, 2024",King Room - Disability Access,2,Couple,7.5
Very Good,No breakfast. Close to traffic (635/75 hwys). Had to get keys reset twice,"Clean! No bugs, accommodating. Comfortable bed and big pillows",8.0,April 2024,"April 9, 2024",King Room,2,Family,7.5
Wonderful,"I didn’t like that there was not a full breakfast. However, breakfast snacks were provided.",The location was excellent!,9.0,March 2024,"April 4, 2024",Queen Room with Two Queen Beds,1,Family,7.5
Wonderful,,Newly updated,9.0,March 2024,"April 3, 2024",Queen Room with Two Queen Beds - Disability Access,4,Couple,7.5
Wonderful,Everything was good,Clean,9.0,March 2024,"March 25, 2024",King Room,1,Couple,7.5
Very Good,There are no usb ports In the rooms. And I wish they offered some type of body wash. Other than that I really enjoy staying in this hotel.,I love the fact that the hotel is located right on the expressway. Also the hotel is always very clean and very quiet.,8.0,March 2024,"March 22, 2024",King Room,1,Solo traveler,7.5
"Cheap, no frills hotel. Safe.","Not well maintained,  trash in hallways (bagged) but housekeeping comes twice a week.",Location and price,7.0,March 2024,"March 18, 2024",King Room,2,Family,7.5
Very Good,I didn't like the courtyard hours since I am a smoker. Kept having to go to my truck.,I loved the location. Hotel was 15 minutes away from all the attractions.,8.0,March 2024,"March 18, 2024",Queen Room with Two Queen Beds - Disability Access,2,Family,7.5
"Overall, great stay, clean, friendly and good value.",We were by the smoking section outside and the other guests smoking outside were a bit loud and the smoke smell seeped into the room.,"Everything was new from the carpets to the towels, and it was very clean.",9.0,March 2024,"March 8, 2024",Queen Room with Two Queen Beds,2,Family,7.5
Nice and clean place,"There was no hot water on the sink, but that was minor thing. Location is bit far away from downtown, so if you are using Uber prepare for extra costs.","Very nice and clean place, bed is very comfortable. Staff at reception desk is friendly and nice and they kept our luggages free of charge.",9.0,March 2024,"March 3, 2024",King Room,1,Couple,7.5
Wonderful,Good question,Atmosphere,9.0,February 2024,"February 29, 2024",King Room,7,Family,7.5
Good,,"The hotel was very clean and the rooms were very comfortable. There was a small issue with the shower. The water would fill up in the tub a little but other than that , I really enjoyed my stay.",7.0,February 2024,"February 22, 2024",King Room,2,Family,7.5
Wonderful,It was pleasant...,All of it ..,9.0,February 2024,"February 18, 2024",King Room,5,Family,7.5
Wonderful,Update the Fitness room.  The equipment is old,,9.0,February 2024,"February 4, 2024",King Room,7,Couple,7.5
Very Good,Finding underwear when entering the room.,,8.0,January 2024,"January 3, 2024",King Room,1,Solo traveler,7.5
