Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Exceptional,,"Exceptional location. Right at a busy square called oktogon square. Easy access to Public transport system like Tram, Buses, Metro and taxis all the time.
Breakfast is good enought to start your day with coffee, boiled eggs, cereals, breads and spreads.",10,October 2023,"October 31, 2023",Quadruple Room with Private Bathroom,4,Group,8.2
Wonderful,The airconditioning in the rooms didn't work so it was super hot at night during the summer heatwave in Budapest.,The free breakfast and the cleanliness of the place was great! The kitchen was also very good and held clean. The common areas where also nice and the staff was nice.,9.0,August 2024,"August 20, 2024",Bed in 8-Bed Mixed Dormitory Room,5,Solo traveler,8.2
"Great value for money, wonderful location.","Rooms were tidy, but the combined shower/toilet on my floor was a little tight. If possible it would have been better if they were separated, seeing as we were several guests on that floor sharing those facilities. 

I was also unsure of the sheets. Even though it was nice to come to a made bed, I think I would prefer to get sheets from the reception so I as a guest can really feel that they are newly washed. I had no reason to question it, but I just prefer it generally.","Super central, easy to get around and the overall impression was really nice. It’s a shame the courtyard is not what it looked like on the pictures; if there were like an inside garden with the possibility to sit outside and have drinks, that would for sure be give extra points!",8.0,August 2024,"August 17, 2024",Bed in 8-Bed Mixed Dormitory Room with Standard Bunk Beds,1,Solo traveler,8.2
Wonderful,,"Central to the city, cool party vibe.",9.0,August 2024,"August 17, 2024",Bed in 10-Bed Female Dormitory Room with Private Bathroom,3,Solo traveler,8.2
Wonderful,,"Good location, staff are excellent.marel, Matteo vyom all always helpful",9.0,August 2024,"August 15, 2024",Bed in 6-Bed Dormitory Room with Private Bathroom,1,Solo traveler,8.2
Very Good,"A/C was not working during the duration of my stay. If it was, this probably would've been the best hostel I stayed at during my Europe trip.",,8.0,July 2024,"August 15, 2024",Bed in 4-Bed Mixed Dormitory Room,3,Solo traveler,8.2
Would definitely come back!,"My room was facing the square and we opened it due to a many people being in the dorm, so it was a bit louder at night.","The hostel is located ideally in the Octagon Square in Pest, so it is easy to reach every destination in Budapest, even by foot. Hostel staff was nice and beds were totally fine, also lots of space in the rooms and the hostel overall, also comes with free breakfast! I didn't use the options for meeting up with people, but I can imagine it is an ideal hostel for finding travel partners as well.",8.0,May 2024,"August 15, 2024",Bed in 12-Bed Mixed Dormitory Room,1,Solo traveler,8.2
Very Good,,Kumar Amrendra held a guide tour for me and a few other travelers. The tour was super nice for a first-timer who wants to get to know the most important things about Budapest and have a fun time; he breathes puns like it is air.,8.0,August 2024,"August 14, 2024",Bed in 8-Bed Mixed Dormitory Room with Private Bathroom,3,Solo traveler,8.2
Very Good,"Very noisy at night, music was playing loudly at 1 am at the common area which was next to my room","Perfect location, helpful staff, free walking tours (thanks to Kumar who made a great walking tour around the city), space to socialise and make new friends",8.0,July 2024,"August 13, 2024",Bed in 8-Bed Mixed Dormitory Room,1,Solo traveler,8.2
A great location within the city,The room that I stayed in on the third floor has 8 beds and they are connected right next to one another. This made it difficult when someone was rocking their bed constantly and then when they make loud noise in their sleep too. I’m not sure what happened from the time that I initially arrived the room felt climate controlled but later within the week it became much more warm. Unfortunately a small group visiting to attend a music festival on a daily basis would serve themselves alcoholic drinks and play their music loudly in the kitchen area on the third floor. Knowing that this was happening it would had been thoughtful for someone from the reception desk to make the group aware that the environment on the third floor is space being used by other guests too not just their group. Their isn’t a dedicated quiet place to study or work so it leaves a person to have to decide on which common area between the three floors is most suitable for them to use.,Each designated kitchen area is well organized and meets many needs for what you could need when preparing a meal. The bathrooms are adequate. The cleaning staff does a detailed work to keep areas throughout the hostel immaculate and the staff that each morning prepares a light breakfast for the guests are very accommodating for the hostel as well. Where the hostel is located at Oktogon nearby a tram is convenient for getting around the city.,8.0,August 2024,"August 13, 2024",Bed in 8-Bed Mixed Dormitory Room,7,Solo traveler,8.2
