Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Highly recomended for good value accomadation,Nothing,"Great location, close to city centre",10,February 2024,"February 13, 2024",Exclusive Double Room,3,Couple,8.5
Good place and good staff . Recommend to stay here,"just not big issue, I think the electrical plug should be more",The room is good. We choose the room with private bathroom.,9.0,June 2024,"July 19, 2024",Double Room with Private Bathroom,2,Couple,8.5
Friendly and helpful staff.. feels like home,Nothing,Very comfortable,10,July 2024,"July 10, 2024",Exclusive Double Room,2,Couple,8.5
Great place to stay in el calafate,The shower was difficult to get to a safe temperature in our experience😂,"Lovely and warm, great facilities",10,July 2024,"July 9, 2024",Double Room with Private Bathroom,2,Group,8.5
Would highly reccomend to budget backpack travellers like myself who are wanting to see Patagonia,"Nothing, everything was excellent","Centrally located, clean and tidy and lively and warm considering the cold and snowy weather conditions. Staff were friendly and helpful also. Also it’s very easy to book excursions from this hostel as they work with tour companies and discounts are available with transfers from the hostel.",10,June 2024,"June 21, 2024",Double Room with Private Bathroom,2,Couple,8.5
Exceptional,Nothing.,"Hostel a few hundred metres from El Calafate main street. In cold weather has a very good heating system. Good sized and clean room. Breakfast has egg fruit, some kind of jams enough for mooring. Thanks to staff for their help for everything.",10,June 2024,"June 20, 2024",Double Room with Private Bathroom,2,Couple,8.5
Wonderful,,3rd time to stay. Had to stay another night because my flight schedule was moved. The breakfast this time consisted of eggs and fruit. Easy to book tours and transportation.,9.0,May 2024,"June 2, 2024",Exclusive Double Room,1,Solo traveler,8.5
Wonderful,,"Came back for a one-night stay before going to El Chalten, The breakfast had eggs and fruit. Cleanliness and heating was still good. It is convenient to book transportations services with the hostel.",9.0,May 2024,"May 13, 2024",Exclusive Double Room,1,Solo traveler,8.5
Nice stay in Calafate,"Very thin windows and as the room was looking out on the street, we were exposed to noise very easily. Also the doors were very thin/ low quality.","Clean, spacious private room for our group with kitchen and bathroom, nice enough breakfast included",8.0,May 2024,"May 7, 2024",Deluxe Apartment,2,Group,8.5
Very Good,,"Beautiful, nice kitchen, nice staff",8.0,April 2024,"May 5, 2024",Single Bed in 4-Bed Dormitory Room with Shared Bathroom,2,Solo traveler,8.5
Wonderful,,Great location. The room was clean and the shower was great!,9.0,April 2024,"May 2, 2024",Double Room with Private Bathroom,2,Couple,8.5
Fantastic place to stay. Great value for money.,"Breakfast was a bit stodgy but still value for money. Can’t recommend packed lunches for glacier tour. You are better to purchase up there and eat in comfort as glacier restaurant makes you eat outside in the cold if you don’t buy from them..
But don’t let that put you off staying at this hostel as they are great value for money.",Great staff . Great value for money. Totally recommend room 26 as a private room. Very cosy.,9.0,April 2024,"April 30, 2024",Double Room with Private Bathroom,2,Couple,8.5
Exceptional,,"Rooms were exceptionally clean
Quiet, brick walls helped. Bargain price, facility run very..",10,April 2024,"April 25, 2024",Deluxe Triple Room,2,Couple,8.5
Wonderful,Feels more like a hotel than a hostel. it lacks that social vibe that can be expected from staying at a hostel. But I would stay there for the price.,Hostel is huge and feels like a hotel. Good location close to the town's main street. Room is spacious and good breakfast spread.,9.0,March 2024,"April 20, 2024",Single Bed in 4-Bed Dormitory Room with Shared Bathroom,2,Solo traveler,8.5
Good,One night there was no hot water. Definitely more basic.,"Good location, great price. Wifi worked. Staff was helpful with tours. Decent breakfasts. Basic services.",7.0,April 2024,"April 15, 2024",Double Room with Private Bathroom,1,Family,8.5
Exceptional,,"Helpful reception staff, good breakfast, comfy room",10,April 2024,"April 14, 2024",Exclusive Double Room,3,Couple,8.5
Very Good,,The apartment room was great for 4 people,8.0,April 2024,"April 13, 2024",Apartment with Shower,1,Group,8.5
