Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
"If you need to stay at Miami int airport, stay here.",Shuttle runs on the hour.  Instructions should be clearer. We would have taken a taxi to the hotel.,"Really comfortable beds. 
We had two rooms for our party of 5, two rooms with 2 queen beds.",10,July 2024,"July 19, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Group,8.1
My stay was nice and comfortable.,Access to some amenities.,"I liked almost everything. The food, room, service…",9.0,July 2024,"August 18, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.1
Miami business trip,"I paid for breakfast and the microwave eggs were horrible, no real choices for eggs. Also, did you know that Styrofoam cups for coffee are toxic? Went out for breakfast the next two days.","The room was nice and the location is a plus, close to my business meetings and Calle 8 for shopping and entertainment",8.0,August 2024,"August 17, 2024",Queen Room with Two Queen Beds - Non-Smoking,3,Family,8.1
Comfort INN suites Miami International will always be my place to stay,"I love  the location not to far from the dolphin mall , the staff was very friendly, and the  cleanseness  of  the hotel speak for it's self.  I will recommend anyone looking  to stay near the airport and Miami port, this is the place to stay.",Comfort INN suites Miami International hotel is the place to stay.,9.0,July 2024,"August 16, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.1
Very Good,Pool closed early,The breakfast was great and the location was fine,8.0,July 2024,"August 11, 2024",King Room - Non-Smoking,1,Couple,8.1
It was good value for money.,"Better shuttle service to hotel needed. The shuttle only comes every hour and we had a long wait after a 16 hour flight. Also, it would be nice to have a restaurant in the hotel as we were too tired to walk to a nearby restaurant. We were asked to call the hotel but our overseas phone couldn't make the call.  Carpets in the hallway were a disappointment. Very hard to pull your luggage over and also bad for those with allergies to dust!",We liked the location and room.  The breakfast was good. Very helpful staff.,8.0,July 2024,"July 31, 2024",King Room - Accessible/Non-Smoking,1,Couple,8.1
Very Good,"I didn't like the frozen eggs, they were tough. Scrambled is better.",The staff was courteous,8.0,July 2024,"July 31, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.1
Good,breakfast ok (nothing special). Use of single use plastic for breakfast should be reduced.,"Cental location, large rooms, friendly staff",7.0,July 2024,"July 31, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.1
Wonderful,,Everything,9.0,July 2024,"July 29, 2024",Queen Room with Two Queen Beds - Non-Smoking,2,Family,8.1
Good value. Very convenient and easy for a layover,Food not good,Hotel run in an Orderly manner. Close to airport,8.0,July 2024,"July 29, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.1
Wonderful,,Beds and bread was great,9.0,July 2024,"July 22, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Group,8.1
Wonderful,,"Good location close to the airport, complimentary shuttle, complimentary basic breakfast",9.0,June 2024,"July 22, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.1
Wonderful,,Very good,9.0,June 2024,"July 21, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.1
Very Good,"It took an extremely long time to get someone to answer the phone when calling from the airport.   I was disconnected 3 times when her did answer.  I was put on hold and cut off.  Other than that,it was fine.",I liked the coffee being available all day.  The bed was comfortable and the place is clean.,8.0,July 2024,"July 21, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.1
Very Good,"I tried to take a shuttle to the airport and from the airport, but there are no shuttles for a long time. I had to take a taxi",Clean and close to airport,8.0,July 2024,"July 19, 2024",King Room - Accessible/Non-Smoking,1,Couple,8.1
It was refreshing,Nothing,ambience and upkeep of the building,9.0,July 2024,"July 17, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.1
It was a relaxing place to stay for overnight,N/A,I liked everything,9.0,June 2024,"July 13, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.1
Very Good,Early in the morning the air conditioning turns off automatically and this could not change,The location of the hotel and the layout,8.0,July 2024,"July 12, 2024",Queen Room with Two Queen Beds - Non-Smoking,2,Group,8.1
Very Good,Location of pool,Convenient,8.0,July 2024,"July 11, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Group,8.1
Wonderful,"No fresh drinking water is available,  the pantry clise at 10 and after that you have to buy the water. Alteast must have one fresh water cooler or dispenser","Good clean hotel, value for money, near to airport, easy location,  friendly staff",9.0,July 2024,"July 9, 2024",King Suite with Sofa Bed - Non-Smoking,2,Family,8.1
Wonderful,N/A,"Clean, and right by the airport",9.0,June 2024,"July 9, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Couple,8.1
"Besides Shuttle issues, hotel was fine.","The wait for shuttle to the pier was horrible.  We almost took a taxi.  It was over an hour late and then it took forever for the poor man to pack the bus with the luggage and then for us to leave the hotel.   Also, at the airport every time the shuttle would arrive it was full and passed right by us.",Didn't eat breakfast,8.0,June 2024,"July 8, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Group,8.1
"Excellent for the price, recommend, and will stay again!","Continental breakfast could've switched up a bit each day (it was the exact same for every time). Also the shuttle we took had terrible leaking from the A/C, and since we were completely full water poured onto us the entire ride to Port Miami.","Staff was amazing, rooms and facilities were always clean, pool was great, and I was appreciative of the free shuttle transfers.",9.0,July 2024,"July 8, 2024",Queen Room with Two Queen Beds - Non-Smoking,2,Family,8.1
"Would stay again, very comfortable!",Staff could have been friendlier,"The bed & pillows were particularly comfortable.
The walk in shower was good & the air conditioner worked really well. A very easy stay! !",8.0,July 2024,"July 7, 2024",King Room - Non-Smoking,1,Couple,8.1
Wonderful,,N/A,9.0,June 2024,"July 6, 2024",King Room - Accessible/Non-Smoking,1,Family,8.1
Very Good,"I couldn't switch off the AC in the room. 
Late check-in early check-out.",I liked it overall. The staff were very nice and all was cleaned. New Hotel. Breakfast could be a little better but cannot complain for the price I paid.,8.0,June 2024,"June 27, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.1
An enjoyable stay.,All was great,Breakfast was great & sufficiently met our needs.,9.0,June 2024,"June 23, 2024",King Suite - Accessible/Non-Smoking,1,Family,8.1
Very nice and clean,,Breakfast was pretty decent with their selection.,9.0,May 2024,"June 22, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Couple,8.1
Wonderful,,"We were able to check in early, which made family travel much easier!",9.0,June 2024,"June 21, 2024",King Suite with Sofa Bed - Non-Smoking,1,Family,8.1
My second night was much more enjoyable.,When we stayed on Thursday June 14th our shower didn’t work. The water was barely enough to get you wet. I reported it to the front desk attendant at check out and she said she would send maintenance up to check. I feel like she should have compensated me by offering to take something off my bill.,I love the location close to the airport. Breakfast was included.,9.0,June 2024,"June 18, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.1
Very Good,The shuttle service was so unorganized and slow that we had to pay for other transportation.,Breakfast had a variety of selections. I appreciate the customer service and accommodations.,8.0,June 2024,"June 18, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Group,8.1
Quiet but not Silent,"I do not like not having a topsheet and light blanket on my bed. A decade or so ago many American hotels went Euro w thick duvet. That means too hot or too cold - no Goldilocks (just right) so not practical.

A very quiet but persistent ticking-beeping was coming from the outlet between the beds in Room 708 at that location. Check all the rooms to see if that is present in all rooms + maybe an electrical issue.",Hallway was quiet and staff was friendly.,8.0,June 2024,"June 15, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.1
Would recommend for short stay,Nothing,"Perfect for overnight stay, close to airport with shuttle service. Big comfy beds.  Pool area was nice",9.0,May 2024,"June 14, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.1
Wonderful,Nothing,Friendliness of staff,9.0,June 2024,"June 12, 2024",King Room - Accessible/Non-Smoking,1,Solo traveler,8.1
Great location and price.  The breakfast could have been a little better but not terrible,Nothing really I didn’t like,It’s was very nice,9.0,June 2024,"June 12, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.1
Good,Room wasn’t ready upon arrival/check in time!,Close to air port,7.0,June 2024,"June 10, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Group,8.1
