Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Exceptional,Nothing to mention here.,"Location great in Downtown Atlanta, loads of great bars and restaurants nearby. Also walking distance from major attractions.
Room itself spacious, clean and adequate for everything a tourist might need.
We would stay again here next time we visit Atlanta.",10,August 2023,"August 14, 2023",Deluxe King Room - Non-Smoking,2,Couple,7.2
Very Good,"We had very laugh neighbours, so I’m assuming those walls not soundproof 👎 but luckily we was very tired and out toddler to👌","Very comfortable beds, great location I was only 4 minutes away from my destination 👌",8.0,August 2024,"August 14, 2024",Double Room with Two Double Beds - Non-Smoking,1,Family,7.2
Expectations were not met because of poor communication.,"I was sent a ""pre-check in"" text that allowed for a check in and place to scan a drivers license. Upon arrival it was as if that had never happened. Why did I do this if the attendant was annoyed that I asked why I had to go thru every thing again! Forget that electronic crap if at arrival I have to wait in a long line to do it all over again.
The breakfast (which is free at most hotels cost 60.00 for two people) We were given two 10.00 coupons but only one was allowed to be used at the breakfast seeking to force a second visit. That is a sorry way to handle the coupons. Advertised parking but only offered valet parking for 45.00 per night.",After check inn the staff was friendly and helpful. Room was adequate but the bed was not as comfortable as many other hotels I have stayed in.,6.0,August 2024,"August 13, 2024",Deluxe Queen Room with Two Queen Beds - Non-Smoking,2,Couple,7.2
Nice Hotel but too many expensive “accommodations “,"Parking Fee and what essentially having to opt for the Valet.  I think paying guests should not have to pay for parking.  I didn’t know where the parking garage was and felt forced into using the Valet who kept moving my seat when driving my car.  That was irritating. Once I realized where the garage was, I had already used the Valet and as I was there only 1 night, I paid it. 

The elevator on my side of the building was not working and I had to walk a marathon to get to an elevator.  I am disabled so that was not convenient at all. 

There is no microwave in the rooms.  Bizarre.  No courtesy coffee for guests unless you count the crappy 2-cup coffee maker in the room which is never, ever decent coffee. 

Before ever getting there, I called the hotel to advise I was traveling with young teens and that I needed us to be together and when I got there, our rooms were in different places around the floor.  On arrival, I told the Clerk we needed our rooms together and she kindly provided them but, as I said, on the side of the hotel the farthest from the elevator.","It was very close to the Aquarium, our reason for going.",6.0,July 2024,"August 13, 2024",Double Room with Two Double Beds - Non-Smoking,1,Family,7.2
Service was alright but amenities need to be worked on and the cleaniless should be improved on. I shouldn’t be able to,There was a cockroach on the table once I got to the hotel. Entrance door to enter the room; was sort of small. The batteries for the remote to the tv were too weak and need to be changed. The valet staff on Saturday were so rude.,Location,7.0,August 2024,"August 13, 2024",Double Room with Two Double Beds - Non-Smoking,2,Couple,7.2
Not pleased with the Wi-Fi charge. I  felt it was petty. Never have I experienced this in all my tr.,2 beds instead of 1.,,7.0,August 2024,"August 13, 2024",Queen Room - Non-Smoking,1,Family,7.2
Very Good,That you have to pay for breakfast should be included. I also didn’t like nothing was explained upon check in! They stated it was 10 per room credit per day didn’t know how to use it nor did I know about it,Location,8.0,August 2024,"August 12, 2024",Double Room with Two Double Beds - Non-Smoking,2,Solo traveler,7.2
Very Good,"The A/C took forever to cool the room off, and bed hurt me and my wife’s back.",The view was great and location to downtown was amazing.,8.0,August 2024,"August 11, 2024",Queen Room - Non-Smoking,1,Couple,7.2
excellent,Deposit am yet to receive it .,Cleanliness,7.0,August 2024,"August 7, 2024",Queen Room - Non-Smoking,1,Solo traveler,7.2
Good,Room was hot!!!,Ok,7.0,August 2024,"August 6, 2024",Deluxe Queen Room with Two Queen Beds - Non-Smoking,4,Group,7.2
Nice,Stains on walls,,8.0,August 2024,"August 5, 2024",Deluxe King Room - Non-Smoking,3,Couple,7.2
Very Good,,Particularly enjoyed the ambience of the bar in the evening and the pool ares after early breakfast,8.0,July 2024,"August 5, 2024",Deluxe King Room - Non-Smoking,3,Solo traveler,7.2
Very decent hotel nice facilities and fair staff,The staff,"The facilities, good location.",6.0,August 2024,"August 4, 2024",Deluxe Queen Room with Two Queen Beds - Non-Smoking,5,Family,7.2
Very Good,,The pool was nice and the staff was friendly,8.0,August 2024,"August 4, 2024",Deluxe Queen Room with Two Queen Beds - Non-Smoking,2,Family,7.2
Ok stay,Valet parking takes 45 minutes,Location,6.0,July 2024,"August 1, 2024",Deluxe King Room - Non-Smoking,3,Couple,7.2
Ok stay,"Well, when I walked into the room, the room smelt really clean, but for some particular reason, there were housekeeping stuff all over the room, pink caddie bucket with clean supplies in it. Drawers were pulled out. There was a broom just laying around and I asked, is this room clean or not?, and instead of the lady answering my question the first thing she said was…. don’t call Management …
Next, we went downstairs to the restaurant. Everything was all good until we had to wait 15 to 20 minutes before we order and there was nobody there. Unfortunately, two other people came in after us placed their order and left within a 30 minute range 30 minutes later, we are still sitting there, And I had to get someone attention just for them to actually come take our order and To pay..,","Checking in a was breeze the lady was super nice, sweet, and patient with me…",8.0,July 2024,"July 29, 2024",Double Room with Two Double Beds - Non-Smoking,2,Family,7.2
It’s a great place for the price but the staff is poor,No help from Staff. You barely see the staff and service but the housekeepers are so friendly .,It’s near almost everything in downtown Atlanta by centennial park. It was a 10minute walk.,7.0,July 2024,"July 29, 2024",Double Room with Two Double Beds - Non-Smoking,2,Family,7.2
very good value.,Water pooled in the bath tub and sink after a few seconds of turning on the water. Pool was closed off for maintenance but leaves and landscaping debris fell in.,Very nice scenery and spacious room. Room was clean among arrival.,6.0,July 2024,"July 28, 2024",Deluxe Queen Room with Two Queen Beds - Non-Smoking,2,Couple,7.2
Ok,"Not very clean, we stayed for a week and bedding was not changed, only room tidied once. Hotel needs to invest in cleaning staff. We were charged $25 for “fees” and promised 2 bottles of water, we were only given 1 bottle for 1 week stay.","Superb location, 5 mins walk to Americasmart. Plenty of restaurants nearby, the hub has affordable food court. Bed is comfortable, AC is cold, room is quite spacious for 2.",7.0,July 2024,"July 24, 2024",Queen Room - Non-Smoking,7,Couple,7.2
Very Good,Parking,Location,8.0,July 2024,"July 22, 2024",Deluxe Queen Room with Two Queen Beds - Non-Smoking,2,Family,7.2
Pleasant,"I had to cross the whole hotel to find a vending machine to get some water. The room was kind of dirty. I found a chunk of nail polish in the bathroom, and a dirty sock by the outlet to plug my phone in. There is no parking except valet and the garage was full, so that was falsely advertised.",Staff was really helpful and friendly.,6.0,June 2024,"July 21, 2024",Double Room with Two Double Beds - Non-Smoking,2,Group,7.2
Average,"Location
Parking process was very inefficient.  It took very long to park and take out vehicle every time. 
No one to answer call at reception desk
Very noisy even after 10 am. I have to walk to front desk to complain 
Phone in the room didn't work and even telling at front desk , not fixed","Location was good,  facility was OK",7.0,July 2024,"July 15, 2024",Double Room with Two Double Beds - Non-Smoking,4,Group,7.2
It was good,"Don’t answer phone when you call from
Your room phone",Location & staff,8.0,July 2024,"July 14, 2024",Double Room with Two Double Beds - Non-Smoking,3,Group,7.2
Everything was perfect except the breakfast and the pool being closed for 2 days,The pool was closed for 2 days out of my stay,The location was great!!!!,6.0,July 2024,"July 10, 2024",Deluxe Queen Room with Two Queen Beds - Non-Smoking,4,Couple,7.2
It was nice but did not like the valet only parking! I’d much rather park my own vehicle in the parking garage and just,I did not like valet only parking! It was such an inconvenience to have to wait for our car to leave and wait for an attendant once we arrived back in the evening.,It was clean and pretty,7.0,May 2024,"July 6, 2024",Double Room with Two Double Beds - Non-Smoking,1,Family,7.2
We enjoyed our stay. The hotel is in a good area. My only complaint is the valet parking.,I paid for valet parking and when I  arrived it took 45 minutes just to get into the front of the hotel. I saw 3 people trying to accommodate parking. It took another 30 minutes to talk to an attendant. We was late getting to the concert. It was very frustrating.,,7.0,June 2024,"July 5, 2024",Double Room with Two Double Beds - Non-Smoking,1,Group,7.2
good value,tv inop at times,"nice room, excellent breakfast",8.0,June 2024,"June 30, 2024",Deluxe King Room - Non-Smoking,1,Couple,7.2
Pleasant,It didn’t seem like it didn’t have many staff at the front. Before arriving the hotel I call the hotel about 10 times but nobody answered..? When I arrived it was only one person in the front and the line was long,The room,6.0,June 2024,"June 26, 2024",Queen Room - Non-Smoking,1,Couple,7.2
Decent downtown hotel,"Hotel is starting to show its age, it could use some general upgrades, including more elevators in the South Tower.  There is no daily cleanup service, so I ha to go chasing staff for towels and coffee.  Adjacent ""connected"" self parking has been disconnected to hotel, and the parking structure is home to the homeless.","Proximity to sporting venues and local tourist attractions (Coca Cola, Civil Rights, Aquarium) makes it an optimum choice for the downtown area.  Plenty of space in the room and B+ gym facilities.",8.0,June 2024,"June 25, 2024",Double Room with Two Double Beds - Non-Smoking,3,Solo traveler,7.2
Good,"phone didnt work in the room, aircin didnt work in the room, contacted staff multiple times until they fixed the aircon",,7.0,June 2024,"June 23, 2024",Deluxe Queen Room with Two Queen Beds - Non-Smoking,3,Family,7.2
Great location. Comfortable accommodation,Not much was not to like. However a little disappointed with lack of feedback from hotel wrto my query on the final bill differential from my bookings.com quote. A usd 100 difference with no explanation and there were no miscellaneous charges incurred. Quote Bookings.com usd511. Final bill usd 617,"Very good accommodation comfortable room.
Good facilities. Great location",8.0,June 2024,"June 19, 2024",Double Room with Two Double Beds - Non-Smoking,3,Family,7.2
Very Good,"My stay was Good. However, I never received the balance of My Deposit. I only had breakfast 1 day, so I should’ve received something back. That’s really My only complaint.","My stay was Good. However, I never received the balance of My Deposit. I only had breakfast 1 day, so I should’ve received something back. That’s really My only complaint.",8.0,April 2024,"June 15, 2024",Queen Room - Non-Smoking,3,Group,7.2
Good,"There is a few little things that they need to work out. Little quips and quarks here and there that they need to work but.
 But I think that they will get it taken. Care of had a little bug problem. So it's just a few things that need to be taken care of.","The overall experience at the hotel was excellent. Staff was amazing. The facilities was everything that a child. If you're you know, traveling with children would need, the food was amazing.",7.0,June 2024,"June 10, 2024",Double Room with Two Double Beds and Pool View - Non-Smoking,1,Family,7.2
The hotel it self is great .I’d stay again but the VALET Manager Ty stole money out our car,Valet stole money out our car,Location is great,8.0,June 2024,"June 10, 2024",Double Room with Two Double Beds - Non-Smoking,1,Group,7.2
Very Good,The valet was very hectic and a little unorganized.,The location,8.0,June 2024,"June 10, 2024",Deluxe King Room - Non-Smoking,1,Couple,7.2
