Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Very convenient location and beautifully contemporary.,The room service or dubbing options weren’t explained by the front desk at all. Maybe due to the hour of our check in but it would’ve been nice to know because there was no info in the room either.,The decor is very inviting right away and check in was smooth. The room was set up nicely and the bed was very comfortable.,10,July 2022,"October 6, 2022",King Location Room - Non-Smoking,1,Family,8.7
"Always stay here, love the hotel and the convenience of the airport.",Nothing,Our favourite. Love the room and the breakfasts and pool,10,July 2024,"August 20, 2024",Premium King Room - Lounge Access,1,Couple,8.7
"Great, convenient stay!","I think the room could’ve been even better if it had a Nespresso coffee machine or similar and if the mini fridge was stocked with some juices, soft drinks etc.","The property was very conveniently located, the pool was great and room service tasty. Staff were polite and everything was modern and clean.",8.0,August 2024,"August 18, 2024",King Location Room - Non-Smoking,2,Family,8.7
Exceptional,,"We got a great deal , included breakfast , have stayed here a number of times, definitely noticed an extra special attention to service. Room was very comfortable and spacious, the later check out was much appreciated. The lobby bar and bistro renovation is great , enjoyed a few beverages in bar and great selection of foods for breakfast the next morning. As mentioned all service staff were very good.",10,August 2024,"August 18, 2024",1 King Bed Standard Jewel Wing,1,Couple,8.7
"We always stay here when travelling from New Zealand to Europe, to break up long haul flight. Ideal.",Nothing. Have stayed here multiple times.,Great place to stay to break up long haul flights through Singapore. Convenient being right inside terminal.,9.0,August 2024,"August 17, 2024",1 King Bed Standard Jewel Wing,1,Couple,8.7
Everything I had hoped for.,,"Room, convenient location at the airport, breakfast.",10,August 2024,"August 16, 2024",Standard Room,1,Solo traveler,8.7
Fantastic hotel for an airport stay-over,More powerplugs available would be helpful,"The bed was unbelievably comfortable, the bathroom was one of the best I have ever seen.",9.0,August 2024,"August 15, 2024",Standard Room,1,Group,8.7
Relaxing restful sleep and wonderful staff and facilities,Luxury of it,Wonderful place to visit highly recommended,10,August 2024,"August 15, 2024",1 King Bed Standard Jewel Wing,1,Couple,8.7
Great hotel for an overnight stop-over.  Suited for business travellers.,"We didn't like that the reception is located on the ground floor and not on the terminal floor.  The lift was not well sign posted, so you are faced with the prospect of taking the stairs or the escalator - both difficult with heavy cases.   staff were very helpful, though.","Location is perfect if you are stopping over in Singapore, but do not want to go into the city.  You can catch the transfer train from terminal one (which is where we arrived) and get off at the next stop.  This it is a 5 min walk to the hotel.  It is not very well sign posted, so needed help from a very helpful person we happened to bump into while looking for it.   I think he could tell we were lost.",9.0,August 2024,"August 14, 2024",1 King Bed Standard Jewel Wing,1,Couple,8.7
A good Hotel and convenient for an overnight stay plus Staff very helpful and dining options A1,Explained above ! And the AC in our room was too cold and blowing straight into our bed  and we weren’t able to change the direction or increase the temp to a more comfortable level .,Everything was great except the LONG walk to get to our room and having to get to it via two lifts or escalators - long walk then another lift! Our previous room on L 2 was much easier to get to esp as I use a walking stick and gave serious issues with my right leg and lower back area .,9.0,August 2024,"August 14, 2024",1 King Bed Standard Jewel Wing,1,Couple,8.7
Fabulous accommodation,Nothing not to like,"Great central location , staff were excellent , room was spacious and comfortable. Breakfast was exceptional",10,July 2024,"August 14, 2024",Standard King Room,2,Couple,8.7
Wonderful,Hot water for the bath tub was not very hot.,Comfortable and clean. Room was spacious and the place had good facilities. Staff were very nice.,9.0,August 2024,"August 13, 2024",Standard Twin Room,1,Family,8.7
Excellent as usual,,Breakfast something to really look forward to for a great start to the day,10,August 2024,"August 13, 2024",1 King Bed Standard Jewel Wing,1,Couple,8.7
"Was the best choice , for overnight stay after arriving in.   So easy to visit amazing Jewel and malls..  well done",Nothing at all,"Everything 
 Location, rooms,service of staff fantastic.
Breakfast was outstanding and perfectly presented",10,August 2024,"August 13, 2024",Standard Room,1,Couple,8.7
Exceptional,Nothing,Perfect for what we were looking for. A quick 24hr catch up on sleep to break a long fight. Just what we needed. Beautiful hotel. Great location and facilities.,10,August 2024,"August 12, 2024",1 King Bed Standard Jewel Wing,1,Couple,8.7
