Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Exceptional,,Everything it was soo comfortable,10,January 2024,"January 10, 2024",Queen Room - Non-Smoking,1,Solo traveler,5.5
You get what you paid for .,"Other guests very noisy, shower didn't heat properly","I arrived late due to delays and the shuttle stop running , but Angel  at reception refunded the taxi fare as there was confusion about shuttle timing. His response was excellent customer service. He was very responsive,  friendly staff. This place is very cheap for airport stays and 8f you are on a budget,  its perfect ... Great location and shuttle in the morning was excellent",6.0,August 2024,"August 17, 2024",Queen Room - Non-Smoking,1,Solo traveler,5.5
Ok,Next guess i can hear everything that they were from they room,I never had any,6.0,June 2024,"July 1, 2024",Queen Room - Non-Smoking,1,Solo traveler,5.5
"Good value for money, good location.",No elevator to the floor where our room was located.,Location,7.0,June 2024,"June 19, 2024",Queen Room - Non-Smoking,1,Couple,5.5
I eas afraid that someone would open my door like had happened to the man in front of me that night and the next morning,"The manager was rude over the phone to a guest in front of me. That guest had all his belongings missing when he returned back to his room and the manager could not help him because she needed to sleep. She didn’t want the guest to speak this housekeeping but she would not help find his belongings. She insisted that he must wait until 10:00 am that she would start her work day. All of the gentleman’s frustration didn’t mean anything to this female manager that was raising her voice every time guest asked for an explanation of why his things had been taken out off his room.

Another guest could not open his door with his  key and was having to wait for this long discussion in the phones to be over. 
The third guest ahead of me was upset because when he arrived to his room their were people in bed sleeping. He had been given an occupied room. This guest also was frustrated because the desk host continued answering the phone and on the computer assisting the callers while we had to wait for problems to be solved. I was standing for about 30 minutes in line to check in. All I could think was that I had mad a mistake booking with you. I finally told the host to put all his calls on hold and take care of us. 

I wont be staying here again.",The room was clean,6.0,April 2024,"April 30, 2024",Queen Room - Non-Smoking,1,Solo traveler,5.5
Good,Wi-Fi slow and no working phone in room,Near the airport,7.0,March 2024,"March 31, 2024",Deluxe Double Room with Two Double Beds - Non-Smoking,1,Family,5.5
Affordable accommodation if you fly early next day,"They could add some facilities, maybe a little gym or some breakfast.",Perfect if you are flying next morning. Not for a romantic and/or family trip. Staff is helpful and nice. Free parking. 2 minutes to the terminal. There is a subway restaurant inside :) Very good price.,7.0,March 2024,"March 13, 2024",Queen Room - Non-Smoking,1,Couple,5.5
Just an all around nice place to stay!,Pool wasn’t working!,We use this property a lot and like all the workers and they always seem to remember me.,7.0,November 2023,"January 18, 2024",Queen Room - Non-Smoking,1,Family,5.5
Good,,Love shuttle from airport and to port. But should have told us before where to get shuttle,7.0,January 2024,"January 15, 2024",Queen Room - Non-Smoking,1,Couple,5.5
Inexpensive but adequate .,Instructions for airport pickup were very poor. The shuttle runs twice an hour and only picks up at stations 7 & 15.,,6.0,January 2024,"January 9, 2024",Queen Room - Non-Smoking,1,Couple,5.5
All okay except transfer from Airport. Apparently the driver needs to be told.,Transfer from airport took overly long. Driver from sister property assisted in the end. Sub-way outlet in the building provides food.,Simple property. A basic room serving the purpose of being near the airport. Staff helpful. Transfer back to airport very smooth. Sister property has good restaurant -= a short walk.,7.0,December 2023,"January 5, 2024",Queen Room - Non-Smoking,1,Solo traveler,5.5
It was good and quiet,The room was smaller than anticipated,"Staff was nice, cleaning crew was very adequate and efficient.",7.0,December 2023,"December 17, 2023",Queen Room - Non-Smoking,2,Couple,5.5
Good,Nothing,Everything,7.0,November 2023,"November 17, 2023",Queen Room - Non-Smoking,1,Family,5.5
Stay was comfortable even though the property clearly needs work… convenience near airport worth it,Facility needs an upgrade,Staff were very friendly and willing to assist in anyway possible,6.0,August 2023,"August 29, 2023",Queen Room - Non-Smoking,1,Solo traveler,5.5
Good,I didn’t like that the towels were dirty and had hair on it.,The location.,7.0,July 2023,"July 31, 2023",Queen Room - Non-Smoking,1,Solo traveler,5.5
Ok,No house keeping,,5.0,June 2023,"June 3, 2023",Deluxe Double Room with Two Double Beds - Non-Smoking,2,Family,5.5
Good,Bathroom door wouldn't close,,7.0,May 2023,"June 1, 2023",Queen Room - Non-Smoking,1,Couple,5.5
served a purpose. rates very reasonable.,won’t say anything negative. they served a purpose. stuck at airport for 24 hrs. bed was comfortable. no hot water but front desk was apologetic. very nice.,location,6.0,April 2023,"April 20, 2023",Queen Room - Non-Smoking,1,Solo traveler,5.5
Good,,The stuff made my stay great from the front desk all the way to the house keeping everyone was so nice and helpful,7.0,March 2023,"April 2, 2023",Queen Room - Non-Smoking,7,Solo traveler,5.5
