Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Great value for money,,"Clean and spacious rooms.
Nice gym and pool facilities.",10,May 2024,"May 21, 2024",Standard Twin Room,4,Family,7.7
Modern life lives with hotel location but hotel furniture brings you back to old life,Furniture is old,Locution is the best,7.0,July 2024,"July 30, 2024",Standard King Room,1,Solo traveler,7.7
Reasonable good,No shower room in the toilet,The location is very convenient and breakfast is good,8.0,July 2024,"July 17, 2024",Standard Twin Room,4,Group,7.7
Very Good,"The room windows doesn’t block street noise 
The pillows could be more comfortable","Location 
Room size
Underground garage",8.0,June 2024,"June 24, 2024",Standard King Room,1,Group,7.7
Wonderful,Nothing,Welcoming,9.0,May 2024,"June 1, 2024",Standard King Room,4,Family,7.7
Stay was very comfortable    Front desk staff was very friendly,,Location,9.0,May 2024,"May 21, 2024",Standard King Room,1,Family,7.7
Hotel is a good choice for a reasonable price in central Riyadh,Occasional wifi issues,Breakfast is great. Staff are very nice.,8.0,May 2024,"May 10, 2024",Standard King Room,3,Solo traveler,7.7
Exceptional value for money,The noise from the main road was too load specially when your facing the road. Boys driving at high speed and joy riding at silly hours of the night.,Facility was very good,9.0,May 2024,"May 9, 2024",Standard King Room,10,Solo traveler,7.7
Very good hotel in the center of Riyad,Building and equipment getting old,"Location, staffs, breakfast, large surface",9.0,May 2024,"May 2, 2024",Junior Suite,3,Solo traveler,7.7
Good,"Lighting in room is insufficient.
Air conditioner is very cold, even if it is switched off.","Nice reception and service.
Good location.
Decent price.",7.0,April 2024,"April 25, 2024",Standard King Room,2,Group,7.7
Wonderful,just the lights in the rooms not enough to work or manage your things,,9.0,January 2024,"March 25, 2024",Standard King Room,2,Solo traveler,7.7
"I had a memorable, will definitely come again",There’s nothing I didn’t like,"Staffs were so polite and friendly
Easily accessible, just walking distance from the iconic Kingdom Tower
Food was good 
Bed comfortable 
Property very need 
Etc",9.0,March 2024,"March 10, 2024",Standard King Room,2,Couple,7.7
Wonderful,Minor thing but the WiFi was not stable at our room unfortunately and I asked two times but no one came so I let it go,Excellent hospitality,9.0,February 2024,"February 4, 2024",Junior Suite,2,Family,7.7
Very Good,,Stafff are friendly,8.0,January 2024,"January 10, 2024",Standard Twin Room,1,Group,7.7
Very Good,Old furniture and non renovated hotel,"Friendly staff especially Mr Sari , location is near SCFHS , it worth the value paid for it",8.0,December 2023,"December 31, 2023",Standard King Room,1,Solo traveler,7.7
Amazing hotel,"It wasn’t clean as it supposed to be  , and the lightening was very dim","Amazing staff , very helpful,,, and. Of course amazing gym",8.0,December 2023,"December 18, 2023",Standard King Room,1,Solo traveler,7.7
wonderful,the future is a bit old but it's not a big deal,"excellent location , comfortable beds , clean rooms , available car parkings",9.0,November 2023,"November 3, 2023",Standard King Room,3,Solo traveler,7.7
Wonderful,,"Centrally located, quiet rooms, with great helpful staff onsite.",9.0,October 2023,"October 27, 2023",Standard King Room,6,Couple,7.7
Wonderful,,"You would expect to pay more for this standard.
Breakfast is astonishing. Rooms spacious and comfortable.
Gym is exceptional - well equipped. And swimming pool.",9.0,October 2023,"October 27, 2023",Standard King Room,2,Group,7.7
Excellent,Nothing,Location,7.0,August 2023,"October 17, 2023",Standard King Room,7,Solo traveler,7.7
"Functional, easy, comfortable","a bit old furniture, carpets; have a coffee shop onsite","Gym, breakfast, free wifi, location, helpful and accommodating staff",9.0,October 2023,"October 13, 2023",Standard King Room,8,Solo traveler,7.7
Very Good,A bit old furniture and carpet,"Easy reception procedure 
Clean and quite 
They gave me a complimentary upgrade",8.0,October 2023,"October 6, 2023",Standard King Room,1,Solo traveler,7.7
Wonderful,,The location is great. Staff is polite and helpful.,9.0,June 2023,"June 22, 2023",Standard King Room,4,Solo traveler,7.7
Convenient downtown location,,There is a formidable gym in this hotel. Will satisfy anybody.,8.0,June 2023,"June 21, 2023",Standard King Room,3,Solo traveler,7.7
Wonderful,Only the lights are too low,"Really very nice one
I always go.there",9.0,May 2023,"May 26, 2023",Standard King Room,1,Family,7.7
Vgoog,Pic frame s over the bed dangerous if fall,Breakfast vgood,8.0,May 2023,"May 16, 2023",Junior Suite,1,Couple,7.7
I would recommend this hotel without hesitation,"connection with WiFi was weak in the room, difficult to send emails","I expected a single room but got a large double room
clean and no smoking as promissed
staff was helpfull",8.0,May 2023,"May 15, 2023",Standard King Room,3,Solo traveler,7.7
"Great, as always!","The atmosphere seems old and a bit ""dark"". Improvable in my opinion as it does not look ""modern"".","GYM, location and breakfast are perfect. Staff is also friendly and helpful :)",9.0,May 2023,"May 12, 2023",Standard King Room,9,Solo traveler,7.7
