Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Great stay,,"The staff was friendly, the hotel was clean, the room was huge, the location was in the city centre",10,March 2023,"March 31, 2023",Petite Double Room,5,Solo traveler,8.1
Very Good,Deposit required for each day,Great location near the Union square and Powell station. Very convenient and comfortable room with all the basic facilities.,8.0,August 2024,"August 17, 2024",Petite Double Room,3,Solo traveler,8.1
Good value except housekeeping,"Housekeeping does not ""clean""  only straighten up and change out dirty towels. And it doesn't really seem like the rooms have had a thorough cleaning after each client. The towels seemed stale and didn't have a fresh smell to them.  They smelled like food.","Excellent location!!  Building is older, but we'll kept. Good value for the money.",8.0,August 2024,"August 10, 2024",Queen Room,4,Couple,8.1
Good hotel in Good location,,"good size rooms, great location",9.0,August 2024,"August 9, 2024",Petite Double Room,1,Solo traveler,8.1
Very Good,"The bottom sheet did not stay on the mattress.  We woke up directly on the mattress during the night.  
The air conditioning did not keep the room cool enough overnight.  
The pillows were not the greatest.",The staff are exceptional!  Stephanie at the front desk is so helpful and knowledgeable.  The room size is fantastic.  The balcony is awesome!  The toiletries are top notch.  The water in the lobby is very nice.  Overall it was a great stay!,8.0,August 2024,"August 8, 2024",Premier King Room,10,Couple,8.1
Wonderful,Everything was satisfactory.,Location is very nice,9.0,August 2024,"August 6, 2024",Queen Room,1,Couple,8.1
"A great, centrally located hotel with a heated pool and amazing value.",Not enough pillows to start. However staff was friendly and brought us additional pillow on request.,"The convenience, price and cleanliness",8.0,August 2024,"August 3, 2024",Premier King Room,2,Couple,8.1
Wonderful,"Hotel might benefit from its own restaurant/breakfast area, and from some modernisation.","Great city hotel, conveniently located with a very nice outdoor pool and well equipped gym. Staff were very friendly and helpful at check in, check out (including helping us leave our cases) and giving local information. Very well located, close to shops, restaurants, trams and cable car line, and only a 20-30 minute walk to Fisherman's Wharf, etc.",9.0,July 2024,"July 31, 2024",Petite Double Room,2,Family,8.1
Great downtown place to stay,No coffee,"Super convenient, clean and interesting",8.0,June 2024,"July 28, 2024",Petite Double Room,1,Couple,8.1
"I felt very safe, the room was clean and tidy and the staff were lovely!","nothing, it was great","Clean, neat, good distance to everything, lovely staff.",8.0,June 2024,"July 26, 2024",Queen Room,1,Solo traveler,8.1
Good,,"The location was great, staff were friendly and helpful.  Great value for money",7.0,May 2024,"July 24, 2024",Petite Double Room,4,Couple,8.1
Nice Second Stay,The only thing that was hard to deal with was the old AC controlling panel. It worked but it required multiple strong attempts.,This was our second stay here. Staff was as always very helpful. The rooms were in good condition. Even though we stayed at a smaller room this time (Queen instead of a King) we still had sufficient space.,9.0,July 2024,"July 21, 2024",Queen Room,2,Group,8.1
Wonderful,,"Staff helpfulness, spacious room, nice pool, great location",9.0,July 2024,"July 19, 2024",Double Room with Two Double Beds,3,Family,8.1
