Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Excellent hotel in a central location,Nothing that I didn't like.,"It was a fantastic hotel based in the centre of Old Town. So, everything was in walking distance, close to tourist attractions and all of the bars and restaurants. 
Super clean hotel, with a bar. We bought a bottle of wine from a shop and the bartenders gave us wine glasses and ice!
The beds were surprisingly large - small double - and super comfortable 
Beds were made, fresh towels l, bottles of water and sachets of coffee every day.
Loved that there was a hairdryer, shower gel,  shampoo and conditioner, too.",10,July 2023,"July 18, 2023",Twin Room,3,Group,8.9
Location very central for activities,,Early and late check in and out without any hassle,10,August 2024,"August 21, 2024",Queen Room,1,Group,8.9
Great Hotel in Bucharest,Nothing,"Location, spacious room, professional and friendly staff, decent breakfast",10,August 2024,"August 19, 2024",Queen Room,3,Solo traveler,8.9
"Easy to reach, well known, good service",,In the centre of night life,10,August 2024,"August 19, 2024",Queen Room,1,Group,8.9
Exceptional,,Location and staff,10,August 2024,"August 17, 2024",King Room - Mobility Accessible,2,Family,8.9
Exceptional,It could get loud outside during weekend nights.,"The Hotel is perfectly located in the Old Town Area, it's a very lively area with many outlets, restaurants, Bars and necessary amenities (Grocery stores, Pharmacies etc..) Nearby.

The hotel and the room were very comfortable, clean and spacious.",10,July 2024,"August 5, 2024",King Room,2,Family,8.9
Exceptional,,Location is good,10,July 2024,"August 3, 2024",Queen Room,2,Couple,8.9
excellent place to stay in Bucharest,,extremely friendly and helpful personnel,9.0,July 2024,"July 29, 2024",Deluxe King Room with City View,2,Group,8.9
"Prime Location, Friendly Staff,  and good Rooms",Nothing.,"The location is excellent, right next to the old town and all the good restaurants. The staff are friendly and helpful. The room is clean and spacious.",9.0,July 2024,"July 27, 2024",Queen Room,5,Solo traveler,8.9
"Excellent location, cossy room",,Excellent location.,10,July 2024,"July 26, 2024",King Room,1,Couple,8.9
It was a great stay.,The shower floor is slippery. I had to put the towel on the floor in the shower.,,9.0,July 2024,"July 25, 2024",Twin Room,2,Couple,8.9
Just perfect for a few days in Bucharest,"Consider that during weekends being right in the city old center,  the area can get a bit noisy, however if you plan to sleep early ask for a room towards the inner part of the hotel or towards the less noisy street and it will be just fine.","Is my second time staying at this hotel is for sure one of my favourite in Bicharest. The location is perfect, right at the beginning of walking streets with many restaurants nearby. Also easy to go in any direction. The reception team was very kind and willing to help and find solutions to any of my requests.",9.0,June 2024,"July 25, 2024",King Room,2,Solo traveler,8.9
Excellent place!,n/a,"Staff, location, accessibility, services, cleanness of the room.",10,July 2024,"July 22, 2024",Twin Room,2,Couple,8.9
Really enjoyed exploring the city and,Nothing,It was clean and the room was spacious the staff were really helpful.  There was a lot of choice at the breakfast buffet.,9.0,July 2024,"July 22, 2024",King Room,3,Solo traveler,8.9
Great Stay,"Having a balcony, but not able to get out onto it as windows only open partially, but not a big problem & had the same issue in another Bucharest hotel.","Location was really good, just on the edge of the pedestrian area of old city so can get a taxi straight to the hotel.  If it's your first visit to the city, the old town is where you want to be for the main attractions, restuarants, fountain show (weekend only) otherwise you could be walking for long periods which in 40 degree heat might be tiring. Stayed on a Sunday & Monday night (high floor) and no noise after midnight experienced (also stayed in another part of the city coming back & was more noise from traffic there than had here). Air con was efficient & quiet. View from room was good. Breakfast was decent. Staff friendly.",10,July 2024,"July 21, 2024",Deluxe King Room with City View,2,Solo traveler,8.9
I would take this accommodation again. Nice location not noisy but still very central,,Very modern and perfect location. Central but not noisy,9.0,July 2024,"July 16, 2024",Queen Room,2,Solo traveler,8.9
Good hotel,Nothing,"Everything is good. Location, very fast check-in, breakfast, personnel",10,July 2024,"July 14, 2024",King Room,1,Solo traveler,8.9
Exceptional,,"Clean,  great staffs, great location",10,July 2024,"July 5, 2024",Queen Room,3,Solo traveler,8.9
Exceptional,N/a,The staff were so lovely and extremely helpful.,10,July 2024,"July 4, 2024",Queen Room,2,Family,8.9
Very Good,,We received room with a direct view on the restaurant that is situated in front of the hotel. There were live concert in the restaurant in the evening and we couldn’t have a rest until the singers stoped to sing.,8.0,June 2024,"July 4, 2024",King Room,1,Couple,8.9
Wonderful,,"The location, staff was very kind",9.0,June 2024,"July 1, 2024",King Room,2,Family,8.9
Very Good,"Every thing was good about the hotel and the staff but we couldn't sleep because of the loud noise and songs coming from the nearby restaurants and buildings, which starts from 9pm and lasts till 4am.","Clean, secure and welcoming staff",8.0,June 2024,"June 28, 2024",Twin Room,2,Family,8.9
Exceptional,Only 1 washing machine works,Place,10,May 2024,"June 24, 2024",King Room,3,Family,8.9
Excellent,,Perfect location,9.0,June 2024,"June 24, 2024",Queen Room,3,Group,8.9
Excellent room and location.,,Excellent room and location.,9.0,June 2024,"June 17, 2024",Queen Room,2,Couple,8.9
Centrally located and very comfortable hotel,There was quite a loud music coming from outside in the evening (from the historical city center with bars). The hotel kindly provided the earplugs and we slept very well.,Centrally located and very comfortable hotel with delicious breakfast.,9.0,June 2024,"June 15, 2024",King Room,1,Couple,8.9
