Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Exceptional,,"The room was very clean and the location is great, less than 10 min to old town.",10,July 2023,"July 25, 2023",Standard Double Room,1,Couple,8.1
"All in all a good stay. Excellent location,central in the old town, shops and sightseeing, Close to the railway station","We arrived in august heatwave, there was no air conditioning or cooling fan, only a fan heater. The mini bar in the room just heated it up more, so we had to unplug it.","Great location 24/7 friendly and welcoming staff, clean, good breakfasts, windows that open. Sockets with USB for charging phones, good shower.",7.0,August 2024,"August 21, 2024",Standard Twin Room,3,Couple,8.1
The large breakfast room is full of wonderful food.The distance to easily experience the city is onl,none,A very convenient hotel for exploring the city.,9.0,July 2024,"August 20, 2024",Standard Double Room,1,Family,8.1
Wonderful,WiFi didn't work,,9.0,August 2024,"August 19, 2024",Standard Double Room,1,Couple,8.1
Great stay,The gym/saunas were not as expected,Very clean and nice bedroom. Great location! Everything went well,9.0,June 2024,"August 18, 2024",Standard Double Room,1,Couple,8.1
Great hotel within walking distance of everything in the Altstadt,"There wasn’t any air conditioning, but they did provide a fan. I would chose this hotel again when visiting Innsbruck.","I really enjoyed the hotels location and even with parking in public parking it was easy within easy walking distance. It was also the least expensive parking we paid on this trip which covered multiple countries.
Our reception was friendly and the entire staff was very nice to talk to.
Our room was clean and spacious which made for a comfortable stay.",9.0,August 2024,"August 18, 2024",Standard Double Room,1,Couple,8.1
Wonderful,,"Great location, comfortable!",9.0,August 2024,"August 17, 2024",Standard Double Room,1,Solo traveler,8.1
Solid hotel in central Innsbruck,"No AC. Breakfast could vary more for a 4-star hotel. Wi-fi did not work for most of the time. The bell across the street rings starting 7AM, not good in case you sleep longer.",Great location. Clean. Nice staff. Solid breakfast.,8.0,August 2024,"August 17, 2024",Standard Double Room,3,Solo traveler,8.1
Friendly staff and nice atmosphere,,"The staff was very friendly and let us check in early! Besides that, they have a great option for storing bagage!",8.0,August 2024,"August 16, 2024",Standard Double Room,1,Couple,8.1
Wonderful,Air condition did not work well.,,9.0,August 2024,"August 16, 2024",Standard Double Room,1,Couple,8.1
Facilities are very good and location is perfect.,,Location is perfect. Staff were very courteous and professional.,8.0,August 2024,"August 14, 2024",Standard Double Room,2,Couple,8.1
Central stay for the practical traveller,"No air conditioning, however has a fan","Clean and spacious room, free E bikes (good quality too) for use",9.0,August 2024,"August 11, 2024",Standard Double Room,1,Solo traveler,8.1
Really great!,,"Excellent location, friendly staff, great breakfast, also fitness room and sauna included free of charge.",9.0,August 2024,"August 10, 2024",Standard Double Room,1,Couple,8.1
Great location and modern and clean hotel. Very large room.,No air con so room was very hot.,Location and very clean room. Upgraded to junior suite which was great.,9.0,August 2024,"August 5, 2024",Standard Double Room,1,Couple,8.1
Good,Didn’t had any sandals in the rooms.,Breakfast,7.0,July 2024,"July 27, 2024",Standard Double Room,3,Couple,8.1
"Original style hotel in Innsbruck, make sure to request the AC room if you plan to visit in summer.","They did not have an AC in every room. My husband and I stayed in the non-AC room and it was very hot (30 C). The window was very small and only thing we had for this heat was a small fan. Luckily, my parents stayed in the AC room one and They said it was very comfortable.","The classic style hotel in perfect location, it was close to the main train station, tram and also tourist attraction street. The hotel’s cafe was also awesome. The environment was not noisy, we had a nice sleep.",7.0,June 2024,"July 27, 2024",Standard Triple Room,1,Couple,8.1
Good accomodattion in the center of the city!,,The position of the hotel it is great!,8.0,July 2024,"July 23, 2024",Standard Double Room,1,Family,8.1
Excellent hotel - if only it had air conditioning,It was a very hot day in Innsbruck and the room was also very hot with only a not very powerful fan and no air conditioning.,I was upgraded do the suite was huge. Excellent breakfast. Nice little sauna if it had been a cooler day.,8.0,July 2024,"July 19, 2024",Superior Double Room,1,Solo traveler,8.1
Wonderful,No ACs only tower fan which doesn't give adequate cooling,"Location, room, staff super",9.0,July 2024,"July 17, 2024",Standard Double Room,2,Family,8.1
Wonderful,,"This hotel is both modern and old combined in a good way. The room was big, clean and comfortable so no issues with that. The price was also good for a family room, given its location right in the middle of the tourist areas of Innsbruck. There's nearby parking in the many city carparks at c. €22 for 24 hours, so factor that into your choice of hotel if arriving by car. Innsbruck itself is lovely and I wish we'd spent for than one night here.",9.0,July 2024,"July 15, 2024",Standard Triple Room,1,Family,8.1
"Fantastic location, great staff, the hotel itself is a bit dated",The property is a bit dated.  The shower door wouldn’t close all the way. The soap dispenser in the bathroom was broken. No face cloths. No air conditioning.,"Fantastic location. Near everything… old town, the river, Nordkette Lift, train station.  The staff was exceptional, very friendly, very accommodating, Darius at the front desk was excellent… you could tell he really enjoyed what he does and was exceptional at it. We arrived early and they let us store luggage at the hotel and offered free e-bike usage. The beds were very comfortable.",8.0,July 2024,"July 15, 2024",Standard Twin Room,1,Group,8.1
Wonderful,,Free bike rental & very kind staff,9.0,July 2024,"July 12, 2024",Standard Double Room,4,Family,8.1
"Clean, friendly, best location",Wifi,Location,8.0,July 2024,"July 5, 2024",Standard Double Room,2,Couple,8.1
Good,"It doesn’t deserve to be a 4 star hotel. Internet didn’t work. No air condition in the room, so if it is a hot summer day or evening there is no solution.","Clean rooms, good breakfast and the location in the center.",7.0,July 2024,"July 1, 2024",Standard Double Room,1,Solo traveler,8.1
Perfect location and helpful reception staff. Loved Innsbruck and the surrounding area,Only downside (applies to other hotels too) is the lack os space and hooks in the bathroom.,"Location was fabulous. A quiet spot within minutes of old tow and transport. 
Reception staff (Darius) was exceptional! Knowledgeable and helpful.",9.0,June 2024,"June 23, 2024",Standard Double Room,3,Group,8.1
Wonderful,,"Clean, nice service and good location",9.0,June 2024,"June 20, 2024",Standard Double Room,2,Group,8.1
"Great hotel, nice central spot. Perfect for our short stay",,"Great hotel, nice central spot. Exactly what we were after!",9.0,June 2024,"June 17, 2024",Standard Triple Room,1,Family,8.1
Great location.,All good.,Reception staff were helpful and friendly. Breakfast was exceptional.,9.0,June 2024,"June 17, 2024",Standard Double Room,4,Couple,8.1
Over all good experience,Location,"Perfect location , very close to Main Street as we as to the cable car for going to the top of mountain…",9.0,June 2024,"June 16, 2024",Standard Triple Room,1,Family,8.1
Would stay there again,No AC,"Location, room size and reasonable value",9.0,June 2024,"June 10, 2024",Standard Double Room,1,Solo traveler,8.1
Wonderful,Nil,The breakfast and fresh carrot n apple juice which we make instantly,9.0,May 2024,"June 8, 2024",Standard Double Room,3,Couple,8.1
Good,We asked for  a quiet room but were on the first floor above a pedestrian plaza. We were continually woken  by groups of very noisy people going past. Very loud  music was coming from a nearby building one night.,Convenient location  and comfortable room.,7.0,May 2024,"June 1, 2024",Standard Double Room,2,Couple,8.1
Great Location- very friendly staff!,Parking was a little chaotic based on booking.com description & reality,Great central location & friendly staff,8.0,May 2024,"May 31, 2024",Standard Triple Room,2,Family,8.1
Good hotel if no wifi needed,"no wifi in some rooms,  very inconvenient.","Very clean and confortable rooms, central location",8.0,May 2024,"May 30, 2024",Standard Double Room,2,Solo traveler,8.1
Decent stay,"Tea, coffee qty provided in the room was inadequate and was not replenished during our stay. There was no creamer provided just in case one wanted to theirs with milk.  No sugar & no kettle in the room - had to ask for one.  Generally speaking house keeping lacked attention to detail.",,8.0,May 2024,"May 28, 2024",Superior Double Room,2,Couple,8.1
Very Good,,"The room was smaller than excepted. If you removed the internal cupboards, that would give ppl more room for suitcases. Also tea & coffee facilities would be good.",8.0,May 2024,"May 27, 2024",Standard Double Room,3,Couple,8.1
"A good, comfortable, convenient stop-over.",,Very convenient for the centre of town and the station. A nice quiet hotel with great breakfast.,9.0,May 2024,"May 22, 2024",Standard Twin Room,1,Couple,8.1
Our time there was too short,Not keen on having a shower above the bath tub. We prefer a stand alone shower and dont need bath tubs.,"We enjoyed everything, in particular staff. Matthias, who greeted us upon our arrival, was fantastic.",8.0,May 2024,"May 22, 2024",Superior Double Room,2,Couple,8.1
Great place to stay for a short visit to Innsbruck.,Dark wood decor in the room. Room was hot at night.,Staff and location. Shower was lovely and bed was very comfortable. Breakfast had great variety and was plentiful.,8.0,May 2024,"May 22, 2024",Standard Double Room,1,Couple,8.1
Very Good,,Helen at the front desk was very friendly and super helpful!,8.0,May 2024,"May 16, 2024",Standard Double Room,1,Group,8.1
"4 night business stay. Big, high ceilings room. Basic furnishings. Lovely bed.",Im not a fan of old pine furniture! Only 2 coffee pods for a 4 night stay unless I paid.,"Old style Austrian hotel. Smart uniforms, lots of wood etc",7.0,May 2024,"May 8, 2024",Superior Double Room,4,Solo traveler,8.1
Brief but very pleasant first visit to town,Nothing,Very friendly helpful staff. Great location,9.0,May 2024,"May 6, 2024",Standard Double Room,1,Couple,8.1
Wonderful,No view of the hills from the hotel although that's not really a big deal in Innsbruck as you pretty much get great views the moment you step out on the streets.,"140 years old Hotel! Very vintage vibes with a nice modern touch. Stay comes with free access to the infrared room, sauna, gym etc. We got a free upgrade to a bigger room too, so that was lovely. Staff was great and gave us some great recommendations on the city pass, local restaurants and tourist attractions etc.",9.0,April 2024,"May 3, 2024",Standard Double Room,2,Couple,8.1
Very Good,,The location is super 5 minute walk to the city and only 15 minute to main station,8.0,May 2024,"May 3, 2024",Standard Double Room,1,Couple,8.1
