Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Exceptional,,"Good service 

There is a free shuttle from and to the airport",10,June 2024,"June 18, 2024",Executive Double Room,1,Solo traveler,8.2
Excellent,N/A,Location,9.0,August 2024,"August 19, 2024",King Room,3,Couple,8.2
Comfort,Nothing,Excellent service,9.0,August 2024,"August 18, 2024",Standard Triple Room,1,Family,8.2
"Good location for layovers, breakfast. Make sure you check cleaningness as soon as you enter.","I rented two rooms, for the 2 there was a window in each room imposible to close, so all the cold breeze and plane noises entered during the night.
Also for one of the rooms, the bathroom was stinking of cigarette smoke. Since we arrived to late we didn't request to be moved to another room. But it kinda makes you wonder if the bathroom was cleaned in the first place.","It is very close to the airport, has a shuttle service every half hour.
Good breakfast options.
Comfortable beds
They can keep your luggage after your check out so you can tour around the city before you flight. Remember that traffic makes you take 45-60 mins to travel from Zona T to the Airport",8.0,August 2024,"August 16, 2024",Executive Twin Room,1,Family,8.2
Nice modern stay with restaurant close to the airport.,Not much. If you face the road you might have some noise from cars (the airplane noise is inevitable).,"Very modern hotel with great rooms, restaurant, excellent breakfast, clean, comfortable, really liked it. Close to the airport with free shuttle every 30 minutes.",9.0,August 2024,"August 12, 2024",Junior Suite,1,Solo traveler,8.2
Wonderful,,Very near to airport and shuttle service,9.0,August 2024,"August 10, 2024",Standard Quadruple Room,1,Group,8.2
Good,It was a bit dated and there really wasn't anything to do there,The location close to the airport,7.0,August 2024,"August 5, 2024",Junior Suite,2,Family,8.2
Convenient location,Restaurant was overpriced and poor- service was slow too. Shuttle was due to leave at 4:30 am but left earlier- there was no clear communication about this.,Location and shuttle service.,7.0,July 2024,"August 1, 2024",Junior Suite,1,Couple,8.2
Pleased with the facilities and kindness of the staff,"I had an early flight. I was in the breakfast area at 4:20 am,  it was already finished and not replenished so other guests missed breakfast as well when the staff had told us quick breakfast was available until 5am",The flexibility to check in ahead of time,8.0,July 2024,"July 28, 2024",Executive Twin Room,1,Solo traveler,8.2
Close to the airport and free shuttle,"For a hotel so close to the international airport you think that front desk staff speak also English. Unfortunately the lady that checked us in, did not speak English.","The hotel is close to the airport. There is a free transfer from and to the hotel from the airport, which is very nice. The breakfast was ok. Not super good, but nice to eat something before going on the plane.",8.0,June 2024,"July 24, 2024",King Room,1,Couple,8.2
