Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Exceptional,,"Very rich breakfast. A nice room, with the perfect view towards center. Very warm, and comfortable atmosphere. Very good location, close to city center.",10,February 2023,"February 8, 2023",Standard Double,3,Group,9.2
Very Good,,Everything ok. Very nice.,8.0,August 2024,"August 20, 2024",Standard Double,1,Couple,9.2
Best stay in Warsaw,Nothing,"Perfectly located in the center, near the tram, metro, bus stations.",10,August 2024,"August 18, 2024",Superior Double,2,Couple,9.2
Wonderful,,Close to railway station,9.0,July 2024,"August 18, 2024",Standard Twin Room,3,Family,9.2
Wonderful,,"Great hotel in the center. Excellent breakfast, very friendly staff.",9.0,June 2024,"August 18, 2024",Deluxe Single Room,3,Solo traveler,9.2
"Perfect location, close to everything",Shower over a bath and king size bed which was 2 beds put together,"The location was perfect.  The service was exceptional.  Close to everything including public transport, restaurants and supermarkets",8.0,August 2024,"August 14, 2024",Standard Double,2,Group,9.2
"good quality and price balance, no free parking near",breakfast,location,10,June 2024,"August 14, 2024",Family Room (2 Adults + 2 Children),3,Family,9.2
"Classy hotel, central location, great views",,"The facilities were modern and clean, late check out at noon, views were incredible, friendly hotel staff",10,August 2024,"August 13, 2024",Superior Double,1,Couple,9.2
perfect for city tour by foot !,the shower was a bit old the water stream not good enough,"Excellent location, very good breakfast, staff is polite",8.0,August 2024,"August 10, 2024",Standard Double,5,Couple,9.2
Exceptional,,Excellent breakfast!,10,July 2024,"August 9, 2024",Standard Double,1,Family,9.2
"Great experience, I will definitely stay there again!",,"Beautiful location and  very convenient, across from the bus that takes you to the airport and 5min walk to the train station. Other than that, beautiful hotel and great food.",10,July 2024,"August 7, 2024",Standard Single Room,1,Solo traveler,9.2
"Beautiful, comfortable hotel with nice staff and delicious breakfast",,Beautiful hotel,10,August 2024,"August 7, 2024",Standard Double,2,Group,9.2
A perfect stay in Warsaw!,,"This hotel was so nice, and a great first stop during our time in Poland! The lobby and common spaces were immaculate, and the bedroom was very well-appointed and comfortable. I especially loved that they provided robes and slippers. The hotel's breakfast is also phenomenal, with such a wide selection of hot and cold items that changes day to day.",10,June 2024,"August 5, 2024",Standard Double,2,Family,9.2
Great,,One of the quietest city hotel rooms ever,10,July 2024,"August 4, 2024",Standard Single Room,3,Solo traveler,9.2
Would highly recommend,"Nothing, everything was great",Loved the location,10,August 2024,"August 3, 2024",Superior Twin Room,3,Group,9.2
Great,Great,Great,10,August 2024,"August 3, 2024",Standard Double,3,Couple,9.2
Exceptional,,"Very good location, excellent accommodation",10,July 2024,"August 1, 2024",Standard Double,3,Couple,9.2
Great location. Beautiful building. Helpful staff.,,This is a great location to stay in Warsaw. Lots to see nearby and you're connected to the rest of the city by tram/metro. The hotel decor is beautiful. Very friendly staff. Thank you to Joanna for your help with arranging use of the massage room!,10,July 2024,"July 31, 2024",Superior Double,5,Couple,9.2
Exceptional,,All-around excellent experience and stay,10,June 2024,"July 31, 2024",Standard Single Room,1,Solo traveler,9.2
Very Good,"The reason i am giving this hotel such a low rating is because of three of your Staff members at the front desk, not caring themselves in a professional matter.",,8.0,July 2024,"July 31, 2024",Standard Double,1,Family,9.2
Delightful stay and looking forward to our next visit.,The family room sofa-bed was like a sofa bed. Not much of a fault but it’s the only thing I didn’t love.,"It’s a short walk from Central train station, the staff were lovely, buffet breakfast was good, dinner in the restaurant was great. Nespresso machine in the room. Bath big & plenty of hot water.",10,July 2024,"July 30, 2024",Family Room (2 Adults + 2 Children),1,Family,9.2
A comfortable Hotel in a superb location,"Nothing, we were happy with all aspects of our stay",The hotel is very well located close to the main station & a shopping centre,10,June 2024,"July 30, 2024",Standard Double,4,Couple,9.2
"Great location, excellent rooms, beautiful lobby.",More options for restaurant other than breakfast.,Location is perfect. Breakfasts were great. Rooms are spacious and comfortable. Good shower and beds.,10,July 2024,"July 28, 2024",Superior Twin Room,6,Family,9.2
Exceptional,,"perfect location, classic local atmosphere, very good breakfast and what a big room with the kids ❤️",10,July 2024,"July 26, 2024",Family Room (2 Adults + 2 Children),1,Family,9.2
Great Hotel for vacation,,"Excellent location, very big and comfortable room, very good breakfast.",9.0,July 2024,"July 26, 2024",Superior Twin Room,2,Family,9.2
Never disappoints. Great Warsaw hotel.,,Another great stay at Polonia Hotel. It never disappoints. I love the facilities and the central location. Their breakfast is a treat too.,10,July 2024,"July 25, 2024",Superior Double,1,Couple,9.2
Exceptional,"Had to Park our car at the Novotel parking garage , as none available at the Palace","Beautiful hotel, nice size rooms, fabulous breakfast. Close to transportation",10,July 2024,"July 20, 2024",Standard Double,2,Couple,9.2
Enjoyed our stay,Nothing,"Hotel was great,room was big and very nice and clean 
Breakfast was great ,very good location,wife enjoyed shopping near the hotel and very friendly helpful staff",10,July 2024,"July 20, 2024",Deluxe Double Room,1,Couple,9.2
Second time here and the hotel still amazing,Nothing,The staff are very warm and professional.  The room we choose has  excellent view of the center. Everything is amazing. 10/10.,10,July 2024,"July 19, 2024",Deluxe Double Room,3,Group,9.2
Exceptional,nothing!,everything!,10,July 2024,"July 19, 2024",Standard Double,1,Solo traveler,9.2
"Thanks to ""Polonia"" for the good memory",Bathroom & coffee/tea supplies could be upgraded to an upper level.,"We enjoyed our stay at Polonia very much, perfect location, outstanding historical building  to make us feel so good to walk into the front entrance... Love the high ceiling room with the super comfy beds.  Our room was a whisperly quiet as we wished, which situated towards the back courtyard.  Thanks to the Hotel Restaurant chef(s) for the healthy & testy dinners. The reception staff presented very professionally & were helpful, somewhat a bit uptight & serious, otherwise would be perfect!  We experienced many hospitality venues in Warsaw have  similar approach, maybe a unique ""Warsaw Style"" ! Thanks for the good memory & highly  recommend.",9.0,July 2024,"July 17, 2024",Standard Twin Room,3,Couple,9.2
Comfortable stay.,,"Top location, staff and nice breakfast.",10,June 2024,"July 13, 2024",Deluxe Single Room,10,Solo traveler,9.2
"Great hotel, very friendly staff especially at Reception. Everyone spoke good English. .",,Very central location with easy access to bus and tramway..,9.0,July 2024,"July 13, 2024",Deluxe Double Room,6,Couple,9.2
Wonderful,The bathroom was small,The View,9.0,July 2024,"July 13, 2024",Standard Single Room,1,Solo traveler,9.2
Exceptional,,Absolutely love the Polonia Pala ce. Even provided me with a cane when I had walking difficulty on arrival.,10,July 2024,"July 13, 2024",Standard Double,4,Solo traveler,9.2
A pleasant visit and stay at this lovely hotel,"For some reason, they serve warm water at breakfast, a bit odd I must say. no Ice available.","Staff willingness to help, the location of the hotel is really good with all possible public transport methods right outside the entrance, general atmosphere around the hotel.",9.0,July 2024,"July 12, 2024",Family Room (1 Adult + 2 Children),5,Family,9.2
Perfect location.,Very low pressure of water from the shower and the breakfast was not very good.,The fact that the location was fantastic and perfect for us.,8.0,July 2024,"July 9, 2024",Standard Twin Room,1,Couple,9.2
Exceptional,,Perfect place to stay in Warshaw!,10,May 2024,"July 9, 2024",Deluxe Double Room,2,Couple,9.2
"Great location, great value",Nothing really,The room was very big and very confortable. The staff was friendly. Great location.,9.0,July 2024,"July 8, 2024",Superior Twin Room,2,Family,9.2
"Great location, but overpriced.","Bar closed too early and quite poor value for money given the amount it costs.  No particular frills, something you would expect for the price I paid.",Great location and a quiet room.,8.0,July 2024,"July 8, 2024",Superior Double,4,Solo traveler,9.2
"I love this hotel and will return back, Especially the night Manager/Receptionist was so friendly.",Nothing significant,Overall all hotel facilities were excellent and exceeded my expectation. Would be there once again for sure. I love to stay in this hotel as it was also very convenient to location which we needed to travel during our business trip.,10,July 2024,"July 8, 2024",Superior Double,3,Group,9.2
Wonderful hotel in central Warsaw,,perfect location in the center of Warsaw. Staff was gracious and professional.,9.0,July 2024,"July 7, 2024",Standard Twin Room,2,Solo traveler,9.2
Great hotel in central location,Nothing,"Great central location, near to main train station. Hotel very clean and lovely architecture. Rooms great size and very confy. The food in the restaurant was tasty, staff very friendly and helpful.",10,June 2024,"July 3, 2024",Standard Double,2,Family,9.2
Excellent hotel in a very convenient location. We especially enjoyed the breakfast.,,Excellent hotel in a very convenient location. We especially enjoyed the breakfast. This was our second stay in Polonia and we enjoyed it every time.,10,July 2024,"July 2, 2024",Standard Twin Room,1,Couple,9.2
We always want to come back,"The absence of a proper restaurant
No parking space for hotel guests. Pure luck helped us.","Location, ambience, staff, old days charm, breakfast, lobby",8.0,June 2024,"July 1, 2024",Deluxe Double Room,2,Couple,9.2
Beautiful hotel in the heart of Warsaw.,Honestly cannot think of anything to say here - everything was great.,Great location within walking distance to the historic center.  The property is beautiful and the staff friendly and professional. Our room was spacious and very quiet at night.  We did not opt for the breakfast so cannot comment in that area.  In all - a very comfortable stay; we will stay here again on future visits to Warsaw.,10,June 2024,"July 1, 2024",Standard Double,2,Group,9.2
