Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
"When I return to Lisbon, I will come to this hotel again",,"Super Hotel: Staff very polite and friendly, Only about 5 minutes walk from Metro, then about 5 stations to the city centre. Breakfast was good. Room and all hotel was very clean. Upkeep of Hotel is  noticable.",10,February 2023,"February 16, 2023",Standard Double Room,4,Couple,8
Great starting point for exploring Lisbon.,Nothing in particular.,"Like all Ibis hotels, this one offers a pleasant stay within a budget. The room was neat and well-kept, and the breakfast offered a great variety of choices. The hotel offers secure parking for a fee and is conveniently located near a metro station, providing easy access to the center of Lisbon.",9.0,August 2024,"August 19, 2024",Standard Double Room,2,Family,8
Wonderful,Nothing comes to mind.,"The staff is friendly, and the layout of the room has a good work/desk area.",9.0,May 2024,"July 31, 2024",Standard Double Room,1,Solo traveler,8
Wonderful,low water pressure and RFID card issue,The location of the hotel is  very close may work site and İt has beautiful breakfast and very kind stuff,9.0,July 2024,"July 29, 2024",Standard Double Room,5,Group,8
"All good, I like long distance walking.",Distance from downtown,Staff are friendly. Felt safe and comfortable.,8.0,July 2024,"July 28, 2024",Standard Double Room,3,Solo traveler,8
Wonderful,"Not much to complain, I just think a fridge would be nice to have in all rooms as well as a power outlet by the bedside table.","Staff is really friendly and helpful. 
The Location is great because you aren't in a too touristy area but can easily get to the city centre via Metro.",9.0,July 2024,"July 27, 2024",Standard Double Room,4,Solo traveler,8
Value for money,The hotel should provide the guests with parking instructions before their arrival.,Location and on-site parking.,9.0,July 2024,"July 23, 2024",Standard Double Room,3,Couple,8
The hotel was very good. The room was clean and comfortable. The location is not far from the Metro,,"The hotel was very good. The room was clean and comfortable.
The location is not far from the Metro underground, but further from town than I realised when I booked the hotel.
But it is easy to get into town, and perhaps nicer that it is in a quieter location.",9.0,July 2024,"July 21, 2024",Standard Double Room,3,Solo traveler,8
I enjoyed everything,,everything was good,9.0,May 2024,"July 21, 2024",Double Room with Extra Bed,4,Group,8
Very goo,"Room was quite small and basic, but comfortable for the price",The price and location and the staff were excellent especially on the front desk,8.0,July 2024,"July 19, 2024",Standard Double Room,1,Solo traveler,8
Very Good,,everything was fine. nice parking and fast wifi,8.0,July 2024,"July 18, 2024",Standard Double Room,2,Couple,8
Very comfortable and nice,nil,"The room was nice and comfortable, the breakfast was great, and I enjoyed it.",9.0,July 2024,"July 15, 2024",Standard Twin Room,5,Group,8
Very pleasant and affordable,"The bar and food facilities didn't offer much choice later at night. Very few sens gluten options. No fridge to keep water and snacks cold.
The shower and bathroom floor seemed very slippery.","The breakfast was very good and value for money.
The location was fair. A small fridge would be useful. Staff were friendly and helpful.",8.0,July 2024,"July 10, 2024",Standard Double Room,8,Family,8
We had a nice stay!,"My only regret was paid parking :) But what to do - all spots outside were occupied. Anyway, no complains)","We booked this hotel for the first night in Lisbon before moving on to explore the country more and were very satisfied with our choice - hotel was 15mins drive from the airport but also close to the metro (that we used next day). Staff was very friendly and nice, checkin was pretty fast. Facilities at the hotel itself were great - water in the lobby for all guests, bar where one could have a drink and enjoy football, there was also another restaurant for breakfast but we didn't go there.
Room was just like in all Ibis Hotels around the world - comfortable beds, window with city view, TV, desk, etc... Bathroom with all amenities and shower.",9.0,June 2024,"June 28, 2024",Standard Double Room,1,Couple,8
Comfortable hotel with good amenities close to the airport,Noise from other guests going to their rooms,"Comfortable room, parking in front of hotel, easy walk to restaurants",9.0,June 2024,"June 28, 2024",Standard Twin Room,1,Couple,8
Very Good,It would have been nice to have a kettle and an ironing board/ iron in the room.,I loved how friendly and helpful the staff was.,8.0,June 2024,"June 26, 2024",Standard Double Room,4,Solo traveler,8
Very good value for money,,"Strategic position, perfect connection to the airport and the city center.
Small bedroom, but essential. Comfortable bed and no noise.",9.0,June 2024,"June 24, 2024",Standard Double Room,4,Couple,8
Good choice if you have to go to the Nova University.,"Food options for dinner could have been better.
Thankfully there are restaurants nearby that do also takeaway.
The scrambled eggs at breakfast could have been better too.","Clean, helpful staff and good breakfast. Close to Subway.",8.0,June 2024,"June 22, 2024",Standard Double Room,4,Solo traveler,8
Very Good,"The room only had a small window yet a huge curtain covering the wall and taking up space. I could not figure that out. Space was a limited resource in the room, so the counter space blocked by the curtain was annoying.","Location was close to two metro locations. It was a pleasant walk to the main shopping street and close to a couple grocery stores. Room always felt clean, staff were all very nice and helpful, and the included breakfast was great. We especially liked how late they served breakfast since we do not wake up early.",8.0,May 2024,"June 22, 2024",Standard Twin Room,5,Couple,8
Wonderful,Location is a bit far from everything and close to a very busy airport. The airplaine is landing just over the hotel every 15 min.,"Excellent quality for its money. 24/7 reception, every day cleaning, very good breakfast",9.0,June 2024,"June 14, 2024",Standard Double Room,3,Family,8
"Nice, clean, and comfortable",The shower was a bit slippery,Breakfast was wonderful in terms of quality and quantity.,9.0,June 2024,"June 12, 2024",Standard Twin Room,6,Family,8
"Perfect for a single night, not long term stay.","Room was pretty small, no frig.",Breakfast was excellent I thought. Bed was Very comfortable.,8.0,May 2024,"June 1, 2024",Standard Double Room,1,Couple,8
Good place worth its money,"We enjoyed everything, however if you are sensitive to noise or are afraid of aeroplanes, you may opt the area out. This is because of the landing route of aeroplanes in Lisbon -  every plane landing in Lisbon would literally fly over the hotel roof quote close to the ground. This causes noise. This calms however down at night. However, if you are fascinated by watching planes, this disadvantage can turn into advantage =)","The room: the room was as pictured - a big comfy single bed, a corner wardrobe, a desk and a mini sitting area at the corner, and a TV. The shower was good with a good temperature and great water flow. It was nothing fancy but very comfortable, and we did not need to spend much time indoors as Lisbon was magnificent and worth spending the whole day out. 
The hotel and breakfast: the staff was very welcoming, and the hotel was clean. The breakfast had a few cheese and salami varieties, eggs, yoghurt with toppings, pastries including pasteis de nata, juices, coffee, and fruits. It was again nothing fancy but a good offer to kick the day off. As a bonus, you could take coffee and tea in take-away cups =) 
As a pleasant bonus, the common ironing area is on a top floor =)
The hotel is located in a non-touristic zone, with a 5 min walk to the nearest metro and roughly 10 min walk to the bus and train station Sete Rios, which is very convenient if you are travelling to other cities in Portugal.",8.0,May 2024,"May 26, 2024",Standard Double Room,3,Couple,8
Wonderful,Small room.  Room service only serves microwaveable food.,Checkin/checkout,9.0,May 2024,"May 20, 2024",Standard Double Room,2,Couple,8
Ok,Breakfast,,9.0,May 2024,"May 15, 2024",Standard Double Room,6,Solo traveler,8
Wonderful,"You can hear planes flying low from/to the airport almost every 10 min, especially on the high floors.
It wasn`t much of a problem for us, but good to be ready for it","Big clean room and bathroom, a lot of furniture, good location (really close to the blue metro station 'Jardim zoologico' and Sete Rios train/bus station), which is perfect if you want to go to Sintra/Cabo da Roca and beaches near them.",9.0,May 2024,"May 15, 2024",Standard Double Room,3,Couple,8
Very Good,,Clean and practical.,8.0,May 2024,"May 6, 2024",Standard Double Room,3,Solo traveler,8
Good,"Neighbors talk in the hallways at night.
Someone knocking on doors at night.",The service and the staff were great.,7.0,May 2024,"May 5, 2024",Standard Twin Room,4,Family,8
Wonderful,,"Staff was very friendly, hotel clean, breakfast everything good and fresh. The hotel is close to train stations, metro stations from which you are 10 min away from center of the city.",9.0,May 2024,"May 3, 2024",Standard Double Room,5,Couple,8
Wonderful,"A bit noisy at times, especially if you like an open window as there is plane traffic.  Access to the hotel street is complicated as it is at the edge of an overpass and google repeatedly directed us at the back of the hotel (which meant a 5 minute walk and some steep stairs).","It is very close to the metro and a 10 minute ride to the center of Lisbon.  Very convenient if you travel by car, it has a big parking and there is plenty of street (paid) parking spots as well.  There is 24/7 bar and food service (good choice) but a bit on the pricey side.  There are some very good restaurants around.  The staff is very eager to assist.",9.0,March 2024,"April 23, 2024",Standard Double Room,3,Couple,8
Wonderful,,"A perfect hotel in a great location. 

A standard Ibis offering, I extended my stay and have already booked a return trip.

Highly recommended!",9.0,April 2024,"April 16, 2024",Standard Double Room,2,Solo traveler,8
Good location and place especially if you need to drive early morning to the airport.,,"Clean and exterior sound-proofed room, although it looked a bit old, close to the airport and close to a metro station (7 mins walk).
It is in a very safe area with many hotels, I also found parking available.",9.0,April 2024,"April 15, 2024",Standard Double Room,1,Family,8
Definitely our go-to hotel chain around Portugal,"We couldn't open the window and at the reception we were told nothing could be done until the morning (understandable since we were back to the hotel at about 2am) but the AC was also not working so the room got way too warm.
Also, in the elevators it says the restaurant runs 24/7, however when we asked about food options (at about 2am) the only thing available was toast. Again, understandable considering the time, but the info is a bit misleading. We were under the impression we could buy something at the hotel when back from a night out and that wasn't the case. Still, nothing too serious or damaging to the experience.","Amazing price-quality, the cleanliness of the room was great, the size of the room was great, bed was comfortable, staff made us feel welcome. Breakfast is really good for only 9,5€!",8.0,April 2024,"April 8, 2024",Standard Double Room,1,Couple,8
Amazing,,"Amazing customer service, very accommodating. The breakfast buffet was great for the price. Very clean and near metro. Would highly recommend!",8.0,April 2024,"April 8, 2024",Standard Double Room - Mobility Access,3,Group,8
Very nice for the cost. Lacks a bit in location.,,The breakfast was excellent and the fresh orange juice was a nice touch.,8.0,March 2024,"March 27, 2024",Standard Double Room,3,Group,8
Wonderful,"impossibility of opening the window (assumed security)  
in our room there was a smell from the closet - wardrobe, we couldn't keep things inside.  
We didn't have hand towels.","A lot of things.
staff friendly 
Clean room
Good breakfast...",9.0,March 2024,"March 24, 2024",Standard Double Room,4,Group,8
Everything was clean. The staff was super nice and they provided and excellent space to work.,,I liked the vibes of the place. Very nice hotel for you to go and work. Nice working area.,9.0,March 2024,"March 22, 2024",Standard Double Room,1,Couple,8
Wonderful,Nothing,"Staff were really friendly and welcoming!
Room was nice, quiet and the bed was comfy.",9.0,March 2024,"March 14, 2024",Standard Double Room,1,Solo traveler,8
Very Good,Nothing to add,Brakefast and staff,8.0,March 2024,"March 14, 2024",Standard Double Room - Mobility Access,1,Solo traveler,8
Comfortable and affordable,Shower pressure was very low,Option for breakfast,8.0,February 2024,"February 26, 2024",Standard Double Room,2,Solo traveler,8
Wonderful,"The air-conditioning seems not working. The room was very warm. So, it is necessary to open windows in the room to let fresh air come in.",,9.0,February 2024,"February 19, 2024",Standard Double Room,2,Group,8
A decent hotel in Lisbon at a quite competing price.,No major comments.,"Room very clean; tv channels quite adequate, a very good breakfast. Restaurant service is basic, but the Caldo Verde was very good.",8.0,February 2024,"February 18, 2024",Standard Double Room,2,Couple,8
Cheap comfy and cheerful,"It was ideal for us for one night,  not the most luxurious but absolutely fine at the same time. Bed was comfortable only one pillow each (I think there was an extra in the wardrobe to be fair) I would have liked a safe available but as I said for the price I can’t really fault it",Easy to get to the city with trams being very close to jardim zoologico line.,8.0,February 2024,"February 11, 2024",Standard Double Room,1,Couple,8
Very good,Room too hot in afternoon,Everything. But AC would have been perfect,8.0,February 2024,"February 4, 2024",Standard Twin Room,1,Couple,8
Wonderful,Power shower was very bad.,We liked the breakfast and the helping  and smiling people at the reception and kitchen.,9.0,January 2024,"January 28, 2024",Standard Twin Room,7,Couple,8
Cheap and cheerful.,"I was given a disabled / accessible room close to the lift. I was only staying one night, so maybe that's why I was in that room.
Breakfast was a bit simple.","The price was good. Cheap. The reception desk staff were friendly and spoke English really well.
The room was clean.",7.0,January 2024,"January 26, 2024",Standard Double Room - Mobility Access,1,Solo traveler,8
"Given the price and the location, I strongly recommend this hotel for short stays.",The bed could have been a little more comfortable. The mattress felt old and too soft.,"The breakfast was excellent, well beyond my expectations. Diverse and with lots of different choices, including fruit. The friendliness of the staff was a very welcome extra.",9.0,January 2024,"January 8, 2024",Standard Twin Room,1,Family,8
Satisfactory,,"Easy access to metro stations, bus stops, and good restaurants.",9.0,January 2024,"January 7, 2024",Standard Double Room,3,Family,8
Wonderful,,"Modern hotel, with a young and friendly team. The hotel is clean, and very good for those passing through, as it is close to the Sete Rios train and bus terminal. Good price/quality ratio.",9.0,December 2023,"January 3, 2024",Standard Double Room,1,Family,8
Ideal for a short stay and close to a Metro station and Sete Rios coach station,Small rooms,Clean and comfortable rooms. Helpful staff.,8.0,November 2023,"November 22, 2023",Standard Double Room - Mobility Access,1,Couple,8
Wonderful,,Very nice calm location but close to everything. Super clean hotel & rooms.,9.0,November 2023,"November 14, 2023",Standard Double Room,3,Solo traveler,8
Very Good,,Great breakfast. Staff was very helpful.,8.0,October 2023,"November 11, 2023",Standard Double Room,1,Couple,8
Good,Staff not very friendly! Breakfast not up to the mark. Deliveries not brought up to the room.,Room was decent. Good value for money.,7.0,November 2023,"November 10, 2023",Standard Double Room,5,Solo traveler,8
Very good hotel for a day or two to ex,Windows that could slightly open to let fresh air. A wider choice from your cafe.,Breakfast value for money. Staff very knowledgeable and helpful.,8.0,October 2023,"November 4, 2023",Standard Double Room,1,Couple,8
A good and practical choice for a cost effective short break in beautiful Lisbon.,The low pressure shower was disappointing (more  like home in Britain rather than the European norm) but that may have just been my room and nothing to rant to reception about.,Im quite happy staying with Ibis and this was no different. You know what you’re getting and it was clean.  The staff were super friendly and efficient. The location was convenient not in the centre of the city but about 10 minutes by metro from the main areas. The walk to the metro station is easy but quite lonely even during the day time. Its close to the airport so there is some flight noise but the advantage is that any car transfer doesn‘t involve crossing the city (which can be interesting during rush hours). For travellers who don’t need everything right in front of the door and are happy to jump on public transport this is a good location. There is a buffet style continental breakfast served til 12 noon nothing fancy but fine for setting yourself up for the day. Book it when you get there as I was much cheaper at the hotel than booking in advance.,8.0,October 2023,"October 27, 2023",Standard Double Room,2,Solo traveler,8
enjoyed our time in Lisbon,Breakfast was overpriced for what was available,"Ease of check in, clean, bar staff was great, nice patio area",9.0,October 2023,"October 24, 2023",Standard Double Room,3,Couple,8
Very Good,Decor felt a little bit dated.,Decent location; close to 2 metro stations. Few restaurants and shops near by.,8.0,October 2023,"October 22, 2023",Standard Double Room,4,Solo traveler,8
Great place to stay for a city trip.,"If inhale to mention something, I would say the small bench next to the bed. Just get a comfortable chair in the room.","It looks brand new, and all personnel is very friendly. I did not expect this as I was used to other iBIS hotels which were more basic. But this is defenitely worth going again.",9.0,October 2023,"October 17, 2023",Standard Double Room - Mobility Access,2,Couple,8
Very Good,,"Really great for a budget hotel. Clean, modern room with plenty of storage and a nice en-suite. The lobby and bar area feel very modern and new. The hotel is well-positioned and only a short (uphill) walk from Praça de Espanha metro station, making the whole of Lisbon very accessible from this location.",8.0,October 2023,"October 16, 2023",Standard Twin Room,2,Family,8
"For the airport, a good location, with local  restaurants nearby",,"Helpful, friendly  staff.",8.0,September 2023,"October 8, 2023",Standard Double Room,1,Solo traveler,8
Hotel & staff  & food all great. Location bad.,The location rough part of town. Sketchy people not comfortable walking around once dark.,"Excellent staff, very nice, clean hotel. Superb breakfast with lots of choices.",8.0,October 2023,"October 5, 2023",Standard Twin Room,2,Group,8
Really good stay in a great location but whole team need to be on board,The staff were mostly great but a few were less pleasant to deal with.  A pity,"Location close to metro was very convenient. Air conditioning was great, room was compact but clean and was well equipped. Good breakfast at reasonable cost",9.0,September 2023,"September 29, 2023",Standard Double Room,4,Group,8
Very Good,Nothing!,"We loved the variety of the breakfast, the staff was lovely and helpful, all in all it was a great experience.",8.0,September 2023,"September 21, 2023",Standard Twin Room,3,Group,8
All in all a good place to stay.,"Small bedroom
A bit noisy from planes.","The staff were amazing.
The breakfast was tasty and plentiful
Close to metro station to downtown",7.0,September 2023,"September 5, 2023",Standard Twin Room,5,Family,8
Very enjoyable 3 night stay. Basic but used as a base for sightseeing.,"We did have to change rooms; problem with flush on one of the toilets and no air conditioning, but no issues to change rooms.","Very reasonable, good location and clean throughout. Sheets and towels were replaced daily.",8.0,August 2023,"September 1, 2023",Standard Double Room,3,Family,8
Very Good,,"Parking for 7 cars in front of the hotel. On Sunday we were allowed to park in a nearby parking lot. On Monday morning, under the windshield, a surprise of 30 euros was waiting for us. 
There was a problem due to incorrect parking. They helped us solve it.",8.0,June 2023,"August 14, 2023",Standard Double Room,4,Couple,8
Overall I’ll give a 9/10 because it just keeps up to what they promise. They have got the main things with is: locke,"- Breakfast was not that great. Me and my husband payed 8.50 euros per person ( I think) for one day just to try it and it had croissants, bread, butter, ham, cheese and few other things like Pastel de Nata but it wasn’t that good. You have to make your own orange juice which I think was unhygienic as I saw people touching the spinning thing of the juicer with their hands. We did miss a good toast with sausage and bacon but, you know, it’s Portugal and this is not the culture, so it’s fine. Overall I’d give it a solid 6/10 for the breakfast.
- I wish they had more plugs in the rooms cause as far as I know there was just one extension with a couple plugs.
- The aircon could be stronger but it still sufficed and made us fresh in this hot august weather.
- Hairdryer could be better and stronger but it still worked.
- Wifi is good but not good if you need to attend a meeting when working remote.
- Didn’t have an iron in the bedroom but I’m pretty sure you can ask for it (I didn’t use it) and no mini fridge (which would have been really useful) but apparently you can store things in a fridge in the common areas upon request (I also didn’t check that).","- Staff very kind and helpful. We lost our keys once and forgot the keys inside another time and they took care of it in less than a minute.
- 24/7 bar and reception and it made us feel really safe whilst having a smoke outside, waiting for food delivery or waiting for an Uber.
- The location is in a really safe area (not that close to the city centre but you can easily get a 7 euro uber there).
- They have locks inside of the room that you can only lock from inside, good for solo travellers and girls specially that want to feel safer, no need to bring that extra locker.
- Bathroom, room, bed and bedding, everything super clean and they have got shampoo/conditioner, body wash and hand soap for you.
- Bed really comfy and not noisy
- They have got lockers if you need to keep your bag there if you check out but you only leave at night for example.
- walls are not that thin so you don’t really hear everyone.",9.0,August 2023,"August 14, 2023",Standard Double Room,6,Couple,8
Wonderful,,"Location was perfect, easy to access by car, close to metro which takes you quickly to the city.
For someone who travels with a dog; nice green areas near by hotel to walk around with dogs and
even a small dog park is located right behind the hotel!",9.0,August 2023,"August 14, 2023",Standard Twin Room,2,Group,8
Definitely coming back,I hope there is a small fridge in the room,"The location is at reasonable price, 15 mins car ride to airport so it’s convenient for travellers who has to catch an early flight. The room can suit two ppl with large luggages ^^ TV is new so we enjoyed sone TV time there. The bathroom is large, the room totally exceed my expectation
The staff here were so attentive! The basin in the bathroom seemed stuck so we called the reception to fix it. The housekeeping almost come up at once and they even cleaned the whole bathroom (not only the basin) after fixing it.",9.0,July 2023,"July 28, 2023",Standard Twin Room,3,Group,8
