Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Very nice stay!,,"Very helpful staff, nice hotel with a nice view, 7 minutes to the beach and a good restaurant. E- car charging. Tasty breakfast, egg dishes a la carte. Excellent massage!
Pool looks also very nice but didn't try as it was still cold.",10,March 2024,"March 12, 2024",Deluxe Double Room with Sea View,3,Couple,9.1
Exceptional,,great team and hotel!!,10,August 2024,"August 18, 2024",Duplex Room,8,Family,9.1
Wonderful,If you don’t have a car the location is not very convenient.,The rooms were amazing and the staff was very helpful!,9.0,August 2024,"August 16, 2024",King Room with Sea View,6,Couple,9.1
Would definitely recommend!,"Nothing to report, everything was great. Just make sure you do your research, as there are no restaurants nearby - we were aware of this in advance, so it wasn’t a problem. It was always a nice evening walk to the city centre.","Great, clean and quiet hotel. It’s located just a short walk from Praia de Porto Mós, which was our favourite beach in whole Lagos. Breakfast in the hotel is simple but really tasty, everything is fresh, the staff is attentive and friendly. Lovely pool with sun loungers and a bar, plenty of space for everyone and you could always find a spot. The bar staff were great, taking care of everyone, checking in and serving tasty drinks. The hotel is slightly away from the city centre, which was perfect for us, as we were looking for a place away from the city noise and crowds. 
When we were checking out and our flight home was late in the evening, we were able to leave our luggage and still use the pool and facilities which was amazing and we really appreciated it! Special shoutout to Amin from breakfast who was always chatting to us in the morning, and Jose (plus another young guy whose name we didn’t catch!) from bar staff, always putting a smile on our faces and making a great iced latte!",10,August 2024,"August 7, 2024",Twin Room,7,Couple,9.1
Exceptional,"Pool is very nice here, but pool service was a bit slow and ""clunky"" - ran out of a few items. But the staff was very sweet and I had a great Mojito at the pool bar!","We had the most amazing room with a huge balcony with hot tub! Breakfast was quite good and had a great latte/cappuccino machine. We originally had to leave early for an excursion, and realized breakfast was not served until after we had to leave. The manager made sure to have the breakfast staff prepare continental items and they brought pastries, milk, cereals, etc to our room the evening before. So nice of them! good location to Old Town Lagos - only a 5 minute Uber ride. We loved Old Town Lagos.",10,July 2024,"August 7, 2024",Superior Queen Room,2,Family,9.1
Lovely hotel in Lagos,"The pool bar could have had a wider menu. 
It is little far from Lagos old town - but we took taxis which were very affordable.","Beautiful hotel - stylishly decorated,  clean and modern. The staff were very friendly and helpful. The swimming pool was clean and the perfect cool temperature. We had a fantastic room on 2 levels with 2 x twin beds and a double bed. The breakfast was delicious with lots of fresh fruit, bread,  pastries, cake, fresh meat and cheese and eggs cooked to order. 
The hotel is a 10min walk to a vast, stunning beach with 2 restaurants (you need to book ahead).",9.0,August 2024,"August 4, 2024",Duplex Room,5,Family,9.1
Outstanding stay!,No hair conditioner but that is minor. Just calling it out so folks know to bring your own.,Excellent location close to Porto de Mos beach and quite central to the city center via car. Excellent reception staff who were helpful and kind! Outstanding staff at breakfast who were so lovely each morning! Comfortable beds. Lovely pool. Ample parking available. Amazing shower!,10,August 2024,"August 4, 2024",Deluxe Double Room with Balcony and Sea View,3,Family,9.1
Outstanding - we’d love to go back one day!,,"We loved our time at this hotel!! It was clean, modern, great pool, lots of breakfast options hot and cold but what really made it for us were the staff - from the first person we met on Reception (Joao) to Amin at breakfast (and the girls!) to Thiago and Jose at the bar, everyone was so helpful and kind. It really felt like a family run hotel and we never felt like we were just a number. The hotel is outside the main town of Lagos but we liked that as it was very peaceful. It was a 20-25 minute walk into the main town where there were lovely places to eat (in the old town). The hotel is very close to the sandy beaches too but in the end we preferred to swim in the pool - there was always a lounger free and because the hotel isn’t huge, the pool area was never packed. We were in room 11, which was above the reception and although it was essentially overlooking the small car park with the pool to the left, the view when you sat down on the balcony was out to the sea - perfect for a quiet early morning read!",10,July 2024,"August 1, 2024",Standard Queen Room,9,Couple,9.1
I would certainly stay again if I had the chance.,,Staff were really trying to help. Breakfast staff friendly smiling . Breakfast v nice. Bar staff again helpful . Reception staff even helped book activities and were hard working and patient. Hotel very clean and all staff took pride in that. Great hotel. Nice town.,10,July 2024,"August 1, 2024",Deluxe Double Room with Balcony and Sea View,7,Family,9.1
Would stay here again!,"It was a bit away from the sites, but not a problem with a car.","Secure covered parking, room was clean & comfortable, great bathroom, pool looked nice. What really set this place apart was the amazing breakfast buffet!",10,May 2024,"July 20, 2024",Deluxe Double Room with Balcony and Sea View,1,Couple,9.1
Wonderful,The food in the pool bar.,Very clean and comfortable. Good pool close to rooms. Short walk to beach.,9.0,July 2024,"July 20, 2024",Duplex Room,5,Family,9.1
"We really enjoyed our stay in the Atlantic Hotel and would definitely go back,","Only one unisex loo around pool area,  Pool bar music could get a little loud depending on who was manning the bar, so even listening to music with my earpods didn't block it out.  But most of the time it was at a reasonable level.  Also, Bathrooms off the hotel rooms have glass door and upper part of the wall separating bathroom/shower from the main bedroom is glass also, so privacy may be in issue for some.","Pool area was nice and quite with beds available at all times, staff were very friendly, everything was really nice.  Boutique Hotel feel, Rooms were nice and clean, bed was big and very comfy, aircon was great also.",8.0,July 2024,"July 18, 2024",King Room with Sea View,6,Couple,9.1
Great Hotel,Nothing,"Very comfortable, great staff, Hannah and Jacob at Pool Bar exceptional !",10,July 2024,"July 5, 2024",King Room with Pool View,1,Group,9.1
Wonderful stay,,"Wonderful! Location, staff rooms, facilities and breakfast!",10,July 2024,"July 3, 2024",Deluxe Double Room with Balcony and Sea View,4,Couple,9.1
Fantastic!,Nothing!,Everything!,10,July 2024,"July 2, 2024",Deluxe Double Room with Sea View,3,Group,9.1
Exceptional,Nothing,"Cleanliness & deco
Security 
Free parking 
Excellent customer service",10,June 2024,"July 1, 2024",Twin Room,4,Couple,9.1
Exceptional,None,All,10,June 2024,"June 28, 2024",Duplex Room,3,Group,9.1
Wonderful vacation,Nothing,"Breakfast, staff, room and beach was outstanding.",10,June 2024,"June 28, 2024",Deluxe Double Room with Sea View,9,Couple,9.1
Wonderful,Nothing,"Loved the hotel … the staff was warm and welcoming and every little detail was thought of . We stayed in the Duplex room and two bathrooms , 2 televisions were all very helpful with kids .
Lovely beach 5 mins walk away 
Will definitely come back",9.0,June 2024,"June 26, 2024",Duplex Room,4,Family,9.1
"Two night stay with friends and we enjoyed the hotel, pool, breakfast and the lovely town of Lagos. The room was spaciou",We liked everything !,The location was perfect for beach access or heading into town.,9.0,June 2024,"June 24, 2024",Deluxe Double Room with Balcony and Sea View,2,Group,9.1
Would have loved to stay longer wonderful place,,Staff exceptional extremely welcoming and helpful.  A lovely location as a little out of town but worthwhile walk along shoreline,10,June 2024,"June 24, 2024",Twin Room,2,Couple,9.1
Very Good,Bathroom was not in fully good comfort.,,8.0,June 2024,"June 24, 2024",Deluxe Double Room with Balcony and Sea View,3,Couple,9.1
Overall good,The side carpet next to the bed,I love the lobby its beautiful,10,June 2024,"June 23, 2024",Deluxe Double Room with Balcony and Sea View,3,Couple,9.1
Exceptional,Everything was excellent,The staff at reception were exceptional and recommended all the best things to do in Lagos. Thank you Samuel and Ellia.,10,June 2024,"June 18, 2024",Twin Room,5,Couple,9.1
Fantastic hotel.,The mocktail was so terrible I couldn’t drink it.,"Lovely comfy room which was clean and had a fantastic view. 
Breakfast was amazing with gluten free rolls and muffins. 
Staff were very pleasant.",9.0,June 2024,"June 7, 2024",Deluxe Double Room with Balcony and Sea View,1,Couple,9.1
Exceptional,,"Everything about this hotel exceeded our expectations, cannot recommend it enough! The staff was so helpful and friendly from the moment we checked in throughout our entire stay. The breakfast exceeded our expectations as well, as we weren’t sure what to expect and had stayed at a few hotels along our trip that included breakfast, but this was the best by far. The location worked perfect for us, although if you don’t have a car or a way to get into the town, it wouldn’t be ideal as walking would be too far. We will be back :)",10,May 2024,"June 7, 2024",Deluxe Double Room with Sea View,5,Couple,9.1
Great for a short stay in Lagos,"Like many other hotels in Portugal, the bathroom was lacking in amenities such as shampoo, conditioner, body lotion and tissues. Towel were also a bit on the small side and thinner.",Room and view were great. They were also very helpful with allowing us to take breakfast to go as we had to leave right as the breakfast room opened,9.0,June 2024,"June 6, 2024",Deluxe Double Room with Balcony and Sea View,1,Couple,9.1
Great staff and excellent facilities,,The staff was amazing! Very friendly and helpful. Short walk from a beautiful beach.,10,June 2024,"June 5, 2024",Deluxe Double Room with Balcony and Sea View,4,Couple,9.1
Highly recommended hotel,,"Excelent modern hotel. Perfect location. 10 minutes walk from the marvolous porto mos beach. And a few minutes drive from all Lagos' must visit places, beaches and restaurants. Spacious cozy room, and clean. Nice ocean view from the room. Nice hotel's pool. Very good breakfast. Great wellcoming and helpfull staff.",10,June 2024,"June 3, 2024",Deluxe Double Room with Sea View,2,Couple,9.1
"Perfect location, can walk to great beach sunset spot with two great restaurants, great pool bar with amazing bartender.",N/A,"Great location away from the busy city center, private gated property, with pool bar and great views",10,May 2024,"June 1, 2024",King Room with Sea View,3,Couple,9.1
You will love it here.,Pool was a little cooler than most people liked. Pool side drink service/tidying was a little lax.,Quiet. Clean. Beautifully designed and decorated. Great breakfast. Walkable to beach and a few restaurants.  Easy to get ride sharing to get you where you need to go. You can book activities here.,10,May 2024,"May 30, 2024",Deluxe Double Room with Balcony and Sea View,3,Couple,9.1
Exceptional,,The most gorgeous hotel we ever stayed at!,10,May 2024,"May 24, 2024",Deluxe Double Room with Balcony and Sea View,4,Couple,9.1
Will certainly return to this hotel,,"Breakfast was excellent,lots of variety and excellent waiting staff",10,May 2024,"May 24, 2024",King Room with Sea View,8,Couple,9.1
Very Good,,Good full english breakfast available.,8.0,May 2024,"May 22, 2024",Deluxe Double Room with Sea View,2,Couple,9.1
Wonderful,The hotel is a little far from everything to walk to but I realize there's nothing that can be done now. The first time I didn't realize we could order special egg dishes since there was no card on the table. The second day there was a card on the table we sat at.,Breakfast was good. We spent 3 weeks in Portugal and at 6 different hotels/Airbnbs. Lagos Atlantic Hotel was the best one we stayed at!,9.0,May 2024,"May 21, 2024",Deluxe Double Room with Balcony and Sea View,2,Couple,9.1
A perfect few days away and the hotel was better than I had hoped for.,Would have liked the pool to be a bit warmer! But otherwise all good.,"Our room was really lovely. I was with my 21 year old daughter and we were in room 303 which is separate from the main hotel, with a balcony with sun beds, table and chairs, overlooking the pool and with a sea view in the distance. We had twin beds, the fridge cooler was handy. It was all very clean. 
Breakfast was good with lovely fresh fruit too. My daughter is vegan and they offered extras choices for her.",9.0,May 2024,"May 20, 2024",King Room with Sea View,3,Family,9.1
Exceptional,Nothing . We wish we had booked more days here at Lagos Atlantic hotel!,Liked everything. Clean modern with friendly staff,10,May 2024,"May 18, 2024",Deluxe Double Room with Sea View,1,Couple,9.1
Very Good,Bed was a little uncomfortable as the mattress was worn,Great location and the staff was very accommodating,8.0,May 2024,"May 18, 2024",Deluxe Double Room with Balcony and Sea View,5,Couple,9.1
"The hotel was clean, close to the beach, the breakfast was good, and the staff was friendly ❣️",The door to our room was difficult to open and close and didn’t always lock—we just kept forgetting to let them know.,"The staff was amazing—they focused on our happiness and comfort. We married May 10, 2024 and came back to a towel display on the bed that looked like swans in love. Very sweet!",10,May 2024,"May 16, 2024",King Room with Sea View,4,Couple,9.1
Great hotel. It’s a pity it does not have a late bar. It closes at 10 pm.  Only breakfast available otherwise beautiful,Bar closes at 10 pm,"Very nice Hotel, I liked the boutique effect.",10,May 2024,"May 14, 2024",Deluxe Double Room with Balcony and Sea View,1,Couple,9.1
Beautiful Hotel,No complaints. It would be nice if pool was heated as the kids were dying to get in but so cold (stayed late April),"Small beautiful Hotel. Had a duplex room. Very spacious, spotlessly clean. Staff were so friendly and helpful. Would definitely stay here again.",9.0,April 2024,"May 9, 2024",Duplex Room,4,Family,9.1
A Dream!,I honestly can’t think of anything,"Close enough to the action but far enough away, I also felt secluded. 3-5 Euros for Uber to Old Towne. 5 mins walking too beautiful beach and 10-15 min walk to trails that lead too beaches and rock formations that will blow you away! The pool and bar area was also a vibe with great service!!!! The value for this hotel is amazing!!!",10,May 2024,"May 9, 2024",King Room with Sea View,3,Solo traveler,9.1
"We didn’t want to leave, superb find!",Nothing to dislike,"This small boutique hotel is fabulous, the staff so helpful and welcoming, we came from vale do lobo, a supposed 5 star resort to this little sanctuary which was far better! Daily housekeeping, fabulous breakfast, immaculate with great service, great location, 5 min walk to beach and 5 euro in a taxi to Lagos centre. Highly recommended and we will be back.",10,May 2024,"May 8, 2024",Deluxe Queen Room,2,Couple,9.1
Exceptional,nothing. we loved our experience,everything was perfect! the staff were all great and we’ll definitely come back here!,10,May 2024,"May 8, 2024",Duplex Room,6,Family,9.1
I would return to this hotel in an instant. It was perfectly appointed and located.,"I would have liked to have face towels available, as well as tissues.",Everything about this facility was great. The staff were friendly and helpful; the room was spacious and clean; the breakfast buffet was perfect; the pool area was lovely.,10,May 2024,"May 7, 2024",Deluxe Studio,3,Group,9.1
Wonderful,,"The staff was great n the hotel is very beautiful..A little far from the town.  A shuttle to n from would be nice.. the room where great, even though we didn't have a view.",9.0,May 2024,"May 5, 2024",Twin Room,1,Group,9.1
Wonderful,We ate around 9-10 AM and the breakfast options were limited. Improvements can be done in this area. Other than that everything  was amazing.,"The hotel is great. Definitely a summer vibe with pool, rooms with balcony and sea view. The staff was polite and friendly, we received a map at the reception and were explained all the attractions and the way to get there.",9.0,May 2024,"May 4, 2024",Deluxe Double Room with Balcony and Sea View,2,Couple,9.1
Would definitely stay there agsin.,The room was a little small.,Location and view is fantastic.,9.0,April 2024,"May 3, 2024",King Room with Sea View,1,Couple,9.1
DREAM VACATION PLACE!,,"Exceptional hotel! I traveled in April, so it's the start of the spring season.
I loved: 
1) the tasty breakfast and amazing staff which served us every morning with smiles and good energy (eggs, bread, feta cheese, cereal w oats, soya milk, vegetables, pastries, fresh fruits, juices, teas!)
2) our room no 202 (clean, spacious, modern, comfy beds, bathroom, superbe balcony w a nice view over the pool and sea)
3) the IMPECCABLE SERVICE OF THE STAFF, which makes this place STAND OUT!! The savoir-être of the staff is incredible, they are helpful in every way, AUTHENTICALLY hospitable, kind, smiling, always happy to serve you!
A wonderful getaway! If you can afford this place, book it, you won't regret it! 
With Love to all the Team of Atlantic Hotel! WE MISS YOU!!!",10,April 2024,"April 30, 2024",Deluxe Double Room with Balcony and Sea View,4,Couple,9.1
Exceptional,Nothing. It was perfect!,Excellent facilities and great service. Front desk employee Samuel was very friendly and helpful.,10,April 2024,"April 30, 2024",Deluxe Double Room with Balcony and Sea View,4,Couple,9.1
Wonderful,a bit further out of town than we realised. a good 30mins walk,lovely breakfast. Clean and relaxed hotel. Nice rooms,9.0,April 2024,"April 29, 2024",King Room with Pool View,2,Couple,9.1
The hotel staff were great with a great location.,,"The staff at the front desk were very helpful when we arrived. We also had great service at the pool bar. The location was near the beaches, which made it easy to see the sights.",10,April 2024,"April 29, 2024",Standard Queen Room,2,Family,9.1
Will return again for the fourth time.,Nothing,Staff. Location. Spotless clean. Breakfast. It was our third stay in 3 years. This time we visited in spring. Loved the serenity. The quietness. The smell of the blooming plants trees and flowers.,9.0,April 2024,"April 26, 2024",Duplex Room,6,Family,9.1
Perfect hotel near the beach in Lagos!,,A beautiful property near the beach. Rooms were spacious for our group of 4 - two levels each with their own bathrooms. Pool was relaxing with ample space and privacy along with the room. We wished we could have stayed longer!! Wonderful location!,10,April 2024,"April 24, 2024",Duplex Room,1,Group,9.1
Cute Boutique Hotel,We don't have anything we disliked. Everything was as expected and met our expectations.,"I stayed here with my children and we all loved the room(s): the layout, the bathroom (they liked the bidet), and that it had an upstairs with it's own separate balcony. Additionally, if we needed to we could use the sofa beds for additionally beds.",10,March 2024,"April 23, 2024",Duplex Room,4,Family,9.1
Reqlly enjoyed our stay. Ocean view room was a highlight,Pool was a little cool but everything else great,Location and proximity to beach,10,April 2024,"April 22, 2024",King Room with Sea View,2,Couple,9.1
Great stay in the Algarve,,Very friendly and helpful staff. Delicious breakfast buffet. Comfortable and clean room. Very nice shower. Free private parking at the hotel. Several beaches and city center nearby but you will need a car to get there.,10,April 2024,"April 21, 2024",Standard Queen Room,3,Couple,9.1
Great stay for family,,The hotel room is spacious and clean for a family of four with 2 young adults.  We were delighted with the view and the quiet atmosphere.  Staffs are friendly and professional.,9.0,April 2024,"April 14, 2024",Duplex Room,2,Family,9.1
Exceptional,,"Amazing view, nice pool, good breakfast. Staff was very friendly and helpful. Short walk from a beautiful beach",10,April 2024,"April 14, 2024",Superior Queen Room,2,Couple,9.1
Very nice!,The plumbing is a little funky. When the toilet is flushed it gurgles in the shower.,The staff and breakfast were great,9.0,April 2024,"April 12, 2024",Deluxe Double Room with Balcony and Sea View,4,Couple,9.1
Wonderful,no complaints.,The property is good value for the price. It wasn't right in town but everything was walkable or a short uber away.,9.0,February 2024,"April 11, 2024",Deluxe Double Room with Balcony and Sea View,7,Solo traveler,9.1
"One of the most comfortable and beautiful hotels, topped with fantastic service. Would gladly stay again!",Nothing at all.,"Stunning hotel with beautiful and spacious rooms, very kind and friendly staff and great facilities like the swimming pool, bar and restaurant for breakfast. We felt extremely taken care of here and the free parking was a big plus. Would highly recommend!!",10,April 2024,"April 10, 2024",King Room with Pool View,1,Family,9.1
value filled for family travellers,"Facilities of the gym is a little bit poor 
Bed and pillows for me personally not comfortable enough
Massage staff very friendly, but the technique not professional enough for the money.","Room is very clean
Staff are friendly 
Breakfast is good 
Direct room entrance to the swimming pool
Perfect with family travellers",9.0,April 2024,"April 7, 2024",Duplex Room,7,Family,9.1
Exceptional,,Everything.,10,March 2024,"April 4, 2024",Deluxe Queen Room,3,Couple,9.1
Wonderful,,"Very spacious, clean and good breakfast",9.0,March 2024,"April 3, 2024",Duplex Room,2,Family,9.1
Fantastic stay,No complaints,"We loved everything about this place! We were very sad that we couldn't stay longer. The location is excellent, parking was convenient,  breakfast was fantastic,  and the room was beautiful and comfortable! The staff was world class! We had the best time here and highly recommend this hotel. We will definitely plan on returning",10,March 2024,"April 1, 2024",King Room with Sea View,1,Couple,9.1
Beyond expectations!,,The hotel staff is amazing. Samuel was attentive to every request. He provide beyond 5 star service. We will return based on service.,10,March 2024,"April 1, 2024",Duplex Room,1,Family,9.1
"Friendly approachable staff, excellent facilities.",,"Excellent breakfast, excellent facilities and brilliant staff.",10,February 2024,"March 26, 2024",Deluxe Studio,2,Solo traveler,9.1
Great value for money and kind staff,,Rooms were very spacious and clean. Breakfast was good.,8.0,March 2024,"March 25, 2024",Deluxe Double Room with Balcony and Sea View,3,Solo traveler,9.1
Beautiful hotel in a good location,Pool wasn’t heated but otherwise everything was perfect,"Really beautiful room, the location could easily walk to the beach or do the Ponta da Piedade hike.

I saw some comments mentioning a sparse breakfast, I have to totally disagree with this. There was sausages, bacon , meats , cheeses breads, cereals, fruits, yogurt, pancakes, other desserts. Sure I’ve been to other hotels with more food but this was way more than we expected or needed.

Staff was super friendly, and were always smiling and waving at our baby

The shower water pressure was amazing m, possibly the best shower I have ever used.",10,March 2024,"March 24, 2024",Duplex Room,2,Family,9.1
Exceptional,The weather,Great service at reception and breakfast.,10,March 2024,"March 22, 2024",Twin Room,2,Couple,9.1
Enjoyable value for money stay,Some small minor things like no charger next to bed and no milk for coffee.,"Exceptional good value for money - great location in quite area, but close too beach. Very friendly staff.",8.0,March 2024,"March 19, 2024",Superior Queen Room,4,Couple,9.1
Exceptional,,"Very nice hotel with friendly staff, in a beautiful location.",10,March 2024,"March 18, 2024",Deluxe Double Room with Balcony and Sea View,1,Couple,9.1
Fabulous short break in a lovely hotel 😊,It would have been nice if the snack bar had been open in the evenings.,Breakfast and location really good 👍,10,March 2024,"March 16, 2024",King Room with Sea View,4,Couple,9.1
Beautiful view and facilities!,Everything was better than expected! The room was lovely and we had no complaints.,"The staff was wonderful, going above and beyond. Our view, the size of our balcony, and the hot tub were fabulous. The breakfast and the gym were also excellent.",10,March 2024,"March 8, 2024",Superior Queen Room,2,Family,9.1
"Would return, it was one of the liveliest hotels we've ever stayed in","Just a little bit out of town if you don't have a car but near the beach instead 
Breakfast service was a little patchy but I think this was because it was low season and only small amount if staff on duty","The room and all public areas are beautifully decorated 
Staff were lovely and very helpful 
Only 10 minute walk to the beach",10,February 2024,"March 7, 2024",Economy Twin Room,2,Couple,9.1
Wonderful,Breakfast could have a bit more variety,,9.0,March 2024,"March 2, 2024",Twin Room,1,Couple,9.1
The Lagos Atlantic Hotel is by far one of the best hotels I have stayed at.  I would recommend this hotel to anyone visi,Nothing,"Cleanliness, courteous staff,",10,February 2024,"March 2, 2024",King Room with Sea View,3,Couple,9.1
Best hotel stay ever,,"This was the best hotel stay I have ever had.  The quality and cleanliness of the building was exceptional , the staff were extremely helpful and would bend over backwards to make sure you were happy, the breakfast included was wonderful (loved being able to order from a menu along with the buffet) and the view was spectacular.  Last but not least was the comfort of the beds.  A very important feature!",10,February 2024,"February 29, 2024",Superior Queen Room,3,Family,9.1
