Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Exceptional,There's nothing I can say that I didn't like this was one of the best stays ever. Vastly better than the conventional Hotel,Accommodations and staff they were very helpful in the cabin was clean quiet and wonderful,10,December 2023,"December 17, 2023",Bungalow with Garden View,4,Solo traveler,8.8
Wonderful,Nothing.,Location and amenities were excellent. Appreciated the free shuttle service.,9.0,August 2024,"August 11, 2024",Queen Room with Two Queen Beds,1,Group,8.8
"Very fun place to stay at a reasonable price. Good location by the water, great food and ambience.","Pillows were so thick that I had to create my own out of towels! So, I would like more pillow options because some people like a flat pillow. Of course, I didn't call the front desk about this...so my fault using towels.","The breakfast, included with our stay, was great- so many options including polenta! fresh fruit, real eggs, large tables to meet and talk with other folks. I like the themed rooms and decor- some people didn't but I appreciated it and the humor. We took advantage of the free theater to watch a film about the aurora; and the library. Loved sitting out at night in a small garden, around a fire pit, tornado lamps caught my husband's eye. Lots of people were staying here but the expansive lobbies and outdoor sitting areas helped make it seem more intimate. Oh and the $1.50 ice cream was a treat.",9.0,August 2024,"August 10, 2024",King Room,2,Couple,8.8
Exceptional,Shower head/water pressure,Customer service.,10,August 2024,"August 10, 2024",King Room,1,Couple,8.8
Fantastic location with great staff,Nothing,The look was fantastic we only wish we could have stayed longer,10,August 2024,"August 6, 2024",King Room,1,Couple,8.8
"We had a lovely stay in a ""rustic"" cabin with modern conveniences",Everything we experienced was great.,"Cabin was super comfortable, larger fridge (not mini), large microwave, beautiful rustic atmosphere, restaurant on premises, free extensive breakfast buffet was yummy, staff very competent and friendly.",10,July 2024,"July 28, 2024",Bungalow with Garden View,1,Couple,8.8
Excellent stay! Would highly recommend,,Friendly close to everything,10,July 2024,"July 27, 2024",Bungalow with Garden View,1,Couple,8.8
Very Good,Internet wasn't strong enough in the cabins.,Loved the theming.  Easy to find.  Quick check in and friendly staff.,8.0,July 2024,"July 16, 2024",Bungalow with Garden View,1,Couple,8.8
Great for short stay,Breakfast buffet was not very good and location is far from other dining options.,"Grounds were nicely laid out, great views of the river.  Beautiful lobby and decent general store, rooms were a little small but comfortable.",8.0,July 2024,"July 12, 2024",Queen Room with Two Queen Beds,1,Group,8.8
Exceptional,,Awesome artwork and great breakfast!,10,July 2024,"July 10, 2024",King Room,1,Couple,8.8
A very enjoyable first visit to Fairbanks,,"Comfortable accommodation with friendly staff. 

Hotel shuttle available for transit to nearby attractions.",8.0,June 2024,"June 26, 2024",Queen Room with Two Queen Beds,1,Couple,8.8
Great place to stay!,Nothing,Location near the airport and the breakfast. The room was well laid out and comfortable. Staff were exceptional,10,April 2024,"June 12, 2024",King Room,1,Couple,8.8
Loved the entire experience,Nothing,Breakfast was amazing and so was the staff,10,June 2024,"June 9, 2024",Queen Room with Two Queen Beds,2,Family,8.8
Will return,,Great amenities! Lovely staff,10,May 2024,"June 2, 2024",King Room,1,Couple,8.8
"Comfortable, roomy with easy access to highway & was quiet.",The room was a bit warm.  Opened a window to cool it down.  That worked just fine.  No ice on 2nd floor but elevator was reasonably prompt when called.,"Breakfast was fine. Female attendant ( with point tail) was SUPURB!  Very quick & efficient clearing tables, answering question & very cheerful & friendly. It was easy to come & go while we were there.  Everyone was friendly, knowledgeable very professional in their service to the guests.  Ice cream was a good idea, if a bit pricey.",9.0,May 2024,"May 31, 2024",Queen Room with Two Queen Beds,1,Couple,8.8
