Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Beautiful centrally located by hotel,Couldn't think of anything.,The location was so perfect - literally right next to the central bus station (connecting via the mall).,10,January 2023,"March 15, 2023",Cozy Small Room,2,Solo traveler,8.3
Best location in town,,"Best location in town, steps away from the airport train and the train station in general. Great rooms, friendly staff and amazing spa",9.0,August 2024,"August 20, 2024",Superior Room,1,Solo traveler,8.3
Wonderful,,"Perfect location.
Clean rooms.",9.0,August 2024,"August 20, 2024",Cozy Small Room,2,Family,8.3
Wonderful,,Price value balance was good,9.0,August 2024,"August 19, 2024",Cozy Small Room,2,Solo traveler,8.3
"Good hotel very close to the station, public transportation and old town.","Careful about the location of the parking : it is on the back of the hotel, not easy to find. Reco: follow the address in the parking booking message and that works Waze.",Good location on top of the railway station and very central. Perfect to have a parking just below - don’t forget to book it in advance as it is quite small!,9.0,August 2024,"August 17, 2024",Cozy Small Room,2,Family,8.3
Great hotel near central station and city highlights.,They charge to use the pool. No option for a coffee and light breakfast just a full on buffet which was very expensive.,Right beside central train station. Close to walk to palace and old town. Restaurants in abundance nearby. Best gym of any hotel I’ve stayed in.,9.0,August 2024,"August 17, 2024",Cozy Small Room,2,Couple,8.3
Comfortable and convenient in terms of location!,Our view was a building about 3 meter away. Not very inspiring.,"It was very comfy. Nice beds, great shower. Very well equipped gym!",8.0,August 2024,"August 12, 2024",Standard Room,2,Group,8.3
Good value for the central location and comfortness,I was not expecting the use of pool and sauna required extra fee. Usually it's included in the room rate.,"Most of the budget-friendly hotels in Stockholm are without windows. We topped up a bit more for this hotel and we were pleased that we had done it. It is just a short walk from the Arlanda Express and metro station, and very close to the shopping area and seafront. Room is comfy and clean.",9.0,August 2024,"August 10, 2024",Superior Room,3,Couple,8.3
Perfect for touring Stockholm.,"The room was very clean, quiet and housekeeping was not intrusive, however it was small and had very little wardrobe space or place for suitcases and no drawers. The bathroom was also small.","Hotel is modern , vibrant and well laid out with a big lounging space. The breakfast area was in a large airy courtyard with a lot of natural light  and available was lots of fresh tasty choices. It’s also in a perfect location for sightseeing, the Old Town,restaurants, shopping,the pedestrian street and train station",9.0,August 2024,"August 9, 2024",Superior Room with City View,4,Couple,8.3
The location and hotel facilities were great - the staff were even better,,Great location - Fisk and the Skybar were great,9.0,August 2024,"August 8, 2024",Cozy Small Room,2,Solo traveler,8.3
Wonderful,The swimming pool is not a swimming pool biz a children’s playground. Anyway it has a nice sauna and some fittness area,"The location was perfect for all city tour and it had nice view from the skybar to the water  and city. Many restaurants are available nearby. Its just 100m appr. from central station. 
The breakfast was perfect, delicious and very variant. 
The hotel itself is nicely decorated. 
The personal was very polite and professional.",9.0,August 2024,"August 7, 2024",Standard Room,4,Family,8.3
