Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Exceptional,The room was so spacious,"The two staffs were so caring HARI AND SHARK, they were so helpful and have customer friendships",10,June 2024,"June 22, 2024",Double Room (No Windows),1,Couple,5.8
Fair,The duty manager his name is Mike very rude staff,"There is a a reception staff which she was very polite and she helped with checking in, she is an old lady I didn't get her name",5.0,August 2024,"August 19, 2024",Double Room (No Windows),1,Solo traveler,5.8
No sleep,The room was hotter than hell. Very uncomfortable night. A fan was provided but this just circulated warm air. The built in AC was useless. No sleep for either of us!,Fast check in. Friendly staff.,6.0,August 2024,"August 19, 2024",Twin Room (No Windows),1,Family,5.8
Pleasant,"Room was very warm , almost unbreathable",Good location and friendly staff,6.0,August 2024,"August 18, 2024",Double Room (No Windows),2,Couple,5.8
Location good but that's where it ends,"The room was very warm ,we where in room 211 it had no windows and no air-conditioning, so it was very uncomfortably warm ,couldn't sleep much",The location to everything was great,6.0,August 2024,"August 18, 2024",Twin Room (No Windows),2,Family,5.8
Good,There should be messages sent to guest before arrival me and my friend arrive with our children. Our children do not have our surname as they have there dads. We had to call home to get there passport sent to us then when we did that they wanted our childrens fathers to email to say they have us permission to take our children to a hotel. If all guest were told before hand we could have had everything sent over before us arriving and having to deal with this having our children worried about were we are going to stay if we couldnt get through to there dads to send a email,Central to everything,7.0,August 2024,"August 18, 2024",Family Room (2 Adults + 2 Children),1,Family,5.8
Pleasant,The staff is extremely disrespectful and racist,Location and cleanliness of hotel,6.0,August 2024,"August 16, 2024",Twin Room (No Windows),2,Solo traveler,5.8
Pleasant,"Breakfast was awful, cold within seconds, poor stock quality",Size of room was good and staff friendly,6.0,August 2024,"August 12, 2024",Double Room,1,Couple,5.8
Pleasant,"Too hot even with the door open, the heating seemed to be on constantly & no way to turn it off",Location,6.0,August 2024,"August 12, 2024",Double Room (No Windows),1,Couple,5.8
Pleasant,Pillars are huge beds are small,"Good bar, rooms are decent, great location, very colourful patrons very cheap",6.0,August 2024,"August 12, 2024",Twin Room (No Windows),2,Family,5.8
Fair,It was about 35 celcius in the room with no window and tje aircon didn't work. We were boiling and couldn't wait to leave in the morning.,The staff were very nice and helpful. And it was clean.,5.0,August 2024,"August 11, 2024",Twin Room (No Windows),1,Family,5.8
Pleasant,Lamps didn't work in my room,"Nice staff, room temperature was warm
Security was good",6.0,August 2024,"August 9, 2024",Double Room (No Windows),1,Couple,5.8
Pleasant,"First room I was given stunk heavily (and I mean *heavily*) of weed; second room on another floor was much better (and much cleaner with no smells), hence believe they hadn't got round to cleaning the initial room provided.",Excellent location just outside of Piccadilly Gardens.,6.0,July 2024,"August 9, 2024",Twin Room (No Windows),1,Group,5.8
You get what you pay for,"Room was incredibly warm, no AC. Just one little plug in fan",Great loco,5.0,August 2024,"August 8, 2024",Twin Room (No Windows),1,Group,5.8
A warm stay!,The hotel does not have air conditioning and the room they gave us had no windows and it was literally hell sleeping there.,The staff is very friendly and the ubication It is close to everything. The beds are comfortable and the rooms clean.,7.0,August 2024,"August 7, 2024",Double Room (No Windows),2,Couple,5.8
"Our stay was comfortable and enjoyable ,the staff was accommodating and very pleasant.","The drinks at the bar could be  a little more attractive eg a little lemon, cherry mint , an umbrella .","The breakfast was a typical english breakfast, which was advertised. It was a good breakfast and a good location.",7.0,July 2024,"August 4, 2024",Double Room (No Windows),2,Group,5.8
Good for stag do,Rooms were basic and did a job. Went for a stag do and it was ok for that. If you want to spend any time sober in the room maybe try somewhere else,Location was good,5.0,July 2024,"August 3, 2024",Triple Room,1,Group,5.8
Pleasant,,They should check their washroom shower because it’s not working and everything is good but just about the shower shower is not working properly maybe it’s broke that’s why so they should check it and fix it,6.0,July 2024,"August 1, 2024",Double Room,1,Couple,5.8
