Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Everything was amazing except a very minor weird situation,"For some reason, even if you put ""do not disturb"" notice on the door, people who are working in hotel just knock the door couple of times and then open it if you don't answer. Maybe something got mixed up on their end because as soon as they saw me, they apologized. I have stayed 6 nights, and it happened twice to me.","From staff to location to the restaurant they are ordering meals, everything is amazing. I cannot suggest any better place for this price range.

The scenery was amazing, everyone was really helpful. They are asking to clean (vacuum cleaning) the room everyday and they change all the sheets, towels etc every 3 days.

The restaurant just next to it has amazing food. Hotel has an agreement with them so if you order food, it will come from the same restaurant.",10,October 2022,"October 15, 2022",Executive Double Room,6,Couple,9
Really enjoyably and comfortable.,,We really enjoyed out stay at select hotel. The room was lovely and clean and very comfortable. The Reception staff were really friendly and helpful. The location of the hotel was lovely and so easy to find from the Metro.,10,August 2024,"August 8, 2024",Executive Double Room,3,Couple,9
"Fantastic 3 night stay during the Olympics, will definitely be back to this hotel.",Everything was excellent,"This hotel is an excellent choice in the beautiful Saint Germain area of Paris and just on the doorstep of Jardin du Luxembourg.  Short walk to the Seine & Louvre Museum. There are 4 metro stations less than a 5 minute walk, making the hotel very well connected to reach anywhere in Paris. 
The staff were incredibly helpful and always had smiles on their faces. 
Lots of fabulous places to eat and grab drinks nearby.
On arrival we had refreshing drinks with cookies, while the hotel staff placed our bags in our room for us. 
Our room was upgraded free of charge. Bedroom was very comfortable, spacious with rainfall shower and Nuxe Paris toiletries were a fabulous treat. Air conditioning was excellent keeping our room lovely and cool while temperatures soared in Paris.",10,August 2024,"August 7, 2024",Standard Double Room with Winter Garden View,3,Family,9
Wonderful,,"Location, staff (Laurent) greeted us with enthusiasm, very friendly and helpful. He is an asset to the hotel. We love our stay at Select!",9.0,July 2024,"August 2, 2024",Suite with Winter Garden View,1,Couple,9
"Very nice, quaint, clean and well decorated hotel in an excellent location with a very friendly and helpful staff.",The A/C wouldn’t get cold,"Location, decor",9.0,August 2024,"August 1, 2024",Standard Double Room with Winter Garden View,2,Solo traveler,9
Top!,-,Staff,10,July 2024,"August 1, 2024",Standard Double Room with Winter Garden View,2,Solo traveler,9
Wonderful,Nothing,Excellent location right next to beautiful Sorbonne university and a walking distance to Luxembourg Garden.,9.0,July 2024,"July 30, 2024",Small Double Room with Winter Garden View,2,Couple,9
Superb Location Excellent Stay,Replace  all the carpeting  in the rooms with wooden flooring and eliminated all the scents /fragrances that overwhelm the guests upon entering and wherever present .Many guests do have allergies to fragrances and they can be seen by guests as a way a hotel tries to disguise  unpleasant scents. Thank you,"Location is excellent .All the hotel assistance/helpers and front desk staff did all they could to make your stay the best in Paris. Laurent and Maria  were superb , professional , knowledgeable , kind and always willing and able  to assist the  guest in whatever way possible. I will definitely recommend  Hotel Select  in Paris and it will be my return hotel next time . Thank you !",10,July 2024,"July 24, 2024",Small Double Room with Winter Garden View,4,Solo traveler,9
"Amazing service, location, loved all the little extras and cosy areas to chill in down in the foyer",nothing,Location and staff where amazing,10,July 2024,"July 22, 2024",Executive Double Room,3,Family,9
Paris was fantastic would definitely return and use this hotel,,Perfect location for site seeing all major sites within walking distance. Great selection of restaurants and bars nearby. Staff exceptionally friendly and helpful.,10,July 2024,"July 18, 2024",Deluxe Double  with Winter Garden View,2,Couple,9
