Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Close of everything the best localization ever,"A lot of starts … And all so Huge so high😩
if you have problems in your legs or backs ask them to use the first floor .","The property was so close of everything is famous in Toronto, the individual room has one good size and everything works very well.",10,May 2024,"May 12, 2024",Deluxe Queen Room,2,Solo traveler,7.7
Wonderful,Bring my heavy luggage to the second floor 🙃,The bed,9.0,August 2024,"August 19, 2024",Bed in 8-Bed Female Dormitory Room,1,Solo traveler,7.7
Good value for downtown,Breakfast is very basic. Not all the facilities are updated.,Very well located!.,7.0,August 2024,"August 18, 2024",Bed in 6-Bed Mixed Dormitory Room,1,Solo traveler,7.7
Nice hostel. Easy to get there and well equipped!,"Breakfast time was a bit short (8-10 am). We  went there at 9 am and wanted to eat cereals but milk was empty. So we asked if there's more milk but they said no and didn't refill it. So we put water in the already made cereal bowl instead...
Apart from that the staff was friendly.","Close to city center. you can easily walk from Billy Bishop airport to the hostel within 30 minutes. 
Very friendly staff.
Nice room with curtains on the bed and own bathroom. normal power plugs for each bed (without USB plug)
Breakfast was good. They had bananas,apples,bread,cereals,butter,peanut butter,jam. Also tea + coffee the whole day. 
Well equipped kitchen.",8.0,August 2024,"August 18, 2024",Bed in 4-Bed Mixed Dormitory Room,2,Solo traveler,7.7
Good,Kitchen closer at 11pm,Nice staff nice place,7.0,August 2024,"August 18, 2024",Bed in 6-Bed Mixed Dormitory Room,1,Group,7.7
Ideal for first timers in Toronto.,"The air conditioning wasn’t working properly. 
There were a lot of tents opposite the hostel, and felt a bit uncomfortable walking around at night time.",Location was perfect. Amenities in the room above expectations,8.0,August 2024,"August 13, 2024",Queen Room,3,Group,7.7
Nice stay in Toronto,"The breakfast is incredibly basic, however it's free so no complaints. There isn't really a social atmosphere in this hostel - so if you're travelling alone you might want to think of another option but overall this place is really good.","The beds are super comfy and the hostel incredibly clean. I loved the curtains on the beds for privacy - they also really help in having extra sleep as blocks out light etc. Plus the location is really good, close to the bluejays stadium, aquarium, CN Tower.",8.0,August 2024,"August 12, 2024",Bed in 8-Bed Female Dormitory Room,1,Solo traveler,7.7
Nice place to stay in downtown Toronto,,"Nice place to stay in downtown Toronto. Comfortable bed, with curtains for a sense of privacy. Decent breakfast. Nice staff.",8.0,August 2024,"August 11, 2024",Bed in 6-Bed Mixed Dormitory Room,1,Solo traveler,7.7
Not the worst but could be better,They charged extra on an arrival day. There is homeless people camping in the park right in front of it. And the toilet broke down twice in 4 days as it was never properly fixed.,Very clise to all amenities. Comfy beds.,7.0,August 2024,"August 11, 2024",Bed in 4-Bed Mixed Dormitory Room,5,Solo traveler,7.7
Good value for money in a central location,Room a bit dark but only due to privacy film on window. Mattress was a bit too soft for personal preference - not a deal breaker,Good breakfast selection. Room was simple but very clean. Appreciated the security of the door lock combinations,8.0,August 2024,"August 9, 2024",Deluxe Queen Room,3,Solo traveler,7.7
"Convenient location, cool air conditioning, cozy beds, grumpy staff, overpriced.",The stairs suck and one of the staff always kind of seemed annoyed whenever I would interact with him - Not the most friendly. Feels like the dorm beds are about $10-20/night overpriced.,"Location was great, dorm bunks were comfortable and cozy. Air conditioning!",7.0,August 2024,"August 6, 2024",Bed in 6-Bed Mixed Dormitory Room,1,Solo traveler,7.7
"Old school charm with a fresh face and clean linens, with welcoming bilingual hosts. Very pleasant.",,Old school charm with a fresh face and clean linens.,8.0,August 2024,"August 6, 2024",Bed in 6-Bed Mixed Dormitory Room,1,Solo traveler,7.7
Conveniently comfortable,Nothing really,Central location and complimentary breakfast,7.0,July 2024,"August 5, 2024",Bed in 6-Bed Mixed Dormitory Room,2,Solo traveler,7.7
Very Good,,"Great location
Easy to navigate and clean for a night's stay",8.0,August 2024,"August 1, 2024",Bed in 14 Bed Female Dormitory Room,1,Solo traveler,7.7
Thanks for a great stay!,,Good location. Rooms were nice. Warm showers.,9.0,July 2024,"July 29, 2024",Bed in 6-Bed Mixed Dormitory Room,1,Couple,7.7
Good,"Just set your expectations that this is a hostel and not a hotel. While it was acheaper option, the room was a bit dated but the room was there to put our head down and freshen up.",Close to everything and walking distance to downtown Toronto. Bed was comfortable and had great facilities for a hostel.,7.0,July 2024,"July 29, 2024",Queen Room,2,Couple,7.7
"Best ho(s)tel to go if you want to be down town and spending money on other things, which you are amidst","The bearded front desk guy could use some love and p.a, he is rather somber. I had room 18 which two stairs up and misses the desk and comfy chair that room 11 has, the room shown as the deluxe room","Location, location, location and the prize",8.0,July 2024,"July 25, 2024",Deluxe Queen Room,5,Solo traveler,7.7
"Fantastic location, great value","Musty smell in our room, although I realize it's an older building","Great location, great staff, easy check-in, good communication",8.0,July 2024,"July 25, 2024",Deluxe Queen Room,1,Couple,7.7
Friendly staff and a comfortable room,"The room was very clean apart from one issue which I have already discussed with the property (I imagine  it was an oversight, everything else was very clean).",This was a good budget option in downtown Toronto. The room was a little nicer than I expected. The bed was comfortable and the staff were very friendly.,8.0,July 2024,"July 23, 2024",Queen Room,1,Solo traveler,7.7
Good,My flight was delayed so I had to pay a fee for checking in after 9pm… only a few minutes and the staff were already there.. bit of a rip off!,"Nice, clean and cosy rooms. Great location!",7.0,April 2024,"July 22, 2024",Bed in 4-Bed Mixed Dormitory Room,3,Solo traveler,7.7
