Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
"Really cool, quirky hotel.",Everything was great.,"Awesome quirky hotel! Great social lobby with unique decor. Great breakfast buffet and bar, really comfortable bed. The room, although cozy, was laid out very well. Sensible placement of plugs, lights etc. I keep looking in every nook and cranny to see what other cool things were hidden away. We really enjoyed our stay. I will be seeking out CitizenM hotels around the world from now on.",10,July 2023,"July 31, 2023",King Room,1,Family,9
BACK FOR SURE,Norhing,"We received a very warm welcome with positive vibes from the staff.
The room is perfect and fully stuffed.
Position also very god not so far from all the attractions.",10,August 2024,"August 18, 2024",King Room,1,Couple,9
A very pocket friendly and excellent accommodation near Bukit Bintang,Nothing to dislike here.,"Located southwest of Bukit Bintang's central area, this property is 10 minutes from popular spots like Jalan Alor Food Street, Art Street, Times Square, etc. There is a convenience store and a supermarket with an ATM next to the hotel building, and grabbing a taxi with the Grab app is never an issue.
The bed was super comfortable and the pop interiors of this hotel are impressive. The hotel is super clean and the breakfast spread was just right. We arrived at 0200AM in the morning and did not have any problems thanks to the 24-hour reception.
The checkout is also very fast and smooth.

You cannot enter the hotel without your room key card after 2400, which is a good security measure.",9.0,August 2024,"August 14, 2024",King Room,3,Couple,9
I would stay there again.,None,"An amazing small hotel. Clean and comfortable. 
2 mn walk to the food street.",9.0,August 2024,"August 13, 2024",King Room,2,Couple,9
Best sleep.,Would be nice to have normal colour lights. The different lights was hard to live with. Also Ipad took a long time to load which was hard when I needed to turn the lights on straight away.,The bed was so comfy! Location on town was very convenient.,10,August 2024,"August 12, 2024",King Room,1,Family,9
Exceptional,,"I loved everything about this hotel! You can control everything using a small Ipad, from the windows, the LED and television! If you are a Digital Nomad/Remote Worker, you will absolutely fall in love with this place! The internet connection is excellent and there is a shared space where you can meet other remote workers. For a hotel this affordable, it ultimately exceeded my expectations. I would give this hotel a rating of 11 if the website lets me to!",10,May 2024,"August 12, 2024",King Room,3,Solo traveler,9
Comfortable stay in a good location,"I wish that the light control was a little bit more fine-grained (i.e. can turn off only specific lamps through the app).
Storage space wouldn't be enough for two people with two large luggage cases.","Very comfortable bed.
Good breakfast, especially dimsums. 
Efficiently utilized room space.
Close to Imbi monorail station, Jalan Alor, not so far from Bukit Bintang. 7 Eleven and KK nearby.
View from the window (I chose city view when checking-in).",9.0,August 2024,"August 11, 2024",King Room,5,Solo traveler,9
Great Stay!,"Check out time at 11 I find a bit off, it might just be me though.","Beautiful property, great location and love the high tech feel of the room.",9.0,August 2024,"August 6, 2024",King Room,2,Couple,9
Really enjoyed my stay here.,All good.,"Very nice hotel - comfortable, clean, nice design and helpful staff. I would definitely stay here again.",10,August 2024,"August 4, 2024",King Room,2,Solo traveler,9
"Super modern decor, super flexible staff",Everything was great,Kind and helpful staff,10,August 2024,"August 4, 2024",King Room,2,Couple,9
Nice hotel,,"We know this hotel from other cities. This time we were three with a 5-year-old son. We had concerns whether sleeping in a bed with three would be comfortable enough. It turned out that our stay was great. We slept comfortably. The room was well-equipped and big enough. Great location, close to most attractions and public transport. The hotel staff were very helpful. We will gladly come back!",10,July 2024,"August 2, 2024",King Room,4,Family,9
Great location and pretty hotel,"The AC temperature can only go up to 28 max. It was really cold in our room and we couldnt do anything about it. 

Not a big issue but might be helpful for others: When you check in, you will have the option to choose a room with ""city"" or ""green"" view. We chose the green view thinking it would be a park or garden view, but turned out our room was looking at only a wall, with some small plants by the window. I think it would be better to have some real photos of the rooms at that step, which will be helpful for first time KL visitors :)","Great location, very good shower, friendly vibe, super fast check in and check out. Great attention to details and decorations. Theres a 7eleven and a money exchange counter right next to the hotel which is extremely convenient.",8.0,July 2024,"July 28, 2024",King Room,3,Couple,9
Exceptional,,"Cool technology on rooms. Great use of space. Staff were wonderful. The manager, Duncan, even came and sat with us and spoke to us, which was wonderful. Hogly recommend.",10,May 2024,"July 27, 2024",King Room,2,Family,9
the bed of my dreams,nothing :),"the bed is what dreams are made of. black out blinds, amazing pillows, I had the most perfect 11hr sleep after a long and annoying travel day.",10,July 2024,"July 26, 2024",King Room,1,Solo traveler,9
Decent hotel with a great location,"Room is inconvenient 
1. No charging points near bed 
2. Bathroom flooring is plastic and weird 
3. Bed is stuck to 3 walls so the person sleeping towards the inside has to jump over the other person at night to access the washroom.","Location is amazing. Right next to 7/11. Staff is very helpful and courteous. Reception and first floor (public areas) is beautifully designed. 
Room itself is small and kinda inconvenient. It’s manageable for tourist as one spends most
Of the time out. It’s not recommended for business travel where convenience is key.",8.0,July 2024,"July 24, 2024",King Room,4,Couple,9
Wonderful,Room sizes are small,Clean Rooms clear instructions to check in and friendly staff,9.0,July 2024,"July 23, 2024",King Room,2,Family,9
Brilliant,Breakfast was expensive and limited choices,"Very good location, hotel was very posh and loved the iPad feature to control the room however does take long to load up initially",10,July 2024,"July 23, 2024",King Room,4,Couple,9
Exceptional,,"This surely is the future of hotels! 

A well thought-out self-checkin process, clean modern facilities (tablet control of virtually everything in the room was a nice touch), and the shared spaces were pretty awesome. Others have probably already commented on the great location (away from the noise, but close enough to walk). I liked _everything_ about my stay here. Will absolutely stay at this chain again.",10,July 2024,"July 22, 2024",King Room,2,Solo traveler,9
Great stay,.,"Super comfortable bed and good location, would definitely stay again.",9.0,July 2024,"July 22, 2024",King Room,4,Couple,9
"Recommend experience, location very convenient and staff very kind",Sometimes the soap looks was empty same for the shampoo. I guess is because was thick,"Location and the staff is very kind, trying. To help all
the time",9.0,July 2024,"July 18, 2024",King Room,2,Solo traveler,9
Exceptional,"I stayed for a few nights at citizenM Bukit Bintang on separate occasions. A little feedback on my second stay: the toilet and floor were a bit unclean and the air conditioner is not working and it was inconvenient that there was no kettle in the room, so I had to get hot water from the lobby restaurant whenever I needed it.  Apart from those few issues, overall the stay was fantastic; I highly recommend this hotel.","I personally loved the bed, it was so comfortable and huge. The  room was spacious. Loved the design of the hotel and also the facilities. Will definitely come back next time.",10,July 2024,"July 16, 2024",King Room,3,Solo traveler,9
Nice stay and consider to stay again for next trip.,"Toilet is too small, the swing door is too trouble to open and wrong side of the opening.","Staff are nice and friendly, environment is good. The bed is big and comfortable and free parking👍🏼",8.0,June 2024,"July 15, 2024",King Room,1,Couple,9
Good for overnight stay,,"Super comfy beds, pillows you'll dream of. There was self check in but the staff didn't seem to want anyone to use it unfortunately.",10,July 2024,"July 13, 2024",King Room,1,Couple,9
Great stay indeed!,Nil.,I like their hotel design and check-in/out approach. Their room is clean too.,10,July 2024,"July 12, 2024",King Room,1,Couple,9
Exceptional,,Breakfast and facilities,10,July 2024,"July 11, 2024",King Room,5,Family,9
Exceptional,,Amazing,10,July 2024,"July 11, 2024",King Room,1,Couple,9
Exceptional,,Amazing,10,July 2024,"July 11, 2024",King Room,5,Solo traveler,9
"Area not congested. Easy access to facilities, shopping and street food markets.",,Location,10,July 2024,"July 9, 2024",King Room,1,Family,9
Exceptional,There is no refrigeration function in the refrigerator and no outlet to charge your phone when you lie down.,"It was very clean and cozy.It has good transportation around it, and there are shopping malls and night markets within walking distance.
Twin Towers and Suria Mall are 15 minutes away by car.",10,July 2024,"July 9, 2024",King Room,2,Family,9
"Loved staying there for 2 nights, would definitely come again","Breakfast could have had better options, but not a major thing",Close proximity to everything yet still away from very noisy surroundings,10,July 2024,"July 8, 2024",King Room,2,Solo traveler,9
Exceptional,,Amazing location. Kind and helpful staff.,10,June 2024,"July 8, 2024",King Room,1,Family,9
Exceptional,,Amazing location everything walking distance and there is a 7 eleven in hotel building. Staff super friendly and nice,10,June 2024,"July 7, 2024",King Room,4,Group,9
Exceptional,,The interior design and cost was certainly the important points. Highly recommended.,10,June 2024,"June 30, 2024",King Room,2,Solo traveler,9
"the room was perfect, clean and functional with well designed lobby and friendly helpfull staff",nothing specific,"cleannes, functionality, design",8.0,June 2024,"June 29, 2024",King Room,3,Solo traveler,9
Exceptional,,"More than perfect.
Very friendly and helpful staff especially Mr. Kesh in reception. 
Thank you.",10,June 2024,"June 24, 2024",King Room,4,Solo traveler,9
Wonderful,NONE,"This was a bit larger than usual Citizen M hotel room

Staff are so helpful and super clean room.

Perfect location a bit quite and close to all bukit bintang night life!",9.0,June 2024,"June 20, 2024",King Room,2,Solo traveler,9
