Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Perfect!!!⭐️,,"This is our second staying at CitizenM. The location is perfect, Metromover is in front of the hotel, Bayfront Market place is across from it. It was clean, and comfortable. We love it, and we will be back! ⭐️⭐️⭐️⭐️⭐️",10,June 2024,"June 11, 2024",King Room,3,Couple,8.9
I cannot wait to come back.... Safe place... Brightline straight to you... Perfect location😊,Only hiccup... Soon as breakfast closed.. Not yet all put away... We were denied a single cup of coffee unless we bought full breakfast. That was a bummer.. I sooo needed coffee... Headache city..... Grrr....,"I adore the staff.... Theres a manager, Annie I believe? She goes above and beyond... Remembered us from a year ago b4 her promotion. So impressed also w staffs ownership of their roles in ensuring a great stay.",10,July 2024,"August 19, 2024",King Room - Bay View,2,Couple,8.9
Pleasantly surprised at how nice this hotel was. Very modern very quirky. Great location great value great breakfast! St,,"Location, quirky, clean, modern, comfortable",10,July 2024,"August 16, 2024",King Room,1,Couple,8.9
Exceptional,Noise from cars,Everything location! Staff!!!,10,August 2024,"August 16, 2024",King Room - Bay View,1,Group,8.9
Great design and Vibe. Shame the pool was closed!,"No drinks in the room- no mini bar or tea making. 
Staff in the reception didn’t speak great English and were very moody. Permanently seemed annoyed. Unwelcoming. 
The pool was closed! In the height of summer- so never used the roof or these facilities.","Design. Vibe. Location is pretty central. Room had everything you need. 
Good area for working too. Very comfy. 
Nothing going on in the evening- the upstairs was dead.",9.0,August 2024,"August 14, 2024",King Room - Bay View,2,Group,8.9
Exceptional,earlier check in,awesome,10,July 2024,"August 13, 2024",King Room,2,Solo traveler,8.9
Super comfortable place in Miami,Maybe the swimming pool could have been opened longer and they could have had an agreement with the parking,"Location, cleaness, staff, design, comfort, facilities such as the gym, atmosphere, colours",9.0,August 2024,"August 13, 2024",King Room - Bay View,1,Family,8.9
Comfortable,The bed up against the wall was a bit awkward and storage space was limited but other wise everything was perfect,"The room was lovely, I liked that we could easily control the temperature with the tablet as well as the lights and blinds. The multi coloured bathroom light was really cool! Shower was a good size too",10,August 2024,"August 13, 2024",King Room,2,Couple,8.9
Excellent and Comfortable.,,Excellent. Great location. Efficient staff. Very comfortable lodging.,10,August 2024,"August 13, 2024",King Room,1,Solo traveler,8.9
Great hotel for this price,Nothing,Everything was perfect,10,July 2024,"August 12, 2024",King Room - Bay View,1,Couple,8.9
Wonderful,late checkouts,cost effective / clean amazing rooms,9.0,July 2024,"August 11, 2024",King Room,2,Solo traveler,8.9
Perfect location by the Port !!,Locked door when we came in late. We waited few minutes to get in and check in. But no big deal,"Perfect place to stay before going on a Cruise ship, right by the Port.",9.0,August 2024,"August 9, 2024",King Room - Bay View,1,Couple,8.9
Cute Hotel❗,"Room was very small. Room sink was clogged. Breakfast buffet was not worth the cost. If I stay there again, I definitely wouldn't pay for the breakfast.","Beautiful hotel&decor. Bed was extremely comfortable❗ An iPod was provided in the room, for guests.",8.0,July 2024,"August 8, 2024",King Room - Bay View,1,Family,8.9
Perfect,Pool was not open longer,Location.  Roof top pool,10,July 2024,"August 7, 2024",King Room,1,Couple,8.9
Perfect.,Pool was not open longer,The location.  Roof top pool.  Cleanliness.  Friendly staff,10,July 2024,"August 7, 2024",King Room,1,Couple,8.9
Good place for couple or online works,"I was swimming pool and our Domino’s pizza arrive to late in the night, in the meantime, we purchase something at lobby bar. Next day someone of swimming pool bar come to our seat to tell us external food is not allowed and we explain the issue because of I didn’t decide put in the trash the pizza and just hold for next day.

I think the best approach could be another friendly way considering that my cousin of 10 yr old was listening and he feel something uncomfortable.","Its nice place for couple and remote works, nice swinging pool, bar, great coffee bar too. Some staff are friendly.",10,August 2024,"August 6, 2024",King Room,2,Family,8.9
One of the best stays I had in a business trip.,Morning drip coffee could be better. There was no kettle in the room.,"Breakfast was much better than the average breakfast you get in any hotel in the US. I loved that coffee was served in real mugs rather than plastic mugs. I loved the fresh yogurt and berries. 
The rooms were very modern and nicely designed.",10,August 2024,"August 3, 2024",King Room - Bay View,3,Solo traveler,8.9
Just a Vibe,,Modern vibes loved the Citizen M,10,August 2024,"August 3, 2024",King Room,1,Couple,8.9
Wish we could have stayed longer.,Nothing 👍,Location fab to walk to shops and further into city. Great price and cool hotel. Getting an Uber from Miami Airport was only $17,9.0,July 2024,"August 2, 2024",King Room - Bay View,1,Family,8.9
Exceptional,I like all,Roof and atmósfera,10,July 2024,"August 1, 2024",King Room - Bay View,3,Family,8.9
Very Good,Nothing!,Super central situated. Stylish and friendly staff👌🏾,8.0,July 2024,"July 30, 2024",King Room,3,Couple,8.9
Great place and the room was very clean!,N/A,Great breakfast!,10,July 2024,"July 29, 2024",King Room - Bay View,2,Couple,8.9
