Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Great stay and will be back!,Nothing bad to say.,This is a great location to shopping and the night market.,10,July 2023,"August 5, 2023",Standard Double Room,1,Group,7.8
Very Good,"There is a construction next to hotel so there was some noise and also my window was blacked out, so no sun or anything from outside","Lovely hotel right in the nexy to myogndong,but yet quiet and close to the station",8.0,August 2024,"August 15, 2024",Standard Double Room,1,Solo traveler,7.8
It could be better,Bed bug and ac is not working well,It located in the heart of the city,7.0,August 2024,"August 9, 2024",Standard Double Room,3,Couple,7.8
Very Good,"Often quite noisy due to huge construction Seite next to the hotel, top-floor restaurant unfortunately closed in August 24","Excellent location in Myeongdong, friendly staff, spotlessly clean, breakfast ok",8.0,August 2024,"August 9, 2024",Standard Double Room,6,Solo traveler,7.8
Very Good,"Breakfast was a little underwhelming and fact that roof terrace was closed. It may be because there is construction next door. Lack of ice. There is just one small machine in lobby and was always empty. 
Careful in spa bath as overflows. 
R","Location, quiet,  comfort of beds and staff at desk.",8.0,August 2024,"August 8, 2024",Standard Twin Room,3,Couple,7.8
"Great staff, convenient, and pricey for a tiny room","Tiny room, high price.",Staff. Breakfast. Location.,8.0,August 2024,"August 7, 2024",Standard Double Room,1,Family,7.8
was excellent and highly recommended,location smd staffs,"close to train station, shops and not a busy area",9.0,July 2024,"August 3, 2024",Standard Double Room,5,Couple,7.8
Overall good stay,Room was tight,Good location,9.0,July 2024,"July 31, 2024",Standard Double Room,4,Group,7.8
Wonderful,,"Near to a main subway station, close for lots of cultural visits. Good breakfast. Very comfy beds.",9.0,July 2024,"July 27, 2024",Standard Double Room,3,Solo traveler,7.8
"Great location, noisy room.","Room window was just in front of a building construction, very noise in the mornings, and also have to keep curtains close as all workers could look to the room.","Great location, close to subway, and touristic market street. Plenty of restaurants and coffee shops nearby.",7.0,July 2024,"July 26, 2024",Standard Double Room,7,Family,7.8
Wonderful,It would have been nice to go to the rooftop but it was under rennovation.,"Location is amazing, quiet enough from the market noise but close enough to walk to the lively markets. Close to the Myeongdong station and the drop off point for the limousine airport bus. 15 min walk to the base of the Seoul tower where you can take the travelator up for 15000 won return. Amazing view up top.",9.0,July 2024,"July 26, 2024",Standard Twin Room,5,Family,7.8
Very Good,,"Very good location - Near train station, just across myeong dong market, and you can see the tower.",8.0,July 2024,"July 20, 2024",Standard Double Room,4,Family,7.8
Very well located. Good stay,Restaurant was closed.,"Location, clean room",8.0,July 2024,"July 19, 2024",Standard Double Room,3,Family,7.8
Ok,Breakfast started late. Not in time for many day trips.,The location.,7.0,May 2024,"July 14, 2024",Standard Twin Room,3,Couple,7.8
"Great hotel for a short stay to explore the City, either walking or local transport.",,"Great location, clean comfortable rooms.",8.0,July 2024,"July 14, 2024",Standard Twin Room,1,Family,7.8
Comfortable and worth the stay.,Smell of towels could be improved.,Breakfast was great. Location is very strategic and peaceful. Lovely view of the place.,8.0,July 2024,"July 8, 2024",Standard Twin Room,3,Family,7.8
Good,,"location is perfect, but cost is high with such small room.",7.0,June 2024,"June 28, 2024",Standard Twin Room,7,Family,7.8
Good,"I asked for a N - Tower view. I got a room overlooking construction site. Very loud in the morning. 
Also the reason I book the ibis is for their rooftop but it was closed.",The location was great. Near the subway line 4 and 3. The staff was very nice.,7.0,June 2024,"June 26, 2024",Standard Double Room,2,Family,7.8
Just my 2 cents,Small rooms and outdated,Convenient location and has on site laundry machines,8.0,June 2024,"June 24, 2024",Standard Double Room,2,Couple,7.8
had a wonderful time,"construction near our room , from the airport we took the limousine bus. However there are two Ibis hotels in the area , therefore we were dropped off on the bigger one.",good location and staff were friendly,9.0,June 2024,"June 22, 2024",Standard Double Room,2,Couple,7.8
Fantastic stay . Staff was very accommodating,,Location,8.0,June 2024,"June 21, 2024",Standard Double Room,5,Solo traveler,7.8
Wonderful,"Rooftop bar closed, restaurant closed for evening meals","Location, cleanliness, price",9.0,June 2024,"June 21, 2024",Standard Twin Room,14,Group,7.8
Very Good,,It is close to Myeong-dong shopping area and metro stststion,8.0,June 2024,"June 20, 2024",Standard Double Room,3,Solo traveler,7.8
Great option for central Seoul,"Rooms small, especially the bathroom/toilet, although to be expected.","Outstanding location close to central Seoul and walking distance from Myeongdong district.
Clean, comfortable, modern rooms
Good price for location. Comfy beds.",7.0,June 2024,"June 14, 2024",Standard Twin Room,3,Solo traveler,7.8
Good,The room was a little dirty. Sheets/towels had stains. The bathroom didn’t really have ventilation and whenever you flushed it would smell weird,The staff was really accommodating and helpful.,7.0,June 2024,"June 7, 2024",Standard Twin Room,10,Couple,7.8
"Great location, easy access to train station and buses. Would stay again.",,Great location close to the shopping + restaurants of Myeong-dong.,9.0,April 2024,"June 5, 2024",Standard Twin Room,5,Couple,7.8
Very Good,"Shower room was tiny, and glass all round lacked privacy as only one blind to shield you from the room view, ended you putting towel over the glass door.","Very convenient for Myeongdong area, a 5 minute walk. The staff were great. Breakfast was nice. Rooftop views were amazing.",8.0,May 2024,"June 4, 2024",Standard Twin Room,5,Family,7.8
Fantastic experience. Thank you.,,Great location,9.0,May 2024,"May 29, 2024",Standard Twin Room,4,Family,7.8
Wonderful,Hotel front pavement had uneven paving and got tripped. Hurt knees and hands,,9.0,May 2024,"May 28, 2024",Standard Double Room,3,Family,7.8
,,,8.0,April 2024,"May 27, 2024",Standard Double Room,3,Solo traveler,7.8
Good hotel in Myeongdong,,We had a good stay at this hotel. It’s clean and confortable. It’s located in a good position. We recommend it!,9.0,March 2024,"May 5, 2024",Standard Double Room,4,Group,7.8
Good hotel!,,We had a great stay at this hotel. It’s clean and confortable. It’s located in a good position. We recommend it!,9.0,March 2024,"May 5, 2024",Standard Double Room,4,Group,7.8
Great location,,Location was great,7.0,April 2024,"May 1, 2024",Standard Double Room,7,Couple,7.8
Very comfortable after all day outside,Was expecting to be on a mountain view,Comfortably clean,9.0,April 2024,"April 29, 2024",Standard Double Room,3,Solo traveler,7.8
Wonderful,bath room,,9.0,April 2024,"April 28, 2024",Standard Double Room,3,Family,7.8
Good,"No Netflix, shower room is glass so it’s very uncomfortable sharing a room with a friend , when you sit on the toilet your knees are up against the door also very uncomfortable","Location, very clean, comfortable bed",7.0,April 2024,"April 20, 2024",Standard Double Room,6,Couple,7.8
"Location is the winner for this place, the nearby construction could make life difficult for those who want to sleep mor","The Hotel is very tiered , needs refurbishing, everything is scratched, mold in the bathroom. In addition, we ordered the 2 rooms 10 months in advance, we’re family of four and staff didn’t prepare a connecting room for us, this was very upsetting.",The location is great!,7.0,April 2024,"April 13, 2024",Standard Double Room,5,Family,7.8
My stay at Ibis Styles Ambassador Myeongdong Seoul,"The buffet was limited, I don't understand why there was no water dispenser in the dining room. The bathroom space is a bit tight since toilet and shower were divided. But the hotel is clean and has good location",The rooms have adequate space and were clean. The staff are friendly and helpful and good location in Myeongdong. Has a convenience store nearby. Shopping is easy it is just around the corner,7.0,April 2024,"April 12, 2024",Standard Double Room,1,Family,7.8
I loved staying at this facility.,Room runs small. Sounds bleed over a little.,Very accessible to most attractions. Clean and well maintained. Beautiful aesthetics.,8.0,April 2024,"April 9, 2024",Standard Twin Room,4,Solo traveler,7.8
Very good stay with helpful staff and good breakfast.,Standard rooms are a little small but still fine.,"This hotel is in a good spot in Seoul, easy access to the metro, shopping and tourism sites.",9.0,April 2024,"April 5, 2024",Standard Double Room,5,Family,7.8
Nice room in good spot but bit noisy,Noisy because the construction next door,Good facilities and location,7.0,March 2024,"April 3, 2024",Standard Double Room,6,Couple,7.8
Ideal Location!,"Construction next door was a bit of an annoyance but not too bothersome. Mostly only heard in the mornings as I would be getting ready for the day out.  I spent most of my time outside of the hotel and exploring. I mostly only came back to the room for a quick change, rest and sleeping in the evening. So I didn’t encounter too much noise from the construction.",Location is great and very convenient! Easy access to subway and bus routes. Stones throw away from the Myeongdong shopping district. Decent sized room for a solo female travelller. Tons of food options nearby too!,7.0,March 2024,"April 2, 2024",Standard Double Room,3,Solo traveler,7.8
Excellent value for money in a wonderful location.,"Small room but that was to be expected, no smaller than post places around Seoul!","Right near the hustle and bustle of Myeondong, easy walking distance around the streets of Seoul and close to the subway system. Would recommend! Great staff.",9.0,March 2024,"March 31, 2024",Standard Double Room,4,Couple,7.8
Wonderful,There was nothing not to like,Cleanliness and location,9.0,March 2024,"March 31, 2024",Standard Twin Room,3,Couple,7.8
Very Good,Noisy,Location,8.0,March 2024,"March 23, 2024",Standard Double Room,11,Solo traveler,7.8
Good,No help with luggage,The location,7.0,March 2024,"March 18, 2024",Standard Twin Room,4,Family,7.8
"Great location and nice size rooms, would definitely recommend.","Couldn't open any windows, I always like to get some fresh air in the room. But overall the hotel and room were great.",Great location near a big train/subway station. Lots of restaurants and nice places to go also in the evening.,9.0,March 2024,"March 18, 2024",Standard Double Room,6,Couple,7.8
"Good value for money, good location close to food",Nothing,Breakfast,9.0,February 2024,"March 15, 2024",Standard Twin Room,2,Solo traveler,7.8
Very Good,,"It is convenient to arrive by public transformation, it's close to Moong dong business street. and quiet.",8.0,February 2024,"February 27, 2024",Standard Twin Room,1,Family,7.8
Good well-priced option for Seoul.,Just the common areas need refreshing.  Clearly worn carpets and couches.,"Location, staff and cleanliness of room were all great.  The hotel is just quite worn and needs some serious updating.  And the rooms are very small. Expect to have difficulty finding space for larger luggage, and the shower will be tight for most people.  However, the price was good, very clean room, friendly and helpful staff, too.  And although we paid extra for the breakfast it was a good easy option and worth the price.",9.0,February 2024,"February 22, 2024",Standard Twin Room,4,Group,7.8
Fab location! Comfortable and clean but a little bit dated.,"Didn’t realise that we had to pay extra to use the pool and sauna. This wasn’t clear upon booking and it was one of the main reasons we booked to stay. 

The hotel is dated and the rooms require some modernisation. Very tired in comparison to the photos advertised. Towels ripped and frayed, chair scratched, carpet worn, walls marked.","Great location, right by the subway and super close to shops, the food market and loads of restaurants and cafes. 

Lovely staff. 

Hotel was clean and comfortable.",7.0,February 2024,"February 20, 2024",Standard Double Room,4,Couple,7.8
Wonderful,Mirror placement in the room was a bit wierd,Very good. Awesome central location,9.0,December 2023,"February 18, 2024",Standard Twin Room,12,Family,7.8
Very Good,,Location,8.0,December 2023,"February 8, 2024",Standard Twin Room,2,Family,7.8
Great stay,,we had a great stay at this hotel. It's clean and cozy. Good position in Myeongdong. We  recommned it!,9.0,November 2023,"January 31, 2024",Standard Twin Room,1,Group,7.8
good location but small room,There is a construction building beside the hotel that make noise for me during day time since in the morning,"This hotel is near shopping center as Myeong Dong market you can reach out to hotel for 5 mins by subway, airport bus.",7.0,January 2024,"January 23, 2024",Standard Double Room,4,Couple,7.8
Overall good.,Room is abit too small. Can’t really open for 2 big luggage.,Location wise is good. Near to MyeongDong walking street.,7.0,January 2024,"January 19, 2024",Standard Double Room,1,Couple,7.8
Very Good,room was too small，no bathtub,good location near to subway,8.0,January 2024,"January 12, 2024",Standard Double Room,5,Couple,7.8
Clean and comfortable,,The hotel room was clean and comfortable. It was in a fantastic location. Staff spoke basic English which was also helpful!,7.0,January 2024,"January 12, 2024",Standard Double Room,5,Couple,7.8
Great location - rooms very small.,Tiny room.  Too small for two people and two suitcases - maybe you should make it clear about this so people can choose a bigger room.,Breakfast was great.  Fantastic view of the city.,8.0,December 2023,"January 9, 2024",Standard Twin Room,6,Family,7.8
It was a pleasant stay. The receptionist is very helpful and assist me to book taxi at 2:30am for my early morning fligh,Currently construction is on going beside. There will be thumping sound from 8am onwards.,The location is very close to Myeondong and Chungmuro station that allows you to plan which line to take based on you travel plan. Beside there is an emart which is very convenient.,9.0,December 2023,"January 7, 2024",Standard Twin Room,5,Solo traveler,7.8
Worth staying here. Recommned this place,,"Great location, very closed to Myeongdong night market.
The room was quiet small but value foor money.
Friendly and helpful staff. Fast service.",7.0,January 2024,"January 5, 2024",Standard Double Room,4,Group,7.8
"Location was great, not too busy, not too far","Rooms are really small, bathroom is see through","Location. It is near Myeongdong but not exactly on the busy noisy part. Also near 2 train stations, bus stations and the airport bus station. The rooftop bar and restaurant is also a nice place to unwind after a busy day",7.0,December 2023,"January 5, 2024",Standard Twin Room,4,Family,7.8
"great location, good for a week's stay max but no longer as it is very small","room was very small, and there was renovation on going daily from 8am to 5pm. Cup was cracked from inside but housekeeping didnt change it till we asked for it. There was no vacumming of floors",location was very premium. easy access to both Chungmuro and Myeongdong,7.0,December 2023,"December 30, 2023",Standard Twin Room,9,Family,7.8
Very Good,Room slightly small n a little cramp for 2 persons.,"Location just right, slightly away from busy noisy Myeongdong but not too far from the action.",8.0,December 2023,"December 28, 2023",Standard Twin Room,5,Family,7.8
Good location,Room is small,"Location is good.
Near night market and train station",7.0,December 2023,"December 21, 2023",Standard Twin Room,2,Family,7.8
Great place to stay for a short getaway!,"Construction works next door made staying in the room unbearable but it is nothing to do with the hotel itself, just check with the hotel if there are any construction works going on before booking, if not there is nothing else I don’t like about the property.","Great location, easy access to many tourist destinations, clean rooms, helpful and attentive staff",8.0,December 2023,"December 20, 2023",Standard Double Room,5,Solo traveler,7.8
Very Good,non,the location,8.0,December 2023,"December 18, 2023",Standard Twin Room,1,Family,7.8
great location hotel,"The shower has transparent glass with 1 side for curtain, but it is preferable to have it frosted for privacy. The room is compact and suitable for accommodating only 1-2 large luggage bags at most. Breakfast begins at 7:30 AM, and guests with early flights or tours may find it challenging to allocate time for it. While the food options are not extensive, they are sufficient in quality. i suggest the hotel to go for renovations in a few years time as I believe the carpets are showing signs of aging.","The location is excellent, close to Myeongdong Metro and the Myeongdong Night Market.",9.0,December 2023,"December 15, 2023",Standard Twin Room,5,Family,7.8
Very Good,No,Very good at all I'm comback soon,8.0,November 2023,"December 15, 2023",Standard Twin Room,6,Family,7.8
We had a wonderful stay. I am so glad to have chosen Ibis Styles Myeongdong.,Our toilets looked clean but had a smell that was not clean.,location was ideal with metro and bus stops nearby. Also a few steps away from Myeongdong shopping streets.,9.0,November 2023,"December 12, 2023",Standard Double Room,10,Family,7.8
Wonderful,No bathroom facilities and provided with 2 small bottles of drinking water only,Good location especially for tourists as nearby subway and shopping street.,9.0,December 2023,"December 11, 2023",Standard Double Room,4,Family,7.8
Very Good,,No toilet utilities like tooth brush,8.0,December 2023,"December 2, 2023",Standard Twin Room,2,Family,7.8
Wonderful,was supposed to have an accessible room but it wasn’t available,"great location, great staff",9.0,November 2023,"December 2, 2023",Standard Double Room,2,Group,7.8
Wonderful,Construction next door is loud starting from 6 to 8am. So just depends what time you will generally be getting up each day.,Great location and staff were great,9.0,November 2023,"November 20, 2023",Standard Double Room,6,Couple,7.8
"Comfy room, great location & amazing food and shopping nearby","There is construction nextdoor, however work starts at the usual worktimes. You will be out exploring all the great stuff around you.","The location was ideal, close to the metro, the night food market on a lane which could only be described as 'skincare heaven'. We also had the best Korean BBQ ever around the corner. It is also only a $15.00 uber from the Palace.",9.0,November 2023,"November 19, 2023",Standard Double Room,3,Group,7.8
