Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
"Well located, nice hostel",The bathrooms didn’t get much attention and were often out of paper or covered in water and hair,"Nice and new, comfy beds, each with own lamp, charging ports, lockers and privacy curtains. Lots of bathrooms. First floor had a common room. Not a lot of facilities there, but a nice place to hang out",10,May 2023,"May 30, 2023",Bed in 10-Bed Mixed Dormitory Room,3,Solo traveler,8.5
clean room and nice stuff!,,clean room and nice stuff!,10,August 2024,"August 20, 2024",Single Bed in Female Dormitory Room,1,Solo traveler,8.5
Good,The toilets were dirty …. Too dirty,"Stuff, common area and breakfast",7.0,August 2024,"August 19, 2024",Single Bed in Female Dormitory Room,1,Solo traveler,8.5
All Good 😊 🤝,All Good 😊 🤝,All Good 😊 🤝,10,August 2024,"August 17, 2024",Bed in 8-Bed Mixed Dormitory Room,7,Group,8.5
Exceptional,Nothing,"Great hostel on gran vía in Madrid center, impeccable staff i would definitely return (and i already did haha)",10,July 2024,"August 17, 2024",Bed in 8-Bed Mixed Dormitory Room,1,Solo traveler,8.5
Amazing place with amazing staff,The rooms could be a little bit colder.,"Everything was very good. Location is amazing. 
The staff is the highlight of this place, Adriana is so lovely and helpful what a kind soul.
Angela is the most wonderful person, what a delight to have her doing the breakfast, she brights everyone’s day. 
Fran is the cutest!!! Such a patient and gentle guy.
Can’t wait to stay there again.",10,August 2024,"August 17, 2024",Bed in 8-Bed Mixed Dormitory Room,3,Solo traveler,8.5
So cool,Nothing,Nice and clean rooms,10,August 2024,"August 16, 2024",Single Bed in 8-Bed Female Dormitory Room,5,Solo traveler,8.5
Very Good,,The only problem is the hostel was so cold in the middle of summer :) we were sleeping with huge blankets 😭😭,8.0,August 2024,"August 14, 2024",Single Bed in 8-Bed Female Dormitory Room,3,Solo traveler,8.5
Wonderful,It would be nice if the hostel did more activities for the people so solo travelers can get to know each other,"Great location, clean and comfortable, staff is friendly",9.0,August 2024,"August 14, 2024",Single Bed in 8-Bed Female Dormitory Room,4,Solo traveler,8.5
Good,"I don't know if my room's unit happened to be faulty, but the AC in the room was so weak while the hallway and common room had wonderful, powerful AC. This means that it was so hot in the rooms that it was hard for me to sleep during my stay. I hope that this will be corrected because Madrid in the summer is HOT.

Didn't bother me too much but could be a big issue for others: the lockers under the bunk beds, because they are metal, make insane noise when opened/closed. Could really disturb those trying to get some rest.","Very friendly staff, amazing location, and comfortable, clean beds",7.0,August 2024,"August 13, 2024",Bed in 10-Bed Mixed Dormitory Room,2,Solo traveler,8.5
