Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Had a comfortable stay in this hotel. Highly recommended.,"The room that I was in had a small bathroom, but it actually did not bother me that much.","The hotel is conveniently located near NAIA T3. Staff were very friendly and courteous, especially during check-in. Hotel room was very clean and was lucky to have a good view of the airport. Breakfast buffet had a good selection of delicious food. Overall I had a very comfortable stay.",10.0,January 2023,"January 7, 2023",Superior Queen Room,2,Solo traveler,8.2,1,1,0,0,1,0,1,0,1,0
Superb stay,The price of bar wine is little a little higher,The room meet my requirement and the Airport is walking distance. i did not book breakfast,9.0,August 2024,"August 18, 2024",Superior Twin Room,1,Group,8.2,1,0,0,0,0,0,1,0,0,0
Wonderful,Limited staff  help,,9.0,August 2024,"August 18, 2024",Superior Twin Room,1,Family,8.2,0,0,0,0,0,1,0,0,0,0
Wonderful,,"The hotel is located right by the airport, a 5-minute walk from Terminal 3. There are many restaurants and coffee shops in the area.",9.0,July 2024,"August 14, 2024",Superior Queen Room,1,Couple,8.2,0,0,0,0,0,0,1,0,0,0
Excellent stay if you have bug,None,Super close to runway manila,9.0,August 2024,"August 13, 2024",Superior Twin Room,1,Couple,8.2,0,0,0,0,0,0,0,0,0,0
Wonderful,"more sitting arrangements for the guess at the lobby, more flowers hope so...","Location is perfect for the traveller who like to take a rest after a long hour of flight..clean,quiet, toiletries,the room service,smiling and friendly staff, the breakfast",9.0,August 2024,"August 11, 2024",Superior Queen Room,1,Couple,8.2,1,0,0,1,1,0,1,0,1,0
Very Good,,Location convenient. Nice Roof Top bar.,8.0,August 2024,"August 2, 2024",Deluxe Twin Room,1,Solo traveler,8.2,0,0,1,0,0,0,0,0,1,0
BEST PLACE TO STAY NEAR NAIA 3,"No complaints! Too bad there was a storm during our stay, so we were not able to use the pool located at the rooftop.","Location location location.. This is the best location waiting for your next flight in NAIA 3. The Runway Manila Footbridge makes it more convenient and accessible. 
Also, the breakfast was superb, I thought my daughter was included in the breakfast upon booking since I put one Adult and one Child, turns out that only the adult is free, and I need to pay for my child.

Every staff are professional, helpful and approachable. A home away from home feels.",9.0,July 2024,"July 29, 2024",Superior Twin Room,1,Family,8.2,0,0,0,0,1,0,1,0,1,0
Very Good,The smell,Staff was friendly and the breakfast was delicious,8.0,July 2024,"July 27, 2024",Superior Twin Room,1,Group,8.2,0,0,0,0,1,0,1,0,0,0
Wonderful,,"Clean .friendly.proffesional.
Only place I choose to stay when in Manila",9.0,July 2024,"July 25, 2024",Superior Queen Room,1,Couple,8.2,1,0,0,0,1,0,0,0,0,0
The location next to NAIA T3,No complaints,Great that you can walk to the Hotel across the walkway made the late night arrival effortless.,9.0,May 2024,"July 24, 2024",Superior Twin Room,1,Family,8.2,0,0,0,0,0,0,0,0,0,0
Wonderful,,"Always our first choice when in transit at NAIA3. Close, comfortable, lovely efficient staff, close to Newport Mall, tons of eating options.",9.0,July 2024,"July 16, 2024",Superior Twin Room,1,Family,8.2,0,0,0,0,1,0,0,0,0,0
Excellent,Is far better already,Everything,9.0,June 2024,"July 14, 2024",Superior Queen Room,1,Family,8.2,0,0,0,0,0,0,0,0,0,0
Prime location at a bargain,None,The staff were all warm and accommodating. The room is clean and has a decent size. I also like the location of the hotel since its a few minutes walk to Terminal 3.,9.0,June 2024,"July 11, 2024",Superior Queen Room,1,Couple,8.2,1,0,0,0,1,0,0,0,1,0
Perfect for an overnight between flights.,"Breakfast could have included more options for westerners, including low sugar cereals and toast.  The view into the atrium is a bit of a letdown if your room doesn't face outwards.",Ticks all the boxes for a comfortable stayover between flights.  Rooftop pool is a great place to relax and spend some time.,8.0,June 2024,"July 11, 2024",Superior Queen Room,1,Couple,8.2,0,1,0,0,0,0,0,1,0,1
It's worth it!,Very few fresh fruits being served during the breakfast buffet.,"The location, the staff and the ambience. However, during the breakfast buffet, it was observed that very few fresh fruits were served. No mangoes, no bananas, no orange or apples. It was only pale melon and it was not often replenish. Hotel staff were visible in the vicinity, but the replenishments were not being done.  We look forward for more local fruits being serve on our future travels and stay with Belmont.",8.0,July 2024,"July 9, 2024",Superior Twin Room,1,Family,8.2,0,0,0,0,1,0,1,1,1,0
Enjoyable,"The inroom coffee is terrible,the TV is very old. The steam room temperature was set too high. I tried to explain this to the gym staff, but they didn’t understand. It was literally boiling at the steam taps.","Great location, Gym, good food and close to airport. Friendly and professional staff.",7.0,May 2024,"July 9, 2024",Superior Twin Room,1,Couple,8.2,0,1,1,1,1,1,1,0,1,0
Wonderful,Nothing,All,9.0,June 2024,"July 8, 2024",Deluxe Queen Room,1,Family,8.2,0,0,0,0,0,0,0,0,0,0
Very Good,There was no sign where the spa was. Got lost,Friendly staff. Helpful. Accommodating,8.0,July 2024,"July 6, 2024",Superior Twin Room,3,Family,8.2,0,0,0,1,1,0,0,0,0,0
would certainly go again for an overnight flight wait,,excellent location with adequate food/coffee(StarB)/supermarkets around the block,9.0,April 2024,"June 30, 2024",Superior Twin Room,1,Solo traveler,8.2,0,0,0,0,0,0,1,0,1,0
Good overnight stay place for airport flights,Food a bit expensive - especially bfast buffet,Location - walking distance to Naia 3,8.0,June 2024,"June 28, 2024",Superior Twin Room,1,Group,8.2,0,0,0,0,0,0,0,1,1,0
"A good hotel, friendly staff and the location is good.",No parking area that's annoys me.,A good breakfast hope they add more continental food,7.0,June 2024,"June 26, 2024",Superior Twin Room,1,Family,8.2,0,0,0,1,0,0,1,0,0,0
All good,Check out time could be later,Close to airport,8.0,May 2024,"June 26, 2024",Superior Twin Room,1,Couple,8.2,0,0,0,0,0,0,0,0,0,0
Great! Will definitely be back,Some other minor amenities like iron/ironing board,"Overall value for money (comfort, service, location to airport and nearby malls)",9.0,June 2024,"June 25, 2024",Superior Twin Room,1,Couple,8.2,0,0,0,0,1,0,0,0,1,0
Very Good,"The toilet design is small... The house keeper needed to improve what they supposed do...
Breakfast dishes salty...",,8.0,June 2024,"June 23, 2024",Superior Twin Room,3,Family,8.2,0,0,0,0,0,0,0,1,0,0
Thouroughly enjoyed it and would recommend,nothing,Everything. The staff were friendly and courteous and on leaving arranged a Grabb.,9.0,June 2024,"June 21, 2024",Superior Twin Room,1,Solo traveler,8.2,0,0,0,0,1,0,0,0,0,0
Excellent Location,Hairdryer is too short,"Excellent location, 5 minutes away from the airport .
Friendly & very accommodating staffs.
Well done guys 👍",9.0,June 2024,"June 17, 2024",Queen Room,1,Couple,8.2,0,0,0,0,1,0,0,0,1,0
Very convenient for an overnight stay in transit in Manila.,The breakfast was a bit manic and there were a few things not available. The omelettes were precooked when we got there at 0830. We had to ask for them to be put on the hot plate to be warmed up. The staff in the cafe were lovely and we were made a great cappuccino!,Very convenient for a 1 night stay in transit. Across the road from Manila airport. Easy to reach by walking.,8.0,June 2024,"June 15, 2024",Superior Queen Room,1,Couple,8.2,0,0,0,0,0,1,0,1,1,0
Comfortable stay,No slippers inside the room,"Walking distance to the airport esp NAIA 3,if you have no luggage you can just walk going to the airport. With so many shops around for food, etc.",8.0,May 2024,"June 7, 2024",Superior Twin Room,1,Family,8.2,0,1,0,0,0,0,1,0,0,0
Meets expectations- except slow sink drain,Sink always clogged or  drain slowly,Accessibility to terminal. Pool area and grill event. Breakfast is quite good,7.0,May 2024,"May 29, 2024",Superior Queen Room,2,Couple,8.2,0,0,0,0,0,0,1,0,0,0
