Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
One of the best properties I stayed at.,,"The property was amazing in every sense, it had everything you ever needed for a peace of mind. Modern, clean and elegant.",10.0,June 2024,"June 21, 2024",Deluxe Room,2,Solo traveler,9.2,1,0,0,0,0,0,0,0,0,0
Exceptional,,"Excellent location, lovely view and good facilities",10.0,August 2024,"August 18, 2024",Executive Suite,4,Family,9.2,0,0,1,0,0,0,0,0,1,0
Modern but super comfortable with great staff and incredible amenities,Having to leave,"Clean, exceptional staff, incredible gym, and great pool area",10.0,August 2024,"August 18, 2024",Executive Room,9,Family,9.2,1,0,1,0,1,0,0,0,0,0
Perfect stay,Nothing,"Courtesy, comfortable and located in the heart of Bangkok action.",10.0,August 2024,"August 14, 2024",Deluxe Room,2,Couple,9.2,0,0,0,0,0,0,0,0,0,0
Fantastic stay,,"We loved everything about this hotel. The staff, the room, the breakfast have been all amazing. Will definitely come back when in Bangkok next time.",10.0,July 2024,"August 13, 2024",Deluxe Room,3,Couple,9.2,1,0,0,0,1,0,1,0,0,0
Very enjoyable stay overall,Swimming pool seemed a little small and ordinary,"Clean and modern, well equipped, very attentive staff",9.0,August 2024,"August 9, 2024",Deluxe Room,2,Family,9.2,1,0,0,1,1,0,0,0,0,0
Exceptional,Nothing all exceptional,"Location, amazing breakfast, staff freindliness, club room benefits which included drinks and canopy for two hours each day - really recommend upgrading to the club room - will certainly stay here again if in bangkok",10.0,July 2024,"August 8, 2024",Carlton Club Room,3,Couple,9.2,1,0,0,0,1,0,1,0,1,0
Exceptional,,Room was big and very nice. The employees where really friendly and helpful.,10.0,July 2024,"August 6, 2024",Carlton Club Room,3,Solo traveler,9.2,1,0,0,0,1,0,0,0,0,0
A great choice 5 star hotel in Bangkok,High quality and definitely 5 star but perhaps a little business for a couple. The restaurants were empty and therefore the atmosphere did not match the high quality of the food and excellent service.,"The roof bar, the pool and the fantastic service. Also, the location was excellent being only a short walk from restaurants and an underground station.",10.0,July 2024,"August 5, 2024",Carlton Club Room,3,Couple,9.2,0,0,1,0,1,1,1,1,1,0
Amazing hotel with nice views,everything was fine.,"Room and facilities were great, the attention of the staff was also really polite and friendly. We didn't manage to enjoy the executive lounge but when we visit felt a little too formal. 
The pool was also really beautiful but don't expect calm and relaxation as many children around.
The rooftop bar has amazing views and live music, prices a little over what you will expect in Thailand",10.0,July 2024,"August 4, 2024",Carlton Club Room,3,Couple,9.2,1,0,1,0,1,0,0,0,1,0
