Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Great stay!,"Just bed pillow, too small.",Amazing breakfast and very quiet atmosphere.,10.0,July 2024,"July 20, 2024",Standard Double Room,2,Family,7.7,0,1,0,0,0,0,1,0,0,0
Loved staying at the hotel.,,"Breakfast was excellent, had a big variety definately 5 stars for that. staff was very helpful and friendly. Hotel had gym, ironing and conference room facilities. it was central location a few minutes walk from central train station and Metro. had snacks and drinks facilities in the reception area.had a lovely relaxing vibe. Bed was comfortable to sleep.",9.0,August 2024,"August 19, 2024",Standard Double Room,3,Couple,7.7,1,0,1,0,1,0,1,0,1,0
Convenient,A bit like a factory and the reception desk was understaffed for its many functions,The location was good,8.0,August 2024,"August 18, 2024",Small Double Room,2,Solo traveler,7.7,0,0,0,0,0,1,0,0,1,0
Wonderful,"Room: poor lightning, noisy air conditioning system, window could be opened but it is facing atrium with communal area and ping-pong table - 
not an ideal room for a light sleeper","Located 6 min from central station, spacious room, nice gym, bicycle rental for affordable price, self service check-in terminal, generous breakfast buffet",9.0,August 2024,"August 14, 2024",Standard Twin Room,4,Family,7.7,1,1,1,0,1,0,1,0,1,0
Great value hotel that does what they can to make customers feel special,Option for early check in,The staff was SO accommodating. breakfast was incredible. Great vibe. Relatively close to metro.,9.0,August 2024,"August 12, 2024",Family Room,2,Family,7.7,0,0,0,0,1,0,1,0,0,0
Decent value and conveniently located.,"Not the greatest surrounding area, and the room was a tad cramped but overall no issues.","Location near the station was very convenient. Lobby and reception are great. The room was fine, not anything amazing but modern and tidy. Staff were helpful too.",9.0,August 2024,"August 9, 2024",Standard Triple Room,3,Family,7.7,1,1,1,0,1,0,0,0,1,0
The hotel is fine.,"I have stayed in rooms 555 and 561. In both rooms the WiFi was unreliable or nonexistent regardless of the time of day. My mobile is a new iPhone SE 3rd generation and I have no trouble in other locations.  

While it is great that one can pay the bill in cash, this benefit is lessened by the staff not having any change on hand. As Denmark is eliminating many currently legal tender notes it would be a benefit to international travelers who would like to get rid of old bills if the desk could give then change. 

The lobby/elevator music is execrable. Much of it is computer-generated, cookie-cutter, and of questionable artistic merit. Once in a while a couple of real and competent artists are heard but the rest is dreck. More variety would be better as would some better artists.",I do not eat breakfast.,9.0,August 2024,"August 5, 2024",Small Double Room,3,Solo traveler,7.7,0,1,0,1,0,1,1,0,0,1
2 nights between trains,No tea making in room or obvious how to get any from anywhere else except at breakfast,"Handy for the station. Great breakfast options, although busy. Offered us breakfast before our early checkout albeit rather limited as most options had sold out",8.0,June 2024,"July 27, 2024",Standard Double Room,2,Couple,7.7,0,1,0,0,0,0,1,1,0,0
Very Good,Front desk staff was not always helpful!,Breakfast was great !,8.0,July 2024,"July 26, 2024",Standard Twin Room,10,Family,7.7,0,0,0,0,0,1,1,0,0,0
Very lovely,,Breakfast,8.0,July 2024,"July 23, 2024",Small Double Room,3,Solo traveler,7.7,0,0,0,0,0,0,1,0,0,0
Great stay and would recommend the hotel.,A little cramped and keeping the room cool during outside heat was adequate.,"Very quiet room. The staff was excellent, the breakfast was great, and nice facilities.",9.0,July 2024,"July 22, 2024",Small Double Room,3,Couple,7.7,1,1,1,0,1,0,1,0,0,0
Wonderful,No fridge,"Location 
Big room
Bar at reception",9.0,July 2024,"July 21, 2024",Standard Double Room,2,Solo traveler,7.7,1,0,1,0,0,0,0,0,1,0
Highly reccomended,"We had 4 double rooms, they were all different among one another, although we paid the same price for all. Two of them were very small.",The hotel is well maintained in a big and looking-good structure. Breakfast was just amazing.,8.0,July 2024,"July 21, 2024",Small Double Room,3,Couple,7.7,0,1,0,0,0,0,1,0,0,0
"Beautiful design, very efficient place, but poor internet and overworked staff.","Cool place, but internet was bad. Staff trying to make their best, but clearly overworked. Made it really difficult to remote working. No refrigerator in the rooms makes is hard to enjoy a chill drink. No microwave made available to guests. Doors were super heavy and kept on making loud noises the whole night long.","Nice vibe, great gym, beautiful shared areas, office space available upon reservation.",8.0,July 2024,"July 16, 2024",Standard Double Room,6,Solo traveler,7.7,0,1,1,1,0,1,0,1,0,0
Very comfortable hotel in a great location,"Nothing really, it was great value for money","Excellent location, good facilities",9.0,July 2024,"July 14, 2024",Standard Twin Room,3,Group,7.7,0,0,1,0,0,0,0,0,1,0
"Convenient location, great breakfest",Bathroom needs some upgrades. It was easy to get water everywhere while bathing. Very inconvenient,"Hotel is well located, near the city centre with main attractions. Bus stop v. close. Breakfest was great: big choice and served in the nice dinning room.",9.0,July 2024,"July 13, 2024",Standard Triple Room,5,Family,7.7,1,1,0,0,0,0,0,0,1,1
great,nothing,location,8.0,July 2024,"July 12, 2024",Small Double Room,2,Couple,7.7,0,0,0,0,0,0,0,0,1,0
"Nice modern, hip hotel in good location with helpful staff and great breakfast.","The bathroom had a tub, which would be fine for most people, but since I have some disabilities, I would have preferred a walk-in shower to feel safer.","Modern hotel in a good location.  Easy walking distance to the train station, Tivoli, and to restaurants in Vesterbro.  The breakfast was terrific, with lots of options.  The room was comfortable and spacious, and everything was very clean.  You can buy sandwiches and snacks in the lobby, and there is a laundromat available as well.  The staff were very helpful.",9.0,June 2024,"July 3, 2024",Small Double Room,3,Family,7.7,1,1,1,0,1,0,1,0,1,0
Comfortable stay,Nothing to say.,"Very nice accommodation perfect to discover the city by walk. Easy check in and check out, excellent attention from the staff, we were traveling with a 2 years old kid and everything was perfect. Beds are comfortable and rooms are quiet to rest at night. Excellent wifi! 
Breakfast is very nice with a lot of options, they have baby seats.",9.0,July 2024,"July 3, 2024",Standard Triple Room,2,Family,7.7,1,0,1,0,1,0,1,0,0,0
Wonderful,The coffee for breakfast was terrible. Please do better,Comfortable and accessible,9.0,June 2024,"June 29, 2024",Standard Twin Room,3,Family,7.7,0,0,0,0,0,0,0,1,0,0
Good,The bath is quite high to step into.,Good location very central. Very comfortable bed.,7.0,June 2024,"June 28, 2024",Standard Double Room,4,Couple,7.7,1,0,0,0,0,0,0,0,1,0
Wonderful,Room was very small.,Fantastic breakfast buffet.,9.0,June 2024,"June 19, 2024",Standard Double Room,2,Couple,7.7,0,1,0,0,0,0,1,0,0,0
Wonderful,All good.,"Comfort hotel in Vesterbro is clean, comfortable and well located. It has a bit of a  funky vibe that adds to the experience. Dtaf were very helpful and the check in and check out easy. A great place to stay in Copenhagen and handy to the ferry.",9.0,May 2024,"May 30, 2024",Small Double Room,1,Couple,7.7,1,0,0,0,1,0,0,0,0,0
