Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Catered for all our needs.  Surpassed expectations.,Nothing,It is very accessible. We only had 3 hours at the hotel before our next flight ao it was great that it is so close to arrivals hall. Just across the street from. Also very clean and well maintained.,10.0,August 2024,"August 11, 2024",Twin Room,1,Couple,8.3,1,0,0,0,0,0,0,0,0,0
I would stay there again.,"I can't think of any dislikes, except the price.","The room was very convenient and comfortable for one night, while waiting for a connecting flight the next morning.  There is an overhead walkway between the hotel and airport, near door #5.  The basic room was quite small, but clean and quiet.  There was no hair dryer in the room, but the front desk loaned me one. Decent breakfast buffet and a nice bar area.  Expensive, but I guess that's what you pay for the convenience of not having to bus or taxi to a hotel.",8.0,August 2024,"August 19, 2024",Twin Room,1,Couple,8.3,1,0,1,0,0,0,1,0,1,0
Great transit hotel,It took us 40 minutes to check in,"Location, just a very short walk from airport exit",8.0,August 2024,"August 18, 2024",Twin Room,1,Couple,8.3,0,0,0,0,0,0,0,0,1,0
A pleasant stay and very comfortable beds.,,The Location to the airport and the porters carrying our baggage to our room,8.0,August 2024,"August 18, 2024",Twin Room,1,Couple,8.3,1,0,0,0,0,0,0,0,1,0
"Just what I needed - great location, clean room, good security, good food, great service.","The people outside the hotel trying to scam me. Telling me they were hotel security and trying to ""help"" me with my bags.","Location since we just had a layover and had to be back at the airport. Very clean. The beds are very comfortable and super nice, large bath towels.",9.0,August 2024,"August 16, 2024",Twin Room,1,Group,8.3,1,0,0,0,0,0,0,0,1,0
Good,Restaurant staff weren’t very accomodating due to language barrier,Very conveniently located right next to the airport,8.0,August 2024,"August 13, 2024",Twin Room,1,Solo traveler,8.3,0,0,0,0,0,1,0,1,1,0
"Simple and clean, great location for ease with the airport.",Nothing really.,"It is great for what we needed it for.    We walked out of the airport, across one drive/street and into the hotel.   Had a drink in the bar for a night cap and buffet breakfast before our early morning flight.   Nice staff at every experience.",8.0,August 2024,"August 12, 2024",Double Room,1,Couple,8.3,0,0,1,0,1,0,1,0,0,0
Wonderful,Bar and kitchen staff were not as great as reception. Shower was a little weak.,"Great staff, very clean and efficient check in and out. We stayed just 3 hrs, to shower and sleep a little, whilst on a lay over - it was good.",9.0,August 2024,"August 11, 2024",Twin Room,1,Family,8.3,1,1,0,1,1,1,0,0,0,0
Very Good,,Close to terminals with a connection bridge.,8.0,August 2024,"August 11, 2024",Twin Room,1,Couple,8.3,0,0,0,0,0,0,0,0,0,0
Very Good,"is a little pricey. My son stayed there first and FROZE all night because of strong air conditioning. He tried turning down air, but never got air condition to turn down or even off. So when we stayed we made sure we worked the thermostat and it was NOT easy. But managed to turn air off and heater on.",Excellent Location! Very Nice Hotel for an Airport Hotel. Great Staff. Buffet breakfast,8.0,August 2024,"August 9, 2024",Twin Room,1,Family,8.3,0,1,0,0,1,0,1,0,1,0
