Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Exceptional,,Location was great and very central making it very easy to get around. The included breakfast was nice. The room was comfortable. The hostel staff were also very friendly and organized events making it easy to meet other travelers.,10.0,May 2023,"May 16, 2023",Bed in Men's 4-Bed Dorm,2,Solo traveler,8.3,1,0,0,0,1,0,1,0,1,0
Warm welcome and privacy are highly appreciated! I can wait to be back!,"The location was a little bit off for me, but not the hostel's fault. It's a bit weird to walk around, but I must say it was very convenient being able to walk (during the day) to the Bean and Millennium Park.","I really loved the curtains to each bunk bed! I value privacy and this was a very good surprise! I've stayed in other locations of HI USA Hostels and Chicago was a great surprise also with the shared spaces and nice breakfast! I only stayed for 1 night, but would most def come back for more.",9.0,August 2024,"August 19, 2024",Bed in Women's 10-Bed Dorm,1,Solo traveler,8.3,1,0,1,0,0,0,1,0,1,1
"Great location, friendly staff","Size of the room was quite small and felt a bit cramped with a 6 yr old child who wanted to play in a morning before breakfast, nowhere to store suitcases etc so they took up most of the floor space","Loved the location for access to the museums etc, food and recreation area was fab",9.0,July 2024,"August 19, 2024",Twin Over Full Bunk Bedroom,3,Family,8.3,0,1,0,1,0,0,1,1,1,0
"Overall, a great stay and would definitely stay again.",Only complaint is the lack of bathrooms. Not enough and also the shower is in the same room as the only toilet in the dorm area so you can’t use it if someone is in the shower.,Great location! Close to public transit and easy to get everywhere. Breakfast was great! Beds were comfy and room was spacious.,8.0,August 2024,"August 19, 2024",King size bed,4,Couple,8.3,1,1,1,0,0,0,1,0,1,0
Perfect place for small tour in Chicago,We got a share bathroom,Free breakfast and nice stuff,7.0,August 2024,"August 18, 2024",Twin Over Full Bunk Bedroom,2,Couple,8.3,0,1,0,0,0,0,1,0,0,0
"Surprising welcome, I would stay there again","* The room was so cold and I could barely sleep on the first night - and talking with women in other rooms, I heard the same complain. But I asked for an extra blanket at the reception and they promptly gave me one, solving the problem.
* Before arriving, I had inquired if I could send something to be delivered to the hostel. They said yes, but only when I was retrieving the package I found that I had to pay a fee (US$3) for this. Maybe I overlooked this information in the rules, but anyway, I was sad that they did not inform me of the fee when I asked about the possibility of sending a delivery.
* Not the hostel's fault, but someone ate my food! They have stickers where you are supposed to put your name and check-in/out date before storing any food in the kitchen - what I found was great! so imagine my surprise when I arrived one night almost all my cereal and milk were gone.
     - side note: the kitchen was a mess! I understand that it was the guests' responsibility to clean their dishes, but it looks like no one did and the sink was overflowing with dirty utensils","The room was huge, all the beds had privacy curtains, individual lights, and a locker big enough to store a piece of hand luggage. The bathroom had shampoo, conditioner, and soap. Each person has an individual card that opens their room, bathroom, and floor at the elevator - which I found gave me a feeling of safety. The hostel is near bus stops and metro stations, and you can walk to Millennium Park.",9.0,August 2024,"August 18, 2024",Bed in Women's 10-Bed Dorm,6,Solo traveler,8.3,1,1,1,1,0,1,0,1,0,0
Wonderful,,"For an Hostel, I would say it's very good. There are plenty of choices for breakfast and my room was very quiet. Located in the city centre, the hostel is within walking distance of all the city's attractions. I strongly recommend.",9.0,June 2024,"August 18, 2024",Bed in Women's 4-Bed Dorm,2,Solo traveler,8.3,1,0,0,0,0,0,1,0,1,0
Wonderful,"Terrible absolutely horrid breakfast. Yogurt and granola is plenty but the green bananas and inedible granola and stale bread...
Just spend some money on breakfast or don't do it all",Great location and available all night. Tolerable rates,9.0,August 2024,"August 18, 2024",Bed in Men's 8-Bed Dorm Ensuite,1,Solo traveler,8.3,0,0,0,0,0,0,0,1,1,0
Very Good,Noise from otside mostly trains and noise thrugh thin walls.,"Price, location, cleanliness, and breakfast .",8.0,August 2024,"August 16, 2024",Bed in Men's 4-Bed Dorm,1,Solo traveler,8.3,1,0,0,1,0,0,1,0,1,0
Very Good,gets cold sometimes and the central airconditioning could be turned down a little during these times. I had a roommate whose nose kept blocking due to this and my feet were so cold I had to wear a pair of socks and wrap them with the towels provided as well as cover my face before I could sleep,"spacious room, lockers in room, lounge and inclusive breakfast",8.0,August 2024,"August 15, 2024",Bed in Women's 10-Bed Dorm,1,Solo traveler,8.3,1,1,1,1,0,0,1,0,0,0
