Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Exceptional,-,"Hotel location and cleaning are perfect. Right in the middle of the city, next to the metro. Everythig is perfect",10.0,April 2024,"April 14, 2024",Double or Twin Room with City View,3,Couple,8,1,0,0,0,0,0,0,0,1,0
Wonderful,,Location and value,9.0,August 2024,"August 17, 2024",Single Room,3,Solo traveler,8,0,0,0,0,0,0,0,0,1,0
Good,Hotel charged my card before my arrival despite on selected option to pay in the property. This is a gross violation of the agreements of the reservation!,Clean room and bathroom. A lot of towels. Tasty breakfast. Good location.,7.0,August 2024,"August 16, 2024",Triple Room,1,Family,8,1,0,0,0,0,0,1,0,1,0
Good,Room has a faint smell of smoke I think from the head board view from window very disappointing,Location was fantastic air conditioning amazing reception area lovely staff very friendly clean room and bathroom,7.0,August 2024,"August 14, 2024",Triple Room,2,Family,8,1,1,0,0,1,0,0,0,1,1
Cost- effective,,Locatıon is excellent and very cost- effective stay,8.0,August 2024,"August 13, 2024",Double or Twin Room with City View,3,Couple,8,0,0,0,0,0,0,0,0,0,0
Very good,Lift to lobby broke,Central location,7.0,August 2024,"August 11, 2024",Superior Triple Room,2,Couple,8,0,0,0,1,0,0,0,0,1,0
Good hotel and an even better location,Was very basic but exactly as described.,"Superb location right on ramblas. The hotel was basic but great value for money considering how close it was to everything. The staff was super friendly and helped me out when I made a mistake with my booking. Cold aircon, wifi, elevator and own bathroom was good",9.0,July 2024,"August 10, 2024",Superior Double Room,2,Solo traveler,8,1,1,1,0,1,0,0,0,1,0
Wonderful,Nothing,"The location is great: just near Plaça de Catalunya, very close to the Gothic Quarter. Metro station, shops and restaurants are nearby.
The single room was small but fine, It was cleaned very day. The hotel staff is very nice.",9.0,August 2024,"August 8, 2024",Single Room,6,Solo traveler,8,1,0,0,0,1,0,1,0,1,0
Met expectations and allowed us to have a good holiday,"Noise at night from hotel guests
Breakfast could have more variety e.g fruit","Location 
Balcony 
Staff",8.0,August 2024,"August 7, 2024",Double or Twin Room with City View,3,Family,8,0,0,0,1,1,0,0,1,1,0
Very Good,,excellent location  easy access to trains and busses,8.0,July 2024,"August 6, 2024",Double or Twin Room with City View,2,Couple,8,0,0,0,0,0,0,0,0,1,0
La Rambla accommodation,Nothing to complain. All good!,"Best value for money and everything a city traveller needs in one roof! Location, service, price, convenience and ease of access, shops around, public transport, restaurants, afternoon walk at La Rambla and Placa Catalunya. The staff at the reception during day-shift is a cool dude!",9.0,July 2024,"July 27, 2024",Superior Triple Room,1,Family,8,0,0,0,0,1,0,1,0,1,0
Excellent location for exploring the city,"The room was very small, dark and outdated, particularly the bathroom. Not very much storage space.","I'm not sure if I would class this as a 4-star hotel. Seemed very outdated upstairs in the bedrooms. However, the location was excellent, and despite the noise outside on La Ramblas, was extremely quiet during the night. The staff were all lovely, and breakfast was good value for €10. It was nice to be able to sit on the little balcony.",8.0,July 2024,"July 25, 2024",Single Room,2,Solo traveler,8,1,1,0,1,1,0,1,0,1,0
Fantastic hotel in a wonderful location with superb staff.,,"Staying at this hotel was the highlight of our trip.  The location is excellent.  The room was fabulous- modern and extremely clean, and every staff member we encountered, from the front of house people to the cleaners, were amazing.  I can’t recommend this highly enough.",9.0,July 2024,"July 25, 2024",Superior Double Room,2,Couple,8,1,0,0,0,1,0,0,0,1,0
Very Good,Nothing. We got what we paid for,The staff were excellent. Very helpful and friendly,8.0,June 2024,"July 18, 2024",Classic Quadruple Room,1,Family,8,0,0,0,0,1,0,0,0,0,0
The hotel is in a very good location with easy access to/from airport and metro.,"I attempted to request a single room for one traveler when booking, but it didn't take.  Then I made a special request in the follow-up email and did not get confirmation.  At check-in I did not receive the single occupant rate and the employee said the hotel billing was separate from booking.com and it was not possible to change.  I request to be refunded by booking.com to the single occupant rate.","Location, room and facilities were very fine.  Really liked the balcony access overlooking La Rambla.",8.0,July 2024,"July 15, 2024",Double or Twin Room with City View,3,Solo traveler,8,1,1,1,0,0,1,0,0,1,0
Will come again,,Location cannot be better. Very good breakfast with a lot of varietes. Excellent value,9.0,July 2024,"July 12, 2024",Triple Room,2,Family,8,0,0,0,0,0,0,1,0,1,0
Very Good,,Location and clean,8.0,July 2024,"July 6, 2024",Double or Twin Room with City View,3,Group,8,1,0,0,0,0,0,0,0,1,0
Wonderful,,"Gran ubicación, y habitación muy buena, baño muy bueno.",9.0,June 2024,"July 6, 2024",Triple Room,1,Family,8,0,0,0,0,0,0,0,0,0,0
"Good price, great location friendly staff","Location, nice rooms, balcony to look at the rambla","Location at La Rambla was great! Friendly staff, we got there at 10:15am and the room was ready for us",9.0,June 2024,"July 2, 2024",Double or Twin Room,1,Group,8,1,1,0,0,1,0,0,0,1,1
"Fantastic location, easy check in, would recommend.","Just one thing, no tea and coffee making facilities in the rooms. That means having to go out on the prowl for coffee, first thing in the morning. Starbucks and Honest Greens nearby were not open when I went out. There is a vending machine on the first floor. Had I been able to operate this it would have meant taking coffee up in a small lift or up six flights of stairs. Fortunately I gave up on getting anything out of it it after some minutes. A vending machine for coffee is not quite right for the tone of the place, they could do better I'm sure.","We had a room with a balcony overlooking Las Ramblas, very nice. Check in was easy and the hotel is perfectly located. The room was pleasant, the doors to the patio keep out a lot of noise. AC is good, and the shower is good too.",9.0,June 2024,"June 28, 2024",Superior Double Room,2,Couple,8,1,1,0,1,0,0,0,0,0,0
"It was fine, it was just foo1 night. The man at the desk was helpful in getting us a cab",2 of the 3 rooms the air conditioner wasn’t on or working & it was very hot,Atmosphere,7.0,May 2024,"June 26, 2024",Double or Twin Room,1,Family,8,0,1,0,0,0,0,0,0,0,0
Wonderful,,"Great location, friendly staff and good value breakfast",9.0,June 2024,"June 25, 2024",Triple Room,2,Group,8,0,0,0,0,1,0,1,0,1,0
Very good stay! Would definitely book up again if in Barcelona,The room didn’t have a mirror to get ready except for in the bathroom. Having three adults living in the room it was quite difficult. There were two nights where we didn’t have hot water but it was then fixed.,The location of the hotel is literally on La ramblas making it super accessible. There is a metro station just under the hotel and there are a lot of food and shopping outlets all along the street. The staff were friendly,9.0,June 2024,"June 24, 2024",Double Room with Extra Bed,5,Group,8,0,1,0,0,1,0,1,0,1,0
Good,,"The location was great, on the La Ramblas strip and easy to walk to shops, restaurants and public transport.   The breakfast was also really good so would opt for the option with breakfast if staying again.",7.0,June 2024,"June 23, 2024",Double or Twin Room,2,Group,8,0,0,0,0,0,0,1,0,1,0
Hotel met all my needs and expectations.,"It could be a little noisy in the evening/early hours, but that was to be expected due to location.","Clean rooms, great central location, helpful staff.",8.0,June 2024,"June 21, 2024",Single Room,2,Solo traveler,8,1,0,0,0,1,0,0,0,1,1
We all had a lovely time at the hotel,We were only staying two nights so it was all good lots of noise going on all night…great for the younger generation 😊,The decor was beautiful we as the older generation love style and your hotel has that Breakfast had everything you wanted and more    GREAT,8.0,June 2024,"June 20, 2024",Classic Quadruple Room,2,Family,8,0,0,0,1,0,0,1,0,0,0
Perfect.,,I was a little worried that a 2 star would not be so comfortable and reading La Ramblas was noisy and not so desirable to stay on. Well I thought it was perfect. The most affordable and the best location. Perfect. I would stay here again.,7.0,May 2024,"June 19, 2024",Double or Twin Room,3,Family,8,0,0,0,0,0,0,0,0,1,0
Wonderful,,It is well located,9.0,May 2024,"June 17, 2024",Single Room,1,Solo traveler,8,0,0,0,0,0,0,0,0,0,0
Great 4 day stay,Smallish room,Fantastic location with balcony right on the Ramblas. Excellent continental breakfast. Friendly front desk. Lift and security,9.0,June 2024,"June 15, 2024",Double or Twin Room with City View,3,Couple,8,0,1,0,0,1,0,1,0,1,0
Wonderful,nothing,A very well run hotel,9.0,June 2024,"June 12, 2024",Single Room,1,Solo traveler,8,0,0,0,0,0,0,0,0,0,0
