Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Great staff and good location.,No parking available like other hotels and the cost of valet is not disclosed upfront before booking the accommodation.,The central location and helpful staff,10.0,March 2024,"March 13, 2024",Queen Room with Two Queen Beds and Balcony,1,Couple,8.5,0,0,0,1,1,0,0,0,1,0
Good,Parking issue,Location and cleanliness,7.0,August 2024,"August 20, 2024",Queen Room with Two Queen Beds and Balcony,2,Family,8.5,1,0,0,1,0,0,0,0,1,0
Good location for first time in Atlanta,,"Balcony, location, elevator, coffee shop",8.0,August 2024,"August 19, 2024",Queen Room,2,Couple,8.5,0,0,1,0,0,0,0,0,1,0
Wonderful,,"Great location, great view, and the staff was really friendly.",9.0,August 2024,"August 18, 2024",King Room with Balcony and City View,2,Solo traveler,8.5,0,0,0,0,1,0,0,0,1,0
Quiet. Near CVS.,"Did not have toiletries such as toothbrush and toothpaste. Did not have room slippers, bathrobe. Hotel was unable to provide upon request.","Quiet room. 1 min walk away from CVS Pharmacy which closes at 12am. Has complimentary water, hair dryer, security box.",8.0,August 2024,"August 13, 2024",Queen Room,1,Couple,8.5,1,1,0,0,0,0,0,0,0,0
Magnificent,Everything,Excellent,10.0,August 2024,"August 12, 2024",Queen Room with Two Queen Beds and Balcony,1,Family,8.5,0,0,0,0,0,0,0,0,0,0
"Comfortable, pleasant staff, convenient area",Ice machine wasn’t working on our floor.,Pretty much everything.,9.0,August 2024,"August 12, 2024",Queen Room with Two Queen Beds and Balcony,3,Group,8.5,0,0,0,0,0,0,0,0,0,0
Very Good,I really hate how someone had a party there on August 3rd and as a customer I had my room reserved and you know your rooms are not cheap and you had no valet parking therefore I end up having to go to another hotel and park they actually charged me $30 to park there on top of I move my car and brought it back to my hotel which was you always hotel at 2:30 3:00 in the morning and you are still charging me $55 and my vehicle was only there like 8 hours I was very unpleased and I need someone to try to assist me with how we're going to straighten this out because I am a dissatisfied customer right now,I love the size of my room I love the comfortability of my bed I love the patio that I had but the valet parking that situation with that party really had a bad taste in me and my wife's mouth,8.0,August 2024,"August 6, 2024",Corner Deluxe King Room,1,Family,8.5,1,1,1,1,0,0,0,0,0,0
Always a Great stay,Parking,Cleaning and location,10.0,August 2024,"August 6, 2024",Double Room with Two Double Beds and Accessible Tub - Disability Access,1,Couple,8.5,1,0,0,1,0,0,0,0,1,0
Staff excellent room nice price grate,The top sheet was stained,Room right by the elevator and room was a nice size,9.0,August 2024,"August 5, 2024",King Room,1,Couple,8.5,1,0,1,0,0,0,0,0,0,0
Excellent hotel will definitely stay again just wish there was more parking space without having to drive away from the,Not enough parking for overnight stays,The bed and the sheets were superb and the room was super quiet even though it was facing the street,10.0,August 2024,"August 5, 2024",King Room with Accessible Shower - Disability Access,1,Couple,8.5,1,0,0,1,0,0,0,0,0,0
Had a relaxing time,Nothing,Everything,10.0,August 2024,"August 4, 2024",Queen Room,1,Couple,8.5,0,0,0,0,0,0,0,0,0,0
As I expected.,There are two restaurants in the property but one is closed many evenings  I think they should both be open so as to give a choice to the guests and they need to change the menu. it is the sane fir a couple of years.,I like the location as I can take the subway directly to the hotel from the airport.   There are many eateries in the mall under the hotels and a CVS and FedEx.  you can walk to nearby places BUT there are many homeless inthe blocks near the hotel.,7.0,July 2024,"July 30, 2024",Queen Room,4,Solo traveler,8.5,0,0,0,0,0,0,0,1,1,0
Very Good,The bathroom toilets knob leaked when flushing and sink knob had a minor leak,,8.0,July 2024,"July 29, 2024",King Room,2,Couple,8.5,0,1,0,0,0,0,0,0,0,0
"Very beautiful space, good night's rest, convenient location, excellent friendly staff","Door of bathroom didn't close 
Parking was supposed to be 55$ - which was a huge turn off right of the bat","Beautiful decor in lobby, welcome drink (infused water) , VERY friendly staff",8.0,July 2024,"July 29, 2024",King Room,1,Couple,8.5,0,1,1,1,1,0,1,0,0,0
Have a romantic getaway at a classic Atlanta hotel that hasn’t lost a step in rolling out the red ca,"The Polaris was closed due to a private event, but we went to Trader Vic’s which was nearby and didn’t feel slighted.",Beautiful city view!,10.0,July 2024,"July 29, 2024",King Room,1,Couple,8.5,0,0,0,0,0,0,0,0,1,0
Exceptional,,Everything,10.0,July 2024,"July 28, 2024",Queen Room with Two Queen Beds and Balcony,1,Family,8.5,0,0,0,0,0,0,0,0,0,0
Great hotel in fab location,,"Stay in Hyatt’s whenever we travel to various places, they’re always lovely & staff are helpful",8.0,July 2024,"July 26, 2024",Queen Room with Two Queen Beds and Balcony,1,Family,8.5,0,0,0,0,1,0,0,0,0,0
Very Good,We stayed at the Hyatt last year for the market and we were in the main tower. The tower we stayed in this year did not have an updated room but it was well maintain and very clean. Cleaning staff was amazing.,"We were there for the casual furniture show at the mart and it was extremely convenient to walk to the market everyday. Loved the location.
Loved the bar for after the show.
Staff at the bar was extremely friendly and remembered us every night and even from last year.",8.0,July 2024,"July 22, 2024",Double Room with Two Double Beds,3,Couple,8.5,1,1,1,0,1,1,0,0,1,1
Nice downtown hotel,Cost of parking.,Nice clean hotel. Staff was friendly.,10.0,May 2024,"July 21, 2024",King Room,1,Couple,8.5,1,0,0,1,1,0,0,0,0,0
Beautiful hotel. Great value for money. Respectful staff.,Everything was great,Staff was amazing and the hotel was beautiful,10.0,June 2024,"July 19, 2024",Queen Room,1,Couple,8.5,0,0,0,0,1,0,0,0,0,0
Exceptional,The buffet at Sway was not worth the money at all. There was a very poor choice probably the worse buffet I ve ever had . The waiter couldnt wait to get rid of us to get the tables ready for the next days breakfast though it was only 7h 30 in the evening,Large comfortable very clean rooms,10.0,July 2024,"July 19, 2024",Queen Room with Two Queen Beds with Balcony and City View,2,Family,8.5,1,0,0,0,0,0,0,1,0,0
Exceptional,,"I recently stayed at Hyatt Regency, and everything was absolutely perfect! The rooms were impeccably clean and beautifully decorated, providing a comfortable and relaxing environment. The service was top-notch, with the staff going above and beyond to ensure a pleasant stay. The amenities were fantastic, including the pool & gym.
The location was ideal, Overall, my experience at Hyatt Regency exceeded all expectations, and I highly recommend it to anyone looking for a perfect getaway.",10.0,July 2024,"July 18, 2024",King Room,1,Family,8.5,1,0,1,0,1,0,0,0,1,0
Nice and comfortable,"I tried to know the restaurant at the top of the building “Polaris”, but if you don’t have reservation there is not chance at all, maybe they can give you some options during off days to visit it.","The 22 story restaurant at the lobby has an excellent ambient, staff friendly, nice food.",10.0,July 2024,"July 17, 2024",Queen Room with Two Queen Beds and Balcony,3,Group,8.5,0,0,1,1,1,0,1,1,0,0
I will definitely return.,We had a great time; no complaints or concerns.,Our hotel experience was phenomenal. Very well cleaned room and service. Professional staff.,10.0,July 2024,"July 17, 2024",Double Room with Two Double Beds,2,Family,8.5,1,0,0,0,1,0,0,0,0,0
It waa an amazing stay! I'd definitely come back despite soreness lol.,The bed was murder on my back and the pillows were too soft. I was able to sleep but paid for it in pain the next morning unfortunately for a few hours.,The location was perfect for where why were there. Everything in the hotel was outstanding staff helpful and nice. Food was delicious!,8.0,July 2024,"July 17, 2024",Queen Room,4,Family,8.5,0,1,0,0,1,0,1,0,1,0
Wonderful,Atlanta is over priced.,The view was great. The location is perfect for Downtown Atlanta.,9.0,July 2024,"July 15, 2024",King Room with Balcony and City View,2,Couple,8.5,0,0,0,0,0,0,0,0,1,0
Exceptional,bathrooms could be bigger in executive suites,everything! have stayed at this property over 5 times in the last 3-4 years and i have always loved everything about it! i always recommend,10.0,July 2024,"July 15, 2024",Executive Suite with Balcony,1,Solo traveler,8.5,0,1,0,0,0,0,0,0,0,0
"Fail quality for the price. Overall, I would recommend.","As mention at the good stuff, the hotel has only the basic amenities for a 4*. Does not excel in anything.","The location is good. 
The hotel has all the basic amenities you’d expect from a 4*.",9.0,June 2024,"July 12, 2024",Queen Room with Two Queen Beds and Balcony,3,Family,8.5,0,0,0,0,0,0,0,0,1,0
Clean and comfortable,There was a conference of handicapped individuals so the elevators took forever. It also took almost an hour to get our bags from the parking garage. There was a time that nobody knew where our bags were. It was frustrating.,The hotel is beautiful and everyone we interacted with were so lovely. They even called to make sure our bags got up to us. They were so nice on the phone too when we called for extra towels. The valet was so nice as well.,8.0,July 2024,"July 10, 2024",Queen Room with Two Queen Beds and Balcony,1,Family,8.5,0,0,0,1,0,0,0,0,0,0
It was clean and comfortable,Paying for parking and there was no Continental breakfast,I had to pay for my meals,10.0,July 2024,"July 9, 2024",Queen Room,3,Family,8.5,0,0,0,1,0,0,0,1,0,0
Very friendly staff and location was great. The high cost per night for guest parking was a down poi,No Microwave or a warming room station posted.to warm up left overs or pop popcorn.,Ate dinner only. The food was good. I needed a microwave for late late night left overs.,9.0,July 2024,"July 8, 2024",Queen Room with Two Queen Beds with Balcony and City View,3,Family,8.5,0,1,0,0,0,0,1,0,0,0
Exceptional,,I love everything about the property,10.0,July 2024,"July 8, 2024",Queen Room,2,Couple,8.5,0,0,0,0,0,0,0,0,0,0
"Excellent stay , friendly staff","We had to pay for water bottles too ,",Location,9.0,June 2024,"July 8, 2024",Queen Room,3,Couple,8.5,0,0,0,0,0,0,0,0,1,0
Excellent hotel in DT Atlanta,,"Well located hotel, close to the public transport. Good gym and friendly staff",9.0,July 2024,"July 8, 2024",Queen Room,1,Couple,8.5,0,0,1,0,1,0,0,0,1,0
Excellent DT Atlanta hotel,,Hotel was well located and had a large gym. Staff were all very friendly and helpful.,9.0,July 2024,"July 8, 2024",Double Room with Two Double Beds,2,Couple,8.5,0,0,1,0,1,0,0,0,0,0
Good,Clean,Location,7.0,July 2024,"July 7, 2024",Queen Room,1,Solo traveler,8.5,0,1,0,0,0,0,0,0,1,0
