Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Exceptional,,"The studio exceeded my expectations!  Well-furnished, with luxurious feel, very clean.  Airport shuttle was a breeze, both for arrival and departure.  Staff waited at the airport (for arrival) way beyond the stated time, as the flight was delayed.",10.0,November 2023,"November 4, 2023",King Studio - Complimentary Round-trip Airport Transfer upon request,1,Solo traveler,8.3,1,0,0,0,1,0,0,0,0,0
Good value for money,Nothing,Clean near airport,9.0,August 2024,"August 19, 2024",King Studio - Complimentary Round-trip Airport Transfer upon request,1,Solo traveler,8.3,1,0,0,0,0,0,0,0,0,0
Good location for early morning or transfer flights,The room we stayed in had a leak in the bathroom which soaked our toiletries. As we arrived late and had early start we chose to stay there and did mention to staff the following morning.,Breakfast was good selection. Staff were helpful. Good free transfer service to the airport. Good for 1 nights stay during travel.,7.0,July 2024,"August 18, 2024",Standard Queen Room  - Complimentary Round-trip Airport Transfer upon request,1,Couple,8.3,0,1,0,0,1,1,1,0,0,0
Short but had everything we needed,,"Close to airport, facilities",9.0,August 2024,"August 14, 2024",Queen Studio - Complimentary Round-trip Airport Transfer upon request,1,Couple,8.3,0,0,1,0,0,0,0,0,0,0
For an overnight stay after a long flight we could not have asked for more. Will be back,Could have had some glasses and cutlery inroom,Polite and helpful staff right from pick up at airport,8.0,August 2024,"August 14, 2024",King Studio - Complimentary Round-trip Airport Transfer upon request,1,Couple,8.3,0,1,0,0,1,0,0,0,0,0
Great stay close to Airport walking distance,,"Great location near the Airport good transport 
Walkable. Shopping food close by",7.0,August 2024,"August 13, 2024",King Studio - Complimentary Round-trip Airport Transfer upon request,1,Group,8.3,0,0,0,0,0,0,1,0,1,0
"First time in Vietnam, and amazing stay.",There was a nymph (cockroach) in the cabinet. Rotten wall due to water seepage.,"Complimentary shuttle from Airport to Hotel, back and forth. The early check in as part of the Accor Membership. Multiple TV in the room, living room and bedroom.",8.0,August 2024,"August 13, 2024",King Studio - Complimentary Round-trip Airport Transfer upon request,1,Solo traveler,8.3,1,0,0,0,0,0,0,0,0,0
All in all it's a great place,That there is no balcony for smoking 😕,Close to airport,8.0,August 2024,"August 12, 2024",Standard Queen Room  - Complimentary Round-trip Airport Transfer upon request,1,Solo traveler,8.3,0,0,0,0,0,0,0,0,0,0
"Excellent stay, highly recommended",Nothing,Everything,9.0,August 2024,"August 11, 2024",King Studio - Complimentary Round-trip Airport Transfer upon request,1,Couple,8.3,0,0,0,0,0,0,0,0,0,0
"Clean, comfortable and modern with a great pool on the rooftop and Starbucks in the lobby. Also","The only thing I could complain about are the elevators. I  could never seem to get the allocated elevator from my floor on the 5th to the Rooftop Pool, I always had to go down the ground floor in order to get an elevator up to the roof top. They need a system to be able to call the Rooftop elevator as only two of the four elevators go up there.",Comfortable and clean room and great facilities. Starbucks in the lobby and two convenience stores next door to stock up on snacks for the flight home.,8.0,August 2024,"August 11, 2024",Queen Studio - Complimentary Round-trip Airport Transfer upon request,1,Family,8.3,1,0,1,1,0,0,0,0,0,0
