Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Exceptional,No change money office,"Very good hotel, clean with big beds. Good bathroom. There is free shuttle to/from airport.
We have eaten in restaurant and was good.",10.0,November 2023,"December 3, 2023",Queen Room with Two Queen Beds - Non-Smoking,1,Group,8.8,1,0,0,0,0,0,1,0,0,0
Exceptional,"Note that shuttle needs to be booked in advance, preferably 48h in advance","Very friendly staff. Very large room. 
Breakfast with great variety.",10.0,August 2024,"August 18, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.8,1,0,0,0,1,0,1,0,0,0
Excellent for a overnight stay before a flight next day,None,Staff with great customer service skills,10.0,August 2024,"August 17, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.8,0,0,0,0,1,0,0,0,0,0
Perfect place for a layover in SCL,,"Es un lugar de calidad, cerca del aeropuerto y con servicio de transfer.",10.0,August 2024,"August 15, 2024",King Room - Non-Smoking,1,Family,8.8,0,0,0,0,0,0,0,0,0,0
"Comfortable, great option for a Santiago airport hotel",Weirdly there was no wardrobe or any hanging space for clothes.,"Pre-booked the airport shuttle. Great communication before our stay from the hotel. Clear instructions on finding the shuttle. Great service. Our room wasn't ready initially (midday), but we only waited about 30 minutes. Big rooms. TV with a couple of English channels. Very good food from the restaurant and room service. Very good breakfast. It was a great find for an overnight airport stay in Santiago. Highly recommended.",9.0,August 2024,"August 15, 2024",King Room - Non-Smoking,1,Couple,8.8,1,0,0,1,1,0,1,0,0,0
Very Good,Free airport transfer didn’t show on time and we had to chase up. Though very prompt once we had. No problem with booking from hotel to airport next day.,Very pleasant airport hotel. Breakfast good variety. Beds comfy. Staff super.,8.0,July 2024,"August 14, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Family,8.8,1,0,0,0,1,0,1,0,0,0
Perfect for layover between flights .,,"Location , Staff , Modern  , shuttle service",9.0,August 2024,"August 6, 2024",Deluxe Family Room - Mobility Access/Non-Smoking,1,Solo traveler,8.8,0,0,0,0,1,0,0,0,1,0
Extremely comfortable,,"Luxurious place close to the airport. Great wifi, huge breakfast buffet. The shuttle picked me up and dropped me off at the airport. The pickup is every hour, I missed my reserved timeslot, but it was no problem using the next shuttle.

Although I only used this hotel between flights, it was extremely comfortable.",9.0,August 2024,"August 6, 2024",Queen Room with Two Queen Beds - Non-Smoking,1,Solo traveler,8.8,0,0,1,0,0,0,1,0,0,0
Perfect for a layover between flights,No complaints at all!,"The room was very clean and in perfect condition and the bed was very comfortable.
The staff were excellent and very friendly, both at check-in and during dinner and breakfast.
The shuffle service was also appreciated - the drivers were friendly (particularly the one from airport to hotel who was patient as I rushed from my plane!) and the journey was swift
The location was good for me - I was only staying one night between two long flights, so the proximity to the airport was perfect for my needs (but I acknowledge if you're staying in Santiago for longer as a tourist, then you might want a more central location)",10.0,July 2024,"August 3, 2024",King Room - Non-Smoking,1,Solo traveler,8.8,1,0,0,0,1,0,1,0,1,0
Exceptional,Nothing.,"Ideal location with easy shuttle bus to airport. The room was very good, the swimming pool, sauna and breakfast were simply amazing. Best  price-quality ratioof our whole holiday.",10.0,July 2024,"August 1, 2024",Deluxe Family Room - Mobility Access/Non-Smoking,1,Family,8.8,1,0,1,0,0,0,1,0,1,0
