Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
This is a must stay in Rome,,"This set a new standard for service. The staff's knowledge, attentiveness, and just kindness have made this the best experience I've had. This isn't only the best hotel in Rome, they made it the best anywhere. I will never stay anywhere but here in Rome. Keep it up, you are changing the standard!",10.0,February 2024,"February 13, 2024",Single Room,1,Solo traveler,7.4,0,0,0,0,1,0,0,0,0,0
Convenient and comfortable.,"I booked for 2 adults and 1 child, they insisted on us all sharing 2 single beds.",Literally across the road from the train station exit and some good restaurants behind it.,8.0,July 2024,"August 19, 2024",Double or Twin Room,3,Group,7.4,0,1,0,0,0,0,1,0,0,0
Good,,So close to station.,7.0,August 2024,"August 18, 2024",Single Room,1,Solo traveler,7.4,0,0,0,0,0,0,0,0,0,0
Good,Small and old rooms,Location,7.0,August 2024,"August 18, 2024",Small Double Room,3,Couple,7.4,0,1,0,0,0,0,0,0,1,0
Good,There was no kettle and a mug in the room.,Staff was lovely. Room was clean.,7.0,August 2024,"August 17, 2024",Small Double Room,1,Family,7.4,1,1,0,0,1,0,0,0,0,0
Very Good,"Enter the room was very difficult,no kettle or coffee machine at all","Good location,excellent breakfast,very good fridge",8.0,August 2024,"August 16, 2024",Small Double Room,4,Couple,7.4,0,1,0,0,0,0,1,0,1,0
"Good location, but some rooms need huge improvement.","One of the rooms we booked for our family holiday was not up to standard - there was only 1 socket in the entire room and this was above the bed (near the headrest) 
They only provided water in each room for the first day. Thereafter there was no water/drinks provided in the mini fridge of the rooms. Considering that it was nearing 40°C this would have been a great token of service.","The location was great as it’s right next to the main train and bus station, which leads to all the prime locations of Rome as well as other cities in Italy. 

There are loads of restaurants (various cuisines) and shops near by. 

Breakfast buffet was good, same options every day but enough to fuel the morning.",7.0,August 2024,"August 15, 2024",Double or Twin Room,4,Family,7.4,0,1,0,0,0,1,1,1,1,0
"Great staff, need to remove the hall carpet and co ti is with the grey tiles",Bathroom need updating shower door needs changing,"Great staff, good breakfast, fabulous location",7.0,August 2024,"August 11, 2024",Double or Twin Room,2,Family,7.4,0,1,0,0,1,0,1,0,1,0
"Great location, kind staff, poor MEP facilities.","Shower cold/hot regime malfunction, unpleasant lift behavior, humidity scent, ventilation missing…","Location, kind staff, cozy bed, clean rooms.",8.0,August 2024,"August 9, 2024",Double or Twin Room,1,Family,7.4,1,1,0,0,1,0,0,0,1,0
Good,"The bad smell inside the room,like someone was smoking inside and old airconditioning was very loud",Location and staff,7.0,August 2024,"August 6, 2024",Single Room,1,Solo traveler,7.4,0,1,0,0,1,0,0,0,1,0
Very Good,,Convenient location to the train station. The friendly staff.  Nice whirlpool bath tub to cool down.,8.0,July 2024,"August 6, 2024",Double or Twin Room,1,Group,7.4,0,0,0,0,1,0,0,0,1,0
Great short stay to get sorted for the next move by train to continue holiday,,"Directly across from Roma Termini - ideal for moving on,
Breakfast substantial and varied
Room good size, bathroom could do with a make over but use of a bath was excellent",6.0,June 2024,"August 5, 2024",Superior Double or Twin Room,3,Solo traveler,7.4,1,0,0,0,0,0,1,0,0,0
Good,"Room was a bit small, but not a deal-breaker. No complaints otherwise.",Proximity to the train station made this place perfect for travel. Air conditioning was sufficient for July/August in Rome. Included breakfast was good.,7.0,July 2024,"August 2, 2024",Small Double Room,3,Couple,7.4,1,1,0,0,0,0,1,0,1,0
"great location near the train station, and a great deal for the price. basic but comfortable.","couldn't adjust the AC. the door and key were also finicky, but i asked the staff for help and they instructed me how to open it.",great location if you want to be near the train station for traveling purposes (which is also in a good area of Rome). the hotel was perfectly suitable and comfortable if you're going to be exploring and not in the room a lot. paid $88/night and felt like it was a great deal — would definitely stay again!,7.0,July 2024,"July 29, 2024",Single Room,1,Solo traveler,7.4,1,0,0,0,0,1,0,0,1,0
