Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Enjoyable stay,-,"Great place, nice and kind hotel service.",10.0,July 2022,"August 3, 2022",Standard King Room with Free WiFi,1,Family,7.7,0,0,0,0,1,0,0,0,0,0
good/excellent,i liked it,staff were very helpful and good. I was very pleased but my elderly friend did not find it comfortable due to her own needs,8.0,July 2024,"August 6, 2024",Standard King Room with Free WiFi,1,Group,7.7,0,0,0,0,1,0,0,0,0,0
Wonderful,Nothing,Very good,9.0,July 2024,"August 3, 2024",Standard King Room with Free WiFi,1,Family,7.7,0,0,0,0,0,0,0,0,0,0
Great location to stay and chill!,The food was good but I’ve had better. Also not completely worth the high prize and taxes.,The location is perfect just 10 minutes away from the airport. Aerocity is an up and coming spot and very safe for women. Right opposite the hotel is worldmark that has some great eateries and pubs.,8.0,July 2024,"July 18, 2024",Standard King Room with Free WiFi,2,Family,7.7,0,0,0,0,0,0,0,1,1,0
I would have rated it 10 out of 10. I stay at this property every time I come to India.  This stay I,"Delay of service. Waited 50minutes for room service to open the connecting rooms. 
Suggestion - connecting room key should be given to the bell boy who can open the rooms when we reach the room with our luggage.","Location, comfort of connecting rooms for kids.",7.0,June 2024,"July 13, 2024",Standard King Room with Free WiFi,1,Family,7.7,1,1,0,0,0,1,0,1,1,0
Very good location and excellent room,,"Good location, friendly staff and great room",8.0,July 2024,"July 12, 2024",Standard King Room with Free WiFi,1,Solo traveler,7.7,1,0,0,0,1,0,0,0,1,0
Awesome,All good,Keep it up,9.0,July 2024,"July 10, 2024",Standard King Room with Free WiFi,1,Couple,7.7,0,0,0,0,0,0,0,0,0,0
Wonderful,space,all good,9.0,July 2024,"July 8, 2024",Standard King Room with Free WiFi,1,Group,7.7,0,0,0,1,0,0,0,0,0,0
Very Good,,The cleanliness of the area,8.0,June 2024,"June 24, 2024",Premier King Room with Free wifi,1,Family,7.7,1,0,0,0,0,0,0,0,0,0
good,nothing,room,9.0,May 2024,"June 18, 2024",Standard King Room with Free WiFi,2,Solo traveler,7.7,1,0,0,0,0,0,0,0,0,0
Service par excellence,,Exceptional staff and service ranging from concierge to F&B to doorman. Security to front desk. Indian hospitality at its truly best.,9.0,June 2024,"June 5, 2024",Standard King Room with Free WiFi,2,Family,7.7,0,0,0,0,1,0,0,0,0,0
The most impressive aspect was the excellent service,The only thing that could be improved is the addition of a game zone or play area for children.,"I had an overall great experience at the Novotel Hotel. The most impressive aspect was the excellent service the staff provided, who were attentive and efficient. The service was quick, and the facilities, including food and cleanliness, were outstanding.

However, as a vegetarian, I found that the North Indian vegetarian options were limited compared to the numerous non-vegetarian choices, even in the buffet. Despite this, the service was excellent, and I preferred opting for the buffet rather than individual orders as it offered better value for the same price.

My family and I thoroughly enjoyed our stay, and we all had a wonderful experience. Other than that, everything was fantastic",9.0,May 2024,"May 29, 2024",Premier King Room with Free wifi,1,Family,7.7,1,0,1,0,1,0,1,0,0,0
Wonderful,,"Location, cleanliness and communication",9.0,May 2024,"May 28, 2024",Standard King Room with Free WiFi,1,Solo traveler,7.7,1,0,0,0,0,0,0,0,1,0
The stay in the hotel was memorable,Cigarette smell in room. Difficult to control Temperature in room.,The pool party was a surprise. The lounge was a bonus,9.0,May 2024,"May 22, 2024",Standard King Room with Free WiFi,6,Couple,7.7,0,1,1,0,0,0,0,0,0,0
Was great for a short stay.,Sports bar staff poorly trained,"Good breakfast menu , clean & silent rooms.",9.0,May 2024,"May 16, 2024",Standard King Room with Free WiFi,1,Solo traveler,7.7,1,0,0,0,0,1,1,0,0,0
Superb.,You are doing fine.,"Friendly staff, nice room, everything what is needed. Got help whenever needed.",9.0,May 2024,"May 9, 2024",Premier King Room with Free wifi,1,Solo traveler,7.7,1,0,0,0,1,0,0,0,0,0
Very Good,Staff was helpfull,Great time,8.0,April 2024,"May 6, 2024",Standard Twin Room with Free WiFi,1,Family,7.7,0,0,0,0,0,1,0,0,0,0
Wonderful,,"I would say one of the better hotel in Aerocity.
The room rate was much better this time.
The front desk staff Maneet is friendly and helpful.",9.0,April 2024,"April 23, 2024",Standard King Room with Free WiFi,4,Solo traveler,7.7,1,0,0,0,1,0,0,0,0,0
Good it could have been much better,Waiting time upon arrival for almost 1.5 hrs at the lobby due to the suit was ready for the guest. Not acceptable for any guest specially for traveling from international destinations with long flight.,Location,8.0,April 2024,"April 11, 2024","Superior Suite – 2 way airport transfers, Lounge access, 15% discount on hotel service",3,Family,7.7,0,0,0,1,0,0,0,0,1,0
A happy stay,Nothing,"Cleanliness, polite staff",9.0,April 2024,"April 9, 2024",Standard King Room with Free WiFi,1,Group,7.7,1,0,0,0,1,0,0,0,0,0
