Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative
Very comfortable stay!,,Spa is available for additional fee but was very very nice and spacious with pool and sauna.,10.0,November 2023,"December 8, 2023",Standard Double or Twin Room,3,Couple,8.7,0,0,1,0,0,0,0,0,0,0
Great hotel,Check in queue was very slow - receptionists could have greeted the guests.,Fab location large comfortable clean room. Great breakfast.,10.0,August 2024,"August 21, 2024",Standard Double or Twin Room,1,Family,8.7,1,0,0,0,0,0,1,0,1,0
Exceptional,Nothing! Everything was fab,"The breakfast was magnificent, unreal selection. The spa was lovely. The rooms were clean and the bed was incredibly comfy",10.0,July 2024,"August 21, 2024",Standard Room with Daily Spa Access,1,Couple,8.7,1,0,1,0,0,0,1,0,0,0
"Very comfortable, great location and close to train station and tram",Nothing,"Spacious rooms, very clean, they gave us an extra room for our kids, very nice of them, breakfast was amazing",10.0,August 2024,"August 14, 2024",Family Room,1,Family,8.7,1,0,1,0,0,0,1,0,0,0
Fantastic location & facilities. Breakfast is excellent & staff all really warm/ professional,Shower head could do with a deep clean,Location for a tourist is ideal,9.0,August 2024,"August 14, 2024",Riverside Double or Twin Room,2,Family,8.7,0,1,0,0,0,0,0,0,1,0
Exceptional,,"Very clean, polite and friendly staff. Super delicious breakfast! The room was prepared for us to every little detail. SPA was very nice, friendly SPA staff. Would recommend 100%!",10.0,August 2024,"August 12, 2024",Riverside Double or Twin Room,2,Family,8.7,1,0,1,0,1,0,1,0,0,0
Lovely hotel for a stay,,The spa was very nice to spend some time in,9.0,August 2024,"August 12, 2024",Standard Double or Twin Room,4,Solo traveler,8.7,0,0,1,0,0,0,0,0,0,0
Super cool and Riga was beautiful and happening city.,No complaints,"SPA, customer service, room service. Near center city. Walking distance to tourist attractions.",9.0,August 2024,"August 8, 2024",Standard Double or Twin Room,3,Family,8.7,1,0,1,0,1,0,1,0,1,0
Exceptional,,everything was ok,10.0,July 2024,"August 7, 2024",Riverside Deluxe Room with Daily Spa Access,2,Solo traveler,8.7,0,0,0,0,0,0,0,0,0,0
Never fails to disappoint!,No complimentary water in the rooms and no tissues.,Always a pleasure visiting the hotel. It was lovely to see welcome drinks upon arrival for all guests. Aesthetically pleasuring too. Friendly staff and a great location.,9.0,August 2024,"August 7, 2024",Standard Double or Twin Room,3,Group,8.7,0,1,0,0,1,0,1,0,1,0
Perfect choice for a nice stay,-,"Breakfast, room style",10.0,August 2024,"August 6, 2024",Standard Double or Twin Room,1,Family,8.7,1,0,0,0,0,0,1,0,0,0
Amazing,N/a,"Clean, modern and really good staff",10.0,August 2024,"August 5, 2024",Riverside Room with Daily SPA access,1,Couple,8.7,1,0,0,0,1,0,0,0,0,0
The perfect hotel to stay in Riga,Nothing,"Lovely staff , very helpful . The spa is fabulous. The location is perfect for any stay in Old Town Riga .",10.0,August 2024,"August 3, 2024",Standard Double or Twin Room,5,Couple,8.7,0,0,1,0,1,0,0,0,1,0
Awesome Spot in Riga!,Absolutely nothing!!,Everything!!! What a location!!! What a breakfast!! Gorgeous gym!! Love love love,10.0,July 2024,"August 2, 2024",Standard Single Room,2,Solo traveler,8.7,0,0,1,0,0,0,1,0,1,0
Very helpful staff,"When I book a hotel that has a pool, I expect access to pool facilities to be included. €20 per person for 90 minute access was unexpected.",Large room well equipped,9.0,July 2024,"July 31, 2024",Standard Double or Twin Room,1,Family,8.7,1,0,0,1,0,0,0,0,0,0
Excellent,Can't think anything atm.,"Everything was nice, breakfast, spa, employees. :)",9.0,July 2024,"July 26, 2024",Family Room,2,Group,8.7,0,0,1,0,1,0,1,0,0,0
Wonderful,,"Everythin: location, clean & spacious room, friendly staff, good breakfast with a big variety of food, spa area, location",9.0,May 2024,"July 26, 2024",Standard Double or Twin Room,3,Family,8.7,1,0,1,0,1,0,1,0,1,0
Exceptional,,Very clean and comfortable. Good location and breakfast.,10.0,July 2024,"July 25, 2024",Superior Double or Twin Room,2,Family,8.7,1,0,0,0,0,0,1,0,1,0
"It's always said that nothing is perfect, but this visit was.","Honestly, there was nothing that I didn't like in this hotel. After several countries, cities and hotels, this one feels like a second home.","I loved the SPA, a perfect way to relax, and the breakfast was amazing, impossible to not to find something to eat. My favorite was totally the location, very nicely just next to the old town.",9.0,July 2024,"July 25, 2024",Riverside Room with Daily SPA access,9,Family,8.7,0,0,1,0,0,0,1,0,1,0
Wonderful,,Very well maintained and overall good rooms,9.0,July 2024,"July 23, 2024",Family Room,2,Family,8.7,1,0,0,0,0,0,0,0,0,0
