Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Shabby room but clean and comfortable anyway,"The furnishings and decor are very very old, tired and a little shabby. The main entrance lobby is nice, but the room was quite disappointing, it clearly hasn't been decorated for a very long time. The sheets and towels very old and well used - I actually enjoy scratchy towels but it's not what I was expecting from a 5-star hotel. The spa was comfortable but again really in need of redecoration - it had been visibly patched up a few times, the relaxing chairs upholstery was peeling off etc. Also the hotel is on a very major 6-lane road and it was noisy day and night.","The staff were lovely and the hotel was very clean. The breakfast was really excellent - great variety, everything was plentiful, tasty and good quality. The room was a really good size, and the view from up on the 7th floor out across the whole city was great.",7.0,November 2023,"November 22, 2023",Deluxe Single Room,7,Solo traveler,9,1,1,0,1,1,0,1,0,1,0,0.001351979074521943
It was funny staying there.,The room size is bit small. In fact I was so busy to enjoy the addon facilities..,"The staff, the cleanliness, the location and the over all ambiance is perfect. The breakfast is SUPERB.",9.0,November 2023,"November 10, 2023",Deluxe Double Room,2,Couple,9,1,1,0,1,1,0,1,0,1,0,0.0013519790745219428
Very Good,"_The funniest thing was the wifi, it was so slow and if you need high speed you should pay 2€ for 2 days (come onnnn it’s 5star hotel🤦🏻‍♂️) 

_elevators were always full

_gym was a 9 10sqm room with 2 3 equipments","_staffs were amazing, and services were perfect, if you need sth, you have it in 5min

_breakfast was perfect

_amazing location 

_the room and everything was so clean

_price was fair",8.0,September 2021,"September 12, 2021",Deluxe Triple Room,5,Family,9,1,1,0,1,1,0,1,0,1,0,0.0013519790745219428
An absolute pleasure and would definitely return.,It was a bit far away from the centre (taxis were quite expensive when there was traffic) and the noise from the traffic was quite loud as we were in a room on the front of the hotel (although it didn’t stop us sleeping in all fairness).,"The rooms were very clean and spacious, the restaurants were lovely (the sky bar had fantastic views) and the staff couldn’t do enough to help. The pool was also like a little slice of heaven out on the roof.",8.0,June 2022,"June 24, 2022",Deluxe Double Room,7,Family,9,1,1,1,1,1,0,1,0,1,0,0.001349817523146004
"Very nice service, but some hotel is quite old","Interior of the hotel is definitely outdated: furniture is quite old, bed sheets and towels are old too.
We were there in early september, it was quite hot outside, and the air conditioning didn't really work properly, so it was quite warm in the room too.","Hotel staff is wonderful. They are very polite, very friendly, happy to help with every request. Service is definitely great.
Hotel breakfast was really good too.
Swimming pool was nice. View from the room is wonderful.",7.0,September 2022,"September 12, 2022",Deluxe Triple Room,2,Family,9,1,1,1,1,1,0,1,0,1,0,0.0013498175231460038
Perfect location and staff,"Wifi didn't reach most of my room, but once reached, it was great,  although the breakfast tasted good but repeated every day. the hotel amenities and furniture need to be renovated","The location was more than perfect, the airport bus drop us off at the hotel door steps and the WIFI is perfect but hardly reached the room, staff was great and helpful, and offered us a complementary, besides a welcome drink from the hotel coffee shop, the total experience was great, and breakfast was good,",9.0,March 2023,"March 27, 2023",Junior Suite,5,Group,9,1,1,1,1,1,0,1,1,1,0,0.0013489860115656611
Grand and hospitable hotel experience!,"An overall good experience, but there there four areas below which I would have expected of a 5 star hotel:
- The decor of the rooms were a little tired and could be updated to become more modern. The main lobby is very grand and nice though.
- No outdoor food is allowed to be brought into the hotel to be consumed (maybe due to security reasons?)
- The room's amenities were not fully restocked daily, which meant that we had to request via guest services
- Bathroom not fully soundproof with neighbouring rooms and also did not have a toilet brush. Hairdryer is old and very very loud.","Overall a positive experience, safe hotel, good location near public transport and enjoyed the hospitality of the hotel.

- Check in was smooth with bags taken straight from taxi to rooms
- Staff were friendly and happy to help, guest relations at reception for help and WhatsApp communicated to check in
- Hotel accommodated our needs to have two rooms next to each other on same floor which was really helpful
- Hotel provided complimentary breakfast upgrade which was a nice surprise and had a good variety. Mix of Continental and Turkey breakfast with plenty of space and eggs on request
- Rooms which were clean, spacious and came with all of the amenities expected
- Hotel also provided complimentary fruit and snacks in the rooms
- Hotel has a Starbucks inside and a Turkish Spa / gym
- Very convenient links for bus and metro at this hotel (2min walk) as well as 7 minute walk to nearest local restaurants. Quick to taxi via Airport (booked via Booking.com and had a good experience)
- Shower strength good and warm. Easy to use.
- Generously late checkout (12pm) with complimentary gift on leaving",8.0,June 2023,"June 30, 2023",Deluxe Double Room,7,Family,9,1,1,1,1,1,1,1,1,1,0,0.0013325714303520774
Wonderful,‌it’s better if you add some more lights in the rooms.,"The location of this hotel was wonderful and we could easily go anywhere. The breakfast and the cleanliness of the rooms were excellent. All the staff tried for our comfort. Our stay was so good and we stayed there for 9 nights and special thanks to Mr. Orhan. If we travel to Istanbul again, we will definitely come to this hotel again",9.0,March 2024,"March 18, 2024",Deluxe Double Room,7,Group,9,1,1,0,0,1,0,1,0,1,0,0.0013282593633243721
Standard and modest.,Very noisy as overlooks the main road. AC is only working for warming so you can't really close the window. Common problem in Istanbul. Smoking rooms make the smell coming into the room. All bed clothes are gray and with spots.,"Located literally 1 min from the bus stop and 2 min from metro. Good view at Istanbul. Friendly reception - let me stay in the room longer. Thank you, Orhun!) Breakfasts are quite good! The room and the bathroom were nice and clean.",7.0,February 2024,"February 12, 2024",Deluxe Single Room,3,Solo traveler,9,1,1,0,0,1,0,1,0,1,0,0.0013282593633243721
Very nice hotel with excellent service.,Some little improvement in bathroom.,View from room; services provided of all staff; breakfast..,9.0,October 2023,"October 31, 2023",Deluxe Triple Room,4,Family,9,1,1,0,0,1,0,1,0,1,0,0.0013282593633243721
