Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Can stay here and visit it as one of your attractions as well,"We stayed for 3 nights at first night we got the twin room even tho I booked a double room, but they changed the room next day which is good. On the last day they forgot to give us some towels. But everything else was great","This hotel is not only for your stay but also like an attraction, because it’s the highest hotel in Thailand and for you as a customer is free to have all this beautiful views. So you if you would like to stay in a nice hotel with beautiful view and some incredible observation deck and restaurants with absolutely brilliant view this hotel is for you. Lovely service, nice rooms, delicious food. Location is okay, depends what you want to visit. Road to main landmarks can be busy but it’s Bangkok you can expect some traffic of this huge city.",8.0,November 2023,"November 17, 2023",Special Offer - Deluxe Double or Twin Room Sky Zone,3,Couple,7.7,1,1,0,1,1,0,1,0,1,0,0.001144573578380308
"If I have to pay the full price, I’d consider going somewhere else, not here. But the discount I got from the app compen",The facilities are kinda old and not well kept. The pool is out date designed and need more regularly maintenance. I could swim only a few laps before retreated because I saw several mold spots in the pool. Gymroom has equipments that are needed fixing,"The staffs were very nice and welcoming. The location is kind of convenient to go around with sky train station near by. Lively crowded around the location. And lots of food to eat at every corners. 
The room is quite big, clean and quiet. Shower is hot and strong enough.",8.0,July 2024,"July 4, 2024",Special Offer - Superior Double or Twin Room,2,Couple,7.7,1,1,0,1,1,0,1,0,1,0,0.001144573578380308
Great cityscape view and great location...,"Lack of lighting in the rooms. 
can't go to ground floor directly in one elevator. you'll always have to come to 17th floor and then change elevator to go up or down which is very annoying. 
breakfast is very expensive if you have to buy it.","the place is in great location. all the street shops, food stalls and night markets are just below the the hotel. 
rooms are very big and well decorated. washrooms are bigger than some hotel rooms. view from the rooms is excellent. i stayed in 61st floor. 
Good helpful stuffs. the free welcome drink at the observation deck is awesome. thanks a million for this.",9.0,June 2022,"June 26, 2022",Special Offer - Deluxe Double or Twin Room Sky Zone,4,Family,7.7,1,1,0,1,1,0,1,1,1,0,0.0011310843946922913
An OK place to stay...,"breakfast was ok. the restaurant was very busy and i found a bug on the pile of plates. I was wondering how clean the kitchen was... :-( Just because of that, i have to give a low score. Hygiene is very important to me.","I stayed here 8y ago and wanted to check it out again.
Location perfect in respect to the airport line and the skytrain. Lots of restaurants and entertainment around.
Room was big and relatively clean, there was a corner in the room that staff forgot to clean I guess,",5.0,November 2023,"November 28, 2023",Junior Suite Sky Zone,2,Solo traveler,7.7,1,1,0,1,1,0,1,1,1,0,0.001131084394692291
Fair,"Was extremely old, and not well cleaned at all. Stains were on the carpets, and some were on the walls. 

I personally  wouldn't  stay again due to cleanliness.",Room was big and hotel is in a good location. Had alot of different types of room service.,5.0,March 2023,"March 1, 2023",Junior Suite Sky Zone,4,Couple,7.7,1,1,0,0,1,0,1,0,1,0,0.001127562950316401
"we had a wonderful stay in your hotel and if we would come back to Bangkok, we will consider checking in again to Baiyok","the furnitures are kinda outdated, but it’s okay. no sufficient place for toiletries inside the shower room so you kinda find your way into it, i hope they would add shower caddy or something.","we like that it is walking distance to popular shopping centers/malls since we shopped till we dropped while we were in Bangkok. the room is clean when we got there, staffs and very helpful and friendly even if there were many guests since it is holiday season. we enjoyed our breakfast and the view and unbelievable.",7.0,November 2022,"December 15, 2022",Superior Suite Standard Zone,4,Couple,7.7,1,1,0,0,1,0,1,0,1,0,0.001127562950316401
Fantastic!,"The coffee.
The original room I was given on the 51st floor was clean and comfortable but a little tired looking.","I got a free upgrade which I didn't ask for simply because my room safe didn't work. The room I moved to was huge complete with its own enclosed 10 metre wide balcony. I was on the 55th floor so the views of Bangkok were spectacular. 
The breakfast buffet - this wasn't part of my booking but I happily paid the 350 baht each day - was on the 82nd floor and circled the whole of the floor with a vast range of breakfast fare, mostly Asian but with familiar western options: toast, eggs bacon, cereal, fruit etc. Seating was both inside, and outside on open balconies which allowed a wonderful way to start the day. 
The staff were lovely and very helpful and between them spoke several languages including English, Russian and Tagalog.",9.0,April 2022,"April 13, 2022",Special Offer - Superior Double or Twin Room,3,Solo traveler,7.7,1,1,0,0,1,0,1,0,1,0,0.001127562950316401
Nice stay!,"The rooms were a little bit outdated, but the comfort was still good.",The rooms were clean. Staff was really friendly. Breakfast was mostly based on asian style food. But I really liked it. And the view was amazing!,8.0,September 2022,"September 6, 2022",Junior Suite Sky Zone,2,Group,7.7,1,1,0,0,1,0,1,0,1,0,0.001127562950316401
Amazing experience,The remote control for air conditioning was far from the bed and had to wake up in the middle of the night to switch on/off.,Room was very nice and comfortable. The breakfast was exceptional and the view was amazing. The buffet was the best. The staffs were very polite and professional. The revolving was a superb experience.,8.0,August 2022,"September 26, 2022",Superior Double or Twin Room,3,Couple,7.7,1,1,0,0,1,0,1,0,1,0,0.001127562950316401
"Great views, but...","As the hallways and the room are dark, it has a gloomy vibe. I also especially do not like the wifi/Internet - very, very slow based on our experience.","I like the views that it gives, whether in the room, or in the viewing deck / revolving deck. I also appreciate the buffet experience in the 82nd Floor, and also our tea time and dinner in the Sky Coffee Shop. The fact that it is very near Pratunam Market and Platinum Fashion Mall also adds interest to the area.",8.0,August 2023,"August 4, 2023",Junior Suite Standard Zone,1,Couple,7.7,1,1,0,1,0,0,1,0,1,0,0.0011123244621951565
