Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Very Good,"The rooftop was not open and we were unaware of that prior to booking. I made a suggestion to the front desk that they should  indicate that a renovation of the rooftop was currently happening as this was part if the attraction, to this hotel, for us.","The location was awesome, the hotel clean. The staff were helpful and friendly. It was a nice stay.",8.0,July 2022,"July 20, 2022",King Room,3,Family,8.3,1,0,0,0,1,0,0,0,1,0,0.0006800585295881395
Everything was perfect,,Perfect location. Staff was very friendly and helpful. Everything was very clean. 10/10,10.0,April 2024,"April 18, 2024",Queen Room,3,Couple,8.3,1,0,0,0,1,0,0,0,1,0,0.0006800585295881395
Great stay! Great staff! Room Clean! Free good coffee! Highly recommended and would stay again.,Displaced people hanging around outside at all times but they didn't bother my party.,Room was clean and had a decent view of the city. Staff was absolutely awesome and they offered recommendations on places to check out and avoid. . Air conditioner worked fantastic and had our room cooled down within minutes. Shower pressure was top notch. Roof top terrace was a nice bonus.,10.0,May 2024,"June 11, 2024",Queen Room,1,Group,8.3,1,0,0,0,1,0,0,0,1,0,0.0006800585295881395
Exceptional,,"Great location, helpful staff, friendly, clean.",10.0,March 2024,"April 3, 2024",Petite Queen Room,2,Group,8.3,1,0,0,0,1,0,0,0,1,0,0.0006800585295881395
Easter visit,Check in is 4pm and we weren't able to check in even a few minutes before that which was slightly annoying!,"Great location. Some homelessness around and sketchy characters but this appeared to be everywhere. Hotel was clean, staff were helpful.",6.0,March 2024,"April 7, 2024",Petite Queen Room,2,Couple,8.3,1,0,0,0,1,0,0,0,1,0,0.0006800585295881395
Excellent choice for our visit to Seattle.,"There were sketchy people outside.  We didn't feel safe walking at night so took Lyfts.  This seemed to be a problem in several areas that we visited in Seattle.  We realize it is not the hotel's problem, but the city's.",Check-in was easy. Friendly and helpful staff. Clean rooms.  Location was good for what we wanted to do.,9.0,July 2022,"August 20, 2022",King Room,2,Group,8.3,1,0,0,0,1,0,0,0,1,0,0.0006800585295881395
Very Good,,The rooms were super clean.  The staff were very cordial.  The location was perfect as it had public transportation just a few steps away.,8.0,July 2022,"July 25, 2022",Queen Room,3,Family,8.3,1,0,0,0,1,0,0,0,1,0,0.0006800585295881395
We really enjoyed ourselves,"So many homeless around. But that’s the whole area, not just this hotel.","Very clean, smelled fresh, helpful friendly staff, convenient to Pikes Market",10.0,April 2024,"April 16, 2024",Petite Queen Room,2,Group,8.3,1,0,0,0,1,0,0,0,1,0,0.0006800585295881395
"It was a good experience, more than my expectations.",I didn’t see any wrong.,"Comfortable, good location, excellent service, and very clean environment.",10.0,October 2023,"October 16, 2023",Petite Queen Room,1,Family,8.3,1,0,0,0,1,0,0,0,1,0,0.0006800585295881395
"It was good for the money.  All you need for pre cruise.  They will even print forms, if needed.",,"The hotel is in a great location.  I was a little concerned before we left home about what I read on youtube.  We had no problems.  The room are the cleaness I have been in, spotless.  The rooms are small but are great for a pre cruise.  We went 2 days before our cruise and spent one day at Pikes Market.  We walked to the market but took a taxi back for $7.00. We used the car service to the hotel from the airport.  It cost $55.00 and they picked us up in a Benz. We took shuttle to the port for $20.00.  The hotel car service ask if we wanted picked up after cruise,  he was right on time.  $75.00 to airport, from port.",9.0,September 2022,"September 25, 2022",Queen Room,2,Couple,8.3,1,0,0,0,1,0,0,0,1,0,0.0006800585295881395
Great hotel to explore Seattle,,"Great location to explore all the major attractions of Seattle. Very clean rooms and super comfortable. The laundry was very appreciated! 
Very friendly staff.",9.0,February 2024,"February 8, 2024",Petite Queen Room,3,Group,8.3,1,0,0,0,1,0,0,0,1,0,0.0006800585295881395
Exceptional,,Location was great. Room was a little small but very comfortable and clean. Staff very pleasant.,10.0,August 2021,"August 22, 2021",Queen Room,4,Solo traveler,8.3,1,0,0,0,1,0,0,0,1,0,0.0006800585295881395
