Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
"Was ok, but former experiences were better.",Room 2104 - has not been well maintained or upgraded.  Have stayed in ofher rooms there that were better.  And NO HAIRDRYER.,"Beds were good, room location was quiet.  Shuttle service to Terminal 2 excellent.",6.0,April 2022,"April 29, 2022",Deluxe Two Beds,1,Couple,8,1,1,0,0,1,0,0,0,1,0,0.0007703513257918231
perfect for what we required,The decor in the bedroom was a little dated,location cleanliness staff extremely attentive and helpful,7.0,May 2022,"May 3, 2022",Deluxe Two Beds,1,Group,8,1,1,0,0,1,0,0,0,1,0,0.0007703513257918231
Would not stay in the North Tower again !!,"Room was dark and in need of updating 
Musty smell in the room 
No fan in the bathroom . Condensation on the windows . Felt unhealthy to stay there  for anything more than a few hours t","Location
Comfortable bed
Friendly staff",7.0,February 2023,"February 13, 2023",Deluxe Queen,1,Couple,8,1,1,0,0,1,0,0,0,1,0,0.0007703513257918231
Very Good,"Water in the shower just stopped flowing after 2-3 minutes and wouldn't restart. Very poor soundproofing, I could hear guests walking around, or their alarm-clocks throuought the night as they were getting up to catch early flights.",Very good location just opposite T1. Room was clean. Very helpful staff. Complimentary 24/7 transfer to T2.,8.0,February 2024,"February 27, 2024",Deluxe Queen,1,Solo traveler,8,1,1,0,0,1,0,0,0,1,0,0.0007703513257918231
Perfect location,"-white lighting in restsurants
-noisy neighbors and atrium
-glass bathroom door
-ventilation was 'on' or 'off' and room temperature was unchangeable-stuck at 20C
(HVAC issues).","-convenient to terminals with shuttle to Terminal 2
-very comfortable bed
-helpful & friendly staff",8.0,February 2022,"February 26, 2022",Camino Real Club King - Breakfast Included for Adults Only,1,Couple,8,1,1,0,0,1,0,0,0,1,0,0.0007703513257918231
I have stayed her before and will stay here again!,"I could not lower the AC. I had to turn it off which caused the room to get a bit stuffy, otherwise perfect experience.","The hotel is clean, well lit, staff are very polite and the check in process was very quick and easy. I have stayed here before and will stay here again. This is a very convenient hotel when traveling at night.",10.0,December 2023,"December 22, 2023",Superior Queen Room,1,Family,8,1,1,0,0,1,0,0,0,1,0,0.0007703513257918231
Great Location,"While there were small issues with two rooms (chipped tile or problem with air conditioner adjustment), overall I found the rooms comfortable, clean & reasonably priced.","I stayed at Camino Real Aeropuerto three different nights during a 3 week period. So convenient to/from Inter'l terminal and by shuttle to/from domestic terminal. Check in was easy, staff very nice & helpful, rooms clean.",9.0,April 2022,"May 16, 2022",Deluxe Queen,1,Solo traveler,8,1,1,0,0,1,0,0,0,1,0,0.0007703513257918231
Very Good,"Needs updating 
The bathroom tub was pretty worn out and needs carpet replacement and paint","Breakfast was very good and the service was great 
Suggestions on menu and accommodations on special diet from the waiters was amazing 
But the room needs attention- looks pretty run down and the bathroom needs also replacement on tub and water faucets 
And we had a very bad view to some apartments that could literally watch us from their windows",8.0,June 2022,"June 13, 2022",Deluxe Two Beds,1,Group,8,1,1,0,0,1,0,1,0,1,0,0.0007691360622295067
They always have rooms if I get stuck at the airport and serve thier customers well.,The hotel is a little bit worn and maybe not as clean as it could be but it must be difficult with the volume of traffic they have.,The location (attached to the airport) is really convenient for my business travels in Mexico City. Bed was comfortable and room service was very good.,8.0,August 2021,"October 22, 2021",Deluxe King,1,Solo traveler,8,1,1,0,0,1,0,1,0,1,0,0.0007691360622295067
Excellent value,Very minor thing but a kettle in the room would be nice for a cup of tea before an early flight but again is very minor.,"Great for a quick stop before a flight, room was very comfortable, location could not be anymore perfect for quick access to terminal 1 especially when you have an early flight, also had the buffet for lunch located within the hotel which was great value for money and food was delicious also the waiter Alberto was very friendly and efficient.",9.0,August 2023,"August 7, 2023",Deluxe Queen,1,Solo traveler,8,1,1,0,0,1,0,1,0,1,0,0.0007691360622295067
Perfect location to airport terminals with great breakfast,The only problem was that the room was cooled down so low by A/C and outside was already cold so I was freezing quite a bit.,"- perfect location 
- all amenities, especially in bathroom
- big and comfy bed
- very good breakfast 
- super fast access to T1
- reliable shuttle to/from T2
- friendly staff
- quick checkin/out",10.0,January 2024,"January 9, 2024",Deluxe Queen,1,Solo traveler,8,1,1,0,0,1,0,1,0,1,0,0.0007691360622295067
Nice hotel right next to the airport,The lobby is so many stories that the echo is really bad so you could hear everything that happened in the lobby. The lighting in the room is pretty dim as well. The shuttle to Terminal 2 was fine but took a while to come.,"The location is the best part if you have an early flight. There is a bridge to the airport from the hotel! Also the hotel has a restaurant and other services if you don't have time to go elsewhere. Room was nice enough, pretty standard",7.0,May 2022,"May 26, 2022",Deluxe King,1,Solo traveler,8,1,1,0,1,1,0,1,0,1,0,0.0007656429532598148
