Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Good price option,"By cheap it meant no TV in the room, no kettle. They do not clean the room during stay for cost and environment purpose.

The kitchen could have been good but would need a  bit of maintaining as flies are all around.","Good location, cheap and decent. 
You check in and out on a machine and very minimal interaction with staff. Space is good in the double room. There is a common kitchen at the lobby. The design is nice and modern.",6.0,August 2024,"August 4, 2024",Double Room,3,Family,8.4,1,1,1,1,1,0,0,0,1,0,0.001177580592809603
"A good location for a private, unshared, room, but less than expected in cleaning and wifi.","Cleaning the room was not done properly. The wifi in the room was weak, I was able only to connect my laptop to it, while the mobile's connection was very weak and unstable.","The location was good, very close to the train station. Or it's around 25-30 minutes walking to the centre. It is close to a supermarket and restaurants. The common area was clean. Two elevators, so you don't have to wait a lot. The staff at the office were friendly and helpful, besides the staff of restaurant at the reception.",8.0,December 2022,"December 11, 2022",Single Room,13,Solo traveler,8.4,1,1,1,1,1,0,1,0,1,0,0.0011774673245195312
"Awesome stay overall, easy access to most of Bergen and a comfortable place to rest",The shower kept flooding the bathroom floor even after just a couple minutes. I think the drain is perhaps clogged.,"Great stay overall - friendly staff that helped combined two reservations into one at check-in, and everything else was smooth - WiFi, cleanliness, bed comfort, mountain view from the room, close access to grocery stores and public transit, etc.",9.0,July 2023,"July 12, 2023",Double Room,1,Solo traveler,8.4,1,1,1,0,1,0,0,0,1,0,0.0011746567744110926
Nice hotel with helpful facilities. Recommended!,"The room was very small, almost too small for 2 persons. But that’s really our only “complaint”","Good location, right next to the light train, so it’s easy to get to the center and to the airport. Also there’s a supermarket next door. The laundry room + kitchen were a huge bonus! Friendly stuff. The bar downstairs is nice. Overall the stay was great",8.0,July 2024,"July 3, 2024",Small Double Room,2,Family,8.4,1,1,1,0,1,0,0,0,1,0,0.0011746567744110922
A good hotel but not near the station,"NOT actually a negative but it was the first time in ages I didn't have a TV in the room. My first thought was ""how am i going to cope without watching the news in a language I don't understand?"" and ""what about watching ""Norway's Got Talent"" or a Harry Potter film that I was never interested in seeing before... and then I thought ""perhaps I should read one of those books I brought with me and have not opened yet...""","the laundry facility was very welcome. I had run out of clean clothes, it was a rainy day. Slightly pricier than the local laundrette but very convenient. Staff were helpful, the lounge area in the lobby was good.",9.0,September 2023,"September 25, 2023",Double Room,1,Solo traveler,8.4,1,1,1,0,1,0,0,0,1,0,0.0011746567744110922
Wonderful,"Shower door doesnt completely close, so water seep through and bathoom floors get wets.",Location is good. Close to supermarket and to train. Very quiet during the night. Room very clean.,9.0,August 2023,"October 19, 2023",Small Double Room,3,Family,8.4,1,1,0,0,0,0,0,0,1,0,0.0011713385201936979
Wonderful,The room was small.,The location was good. The room was basic and clean.,9.0,July 2024,"July 26, 2024",Double Room,2,Family,8.4,1,1,0,0,0,0,0,0,1,0,0.0011713385201936979
Exceptional,No tv in room,"Clean, comfy, big room. Nice location, close to tram stop and centre.
Easy check in/out process.",10.0,December 2023,"December 27, 2023",Small Double Room,1,Couple,8.4,1,1,0,0,0,0,0,0,1,0,0.0011713385201936979
Very Good,"No wardrobe in the room. There is only wall hanger
A small wardrobe would be good",Location and the Bed,8.0,June 2022,"June 8, 2022",Double Room,2,Family,8.4,1,1,0,0,0,0,0,0,1,0,0.0011713385201936979
Hotel with a very good location,"A small wardrobe and refrigerator would be useful in the room. Another disadvantage was the poor acoustics of the hotel and the constant shuffling of the neighbors' chairs until midnight, which disturbed the comfort of sleep and rest.","Overall, the hotel is very pleasant, clean, nicely decorated rooms, bathrooms, good location, modern checking in techniques are used. The possibility of making a meal in a shared kitchenette is a good and convenient solution.",7.0,October 2023,"October 27, 2023",Small Double Room,3,Group,8.4,1,1,0,0,0,0,0,0,1,0,0.0011713385201936979
