Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
"Great location, but expensive when nothing is included in price.",Small rooms. Expensive parking. 1 ice machine area.,Clean and kept up. Friendly staff and great central location to explore Houston.,7.0,July 2023,"July 29, 2023",Small Queen Room,2,Couple,7.9,1,1,0,1,1,0,0,0,1,0,0.0008502837684521642
Very Good,"No parking, in room coffee machine was not nice.","Central location, filtered water system, helpful staff,  ability to cook in room.",8.0,December 2023,"December 10, 2023",Superior Queen Room,2,Couple,7.9,1,1,0,1,1,0,0,0,1,0,0.0008502837684521642
Excellent value for the money,When we got to the room the air conditioning wasn't running so it was super hot and it took forever to cool down. The toilet made noise but wasn't too bad and there was a dead bug in the room. Otherwise everything was great I would definitely stay there again. It's an excellent value for the money and we had a great time,the location was absolutely perfect and the room was nice.  Excellent value for the low price. The staff was really friendly and welcoming and check in was very easy.,8.0,June 2023,"July 9, 2023",Standard Twin Room,2,Group,7.9,1,1,0,1,1,0,0,0,1,0,0.0008502837684521642
Overpriced for the value,"$35 valet parking is ridiculous, should be free or less for guests. I heard running water all night and the floor flooded when we showered. We paid for a KING bed, not two flipping twins and no mini fridge.","I liked the bottles of water but our floor and several others was ""out of service."" I liked that the AC worked and room could be cold. I liked the location for where we needed to be.",5.0,September 2022,"September 26, 2022",King Room,1,Solo traveler,7.9,1,1,0,1,1,0,0,0,1,0,0.0008502837684521642
Okay,"Rooms are extremely close to one another, overall roomis very small, no drawers to store clothing in room, shower water never got hot only warm, had to use key card to access elevator, terrible bathroom lighting.","The location, comfortable bed, relatively quiet room and floor, free refillable water station, speed of checkin and checkout service.",6.0,July 2022,"July 20, 2022",Small Queen Room,2,Family,7.9,1,1,0,1,1,0,0,0,1,0,0.0008502837684521642
Small rooms but great staff and location,These rooms are tiny! Glad it was only one night,Location to Minute Maid was excellent! The hotel is clean and the staff is wonderful,8.0,November 2023,"November 19, 2023",Mobility Accessible Standard Room,1,Family,7.9,1,1,0,0,1,0,0,0,1,0,0.0008483612823964351
"Solid overall, and in a good location downtown","$50 early check in fee if you check in before 11, even though my room was already ready","Great location, friendly staff, great value for the room",9.0,April 2024,"April 8, 2024",Small Queen Room,2,Solo traveler,7.9,1,1,0,0,1,0,0,0,1,0,0.0008483612823964351
"good stay, friendly staff. recommend",a bit old bathrooms but clean and no mould.,"very good location, staff friendly and helpful. rooms good and beds comfortable",8.0,May 2022,"May 30, 2022",Small Queen Room,2,Solo traveler,7.9,1,1,0,0,1,0,0,0,1,0,0.0008483612823964351
"It is a nice hotel, but there were a few small things that could be done better.","Our shower head was broken. It got the whole bathroom floor soaked. It worked, but sprayed water onto the floor. Also, there were not enough blankets and pillows for the sofa bed. Extra amenities + a working shower head in the room would have made the stay perfect!","Great location!! The room was a decent size and the bathroom was roomy as well!! Very easy to find!! Valet and Customer Service was awesome!! Also, you can tell the place is well kept.",7.0,December 2022,"December 17, 2022",One-Room Suite with Kitchenette,1,Group,7.9,1,1,0,0,1,0,0,0,1,0,0.0008483612823964351
A decent priced hotel in a busy downtown area.,"The air conditioning did not keep our room very cool. It was late May, but we like to sleep in very cool, so that was a bit disappointing. The showers hot water was very strange. I almost thought I didn’t have any.","It was a very upscale, downtown hotel. very clean. Staff is very helpful. We choose it based on the location to the Minute Maid stadium.",7.0,May 2023,"May 27, 2023",Standard Twin Room,1,Family,7.9,1,1,0,0,1,0,0,0,1,0,0.0008483612823964351
nice - normal,"Dirty, Not clean Lots of hair in Shower and bathroom - bring shoes","Great Location, Great Service, weil equipped, nice Room",8.0,December 2023,"December 17, 2023",Superior Queen Room,1,Couple,7.9,1,1,0,0,1,0,0,0,1,0,0.0008483612823964351
"Great place, but can improve on communication with guests","We had to stay at a nearby hotel as they were full that night. Although the rooms at that hotel was good and everything was arranged by club quarters, but it still was a bit odd to change your hotel at the very last minute. I wish they at least informed us about this situation before we arrived at the hotel.",The room was great with comfortable bed and a nice view of the city. Staff members were really nice and helpful. The location was awesome!,8.0,March 2022,"April 1, 2022",Superior Queen Room,2,Family,7.9,1,1,0,0,1,0,0,0,1,0,0.0008483612823964351
good stay for the value .. small improvements would’ve made it great,"the a/c was off and took a long time to cook the room 
the refrigerator was not working ; only the freezer worked 
the keurig machine was inoperable","location , value, cleanliness , friendly staff",7.0,June 2022,"June 14, 2022",One-Room Suite with Kitchenette,1,Family,7.9,1,1,0,0,1,0,0,0,1,0,0.000848361282396435
It was great and had great amenities. Amazing staff.,"It’s slightly outdated, you can see it in the windows and furniture. If that’s an issue don’t stay here but it wasn’t an issue for me","Great Location, nice staff, easy check in and out system, very clean and beautiful hotel. Great amenities.",10.0,March 2024,"March 13, 2024",Superior Queen Room,1,Solo traveler,7.9,1,1,0,0,1,0,0,0,1,0,0.000848361282396435
"Good location, sub-par facilities.","The shower took over 20 minutes to warm up. The toilet didn't work through our entire stay. I utilized the text request feature, the hotel's app, and calling the front desk to let them know about the issue, but it was never addressed.","The location of the hotel was great. The staff were very kind. Valet was quick, easy, and efficient. The check-in/check-out process was very simple. The heat/AC system was very nice. I liked having an actual thermostat in the room with a quiet air-vent from the ceiling versus a loud window unit.",3.0,April 2022,"April 28, 2022",Standard Queen Room,1,Couple,7.9,1,1,0,0,1,0,0,0,1,0,0.000848361282396435
"good stay, friendly staff. recommend",a bit old bathrooms but clean and no mould.,"very good location, staff friendly and helpful. rooms good and beds comfortable",8.0,May 2022,"May 30, 2022",Small Queen Room,2,Solo traveler,7.9,1,1,0,0,1,0,0,0,1,0,0.000848361282396435
"Great place, but can improve on communication with guests","We had to stay at a nearby hotel as they were full that night. Although the rooms at that hotel was good and everything was arranged by club quarters, but it still was a bit odd to change your hotel at the very last minute. I wish they at least informed us about this situation before we arrived at the hotel.",The room was great with comfortable bed and a nice view of the city. Staff members were really nice and helpful. The location was awesome!,8.0,March 2022,"April 1, 2022",Superior Queen Room,2,Family,7.9,1,1,0,0,1,0,0,0,1,0,0.000848361282396435
Wonderful,"The room is a little bit small. Some small area does not clean well. For example, the charger which is next to the bed has some dust.",I like the soap that they provided. The location is nice which is close to the Central Station Main. The staff is friendly and the room is good but a little bit small. They follow the Covid-19 rules.,9.0,December 2021,"December 23, 2021",Small Queen Room,1,Solo traveler,7.9,1,1,0,0,1,0,0,0,1,0,0.000848361282396435
Wonderful,"The room is a little bit small. Some small area does not clean well. For example, the charger which is next to the bed has some dust.",I like the soap that they provided. The location is nice which is close to the Central Station Main. The staff is friendly and the room is good but a little bit small. They follow the Covid-19 rules.,9.0,December 2021,"December 23, 2021",Small Queen Room,1,Solo traveler,7.9,1,1,0,0,1,0,0,0,1,0,0.000848361282396435
