Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Manage your expectations in this place,"The floor was very dirty when I arrived and the smell of the place wasn't pleasing as well. It looks like it was not vacuumed at all! Our room was located in the basement and there is a door for the outside terrace-ish and it looks so dirty, unkempt and full of pulp of cigars that hasn't been swept. Kettle and disorganized sachets of coffee, tea and sugar was available at the bedside. The ceiling of the room was mouldy and needs repainting. Curtains looks dirty as well. The room should have been cleaned and tidied at least. Wi-fi signal wasn't that great either as it was only 1bar of signal can reach the basemen and sometimes none. It was not a pleasant place to say. Good thing we just stayed for 5hours here as it was just for sleeping purposes and getting ready for the next day. Not ideal to book this place if you intend to stay longer than 1 night.","I already managed my expectations when I read the reviews prior to booking this property as its within our budget range. The only things I liked was the early check-in time and the private bathroom that was available inside the room. Check-in time was supposed to be at 3pm but I was in the area early and was able to check-in. The private bathroom was okay and looks newly renovated compared to the room itself which looked dusty, mouldy and very much unclean. The bathroom is too small though so you have to manage your expectations for this price range.",1.0,March 2022,"March 24, 2022",Double Room,1,Group,3.9,1,1,0,0,0,0,0,0,1,0,0.0018518238159692022
Bad,"The room was really dirty and unclean. Beds were broken, toilet seat was broken.",Daisy hotel was in a good location and the rooms felt safe and secure.,1.0,June 2022,"June 13, 2022",Quadruple Room,1,Group,3.9,1,1,0,0,0,0,0,0,1,0,0.0018518238159692022
A great place to stay in London if you're on a budget.,"Ceiling and walls somewhat stained, showing signs of leakage. Mattress too soft, not very comfortable. Not room to store luggage after checkout.","Private bathroom that looked nice and new, tea and coffee provided, location was good and price awesome for London.",7.0,February 2022,"March 23, 2022",Double Room,3,Couple,3.9,1,1,0,0,0,0,0,0,1,0,0.0018518238159692022
Pleasant,Very small room. Bad bed and mattress.,The location. The price. Very clean,6.0,May 2022,"June 3, 2022",Double Room,5,Couple,3.9,1,1,0,0,0,0,0,0,1,0,0.0018518238159692018
Disappointing,There was damp in the room. The ceiling eak when the room above had a shower. Damp and mould along the outside of the wall.,"Convenient place not far from station which was great
Comfort bed clean linen and towels.",4.0,October 2022,"October 12, 2022",Triple Room,1,Family,3.9,1,1,0,0,0,0,0,0,1,0,0.0018518238159692018
Ok it’s cheap expect some discomforts and you can spend the money you save on dinner.,Beds are uncomfortable they are squeaky can’t swing a cat in the room.,The location is good. It certainly is reasonably priced for central London you get your own bathroom.,5.0,June 2024,"June 15, 2024",Double Room,4,Couple,3.9,1,1,0,0,0,0,0,0,1,0,0.0018518238159692018
Poor,"The room was cold, the mattress was very uncomfortable, and the bed felt lt would collapse at any point.......every turn we were sure that the rest of the hotel could hear!","Very central and accessible 
The room and bathroom were clean.",3.0,April 2024,"April 29, 2024",Double Room,1,Couple,3.9,1,1,0,0,0,0,0,0,1,0,0.0018518238159692018
would stay again as very convenient and within budget!,"unfortunately the bed was falling to pieces, needs screwing back together. at best. The main most important issue was that there was black mould(very dangerous for respiratory) on the bathroom ceiling and windows - this can be remedied very easily with Mould & Mildew remover from Tesco etc. the expel-air fan in bathroom needs a jolly good hoover! Bit of paint over what was clearly a leak from upstairs would freshen the room up.  The overhead shower head needs replacing as not really fit for purpose, however, the hand held is fine. Simple things that could improve this room and I’d be happy to stay again!","location, clean nice bedding, good kettle, quiet inside iron doors banging, great heating and controllable, constant great hot water! quite a nice bathroom. perfectly adequate for somewhere of my own to stay. definitely not suitable for 2 though!",5.0,December 2022,"December 30, 2022",Double Room,3,Solo traveler,3.9,1,1,0,0,0,0,0,0,1,0,0.0018518238159692018
Poor,"Room and bathroom were very dirty (walls, furnitures). Shower door were broken. Old, very uncomfortable bed matrace. Pictures on the website are far from the reality...",Hotel provided us with clean towels and water cattle. Private bathroom. Location is fine.,3.0,July 2023,"July 18, 2023",Double Room,1,Couple,3.9,1,1,0,0,0,0,0,0,1,0,0.0018518238159692018
Great location but given the bed situation not recommended for more than one (maybe 2) night.,"Room - small, with double bed which has to be replaced 2 years ago. Bed frame barely stays together and you can feel every single spring on the mattress. Correction - you sleep on the springs directly.","Location - great!
Bathroom - a little tiny but clean and showering supplies were provided.",3.0,April 2023,"April 27, 2023",Double Room,1,Couple,3.9,1,1,0,0,0,0,0,0,1,0,0.0018518238159692018
