Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
"great location, easy and good value for money","cleaning wasn’t really up to normal expectations, they either forgot to do the full room in the morning as it wasn’t not totally clean. there weren’t towels either, maybe that’s normal but we were surprised as we stayed in the double w private bathroom 
long line for the lockers, so we ended up taking the bags to the station to avoid the wait","location, double private room with bathroom was spacious and modern and staff were great: both the receptionist and the guy from Colombia helping us were very nice and fast!",7.0,November 2021,"November 25, 2021",Superior King Room,1,Couple,6.9,1,1,1,1,1,0,0,0,1,0,0.00044405703388756336
"Small dorm, awful bathrooms","I got put on level 6 which seamed like an extra level they just squeezed in. The lift didn't even go to 6, stopped at 5 and then you have to walk the last level. No sign for level 6, honestly looked like a storage space. Room was hot despite it being 18° outside. All that was provided was a dangerous fan that had no cover on it (open blades spinning) 
Bathroom shower heads were really now and covered in scum. I had to go down to level 5 for a bathroom because there was no bathroom on 6. I paid extra to be in a dorm with less people but I should have just stuck with a larger dorm because they have more space and I would not have been shoved in the attic. In my dorm there was a tap. Which I usually like because it makes it easy to wash hands or brush teeth without bringing all your stuff to the bathroom, however; the tap in my room did not work. Only 3 towel/coat hooks in a 6 bed dorm. The showers have nowhere inside the cubicles to hang clothes or place any other items whilst showering.
The door into my room was also broken and the only way to close the door was to slam it, making it a pain in the middle of the night when people are trying to sleep","The location is good and the check in process is super easy. They have a water filter tap in bar area.
The underbed storage lockers were good also and weren't loud or clunky like I've seen at other hostels. Wifi works well in room but not in the bar area, it slows down heaps.
Cleaning staff were friendly and I saw them often on the lower levels although I never saw one on level 5 (my closest bathroom) and that one was pretty dirty",5.0,July 2023,"July 29, 2023",1 Bed in a 6-Bed Mixed Shared Dorm,1,Solo traveler,6.9,1,1,1,1,1,0,0,0,1,0,0.00044405703388756336
"For a 1 night stay it’s ok, better heating needed.","£6 towel rental is a bit steep! 

I was in a basement dorm room, it was freezing cold, heating is on timer but the heater was slow to make a difference to the temperature of the room. thank goodness for the thick duvet. 

My dorm was right next to the smoking area so there was constant noise outside and banging doors.

The walls seemed paper thin to the corridor, everything could be heard.","Great location , nice social ground floor and bar area.

Lovely staff.

Comfy beds , thick duvet , personal light with USB charging points and large luggage lockers.

Really clean bathroom.",7.0,March 2023,"March 2, 2023",Bunk Bed in Female Dormitory Room,1,Solo traveler,6.9,1,1,1,1,1,0,0,0,1,0,0.00044405703388756336
Pleasant,"I've stayed in Generator before in Copenhagen and loved it. Unfortunately in London, it all felt a bit grubby and in need of refurbishment. My room (13) was down in the basement, which was obviously quite dark, and smelled a bit damp. It must be situated near a nightclub, as the sound was pumping through the walls at night. I paid extra for a late check out to have a bit more of a chilled Sunday morning, but was  a bit pointless. One set of cleaners came in to do the sheets and were surprised to see me, and another Spanish guy came in, as I was stood in my underwear,to clean. Unfortunately my Spanish wasn't good enough to explain that I had booked a late checkout, so I was awkwardly trying to get ready, as he cleaned around me. I also left the room to use the bathroom, and was then locked out of my room, as it seems the key wasn't updated for the late checkout. I had to go up to reception to get it updated. I was glad I had brought decent pyjamas, and wasn't in my undies at that point, as that could have been quite embarrassing.","Beds were comfortable, staff were friendly, location was great. Shower facilities seemed decent.",6.0,May 2022,"May 30, 2022",1 Bed in a 6-Bed Mixed Shared Dorm,1,Solo traveler,6.9,1,1,1,1,1,0,0,0,1,0,0.00044405703388756336
Very good value for money,The showers can’t be locked because it’s broken (floor 5) + there is not enough space to put your clothes when you shower.,"Perfect location, good atmosphere. The bed in the dormitory was very comfy. I’ve been lucky to be in a very quite dormitory room. Plugs and light in the bed. Big locker to put your stuff. 
The bar / restaurant is also very good and the staff friendly.",9.0,July 2023,"July 11, 2023",Bed in 10 + Mixed Dormitory Room,2,Solo traveler,6.9,1,1,1,1,1,0,1,0,1,0,0.00044066436125856935
Very good value for money,The showers can’t be locked because it’s broken (floor 5) + there is not enough space to put your clothes when you shower.,"Perfect location, good atmosphere. The bed in the dormitory was very comfy. I’ve been lucky to be in a very quite dormitory room. Plugs and light in the bed. Big locker to put your stuff. 
The bar / restaurant is also very good and the staff friendly.",9.0,July 2023,"July 11, 2023",Bed in 10 + Mixed Dormitory Room,2,Solo traveler,6.9,1,1,1,1,1,0,1,0,1,0,0.00044066436125856935
"Absolute recommendation if you like to stay in a big, vibrant hostel on a great location.",The only thing that can be a bit improved is about bathrooms - more space for storing clothes when showering and slightly better toilet hygiene.,"Staying at Generator was a very pleasant experience. The location of the hostel is absolutely great (few minutes from tube station) and near a few bars and restaurants. The staff is very professional and always ready to help. The bed was very comfortable and the room was well ventilated. For those who like to have a drink or have fun with other guests, it is very nice that Generator has its own bar/club with music (keep in mind that the music is on every night until 3AM).",9.0,November 2022,"November 21, 2022",Bed in 10 + Mixed Dormitory Room,6,Solo traveler,6.9,1,1,1,1,1,0,1,0,1,0,0.00044066436125856935
Great lively place to stay in a good location.,The lockers are large but as they were under the beds the guy on the bottom bunk gets woken up when somebody needs stuff from their locker. Some other guests did not follow the hotel/hostel golden rule about being quiet in corridors so sometimes it got a bit noisy. The shower room on the floor I stayed on was quite small and claustrophobic but when it was closed for cleaning I went to another on the basement floor and it was much more spacious and more comfortable to use.,"The location is great, near to the Underground, shops, cafes and the British Museum. Fun atmosphere in the common areas with a bar, food, games, decent music, lots of seats, interesting art etc. It was very busy when I stayed with a mix of people (backpackers, school groups, families, professionals etc) but the staff managed to keep the place very clean. I needed to make a change to my booking and the receptionist was efficient and friendly when helping with this.",8.0,November 2023,"November 21, 2023",Bed in 4 Bed Dorm - Shared Bathrooms,2,Solo traveler,6.9,1,1,1,1,1,0,1,0,1,0,0.00044066436125856935
"Absolute recommendation if you like to stay in a big, vibrant hostel on a great location.",The only thing that can be a bit improved is about bathrooms - more space for storing clothes when showering and slightly better toilet hygiene.,"Staying at Generator was a very pleasant experience. The location of the hostel is absolutely great (few minutes from tube station) and near a few bars and restaurants. The staff is very professional and always ready to help. The bed was very comfortable and the room was well ventilated. For those who like to have a drink or have fun with other guests, it is very nice that Generator has its own bar/club with music (keep in mind that the music is on every night until 3AM).",9.0,November 2022,"November 21, 2022",Bed in 10 + Mixed Dormitory Room,6,Solo traveler,6.9,1,1,1,1,1,0,1,0,1,0,0.00044066436125856935
"Brilliant for exploring London, would stay again if I visited London","Only complaints were that the showers when I had them didn’t get hot, I think that was more due to the time of day rather than that they were never hot. Had to ask for towels, which were free in a private room, but kind of annoying they weren’t provided.","Whole place was super clean, everyone was really friendly, beds were really comfy and bedding provided was good and clean. Lockers even in private rooms, just remember to bring a padlock, they do sell them but they’re not that cheap. Location was great, very close walking distance to Russel Square and Kings Cross St Pancras so just a few minutes tube into the centre of London, there’s a few nice cafes just around the corner too, we had a great breakfast at a plce just a minute away. Stayed on the fifth floor and was always quiet at night, the whole building is through a little alley so is back from the Main Street which is really nice and keeps it quiet too.  Always spare toilets/showers in the shared bathrooms which were always clean. Nice bar downstairs, good for meeting others.",8.0,July 2022,"July 29, 2022",Twin - Shared Bathrooms,2,Group,6.9,1,1,1,1,1,0,1,0,1,0,0.00044066436125856935
