Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Very pleasant and great location,"Corridor dark and needs a lick of paint and perhaps new carpet. A lack of toilet facilities. only one in our dorm of 8. Only one shower but there are others dotted around the corridor. 
Roof top bar closes at midnight. 
You have to purchase everything. Ie towels, locks, left luggage. In other hostels I’ve stayed these things are either free or you leave a refundable deposit.",Helpful staff. Rooms clean. Shower works well. Fantastic location. Near the Metro. Roof top bar is cool. Good WIFI. Cafe on the ground/lower ground looks pleasant but I didn’t use it. The lounge area looks roomy but again I didn’t use the facilities.,7.0,May 2023,"May 11, 2023",Bed in 8-Bed Mixed Dormitory Room,2,Solo traveler,8.1,1,1,1,1,1,0,0,0,1,0,0.0013256609952408817
"Good location, perfcet stay for solo travelers","A little crowded in the room, the locker was big to drag outside from under the bed","The location is perfect, right in the center, room is clean, staff are friendly",8.0,September 2023,"September 7, 2023",Bed in 8-Bed Mixed Dormitory Room,1,Solo traveler,8.1,1,1,0,1,1,0,0,0,1,0,0.0013154383820492886
"Great place, I highly recommend it","The towel rent price is €6 - Very expensive...
No shower gel in the bathroom but available at the reception if you need to buy it.
The hand wash available by the sink.","Great location, staff friendly, helpful and smiling. Bed, pillow, duvet all comfortable. Charging plug available by your bed on the pillow side with a net next to it so you can put your phone and anything else in it. I was in a 8 female dorm, the room and bathroom were cleaned every day. The hostel itself is clean too. Towels available at the reception, welcome message when you arrive with a resume of what the hostel can offer and help you with in case you have forgotten something, all great.",10.0,March 2024,"April 8, 2024",Bed in 8-Bed Female Dormitory Room,2,Solo traveler,8.1,1,1,0,1,1,0,0,0,1,0,0.0013154383820492886
"Great location, nice staff, rooms are small but comfortable. Make sure to bring your own towels!","Room was a bit smaller than I expected and you have to pay for many things I would have thought would have been free, including towels. Perhaps I should I have expected that with the low price but I did not.","The location was great, very central, which is why it is was easy for me to get where I needed to go during my stay. The beds were clean and comfy and the staff were very helpful. The terrace was also a nice touch.",7.0,May 2022,"May 5, 2022",Bed in 4-Bed Mixed Dormitory Room,3,Solo traveler,8.1,1,1,0,1,1,0,0,0,1,0,0.0013154383820492886
Wonderful,To my oppinion in the lounge area the tables could have been cleaned more ofthen and I saw quite a lot of dust over there too on the shelves and on the floor.,"The staff was super helpful and friendly - 10 points! The room was quiet, tidy, clean, the lighting was decent. The bed was comfortabale, the sheets very clean. The location is amazing! It is jusy too bad during my visit the rooftop was not open.",9.0,February 2023,"February 22, 2023",Bed in 4-Bed Mixed Dormitory Room,4,Solo traveler,8.1,1,1,0,1,1,0,0,0,1,0,0.0013154383820492886
Very Good,"Some people came drunk at night making it impossible to sleep because of their loud noise
The shower was a bit smelly so I had to open the door all the time to get rid of the smell","Tidy rooms
Nice staff
Good location",8.0,October 2023,"October 24, 2023",Bed in 8-Bed Female Dormitory Room,2,Solo traveler,8.1,1,1,0,1,1,0,0,0,1,0,0.0013154383820492886
A great hostel in the centre of Madrid,"The shower room is absolutely TINY. Which is very frustrating when sharing with other people, you don't have the space to get dressed and the toilet is separate to the shower which is what I like but there's just generally no space for you to get dressed.","The hostel was very clean and our fellow room mates were very nice. The hostel has this really cool roof top bar and terrace which plays music and your able to grab a drink up until 11 during the week and 1am on the weekends. The staff at Reception on arrival were very nice and the location is absolutely amazing when it comes to getting around the city. 

I don't really stay in hostels if I'm honest but due to us booking accommodation really late I'm glad we stayed here for some of our trip. 

Would I stay here again yes, however was very happy to move to our apartment after 3 days as having personal space is pretty important to me and my friend. 

Our room was also quite sound proof so we didn't hear any noise from the street outside or from anyone staying in the hostel which was great",8.0,October 2022,"October 17, 2022",Bed in 4-Bed Mixed Dormitory Room,3,Couple,8.1,1,1,1,1,1,0,1,0,1,0,0.001301756424474515
Exceptional,Nothing bad but maybe improvements: I have seen many extra showers outside your room but I didn't see extra toilets (only on the bar areas). It would be nice to add privacy curtains.,"Perfect location, easy to get to anywhere. The staff is amazing, very cool crowd. I only experience the basement bar and it was a lot of fun. Beds are comfortable and rooms are quiet.",10.0,November 2022,"November 10, 2022",Bed in 4-Bed Mixed Dormitory Room,2,Solo traveler,8.1,1,1,1,0,1,0,0,0,1,0,0.0013006367680158497
Fair,"Unfortunately the air conditioning was out during a heat wave which made it impossible to sleep. Even when the air conditioner was supposedly working, it could barely push out cold air nor circulate in our small 4-person dorm.","Great location, friendly staff, clean and modern facilities.",5.0,June 2022,"June 21, 2022",Bed in 4-Bed Mixed Dormitory Room,1,Solo traveler,8.1,1,1,1,0,1,0,0,0,1,0,0.0013006367680158497
Pleasant,Three days of non-functioning air conditioning. The room was terrible on the top bed and it was impossible to sleep. The air conditioning failure seems to last a long time and the hostel operation is terrible under these conditions. The terrace is nice but the hot tubs were closed and the beer is expensive.,"Spacious rooms with private bathroom, comfortable beds, good location, helpful staff",6.0,July 2022,"July 18, 2022",Bed in 8-Bed Mixed Dormitory Room,3,Solo traveler,8.1,1,1,1,0,1,0,0,0,1,0,0.0013006367680158497
The best location for sure!,The bedroom is too tiny for the amount of people they put in.,"The best location to get around the city, right in the center, close to supermarkets and subway stations and Gran Via. The hotel staff was polite but not extra helpful like a hotel, basically everything you have to pay extra so either bring your towel, higiene products or pay for them or buy at the supermarket close by. Beds were confortable, stayed in a 4 bed room, they are super tiny, so pictures a little deceiving in that sense. Very clean and good price for the location. And yeah A/C 100% of the time which helped on 40 degress Hot weather of Madrid in the summer.",6.0,July 2024,"August 3, 2024",Bed in 4-Bed Mixed Dormitory Room,5,Solo traveler,8.1,1,1,0,0,1,0,0,0,1,0,0.0012996706188351023
One night stay,one guest arrived in the middle of the night vomiting all over the floor and bathroom! nobody came to clean and the guest was unconscious of his mistake,"central, clean and very helpful",1.0,October 2021,"October 24, 2021",Bed in 8-Bed Mixed Dormitory Room,1,Solo traveler,8.1,1,1,0,0,1,0,0,0,1,0,0.0012996706188351023
"Great location, clean, great staff. AC not high enough during summer.",Air conditioner was low at night. The room was warm. I couldn’t sleep that well because of the weather.,"Great location, friendly staff, clean.",9.0,July 2022,"July 23, 2022",Bed in 4-Bed Mixed Dormitory Room,5,Solo traveler,8.1,1,1,0,0,1,0,0,0,1,0,0.0012996706188351023
Sat evening on Gran Via,No curtain on bed for privacy and to block light,"It was a bit pricey for a dorm bed, but I realize it was a Sat evening in Madrid, in a prime Gran Via location, so options for a deal on beds are few and far between. Private shower, in room, was a plus, air conditioning was a plus. Front desk very helpful",8.0,September 2023,"September 24, 2023",Bed in 4-Bed Mixed Dormitory Room,1,Solo traveler,8.1,1,1,0,0,1,0,0,0,1,0,0.0012996706188351023
Wonderful,"I was the only woman on a 4 person mixed room all week, and everytime someone left they put another guy in. I would've prefer some girls over.","The rooms are amazing, the hostel is beautiful and the location is unbeatable. The staff was really nice and the ambiance was super cool.",9.0,February 2023,"February 20, 2023",Bed in 4-Bed Mixed Dormitory Room,4,Solo traveler,8.1,1,1,0,0,1,0,0,0,1,0,0.0012996706188351018
"Great location, i would recommend the property for anyone who wants a clean place with nice staff.",The private room for four was very small if toy have to much luggage that might be a problem. You can’t move four at a time in the same room. But for a place just to get a good sleep it was enough.,"Great location close to everything, and very kind and helpful staff. Clean property.",9.0,December 2023,"January 4, 2024",Private 4 Bed Room,3,Group,8.1,1,1,0,0,1,0,0,0,1,0,0.0012996706188351018
Good,The bed is not flat,"Great location, friendly staff! Unfortunately the bed wasn’t flat",7.0,October 2023,"October 14, 2023",Private 4 Bed Room,3,Family,8.1,1,1,0,0,1,0,0,0,1,0,0.0012996706188351018
Great,"Located on a busy street so can be noisy at nighttime if you have the windows open. Quite hot in the room, think the air-con in our room was broken.","Second generator we’ve stayed in and both have been great. Clean rooms, toilets and showers. Excellent location and staff were helpful for what we needed. Beds were comfy and had good privacy.",9.0,May 2024,"May 12, 2024",Bed in 8-Bed Mixed Dormitory Room,4,Group,8.1,1,1,0,0,1,0,0,0,1,0,0.0012996706188351018
