Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Enjoyed my stay,"- check in took sometime 
- no toiletries in the bathroom 
- slow response","- staff are great at the hostel
- location is very good
- close to everything restaurant/ malls etc 
- rooms are big",8.0,June 2023,"June 22, 2023",Standard Queen Room,1,Solo traveler,7.8,1,1,0,0,1,0,1,0,1,0,0.0023037533778133327
Great views and excellent service!,"I'd suggest to have more international plugs in the rooms and maybe firmer pillows (these comments are just to improve something which is already good! Even without these details, the stay in the hotel was excellent!).","I just finished my visit there (end of October 2022), and it was my second visit (first one in 2018). I can only say that my stay was great and the best thing in the hotel is the staff. They were super friendly and helpful, always trying to help and listen.
The views from my room and from the breakfast restaurant are incredible!
Breakfast is also delicious, with many choices, and very friendly staff (Addallah and Damian, among others!).
People at the reception desk were also great, friendly and helpful. Especial thanks to Hussein and Rashid!",9.0,October 2022,"November 7, 2022",Standard Queen Room,6,Solo traveler,7.8,1,1,0,0,1,0,1,0,1,0,0.0023037533778133327
Good for a short stop but not adapted to work,"Was a bit noisy, I could hear the room next to mine, and the internet was quite bad","The bed was comfortable, the breakfast really nice and diversified, staff very accommodating. Good additional services such as room service or massage 
Nice view!",8.0,April 2023,"April 23, 2023",Standard Queen Room,3,Solo traveler,7.8,1,1,0,0,1,0,1,0,1,0,0.0023037533778133327
overall pleasant,bathroom shower had a lot of mold in it. needed a good bleaching,good breakfast selection. good location. awesome staff. bed wasn’t bad.,6.0,January 2022,"January 29, 2022",Superior Twin Room,1,Family,7.8,1,1,0,0,1,0,1,0,1,0,0.0023037533778133322
Be careful: receptionist may disclosure your room number to foreigner without your permission,"One of receptionist shares my lady  collegue room number with another foreigner guest of hotel. So that this foreigner disturbed my lady collegue very much, we had awfull and headache days due to this. i dont suggest anybody this hotel!!! May be it was almost time to fight for me with that foreigner who disturb and the receptionist but my lady collegue stopped me hardly","Location is good, breakfast is kind enough, clean room but one attitude of receptionist regarding disclosure of room number of my woman collegue made us hate this hotel",5.0,March 2022,"April 2, 2022",Standard Queen Room,5,Group,7.8,1,1,0,0,1,0,1,0,1,0,0.0023037533778133322
An excellent hotel with good customer service.,,"Comfortable rooms and good location. Excellent staff who are always happy to serve. I am very much impressed.
Excellent breakfast served with cool tasty coconut every morning
The Security is good with always attentive security personnel at the entrance",9.0,December 2023,"January 22, 2024",Standard Queen Room,5,Group,7.8,1,0,0,0,1,0,1,0,1,0,0.002275523335178013
Good location in the centre of town and good value for money.,The sanitary installations are getting a bit old.,"Very quiet hotel. No noise. Quiet restaurant, nicely located on top floor. Friendly personnel. Rooms are nice and big with good view over the city.",8.0,May 2023,"May 17, 2023",Standard Queen Room,5,Solo traveler,7.8,1,0,0,0,1,0,1,0,1,0,0.002275523335178013
It was a good and relaxing stay,They need stronger airfreshners in the common areas so the hotel can smell nice.,"The location is very central. It's within walking distance of the city. 
Our 3- bedroom apartment got upgraded to include complimentary breakfast.
The staff especially Judith at front desk were nice and extremely helpful.
We had dinner in the hotel's restaurant and the food was quite good.
The view of the city from the restaurant is awesome.
The cleaning staff did a better job this time.",7.0,January 2022,"February 20, 2022",Three Bedroom Family Suite 8th Floor,4,Family,7.8,1,0,0,0,1,0,1,0,1,0,0.002275523335178013
Highly recommended for short and long stays,Nothing to dislike,"Nice big rooms with best of the window views, cheerful, responsive and professional staff. One of the best breakfast spread I have ever seen. Highly recommended",10.0,November 2022,"November 30, 2022",Standard Queen Room,1,Solo traveler,7.8,1,0,0,0,1,0,1,0,1,0,0.002275523335178013
Enjoyable stay,They don't sell alcohol in-house,"Tasty food, there was a variety of food that also gave a taste of the locally eaten food especially for a traveller Who wasn't from Tanzania. Comfortable beds, great views, great ambiance, helpful and accommodating staff, good location",9.0,August 2023,"November 6, 2023",Deluxe Queen Room - High Floor,2,Family,7.8,1,0,0,0,1,0,1,0,1,0,0.002275523335178013
