Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Great location and value for a short term solo traveller.,Floor was creaky in the bathroom and the light from the electronic room cleaning option button was intense at night. However for a solo traveller this was ignorable and the light could easily be covered by a card.,Staff were accommodating and the room was clean. Locatation was central to my requirements and near plenty of food options.,9.0,August 2024,"August 12, 2024",Budget Queen Room,1,Solo traveler,8,1,1,0,0,1,0,1,0,1,0,0.000780375777038477
Wonderful,Bathroom smelt like someone had been smoking in there and grout near toilet was not clean. Sprayed bathroon with Glen 20 twice  daily.,Great staff. Location. Northbridge has sooo many food options. Comfy room.,9.0,May 2022,"May 12, 2022",Budget Queen Room,4,Solo traveler,8,1,1,0,0,1,0,1,0,1,0,0.000780375777038477
Comfortable hotel - would stay again.,The rooms are not overly sound proof and the chatter from from adjoining room did transmit more than would be expected  (This was not helped by fact lady in adjacent room had worst laugh ever!! - not hotels fault!) That was the only downside.,"Friendly greeting at reception. Room exceptionally clean, including the bathroom. No stale hotel room smell. Bed itself was very comfortable. AC worked well and wasn't noisy. Good location for food and drink options.",8.0,February 2023,"February 21, 2023",Budget Queen Room,1,Solo traveler,8,1,1,0,0,1,0,1,0,1,0,0.000780375777038477
Excellent location close to shops and restaurants.,not applicable. every thing was excellent in the room and the hotel.,"the hotel was close to the main reason for our stay - proximity to HBF Park. The staff were very accommodating, the restaurant served an excellent breakfast and meals at night. Although room was facing the street there was very little noise in the room.",9.0,January 2024,"February 6, 2024",Standard Twin Room (Unserviced),5,Group,8,1,1,0,0,1,0,1,0,1,0,0.000780375777038477
Clean and comfortable,No hairdryer in room,Friendly staff and excellent location. Close to many restaurants and bars. Room was clean and comfortable.,9.0,October 2023,"October 20, 2023",Budget Queen Room,3,Couple,8,1,1,1,0,1,0,1,0,1,0,0.0007765204941810679
"Enjoyable, comfortable stay...but misleading description was a touch disappointing","*Even though we knew our room had no windows, the description for the 'solar skylight' was misleading, as we expected an actual skylight, not 4 x downlights set to natural daylight.
*The wall switches to operate the 'solar skylight' (downlights) didn't appear to work","*Staff were very welcoming and check in was quick and straight forward. 
*The bathroom and shower facilities were fantastic.
*Room was clean, quiet and the bed comfortable.
*Great location for access to some amazing restaurants and bars around the Northbridge area.
*Handy on-site car park which was reasonably priced ($15 per night)",8.0,July 2022,"July 18, 2022",Superior Queen Room with Solar Skylight,1,Couple,8,1,1,1,0,1,0,1,0,1,0,0.0007765204941810679
Pleasant,Beds are hard but I take my foam bed topper and my own pillow every time..,"Clean, friendly, bar and restaurant is good also. Great location.",6.0,May 2023,"May 11, 2023",Budget Queen Room,2,Solo traveler,8,1,1,1,0,1,0,1,0,1,0,0.0007765204941810678
Pleasant,"The hotel room was kind of worn with some stains.
The skylight wasn't working.
Sound insulation was quite bad. Could hear people from the neighboring rooms talking; sounds of doors slamming shut etc. but not a serious concern.","Extremely friendly staff. Location was pretty central and surrounded by lots of restaurants and cafes.
Hotel building had automatic doors which was very convenient.
Shower water pressure was strong and heater worked well. Airconditioning was totally fine as well.
Bed and sheets were clean.",6.0,May 2024,"May 17, 2024",Budget Queen Room,4,Solo traveler,8,1,1,1,0,1,0,1,0,1,0,0.0007765204941810678
We enjoyed a fantastic stay with the lovely staff in this hidden gem.,"Mattress detached from the bedhead, and washing amenities too few.","Great location close to city and Chinatown. Clean room with excellent housekeeping. Cute little bar for afrer dinner. Extremely obliging staff. Inexpensive breakfasts, and fantastic to find a place with a bath.",10.0,October 2022,"October 3, 2022",Budget Queen Room,6,Family,8,1,1,1,0,1,0,1,0,1,0,0.0007765204941810678
"Clean, comfortable, but a bit noisy","The room was a little noisy, it opened on to the mezzanine above the lobby and noise echoed up into the room. Also, some street noise from loud conversations on the footpath. Also, pipes for the next room's shower could be heard loudly in my room.","The staff at the 24 hour front desk were super helpful and friendly. The $12 breakfast was filling and tasty. The rooms were clean and spacious, with comfortable beds. The location is just around the corner from Northbridge restaurant precinct and a moderate walk ~20 min) to Perth and East Perth railway stations.",7.0,April 2022,"April 15, 2022",Standard Twin Room,5,Family,8,1,1,1,1,1,0,1,0,1,0,0.0007724535146004437
Good,Had joining room with connecting door so could hear noise from other room all the time. Had few bugs in sink and rubbish bin split and stuff in bottom when bag removed.,Location and room service. Not having to go out to have drinks or eat.,7.0,December 2021,"January 18, 2022",Budget Queen Room,7,Solo traveler,8,1,1,0,1,1,0,1,0,1,0,0.0007707256856622145
"Overall, I still enjoy my stay there.",Room is a bit small. We had to pay extra for parking. The window cannot be opened during the stay. Bed was okay but a little bit too firm.,"The location was great, lots of restaurants nearby. The room was clean, check in process was smooth, staff were friendly. the shower was nice!",8.0,August 2022,"September 26, 2022",Standard Queen Room,1,Solo traveler,8,1,1,0,1,1,0,1,0,1,0,0.0007707256856622145
