Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Location can't be beat; close to everything . Great staff and comfortable beds.,"There were no bath towels, soap or coffee in our room when we checked in; which was rectified immediately upon request . There was a switch for black out curtains but no curtains, only a shade","Location was amazing,. Staff was friendly and accommodating. Bed were very comfortable.",8.0,May 2023,"May 30, 2023",Junior King Suite with Bath Tub - Mobility Access,3,Group,8,1,1,0,1,1,0,0,0,1,0,0.0009842163400133476
"I was very disappointed, particularly when compared to my last stay in May of 2019.","Amenities - Swimming pool and hot tub were out of services. Lobby - Very drab when compared to my last stay i May of 2019. The lobby size was much reduced and bland with white painted walls. Guest office area was moved within lobby area as compared to 2019. Apart from being much reduced, there were fewer work stations and printouts had to be routed through the front desk. Billing - A $75 charge was booked to my credit card for a non-existent ""pet"".","Location - Great access to SEPTA for transportation within Philadelphia. Room - Good size, well maintained. Staff - Very receptive. Breakfast - NA.",5.0,May 2022,"July 16, 2022",Queen Room with Two Queen Beds,4,Group,8,1,1,0,1,1,1,1,0,1,0,0.0009779331800452294
Good,"The day I checked in and the next day I found that I couldn't log in the WiFi, the staffs at the front desk were not so accommodating. The first staff forgot to tell me my room number and charged me with a wrong room rate; the second one just solved the problem not so politely. The room is not soundproof. I could hear people talking and walking in the hallway.","the location is great, near many historical sites and museums; the room is clean and well maintained; the breakfast is good (though not offered in buffet form); the staff Tony at the front desk helped me correct my charge bill very efficiently before I checked out.",7.0,May 2022,"May 10, 2022",Queen Room with Two Queen Beds,2,Solo traveler,8,1,1,0,1,1,1,1,0,1,0,0.0009779331800452292
Great location! great staff!  just needs a few tweaks,"We were told on check in that we would have to ask for rooms to be serviced, which we did repeatedly
seemingly to no avail
so for 5 days we had the same sheets,same towels,no coffee milk or sugar for the machine
The USA seems a couple of months behind the UK regarding Covid , but expecting guests to stay in a dirty room for 6 nights is not acceptable
Eventually we coerced a maid into getting us some clean towels and bedding and serving our room,  this hotel should be on par with a premier inn in the UK but was double the cost  and hard work","The Staff were on the whole were Great, Frank at reception, Johnny and William at the 10th floor bar and restaurant were great guys,  Darius at Breakfast  and the older gentleman  doing the coffee, and  Tiffany and Yolanda (sic)the Maids  also were very communicative and helpful .  
The location is very central but also quite gritty,with plenty of  homeless people around (not the hotel's fault)  the security guys seemed to man the doors 24/7  and were decent fellas too
Breakfast was nice and a good start to the day  , the breakfast room is pure art deco and very clean and friendly",7.0,May 2022,"June 3, 2022",Queen Room with Two Queen Beds,5,Family,8,1,1,1,1,1,1,1,0,1,0,0.0009698204355166455
NOT RECOMMENDED!,"NEGATIVE:
1.Thought the rooms are smoke free but the first room they offered smelled smoke!!! I asked for a change and thanks to the front desk for switching the room immediately. Even the second room also smelled kinda dump but it was better than the first one.
2. Parking is expensive and charges $37 per day! 
3. NOT ALL, but one of the ladies in front desk was very impolite and unprofessional. I asked for complementary water and she started arguing without knowing my the room type and family size. 
4. Room Service was poor. We asked 3 times and finally the cleaning ladies appeared. 
5. Bathroom smelled really bad.","POSITIVE:
1. Breakfast was not bad. There wasn’t enough varieties but it was still good.
2. Location is excellent, right in city center, walking distance to shopping center and groceries.
3. Cleaning ladies (from Guatemala and Porto Rico) who appeared after my request, were AWESOME with very good, friendly and smiley faces. They cleaned the room better than we initially checked in.",4.0,August 2022,"August 14, 2022",Junior Suite,3,Family,8,1,1,0,1,1,1,1,1,1,0,0.0009686598701721198
Fair,"We booked a large room for 5 people.  There were 4 towels, 1 tiny shampoo, no bedding for the sofa-bed, so we had to ask for that. We asked for no cleaning but did request more shampoos and coffee as part of the "" customised service"". We also asked for the bath drain to be looked at as it was blocked and the water didn't go down. Slight problem when the shower is over the bath and 5 people are staying.  None of these issues got addressed. We were showering while standing in cold water from the day before. 
There was a problem with the kitchen but there was an adequate continental breakfast.  However we were surprised  on Saturday night for getting a glass of wine in a plastic pint container then being effectively sent on our way at 9 pm as the bar closed. 
It's also astonishing how everything gets thrown away-paper and plastic plates, cups and cutlery everywhere rather than washing up, pretty decent melamine plates straight into the bin after breakfast. Not just at this hotel but most places we have found. So wasteful it's shameful.","It's a fairly modern hotel with nice staff.  Comfortable beds, quiet enough for It's central location. Would recommend Chinese restaurant Tom's Dim Sum directly opposite the hotel.",5.0,April 2023,"April 10, 2023",Junior Suite,2,Family,8,1,1,0,1,1,1,1,1,1,0,0.0009686598701721198
It worked.,"Staff wasn’t very friendly or helpful when we checked in. There was no luggage cart available. They only had one for the entire hotel and they didn’t know where it was. They didn’t have enough bedding for the sofa bed, no pillow. Sheets on queen beds were too small. The body wash was broken off the wall. The parking was $40 per day.",Clean room. Comfortable beds. Convenient location. Walk to Reading Terminal. Most of the staff was friendly.,5.0,September 2023,"September 19, 2023",Junior Suite,3,Family,8,1,1,0,1,1,1,0,0,1,0,0.000966056178365798
"Comfortable Room, but Expensive and a Little Risky Area","There were groups of children and teenagers screaming and running up/down halls at 1-2am and lots of street noise, so the rooms are not soundproofed at all. They do not have any parking, so parking was over $70 at the next door garage for just 2 nights. There are no barriers for people on the street to be kept from coming up into the garage, so it felt like a huge risk the whole time. It is located in the inner city, so when we walked out of the hotel the first night we were hit with an overpowering odor of marijuana, urine, and human waste.","The hotel room was clean and comfortable. The staff were very polite and kind. The location for historic sightseeing is great, we walked to Independence Mall and basically everything else worth seeing in the DT area. They had security at the hotel door and only guests with keys could make the elevator go up to the rooms.",7.0,July 2022,"July 10, 2022",Junior Suite,2,Group,8,1,1,1,1,1,0,0,0,1,0,0.0009632939047735642
Great for a long weekend away with our family,"It was quite noisy at night, from street noise to movement in the room above us, especially Saturday evening.",Location was great; the room size for our family of five was suitable; we enjoyed the bar at the top of the hotel; staff was very friendly and accommodating.,7.0,March 2023,"March 23, 2023",Junior Suite,2,Family,8,1,1,1,1,1,0,0,0,1,0,0.0009632939047735642
"Good, but exorbitant expenses will prevent me from staying here again","The rooms are wildly expensive, and nothing is included in the stay! I paid $105 for two days of parking, on top of the room cost and on top of breakfast. Not to mention room service doesn’t dare enter your room unless you specifically go to the front desk and ask. It’s just insane. Everything else was great but the cost alone would stop me from staying here again. Gotta include some kinda perks after a guest spends $450 for one person for two nights.","The staff was very nice, the property was clean, location is great.",5.0,July 2022,"July 28, 2022",Queen Room with Two Queen Beds,2,Group,8,1,1,0,1,1,1,0,1,1,0,0.0009525204212280633
"overall had a cool and fun stay, just these hotel mishaps that weren’t okay to us.","unfortunately the security deposit was more than what was originally posted so we weren’t initially prepared. And because it is in the heart of the city, you have to prepare to spend a pretty penny for parking. I requested room service every other day, and they only showed up our last day as we were heading to check out. ￼so our garbage was full and we had to leave it outside prior to this for them to take it out and they didn’t even give us bags so we had to go request some.","our room was nice. nice floor, perfect room. and clean and we made sure to keep it that way. The location was right in the heart of the city, right next to the convention that we were attending. and the staff after our check-in were pretty nice. it definitely wasn’t horrible.",5.0,June 2023,"June 6, 2023",Queen Room with Two Queen Beds,4,Group,8,1,1,0,1,1,1,0,1,1,0,0.0009525204212280632
thanks to the staff at the front desk and the restaurant. they do a great job and they are very friendly !,the swimming pool wasn’t open. the lobby is too simple.,"the staff, the location, the view from my room and the restaurant",8.0,May 2022,"May 16, 2022",Junior Suite,1,Family,8,1,0,0,1,1,0,1,0,1,0,0.00095178456385927
thanks to the staff at the front desk and the restaurant. they do a great job and they are very friendly !,the swimming pool wasn’t open. the lobby is too simple.,"the staff, the location, the view from my room and the restaurant",8.0,May 2022,"May 16, 2022",Junior Suite,1,Family,8,1,0,0,1,1,0,1,0,1,0,0.00095178456385927
"Good stay, come back soon",$40 Parking fee per night.😣,"Located in china town, you can get the Chinese food easily, good location to every where. Clean room, nice staff, Great breakfast, comfortable bed.",9.0,June 2024,"July 1, 2024",Queen Room with Two Queen Beds,1,Family,8,1,0,0,1,1,0,1,0,1,0,0.00095178456385927
"Great location, would stay again.",No onsite parking. This was researched before our trip. As we have a tall vehicle ended up parking a block away. Not a ding for the Hilton just part of traveling to central Philadelphia.,Location is great. Right downtown near the Reading Terminal Market. The front desk clerk was extremely helpful (have already sent a positive review to Hilton). Room was clean. The restaurant on the top floor was OK for a late dinner.,9.0,July 2021,"August 24, 2021",Queen Room with Two Queen Beds,1,Couple,8,1,0,0,1,1,0,1,0,1,0,0.00095178456385927
Very nice,Parking fees were high,"Great location, very clean, comfortable, good breakfast, and helpful and friendly staff.",10.0,May 2024,"June 5, 2024",King Room,1,Solo traveler,8,1,0,0,1,1,0,1,0,1,0,0.00095178456385927
Great location! Try the buffet!,"Hated the elevator. Got stuck a few times. Very anxious about elevators anyway, so when it would stop and do nothing ...made anxiety really bad.",Loved the comfy bed and HUGE TV! Everything was clean and the staff were VERY nice and welcoming...the buffet was DELICIOUS and the waitstaff were amazing... oh and the view!!,10.0,January 2024,"January 29, 2024",Queen Room with Two Queen Beds,2,Family,8,1,0,0,1,1,0,1,0,1,0,0.00095178456385927
Exceptional,Parking,"Great location. Comfortable bed. In room Kureg, mini fridge and microwave a bonus. Fitness room and pool good perks. Breakfast was tasty with good coffee. Staff friendly and helpful",10.0,April 2022,"April 21, 2022",Queen Room with Two Queen Beds,2,Family,8,1,0,0,1,1,0,1,0,1,0,0.00095178456385927
"Great location, would stay again.",No onsite parking. This was researched before our trip. As we have a tall vehicle ended up parking a block away. Not a ding for the Hilton just part of traveling to central Philadelphia.,Location is great. Right downtown near the Reading Terminal Market. The front desk clerk was extremely helpful (have already sent a positive review to Hilton). Room was clean. The restaurant on the top floor was OK for a late dinner.,9.0,July 2021,"August 24, 2021",Queen Room with Two Queen Beds,1,Couple,8,1,0,0,1,1,0,1,0,1,0,0.00095178456385927
Really great,Finding reasonable parking nearby for a rental car. Not an issue with the hotel.,"Great location, staff, restaurant, clean, updated",10.0,December 2023,"December 10, 2023",King Room,3,Couple,8,1,0,0,1,1,0,1,0,1,0,0.00095178456385927
weekend getaway to visit Christmas village,lack of private parking garage,"staff, cleanliness, vicinity to center city rocked!",10.0,December 2021,"December 23, 2021",Junior Suite,2,Family,8,1,0,0,1,1,0,0,0,1,0,0.0009516060031559108
Wonderful,Having to pay for parking. $40 for parking and you can't leave and come back without paying again. I believe shouldve at least had a warning so we could've planned properly.,The hotel was very clean. Great location. Wonderful staff!,9.0,August 2021,"August 30, 2021",Queen Room with Two Queen Beds,1,Couple,8,1,0,0,1,1,0,0,0,1,0,0.0009516060031559106
great experience and the room was perfect,parking,"location, cleanliness and pleasant staff",10.0,June 2022,"June 4, 2022",Queen Room with Two Queen Beds,1,Solo traveler,8,1,0,0,1,1,0,0,0,1,0,0.0009516060031559106
I stayed at the hotel before & I will stay there again.,I thought parking was expensive.,"Location, it was clean & staff was very nice.",9.0,July 2022,"July 18, 2022",Junior Suite,2,Couple,8,1,0,0,1,1,0,0,0,1,0,0.0009516060031559106
Exceptional,Parking,"Customer Service, Location, Beds were my top ""likes"".",10.0,July 2022,"July 22, 2022",Queen Room with Two Queen Beds,1,Couple,8,1,0,0,1,1,0,0,0,1,0,0.0009516060031559106
"My stay was pleasant, quick, and convenient.",Only thing I could mention was the gym.  The gym was lacking for me.  I could imagine it works for most people though.,The hotel was very clean and close to Septa and Reading Terminal Market.  The staff I encountered were very kind and inviting.  The room was cleaned as well.,9.0,July 2023,"July 15, 2023",King Room,1,Solo traveler,8,1,0,0,1,1,0,0,0,1,0,0.0009516060031559106
Very Good,Parking,Loved the location. Clean rooms. Friendly and informative staff!,8.0,January 2023,"February 3, 2023",Queen Room with Two Queen Beds,1,Family,8,1,0,0,1,1,0,0,0,1,0,0.0009516060031559106
Wonderful,Having to pay for parking. $40 for parking and you can't leave and come back without paying again. I believe shouldve at least had a warning so we could've planned properly.,The hotel was very clean. Great location. Wonderful staff!,9.0,August 2021,"August 30, 2021",Queen Room with Two Queen Beds,1,Couple,8,1,0,0,1,1,0,0,0,1,0,0.0009516060031559106
Wonderful,The parking was pretty difficult there's no parking area specifically for the hotel. I feel like it would be a great idea for the hotel to try and make a deal with a nearby parking garage. Have it be cheaper for the customer to park there if they're staying in the hotel,It was very clean and the staff were super nice and welcoming. The best part is the location because everything is within walking distance.,9.0,May 2022,"May 22, 2022",King Room,1,Couple,8,1,0,0,1,1,0,0,0,1,0,0.0009516060031559106
Wonderful,The parking was pretty difficult there's no parking area specifically for the hotel. I feel like it would be a great idea for the hotel to try and make a deal with a nearby parking garage. Have it be cheaper for the customer to park there if they're staying in the hotel,It was very clean and the staff were super nice and welcoming. The best part is the location because everything is within walking distance.,9.0,May 2022,"May 22, 2022",King Room,1,Couple,8,1,0,0,1,1,0,0,0,1,0,0.0009516060031559106
Exceptional,Pool was closed. Parking at site is not owned by the Hotel and is crazy expensive. Would have like the option of cot for infant,"Awesome location, nice sized room and friendly staff.",10.0,August 2022,"August 23, 2022",Junior Suite,2,Family,8,1,0,0,1,1,0,0,0,1,0,0.0009516060031559106
Good stay in perfect location,"Very loud noise from the next room late night, but luckily they left next day. Had to call to reception, but It didn't fully stopped until 3am.
Breakfast could be better in general... also the milk was spoiled but when we pointed it out they replaced it.
Elevator wait time can be long
No housekeeping during our 2 nights stay","The room and the facilities were great.
Location is good, but area is kind of not great.
The lobby manager was really friendly.
Early check-in.",9.0,May 2024,"June 10, 2024",Queen Room with Two Queen Beds,2,Family,8,1,1,1,1,1,0,0,1,1,0,0.00094996318506028
Elegant and efficient.,"Would have liked clear directions how to enter parking garage and the rates. Would have liked the pool to be open. We weren't expecting it but once we heard there was one, we would have used it.",The hotel is very centrally located. The agent at reception and the security guard were very friendly helpful people. Really a joy. The hotel décor is beautiful. Room and the restaurant were clean and elegant looking.  The rate for parking was average for the neighborhood.,8.0,June 2022,"June 14, 2022",Junior Suite,1,Family,8,1,0,1,1,1,0,1,0,1,0,0.0009336876031991928
Perfect spot for a weekend in Philly.,The downside is parking not being discounted due to a stay at the hotel. For 48 hours we paid $80.,"The location is great, close to restaurants and shopping. Located right across from Dunkin and around the corner is the Reading Terminal Market. Hotel room was clean and modern. There is a little shop in the lobby for snacks and drinks and the breakfast buffet is great. Also amazing service at the breakfast buffet. Staff was friendly everywhere in the hotel, always making sure to acknowledge us.",9.0,September 2023,"September 25, 2023",King Room,2,Couple,8,1,0,1,1,1,0,1,0,1,0,0.0009336876031991928
Exceptional,"Elevator was confusing, they told us we needed the key to use it but didn't realize you had to swipe it at first.  Parking was expensive, but that's true everywhere in the city.",Everything was great.  Staff was very friendly and helpful.  Really good value for the area we were in. Food was good quality.  Gym was small but clean and had a variety of machines for all your basic workouts.  Nice view from our room as well.  We really enjoyed our stay here.  10/10 would,10.0,August 2022,"August 23, 2022",Junior Suite,3,Family,8,1,0,1,1,1,0,1,0,1,0,0.0009336876031991927
