Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Perfect stay,Nothing,Everything was perfect! Clean hotel. Welcome drink was a plus. Staff is very friendly. Good location. Breakfast is various and delicious. I highly recommend!,10.0,June 2024,"July 4, 2024",1 Queen Standard Air Purifier,1,Family,8.8,1,0,0,0,1,0,1,0,1,0,0.002269398179164613
Excellent accommodation in the central part of Beijing,Super for that price,"Excellent accommodation in the central part of Beijing for a very good price. The room is small but well organized and equipped. The breakfast was very good with selection of international food. However, the dinner can be better. Free shuttle service to the main metro station is included.",10.0,August 2024,"August 20, 2024",Standard Twin Room,2,Group,8.8,1,0,0,0,1,0,1,0,1,0,0.002269398179164613
"Overall, I enjoyed my stay and would like to come back again in future.",,The staff at reception were very friendly and helpful. The room was nice and clean. The breakfast was excellent with variety of food to choose from. The location is very convenient for us to travel to the airport.,10.0,June 2024,"June 27, 2024",Standard Queen Room,3,Couple,8.8,1,0,0,0,1,0,1,0,1,0,0.002269398179164613
Very Good,,"Tasty breakfast
Friendly staff
Good location
Cleanness",8.0,November 2023,"December 13, 2023",Standard Twin Room,2,Group,8.8,1,0,0,0,1,0,1,0,1,0,0.002269398179164612
Great location and breakfast.,The entrance to arrive with a car is not always easy to access due to many drivers trying to sell you a tour.,"The hotel had a great breakfast and kind staff. The room temperature and air conditioning were on. The location is excellent, too. The entrance to arrive with a car is not always easy to access due to many drivers trying to sell you a tour.",10.0,June 2024,"June 14, 2024",Standard Queen Room,3,Couple,8.8,1,0,0,0,1,0,1,0,1,0,0.002269398179164612
Exceptional,,"Perfect location, excellent staff, of particular mention Lucky Qui and Lancy Dong.
The food was excellent with a wide choice of western cuisine. Unlimited water, coffee etc provided. This is our second stay at this hotel and we will return.
A very nice touch was a bottle of red wine delivered to the room on my wife's birthday. 
All staff were excellent, friendly and many spoke good English.",10.0,June 2023,"July 27, 2023",1 Queen Standard Air Purifier,5,Family,8.8,1,0,0,0,1,0,1,0,1,0,0.002269398179164612
Very Good,,"breakfast was great! Staff was always very helpful, room service was prompt and regular, location is in the heart of Beijing, thank you for the wonderful stay.",8.0,May 2023,"May 22, 2023",Standard Twin Room,4,Group,8.8,1,0,0,0,1,0,1,0,1,0,0.002269398179164612
Wonderful,"Quite far from subway.. almost 1 km dragging your luggage

Other else is good","Good location
Friendly and helpful staff
Plenty breakfast option
Comfortable room + clean
Good toiletries
Good Peking Duck restaurant opposite of the hotel
Book it through Booking.com cheaper then any other OTA",9.0,August 2023,"August 10, 2023",1 Queen Standard Air Purifier,1,Group,8.8,1,0,0,0,1,0,1,0,1,0,0.002269398179164612
Very happy with my stay at this hotel and definitely coming back very soon!,nothing to dislike:),"Great location, clean and comfortable rooms, kind and helpful staff and delicious breakfast (both Chinese and Western style).",10.0,April 2024,"April 29, 2024",Standard Twin Room with Air Purifier,3,Couple,8.8,1,0,0,0,1,0,1,0,1,0,0.002269398179164612
Friendly staff made our stay special.,Everything was the best.,"Verz helpful staff, big and good breakfast, comfy bed, location, nearby shops, welcome drink",10.0,August 2023,"August 1, 2023",Standard Twin Room,1,Group,8.8,1,0,0,0,1,0,1,0,1,0,0.002269398179164612
Good,,"Room and breakfast were good, a bit outdated interior, but very clean and comfortable. Do not rely on the receptionists to organize entries to (e.g.) museums. Location is good",7.0,December 2023,"December 10, 2023",Standard Twin Room,3,Group,8.8,1,0,0,0,1,0,1,0,1,0,0.002269398179164612
Exceptional,a bit far from the subway,"Excellent staff, comfy rooms with nice view, breakfast was great with many Chinese & European options, laundry service.
we had a flight at midnight so we were allowed to check out later and it was really kind of them.",10.0,June 2023,"June 4, 2023",Standard Twin Room,3,Group,8.8,1,0,0,0,1,0,1,0,1,0,0.002269398179164612
Very good hotel in a good location,Beijing is big and maybe it is not a problem but you need 15 minutes walk from the nearest subway station (Dongzhimen station) to the hotel.,"The hotel's location was perfect and quiet (foreigners live in this area).
The room was clean and big enough.
Breakfast was great (a mix of Asian and Western foods).
Although the robot delivery was enjoyable, I also appreciated their translating device (Totally, the reception staff are very kind and always willing to assist.)",9.0,December 2023,"December 2, 2023",Standard Twin Room,6,Solo traveler,8.8,1,0,0,0,1,0,1,0,1,0,0.002269398179164612
