Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Very Good,Small room,Nice location. Great view  you can see the sky trees and Singapore flyer from the room,8.0,July 2023,"August 4, 2023",Superior Double Room with City View,1,Family,6.7,1,1,0,0,0,0,0,0,1,0,0.00037474654039753024
"The Hotel Boss has all the right stuff, great bed, plenty of hot water in the shower and a perfect location.",The room and bathroom was small.,Location near MTA .  Great bed and shower.,10.0,January 2024,"January 21, 2024",Superior Double Room with City View,3,Couple,6.7,1,1,0,0,0,0,0,0,1,0,0.00037474654039753024
Good,"Was pretty good overall all except our internet and TV stopped working on the first day, we asked for it to be fixed 3 days in a row, they assured it would be every time but never was. Rooms very small for 4 people, hard to fit in suitcases but we did know this when we booked and weren't in there that often.","Cleanliness,  location,  pool.",7.0,September 2023,"September 28, 2023",Family Room,5,Family,6.7,1,1,0,0,0,0,0,0,1,0,0.00037474654039753024
great great hotel will be back,most Tv Chanel’s didn’t work .. for night time when I was in the room,clean comfortable good location,9.0,August 2022,"August 2, 2022",Superior Double Room,2,Solo traveler,6.7,1,1,0,0,0,0,0,0,1,0,0.00037474654039753024
Last resort for 4 adult- room with moderate price,"Room size is crazily small for two queen bed, no cabinet at all. Bathroom also very small, no bidet.
The balcony is quite big, but the design and color really depressing. 
Last one, the pillow is thin. Not comfortable for sleeping","Good value, it is now quite difficult to find one room for 4 adults in Singapore with moderate price. 
Check- in is fast.
Location near haji lane. Found out you can jog along kallang river eco park - area just behind the hotel. Very nice indeed",7.0,October 2022,"October 31, 2022",Family Room,2,Family,6.7,1,1,0,0,0,0,0,0,1,0,0.00037474654039753024
Enjoyable but not likely to return,"Crazy busy reception, small rooms","Our daughter's choice for their budget, very acceptable, clean, good location",6.0,July 2023,"August 2, 2023",Superior Double Room with City View,3,Couple,6.7,1,1,0,0,0,0,0,0,1,0,0.00037474654039753024
good location value for money,room a little small and cleaning only alternate days,good location comfy beds,6.0,July 2022,"August 6, 2022",Superior Double Room,3,Couple,6.7,1,1,0,0,0,0,0,0,1,0,0.00037474654039753024
it was comfortable except the space,rooms are very small,"Location, cleanliness and early checkin a bit late check out options",7.0,May 2023,"May 17, 2023",Superior Twin Room (Set Breakfast),1,Group,6.7,1,1,0,0,0,0,0,0,1,0,0.00037474654039753024
Fair,"The bed mattress was exceptionally hard and difficult to sleep, pillows not comfortable. Only one bedside table so only one person in the bead could use which was quite annoying.","Great location access to Lavender MRT, room was very quiet and has a block out blind for light. Good sized TV and access to apps to watch youtube etc.",5.0,September 2023,"September 11, 2023",Superior Double Room with City View,3,Couple,6.7,1,1,0,0,0,0,0,0,1,0,0.00037474654039753024
We enjoy the stay there 😊,The room abit small for the price,The room view is very nice 😊,8.0,October 2022,"October 7, 2022",Superior Double Room with City View,1,Couple,6.7,1,1,0,0,0,0,0,0,1,0,0.00037474654039753024
Okay for price. Could be better.,"The bathroom was not cleaned when we checked in. The wash basin drainpipe was stuck and the basin was filled with some used dirty water. I had to complain twice for them the come and have a look, and clear up the blockage.

The room was too small - but this is common in Singapore budget hotels.","Close proximity to MRT station, major bus route and resautants is plus. The check in  and check out was easy and quick. Beds were comfortable for the price and the room was quiet (but some noise could be heard sometimes).",5.0,July 2022,"July 14, 2022",Superior Twin Room with City View,6,Family,6.7,1,1,0,0,0,0,0,0,1,0,0.00037474654039753024
Fair,"size of room, very busy hotel.","Location was excellent, however the room itself  was very cramped.",5.0,March 2024,"April 15, 2024",Superior Twin Room with City View,2,Group,6.7,1,1,0,0,0,0,0,0,1,0,0.00037474654039753024
