Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Great location for a trip to New York,"There were a few scuffs and marks in the room, on walls. The rooftop bar looks tired and dated, and the breakfast was very disappointing so we had to find this elsewhere.","The room was clean and comfortable, and the location was great for exploring New York. The staff were very friendly and helpful.",8.0,July 2022,"July 28, 2022",King Room,5,Couple,7.1,1,1,0,0,1,0,0,1,1,0,0.001306103996822308
Good location but some improvements could be made,"The heating in the room didn’t heat up our room, was cold most of the time. The temperature of the shower was lukewarm, you could also hear the loft from our room so every time someone used it you could hear it. Breakfast was abysmal, not sure you can even call it “offering breakfast”. It was just pastries, some fruit and yogurt and strange coffee machines that only filled one cup at a time, this took forever and resulted in many people crowding around the machines waiting for their cups etc… just do yourself a favour and have breakfast elsewhere, which is what we did after the first day. The rooftop bar is not open, not sure whether this is a seasonal thing or whether it’s just closed permanently.","The hotel was in a good location, the room was clean and an adequate size for my duration. Staff were friendly",6.0,March 2023,"March 19, 2023",King Room,5,Couple,7.1,1,1,0,0,1,0,0,1,1,0,0.001306103996822308
Exceptional,"Breakfast options were poor, given the high quality of the hotel rooms and general building. Rooftop bar wasn't available either which was disappointing.","Excellent location, very clean hotel! Friendly staff!",10.0,August 2023,"September 11, 2023",King Room - Disability Access,5,Family,7.1,1,1,0,1,1,0,0,1,1,0,0.001302188644256134
Pleasant,"The advertised Restaurant in the facility was closed for construction and price should have been adjusted accordingly. Housekeeping are terrible. I had to ask constantly during my stay for bath Matt, towel and few other bathroom essentials. Thus, they clean every day but not replace.
Bed was very uncomfortable and makes noise on every turn.","Location is great, size of the room was reasonable and front desk staff are very nice, friendly and helpful.",6.0,July 2023,"July 28, 2023",King Room,15,Solo traveler,7.1,1,1,0,1,1,0,0,1,1,0,0.001302188644256134
Good hotel for the price and close to the centre of Manhattan,"Even though we had 4 people in our family room, we only got left towels for 2 people. The cleaners came to the rooms at random times which meant sometimes we ended up turning them away as we had just got back to our room for a rest. 

The rooftop bar was closed for the duration of our stay for refurbishment which was disappointing and the complimentary continental breakfast was very basic, not much choice and the same every day but that said, we were not actually aware this was included so it ended up being a bit of a bonus.","The hotel was pleasant enough, clean albeit some of the furniture was a little dated - the staff were very friendly and helpful and based on the location, the hotel was a fair price considering you could walk to Times Square in less than 10 minutes.",6.0,November 2022,"November 15, 2022",Double Room,7,Group,7.1,1,1,0,1,1,0,0,1,1,0,0.0013021886442561338
Great location and nice customer service,The toilet got clogged up pretty easily and took a while until the send someone in the room to unblock it. But not really a big deal.,"I got in a little earlier and I was allowed to do an early check-in once the room was ready and I was also allowed to do a late check-out, pretty good service, which nowadays not all the hotels are providing anymore.

The view of the room was nice and very good location, a walking distance to most of the landmarks and also pretty near a metro station, making accessible to everything around, even the main metro station which gives access to the airport is as near as 10min walk",9.0,May 2023,"August 6, 2023",King Room - Disability Access,1,Solo traveler,7.1,1,1,0,0,1,0,0,0,1,0,0.0012989723226776739
"Staff amazing, location good but overpriced.",Over priced and the room could do with a bit of a makeover as it looked really tired. Also room could do with complimentary water and refreshments.,"Location, staff and room with 2 beds!",8.0,September 2023,"October 22, 2023",Double Room with Two Double Beds,5,Group,7.1,1,1,0,0,1,0,0,0,1,0,0.0012989723226776739
"AC did not work, and we were promised a refund which has still not been fulfilled by hotel over 3 weeks later.","AC did not work in our initial room.  We got moved (at 1:30 am) to a new room. We were promised a $75 refund for having to switch rooms, but over 3 weeks later still cannot get a refund.",Great location.  staff tried to accommodate a room with AC that did not work,5.0,June 2023,"June 28, 2023",King Room,3,Couple,7.1,1,1,0,0,1,0,0,0,1,0,0.0012989723226776739
perfect location and friendly staff,"our room ac wasn’t working properly, I asked for it to be fixed on day 1 but it never cooled off. it was at least 80 in the room.","perfect location, clean and staff was so kind",7.0,July 2022,"July 26, 2022",King Room,4,Family,7.1,1,1,0,0,1,0,0,0,1,0,0.0012989723226776739
Thank you!,The bed and the AC didn’t work,The location! The bathroom/ shower. The Staff,8.0,August 2023,"August 14, 2023",King Room,2,Couple,7.1,1,1,0,0,1,0,0,0,1,0,0.0012989723226776739
"Awesome location, bed very comfy, good value for money.","The air conditioner didn’t work and it was hot. Also needed ear plugs to sleep because at night it is very noisy, even at 7th floor. Having extra shampoo could have been better, specially if you have long hairs.",Nothing beats the location of this hotel. The neighbourhood is nice with all the plant shops nearby. The metro was only 1 block away. Good value for money and Staff was very friendly and helpful. The room was as in the photos.,7.0,August 2023,"August 28, 2023",King Room,3,Couple,7.1,1,1,0,0,1,0,0,0,1,0,0.0012989723226776739
They’re a decent hotel at a discount price. They cut a couple corners on maintenance sorts of things,"We had trouble with the heat in our room, they had to look at it twice to get it working. 

The room was a little dirty - scuff marks on the walls, things like that. Just minor cosmetic stuff.","Great location, bed was comfortable and staff were friendly and helpful and excellent.",6.0,December 2021,"December 5, 2021",King Room,7,Couple,7.1,1,1,0,0,1,0,0,0,1,0,0.0012989723226776739
