Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
A good and practical choice for a cost effective short break in beautiful Lisbon.,The low pressure shower was disappointing (more  like home in Britain rather than the European norm) but that may have just been my room and nothing to rant to reception about.,Im quite happy staying with Ibis and this was no different. You know what you’re getting and it was clean.  The staff were super friendly and efficient. The location was convenient not in the centre of the city but about 10 minutes by metro from the main areas. The walk to the metro station is easy but quite lonely even during the day time. Its close to the airport so there is some flight noise but the advantage is that any car transfer doesn‘t involve crossing the city (which can be interesting during rush hours). For travellers who don’t need everything right in front of the door and are happy to jump on public transport this is a good location. There is a buffet style continental breakfast served til 12 noon nothing fancy but fine for setting yourself up for the day. Book it when you get there as I was much cheaper at the hotel than booking in advance.,8.0,October 2023,"October 27, 2023",Standard Double Room,2,Solo traveler,8,1,1,0,0,1,0,1,0,1,0,0.0020315158560321863
A good hotel for the price.,"The hotel is near the airport and you can sometimes hear the planes landing. Although, it is manageable when you close the windows in the room.","The rooms were clean, the staff was polite and helpful, the breakfast was great with a lot of options. The hotel is close to a metro station and to a supermarket.",8.0,August 2024,"August 17, 2024",Standard Twin Room,5,Group,8,1,1,0,0,1,0,1,0,1,0,0.0020315158560321863
Excellent comfortable stay. Convenient location.,A kettle in the room would be nice.,"Very clean and comfortable, quiet room. Bed is comfortable. Body wash and shampoo with conditioner provided. Great, efficient and friendly staff. Checkin was quick. Ana at the reception did an amazing job for my check in. Convenient  location. Good breakfast for a reasonable price. Close by to supermarkets, restaurants, pharmacy, and Cafes. Walking 10 mins distance to the Sete Rios bus/train station, metro station (Jardim Zoological) -10 mins train ride to city cente. Would definitely recommend to my friends and family to stay here.",10.0,September 2022,"September 22, 2022",Standard Double Room,9,Solo traveler,8,1,1,0,0,1,0,1,0,1,0,0.0020315158560321863
Very Good,"The room only had a small window yet a huge curtain covering the wall and taking up space. I could not figure that out. Space was a limited resource in the room, so the counter space blocked by the curtain was annoying.","Location was close to two metro locations. It was a pleasant walk to the main shopping street and close to a couple grocery stores. Room always felt clean, staff were all very nice and helpful, and the included breakfast was great. We especially liked how late they served breakfast since we do not wake up early.",8.0,May 2024,"June 22, 2024",Standard Twin Room,5,Couple,8,1,1,0,1,1,0,1,0,1,0,0.002005455253021927
"I would stay again, thank you!",The rooms were absolutely basic. I could use an electric kettle and a small refrigerator. Some vegetables for breakfast would be nice.,"Excellent service at the reception, very helpful, patient, always ready to help.
Location very close to the metro station in beautiful, green area, some nice restaurants and grocery shops nearby.
Breakfast was very tasty with good variety of products, including cheese, ham, eggs, yogurts and cakes. Comfortable beds, spotlessly clean rooms.",9.0,April 2023,"May 7, 2023",Standard Double Room,5,Solo traveler,8,1,1,0,0,1,0,1,1,1,0,0.0020032068346939975
It was ok. I liked the location of the Hotel which was close to the Metro station.,"You hear the airplanes every 3 minutes as if they are in your room. So, it is loud. Bring your earplugs with you. Since it is a big hotel, there are lots of guests who do not know how to behave in a hotel. You can hear door slamming and laughter on the corridor of the Hotel.","We liked the location of the Hotel. It is very close to the Metro station Praha de Espana. The room was very clean. Our check-in and check-out were also very quick. The staff is helpful and professional. Breakfast was ok, however, the coffee offered in the breakfast room is terrible.",7.0,September 2022,"September 23, 2022",Standard Double Room,4,Couple,8,1,1,1,0,1,0,1,0,1,0,0.0020016302637398536
Tidy rooms in Lisbon,The room size was pretty small even for a budget hotel. Parking price could have been a tad cheaper,The staff are very professional and polite. The location is decent amidst a range of hotels nearby. The rooms were clean and the buffet breakfast was good. Paid parking available on site. The rooms were neat and tidy. A metro connection under 10 minute walk was quite convenient.,8.0,May 2024,"May 31, 2024",Standard Double Room,2,Family,8,1,1,1,1,1,0,1,0,1,0,0.0019916317622553138
Overall I’ll give a 9/10 because it just keeps up to what they promise. They have got the main things with is: locke,"- Breakfast was not that great. Me and my husband payed 8.50 euros per person ( I think) for one day just to try it and it had croissants, bread, butter, ham, cheese and few other things like Pastel de Nata but it wasn’t that good. You have to make your own orange juice which I think was unhygienic as I saw people touching the spinning thing of the juicer with their hands. We did miss a good toast with sausage and bacon but, you know, it’s Portugal and this is not the culture, so it’s fine. Overall I’d give it a solid 6/10 for the breakfast.
- I wish they had more plugs in the rooms cause as far as I know there was just one extension with a couple plugs.
- The aircon could be stronger but it still sufficed and made us fresh in this hot august weather.
- Hairdryer could be better and stronger but it still worked.
- Wifi is good but not good if you need to attend a meeting when working remote.
- Didn’t have an iron in the bedroom but I’m pretty sure you can ask for it (I didn’t use it) and no mini fridge (which would have been really useful) but apparently you can store things in a fridge in the common areas upon request (I also didn’t check that).","- Staff very kind and helpful. We lost our keys once and forgot the keys inside another time and they took care of it in less than a minute.
- 24/7 bar and reception and it made us feel really safe whilst having a smoke outside, waiting for food delivery or waiting for an Uber.
- The location is in a really safe area (not that close to the city centre but you can easily get a 7 euro uber there).
- They have locks inside of the room that you can only lock from inside, good for solo travellers and girls specially that want to feel safer, no need to bring that extra locker.
- Bathroom, room, bed and bedding, everything super clean and they have got shampoo/conditioner, body wash and hand soap for you.
- Bed really comfy and not noisy
- They have got lockers if you need to keep your bag there if you check out but you only leave at night for example.
- walls are not that thin so you don’t really hear everyone.",9.0,August 2023,"August 14, 2023",Standard Double Room,6,Couple,8,1,1,1,1,1,0,1,1,1,0,0.0019896560643606885
Pleasant,"Unfortunately, very noisy outside until late at night and low-flying planes, it's hard to sleep - but the hotel staff has no influence on this. ;( However, in the room to fix the door to the bathroom - the lock (you have to slam hard to close), and the magnetic lock to enter door - poorly reads the magnetic card. Many tries required.","Good location, close to the subway. Comfortable beds, quite clean, nice and helpful staff, long-open restaurant with good coffee.. ;)",6.0,May 2023,"May 10, 2023",Standard Double Room,4,Couple,8,1,1,0,0,1,1,1,0,1,0,0.0019542814385126203
Clean and comfortable apartments in a great location.,"Unfortunately lift was not in service for the most part of our stay.
One room did not have an AC - it got a bit warm - would have been nice if they had informed us earlier.
There is construction still going on next door - not too much of an issue, but there is dust and noise during the day time.","Super friendly staff. 
Very clean and well equipped apartments.
Great location - plenty of options for food, access to tram / metro, and set amongst beautiful Lisbon buildings.",8.0,May 2023,"May 30, 2023",Double Room with Extra Bed,1,Family,8,1,1,1,1,1,1,1,0,1,0,0.0019472836099444582
