Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Exceptional,The room of the historical building is a bit dark.,"I stay in the historical room for two nights, and another tall building for another one night. The staffs are really helpful and responsive. I was not expected to get a high quality room with super city view.
Late check-in is available. 
Some of the rooms provides washing machine which is really helpful during the trip.
There's a path for guests to get directly to the subway without which is convenient.",10.0,October 2022,"November 4, 2022",Tower Deluxe Suite,1,Group,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
"Great location, poor internet service.","Internet is really slow. You can barely stream videos from your room. I'd suggest using the lobby wifi but keep in mind that the lobby wifi is also slow. 
If you plan on holding online meetings, don't use this hotel/residence.","Location was great. Staff was friendly. Great gym. 
The room was relatively clean. I would stay here again.",7.0,March 2022,"March 9, 2022",Tower Deluxe Suite,1,Solo traveler,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
"Great stay, very central location. Would recommend!","long waits for the elevator (sometimes waiting 5+ minutes), no blinds on skylight so room got quite bright early in the mornings","Very central location, nice, clean and spacious room, and friendly staff",9.0,March 2022,"April 4, 2022",Historic Superior Suite,5,Couple,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
Exceptional,"Because hotel is downtown, you can hear noise from outside the building in my room its not loud very minimal.","Fabulous location, large clean comfortable rooms great views from the room, beds were super cofy nice pillows, staff friendly and helpful. Lounge was ideal to meet business contacts and bar staff provided great service nice ambiance in the area.  Will stay here again.",10.0,June 2022,"June 6, 2022",Tower Deluxe Suite,3,Group,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
"enjoyed our one night stay, in room dining was really good",some marks on the towels and bed sheets,"Spacious room, good quiet location
very friendly staff",9.0,October 2022,"October 15, 2022",Tower Deluxe Suite,1,Couple,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
Great downtown hotel with great amenities,"The wifi was quite bad, probably because it was shared between all guests rather than by room.","Great location downtown with a subway stop right outside. Walking distance from the main shopping area as well. The room was big and more than enough space for two plus large luggage.
The staff were great, and very helpful.
The fitness centre was well equipped.
The mini kitchen also came in very handy.",10.0,May 2023,"May 9, 2023",Historic Double Suite,3,Family,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
"Fabulous location, great sized room.","Ok. This is the second North American 'suite' hotel I have stayed in the past 6 months (the other in NYC) and the same, albeit small, negatives apply.  I am presuming the designer in both instances was a male, and one who either didnt ask or didnt listen to any females when planning the rooms.

Theres a washer/dryer - amazing, way in excess of expectations.  And as I mentioned, the room is huge, massive, way bigger than I imagined.  However, the closet is tiny, like really really tiny, and has very little room for the length of dresses. It also has no light - I had to use my phone light to check the small amount of clothes I was able to hang up. (There was plenty of drawer space - but lots of clothes need hanging up).  The lighting in general throughout the room is poorly thought out, its incohesive and insufficient. 

 For a suite which is very suitable for longer stays, this isnt good enough. The daft thing is that there is tons of unecessary space in the bathroom behind the closet that could have been used, with very little imagination required. 

Then you have good kitchen appliances, again the dishwasher is way more than expected - but there is poor plates/cutlery/pans.  The plates etc are plastic, and there was a huge stock pot and frying pan, instead of smaller more usable items - who wants to make a massive stew!  

None of these negatives have a huge impact, partly because everything else is really fantastic.  Remodelling the closet isnt an easy fix, but the kitchen items are.","Great location.  The Path and King metro line is at the bottom of the stairs in the lobby. Ten mins walk to Union Station.  Perfect.  Quick and friendly check in, which was very welcome after a long journey from the UK.

The Tower superior suite is huge, two tv's (!), a lounge area, good size bathroom, kitchen area with washer dryer, dishwasher, fridge, microwave and small hob. The bed is comfortable, and my room had city views in three directions.

The gym/sauna is small but perfectly formed, lots of variety of equipment and it was quiet each time I went in there.

Everywhere was clean and quiet, fabulous. I would stay here again and recommend it to people I liked.",9.0,March 2023,"March 30, 2023",Tower Premium Suite,7,Solo traveler,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
"Great service, value, and location!","Some noises in the hallway by the same people, large loose furniture, and doors slamming.","The check-in/check-out process was simple, the staff representative was knowledgeable, and provided great service.

The facility was clean, social distance and masks were worn, insuite amenities are great.

Location is central, and reflects Toronto.",8.0,March 2022,"March 3, 2022",Historic Studio Suite - Interior View,2,Solo traveler,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
"great location, awesome lounge area to start your night.","rooms are a little bit dated, especially the kitchenettes and bathroom.
towels are rough. heating fan is loud","great location, beautiful historic building. 
really friendly staff. no wait for check in. live music and buck oysters on Thursday night. beds were very comfy",8.0,April 2022,"April 30, 2022",Historic Double Suite,1,Family,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
Great location but not a great nights sleep.,"Our main issue was that we both found the bed and pillows uncomfortably soft and the AC/Heat unit way too loud. As a result both of us had a very poor night sleep. Additionally, our room was sold to us a large two room suite (According to the pictures/dimensions on Booking.com)but was actually a an average sized room with a kitchenette along one wall.",The location is excellent and the building is beautiful. We found the building and our room to be very clean and the staff personable and helpful. Our room had a lovely floor to ceiling window with a great view of Downtown.,6.0,November 2021,"November 24, 2021",Tower Deluxe Suite,1,Couple,8.5,1,1,1,1,1,0,0,0,1,0,0.00034737220594762184
