Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Good,"Extremely slow check-in process. Burocratic, Unpleasant.
My room was next to the elevator, very noisy, I woke up the first day by the noise of other guests
Low quality breakfast, if feels like a cheap B&B than of a hotel.","Good location 
Friendly stuff on pool and lobby bars
Good food options 
Very clean room",7.0,April 2024,"April 24, 2024",Classic Double or Twin Room,2,Group,8.1,1,1,1,1,1,0,1,1,1,0,0.001430148847928354
Wonderful,"The space for sun beds around the swimming pool is not enough. It's always full and very crowded in summer days.
The water pressure in the shower was weak.","We really enjoyed our time in this hotel. Nice staff, good facilities, comfortable rooms, fancy design, excellent location, amazing view on higher floors, good breakfast.",9.0,August 2022,"August 31, 2022",Deluxe Single Room,3,Family,8.1,1,1,1,1,1,0,1,0,1,0,0.001402351467896904
Warning Warning Warning ⚠️ ⛔️  Do not stay in this hotel. The hotel was incredibly dirty and the food,"Warning Warning Warning ⚠️ ⛔️ 
Do not stay in this hotel. The hotel was incredibly dirty and the food was terrible. We requested a superior room and when we arrived we were greeted by an extremely small stuffy smelly dirty  room. There was no storage for our suitcases other than an open rack as you walked in the door. The air condition system was from something from 1980 blowing hot air into the room and not even a window to open. The hotel is in a terrible location, miles away from everything and we didn’t feel safe in the area. We travelled for a two week vaccination and specifically requested a swimming pool which was specified on their website as being open from may to September. We arrived to find out that it was closed for renovation. The first person said it would be open in a few days, then the waitress said 10 days and then finally receptionist said June. We requested after 5 mins of being there to have a room change. When they gave us the new room again you couldn’t swing a cat in. There was two tiny bed side tables and only one plug on one side of the bed. The bathroom
Was dirty and not what you would expect from this star rated hotel. We checked out after one day and the hotel charged us in full for the 10 days we were there. I requested hotel to refund us but they have ignored all emails and have also deleted this review which I feel guests should know about hotel. From start to finish this hotel was a complete disaster. Highly recommend staying near Plaka and also visit astir beach resort.","Warning Warning Warning ⚠️ ⛔️ 
Do not stay in this hotel. The hotel was incredibly dirty and the food was terrible. We requested a superior room and when we arrived we were greeted by an extremely small stuffy smelly dirty  room. There was no storage for our suitcases other than an open rack as you walked in the door. The air condition system was from something from 1980 blowing hot air into the room and not even a window to open. The hotel is in a terrible location, miles away from everything and we didn’t feel safe in the area. We travelled for a two week vaccination and specifically requested a swimming pool which was specified on their website as being open from may to September. We arrived to find out that it was closed for renovation. The first person said it would be open in a few days, then the waitress said 10 days and then finally receptionist said June. We requested after 5 mins of being there to have a room change. When they gave us the new room again you couldn’t swing a cat in. There was two tiny bed side tables and only one plug on one side of the bed. The bathroom
Was dirty and not what you would expect from this star rated hotel. We checked out after one day and the hotel charged us in full for the 10 days we were there. I requested hotel to refund us but they have ignored all emails and have also deleted this review which I feel guests should know about hotel. From start to finish this hotel was a complete disaster. Highly recommend staying near Plaka and also visit astir beach resort.",1.0,May 2022,"May 20, 2022",Classic Double or Twin Room,10,Couple,8.1,1,1,1,1,1,0,1,1,1,1,0.0013921485047532975
Pretty decent.,"The room was a bit more rundown than I expected. It wasn't dirty, but the desk chair had discolourations. The bathroom ventilator was directly connected to the light and it was pretty loud. The most annoying thing was the TV that would turn itself on at 2h30 AM for no reason. I had to unplug it from the socket to make sure I wouldn't be randomly awaken by it.","The hotel was conveniently located and we were about 20/30 min away from all locations we needed to be at, including the airport. The room was clean and spacious and the breakfast food was delicious. The staff was polite and helpful.",7.0,June 2023,"June 6, 2023",Classic Double or Twin Room,3,Group,8.1,1,1,1,0,1,0,1,0,1,0,0.0013787742504556301
Service is great but the prices are overestimated,"The pool was closed and it was not properly communicated. The bar was well-done and nicely refurbished but we expected some sort of a dresscode, not flipflops and shorts. The prices in the bar were over the roof. We felt like a lot of bathroom utilities were not replaced. The bed was too soft to our liking and too narrow (but some might enjoy that).",The staff was really friendly and respectful. The room was comfortable with a beautiful and clean bathroom. We had a good view on the city. Nice bar. There was a safe in the room! We had a room cleaning everyday. Good air conditioner! Good and delicious breakfast,6.0,May 2022,"June 21, 2022",Classic Double or Twin Room,6,Group,8.1,1,1,1,0,1,0,1,0,1,0,0.0013787742504556301
Very satisfied,The bed for the third person was very small and uncomfortable.,"Excellent location, parking available. Staff was very kind, friendly and helpful. Very good breakfast. Large and clean room.",8.0,March 2023,"March 14, 2023",Classic Triple Room,1,Family,8.1,1,1,1,0,1,0,1,0,1,0,0.0013787742504556301
Excellent city hotel to explore Athens,Paper cups in room and limited amenities in the room ie one tea bag each one coffee each and the smallest milks ever! Paper cups are so wasteful and not good for the environment.,Great location to get from Airport and into the city centre. Metro was easy to walk to if you wanted to alternatively we walked roughly 30/40 minutes to Parliament Square. Staff were very helpful. The roof top bar is great with it’s fabulous views. The breakfast was very varied with hot & cold selections. Rooms were clean and comfortable. Air con worked well.,8.0,April 2023,"April 27, 2023",Classic Double or Twin Room,4,Couple,8.1,1,1,1,0,1,0,1,0,1,0,0.0013787742504556301
it‘s a good stay and we had a good time eventhough some facilities ( swimming pool and rooftop restaurant) are not avail,"far from the metro(10 mins walk), some rooms smells weird, AC not working properly","nice lobby, rooms are big, friendly staff, breakfast are good, safe place/location to walk around",9.0,April 2022,"April 15, 2022",Standard Double or Twin Room,2,Family,8.1,1,1,1,0,1,0,1,0,1,0,0.0013787742504556301
This is a way to go if you want to enjoy that panoramic view of Athens. You will never forget it,Limited sunbeds are available at the rooftop pool so it is not easy to feel comfy there. The pool area is relatively small for that many guests. The window was a bit outdated in the room.,Helpful staff. Clean rooms. Excellent location. Rooftop bar is awesome. Panorama is breathtaking from the top of the hotel. Good breakfast.,7.0,August 2022,"August 11, 2022",Standard Single Room,4,Solo traveler,8.1,1,1,1,0,1,0,1,0,1,0,0.0013787742504556297
Will stay again at next opportunity.,"Separate payments for hotel and hotel parking. Actually having to pay for room service upon delivery, never seen that one before. Everything else was fine.","The renovated floors are excellent, and have some of the most wonderful views! The staff was world-class. The convenience of the location is good, close to the metro, and the cost works out fine. Room service was courteous and quality was good.",9.0,July 2022,"September 1, 2022",Deluxe Double or Twin Room,2,Solo traveler,8.1,1,1,0,1,1,1,1,1,1,0,0.001376994747347351
