Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Very Good,New trend of bathrooms with glass doors. The doors do not really separate the bathroom from the room and the ventilation in the bathroom is really really weak. We had two rooms and we had the same problem.,"The staff- from the doorman, up to the breakfast servers. The location and the view are amazing and rooms are spacious and clean.",8.0,March 2023,"March 9, 2023",Deluxe King Room,4,Family,9,1,1,1,0,1,0,1,0,1,0,0.0004956276201627383
Excellent stay with family - highly recommend,"No indoor pool which we knew before we arrived, but I guess for a hotel of this size would have been nice as Outdoor Pool closed (due to out of season stay), so having both would be great addition and provide options for guests","Excellent location
Breakfast variety superb
Friendly & helpful staff
Exceptionally clean
Rooftop Bar has great views and staff really kind to the children with their own sweets pots :-)",9.0,April 2023,"April 17, 2023",Deluxe Superior King Room,3,Family,9,1,1,1,0,1,0,1,0,1,0,0.0004956276201627383
top location and staff but rooms expensive,rooms were a bit basic and not warm enough. bathroom excellent,"great location with stunning roof top bar. 
top class bathrooms 
fabulous staff from the cleaners to the reception team. great breakfast buffet.",9.0,June 2023,"June 5, 2023",Deluxe Twin,3,Couple,9,1,1,1,0,1,0,1,0,1,0,0.0004956276201627383
Perfect location with perks,Sometimes the waiting time for any of 6 lifts is very long. The TV was set literally in the middle of our room which made it impossible to watch TV from both beds at the same time. The safe in the room was initially not working due to batteries left inserted the wrong way.,"The location was superb with many primary landmarks and attractions in walking distance. The underground and numerous busses are just at a corner. The view is magnificent. The priority access to sky bar for the guests is a life saving perk on Friday and Saturday nights. The staff is plenty, easy to find and very helpful. Breakfast is of descent variety and good quality. The checkout took less than 3 seconds. The main bed was enormously large and pretty comfortable. The furniture in the room was sufficient to keep the room tidy. The bottles with drinking water are delivered every day regardless of the fact the tap water is drinkable.",10.0,April 2024,"April 23, 2024",Superior Deluxe King Room with View,3,Family,9,1,1,1,0,1,0,1,0,1,0,0.0004956276201627383
Wonderful,"Room was a bit drafty, probably due to the old windows.
In order to get the vent/AC going, one must first use a lot of force to close the windows and get them correctly positioned. You usually succeed only after a couple of tries.","Spatious room with beautiful view to the Plaza Espana. Rooftop view was spectacular. The staff is nice and helpful. One of the best breakfasts, has many choices. Perfect location, exactly what we wanted.",9.0,January 2023,"January 7, 2023",Deluxe King Room,5,Couple,9,1,1,1,0,1,0,1,0,1,0,0.0004956276201627383
Belated birthday celebration.,"The pillows in the room. Too soft. I struggled to sleep well, but that’s just me.","This hotel was amazing. When I booked it I hadn’t realised it had the breath taking sky bar so that was a major bonus. The staff were excellent , the room very nice. We were on the 21st floor which was quieter and had great views. Location was very good and we were able to walk everywhere. Breakfasts were super. So much choice. Totally worth every penny that we paid. The sky bar was superb. Busy so you have to pick your time. The 360 views of Madrid were fantastic. Would totally recommend this hotel and intend to stay there again. I was fascinated by the lift system. Very clever.",10.0,April 2022,"April 6, 2022",Deluxe King Room,5,Group,9,1,1,1,0,1,0,1,0,1,0,0.0004956276201627382
We loved our stay. Already planning when we can come back!,Only issue was we couldn’t work the air conditioning so room not as cool as we’d like.,"Location was perfect and beyond expectation. Breakfast delicious and all staff we met were very polite, attentive and helpful. Room was immaculate, bathroom so spacious and shower lovely. Great touch to have bottle of water replaced each day.",9.0,April 2022,"April 18, 2022",Deluxe King Room,5,Couple,9,1,1,1,0,1,0,1,0,1,0,0.0004956276201627382
"Great location, great breakfast, great staff and great breakfast.",Room was too warm for us from UK.,"Great location. All important monuments and park are within walking distance of 15-20 mts of gradual pace.
All the plazas like de Sol, isabella2 etc are within walking distance. Lots of eating places are within easy reach by walk. Rooms are average size for delux king room but toilet with shower are of good size. Rooms are cleaned daily. The room is hot with no air con as it’s supposed to be winter. We stayed on 22 floor and kept windows open and still it was hot. Hotel may consider providing a fan. Hotel has sky bar with glass bridge n glass balcony for excellent views. The breakfast was great with many items and staff in the kitchen were friendly. There’s A & B section for sending guests to breakfast. The guest no can be as high as 2000.

Great place to stay.",8.0,February 2022,"February 13, 2022",Deluxe King Room,7,Couple,9,1,1,1,0,1,0,1,0,1,0,0.0004956276201627382
High quality hotel in the centre of Madrid with perfect services and a exceptional nice rooftopbar,"We basicaly liked everything about the hotel.  
If I had to give a point for improvement it the pool. Although very nice, it was a bit too small for the size of the hotel and the number of people staying in it.","Breakfast was very good. Very well organised by the staff, very clean and a very divers offer of food and fresh fruit
The rooftopbar was really exceptional and one of the top-spots with a 360 degree view over Madrid. Only for this, I would return to this hotel.",9.0,August 2021,"August 30, 2021",Deluxe King Room,3,Couple,9,1,1,1,0,1,0,1,0,1,0,0.0004956276201627382
"Enjoyed our stay very much, there won't be may better places to stay in Madrid.",Corridors to rooms wee a little dull/drab.,"Reception/bar area was impressive, decor stunning. Door staff friendly and helpful. Elevators quick to access and to travel between floors. Superb roof top bar with magnificent views over Madrid, especially after dark. Clean/good pool/solarium area. Good breakfast, very nice dining room. Hotel location excellent.",9.0,May 2022,"May 26, 2022",Deluxe King Room,3,Couple,9,1,1,1,0,1,0,1,0,1,0,0.0004956276201627382
