Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
it is a perfect star in the middle of busy town !!,"the windows cant open with no privacy glasses, small rooms,

nothing ,,,","-Location - comfort of beds - cleanliness & smell of the hotel - housekeeping - receptionist and receptionist -  securities - room service - help desk - polite people - near evey thing - Nile view 

- La poire Cafe down the street, dont miss it for Cofee or breakfast .. sweet ... 

it is perfect lovely stay ...",8.0,January 2023,"January 30, 2023",Deluxe Side Nile View Room,4,Couple,9.2,1,1,0,0,1,0,1,0,1,0,0.0004852381347291311
"delightful stay, will visit again for sure","The shower water makes hair fuzzy, but this is water in Egypt in general","This is my second time in this hotel. Wonderful location, super clean, comfy rooms, professional staff, yummy breakfast and will definitely be visiting again",10.0,January 2022,"January 16, 2022",Superior City View Room,3,Group,9.2,1,1,0,0,1,0,1,0,1,0,0.0004852381347291311
Lovely hotel but weird smell.,The bathroom drain smelled really bad.,"The location, restaurant, room
service and the security it provides. Staff were on point and happy to help.",8.0,June 2022,"June 17, 2022",Superior Pool View Room,3,Couple,9.2,1,1,0,0,1,0,1,0,1,0,0.0004852381347291311
Wonderful,"Bed, shower weak. Lift not working","Service was great, breakfast very good. Location excellent. Will stay again. Hotel clean and organised.",9.0,August 2023,"August 8, 2023",Superior City View Room,2,Family,9.2,1,1,0,0,1,0,1,0,1,0,0.0004852381347291311
"Great Location, very clean!","rooms are quite small, bathroom lacks faucet (strange in Middle East - my other hotels with Hilton, Marriott, Sonesta had it)","Fantastic location, staff, breakfast spread, cleanliness",8.0,March 2023,"March 6, 2023",Superior City View Room,2,Couple,9.2,1,1,0,0,1,0,1,0,1,0,0.0004852381347291311
"Lovely, convenient stay in a nicely located hotel",We requested a non-smoking room but when we arrived our room did still smell of cigarette smoke.,The hotel was very clean and in a very convenient location. Staff was very lovely and helpful and the food in the restaurant for breakfast and dinner was very nice and always with good service.,9.0,December 2023,"December 22, 2023",Superior City View Room,4,Family,9.2,1,1,0,0,1,0,1,0,1,0,0.0004852381347291311
One of the few decent hotels in Cairo. Highly recommend it,Guest bed is very uncomfortable,"Great location, excellent service, clean room and amazing breakfast. It’s one of the few hotels in Cairo that lives up to modern western hospitality standard.",9.0,April 2023,"April 6, 2023",Junior Suite,2,Family,9.2,1,1,0,0,1,0,1,0,1,0,0.0004852381347291311
"Great place to stay, warm and wonderful staff, convenient location and awesome hospitality!","I couldn't think of anything except that we don't have a bathtub in the bathroom ;) We'll try to check a room with that in this hotel next time, if any.","The variety of breakfast menus is really good, and the restaurant staff is excellent and attentive to their guests. The room is always tidy and comfortable, and although there was a minor concern, it was attended to and resolved immediately. The Location is incredible—it's easy to get a cab, and close to the Egyptian Museum and shops. I love the hospitality especially of the Guest Relation Officer (Mariam, I hope I named her right) and Amir the Manager, both are excellent and very competent in handling the guest's needs and concerns as well as checking always if we are okay or have any issues. We feel so secure and safe all throughout our stay. Generally, every staff (reception, housekeeping, restaurant, pool area, and management) is truly commendable. Thanks a lot to all of them especially to Mariam and Amir! This hotel will always be our choice when having a vacation in Cairo.",10.0,June 2024,"July 2, 2024",Superior Pool View Room,7,Couple,9.2,1,1,0,0,1,0,1,0,1,0,0.0004852381347291311
"This is a great place to stay, good value for money for a 5* hotel, I will definitely come back.","Even though my room was on the 9th floor, you can still hear the traffic with drivers loving to horns their cars.","The breakfast was delicious, I had room service and one American breakfast was enough for two, the portion were extra large. The location is perfect in downtown Cairo next to the museum, the Nile, cafes shops etc. They also have a great pool mostly empty as it is very hot during the day.",9.0,June 2023,"June 18, 2023",Superior City View Room,4,Family,9.2,1,1,0,0,1,0,1,0,1,0,0.0004852381347291311
Exceptional,Maybe the guests should take a blind vault to sleep better. The room blackout needs some improvement.,"Great location. The hotel is an oasis in the centre of Cairo, where we can be comfortable and safe, avoiding the noise of the city. Really clean and great staff. The breakfast buffet was excellent. Very cheap massages.",10.0,April 2023,"April 15, 2023",Superior Pool View Room,2,Family,9.2,1,1,0,0,1,0,1,0,1,0,0.0004852381347291311
Good experience in Cairo,"The harassment for tips is a plague in Egypt. The chamberlain was not different. 
The room was clean, more than most of places i've visited in Egypt, but still a bit dusty.
It's a bit overpriced comparing with egyptian standards, but if you want something at least ""average"" there, you have to pay a little bit more.","The location is perfect. 
Breakfast is good, with different kinds of foods.
I asked for a non-smoking room and they first put us in a room with strong smell of smoke. As requested, they promptly changed us.
The receptionist and luggage carrier were very polite and helpful.",8.0,September 2022,"September 15, 2022",Superior City View Room,2,Family,9.2,1,1,0,0,1,0,1,0,1,0,0.0004852381347291311
"Fantastic stay, would recommend to all family and friends and will definitely be back!",1 extra mirror in the room would be good with a plug near it.,"Excellent location, very central to everything. Room was lovely and clean and the staff were very hospitable. Breakfast buffet had lots of choice and was delicious. Can’t find any faults.",9.0,November 2023,"November 7, 2023",Superior City View Room,3,Couple,9.2,1,1,0,0,1,0,1,0,1,0,0.0004852381347291311
Exceptional,"Only thing is windows in the room should be double glazed perhaps as you can hear cars honking the horn all  day and night, but not sure if solves it as cairo never sleeps.","Amazing staff all around,perfect location, confort beds,nice shower, very clean room and food in the restaurant pretty good,and lovely breakfast.",10.0,February 2022,"February 13, 2022",Superior City View Room,2,Family,9.2,1,1,0,0,1,0,1,0,1,0,0.0004852381347291311
