Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
"Excellent location, fantastic staff, great room","The building is easy to find, but the hotel entrance not so much.... It's tucked inside the little square beside Aladdin Casino so you don't see it from the street.... Worth the effort tho and easy once you know... Finding it the first time a bit challenging.. Lol
For the hotel itself only one complaint... We found the bed quite hard, even for Colombia, where extra firm verging on hard is the norm in most hotels. I love a firm mattress but this one took firm to an excessive level. We adapted though and managed to sleep well, even if it meant a few extra roll overs during the night.","Breakfast was great, also dinner at the restaurant. Room was spacious and clean with a fabulous view of the city with the mountains in the background. So many convenient things in the immediate area of the hotel in walking distance..we even found a late night club nearby to party and dance at, Piel Roja. And an Irish Pub just up the hill behind the museum. Restaurants, bars, pharmacy, convenience store all nearby. Street shopping vibe just a couple of minutes walk down Carrera 7 where the street turns into pedestrian shopping area with street vendors etc. Area of hotel felt safe with a strong military and police presence.
Staff were friendly and helpful.
Room wifi very fast, excellent ... Super important for me as I do some work remotely while travelling.",9.0,April 2023,"April 16, 2023",Deluxe Suite,4,Couple,8.5,1,1,1,1,1,0,1,0,1,0,0.002206110601602957
"Great hotel with large suites and convenient, excessive street noise comes through the windows.","The windows are single-pane and don't seal properly.  As a result, street noise comes into the suite even with the windows shut.  The noise level overall is very high - day & night (motorcycles, buses) on both east (orient) and west (occident).

On the east side of the building, there's a bar on the other side of the street that plays very loud music until 4 am on most nights, and this comes through the windows even when closed.  Some nights were karaoke so the sound is not always very pleasant to hear.

I stayed at the hotel a couple of times a few years ago on different floors, and it was the same level as sound carries up.

If that wasn't bad enough for noise, the hotel installed a party/conference room on the 4th floor, and there were several parties with very loud music from 6 pm until 10 pm a few nights.  We didn't know about the parties.  We couldn't use the suite during that time in peace - I couldn't work, I needed to make some calls and I had difficulty hearing the person on the phone due to the high level of the music from the party room (even with the windows shut).

The water system is problematic sometimes; it looks like it's due to heavy concentrated use.  On four occasions during our stay, there was no cold water available in the shower, the water was scolding hot, and it was impossible to shower.  We waited some mornings before the cold water came back - various intervals from 15 minutes to 45 minutes.  This was not an issue every single time so it's an issue with heavy use when the hotel is busy.

Street noise in Bogota is a problem on busy streets in general, however, at this hotel, the noise level was excessive overall and the hotel could benefit by upgrading windows.

We've stayed at this hotel a few times over the years however the next time we visit Bogotá, we'll be looking for another hotel due to the noise level that comes into the suites.","The suites are large and very convenient for the typical Bogotá tourist attractions.  The kitchen has a fridge/stove/microwave; however, it doesn't have any pots/plates/utensils provided.  We requested these and got the basics to make some quick meals occasionally (we were there for ten days in total).  

Breakfast was included and was buffet style.  Great value.  

The spa is fine and operated by a different company; the jacuzzi, dry sauna and steam room were included.  Due to the size of the hotel, we were told we could only use the spa every second day.  

There is a small gym with typical modern equipment.  It was upgraded since our last stay.  

The staff are friendly and professional overall.  

If you want a great view of the mountains, the east side is best.  

If you can withstand the noise (read what I didn't like below) then this hotel is a great place as the suites are big and so convenient.  Bring earplugs if you aren't a deep sleeper.",6.0,December 2022,"December 18, 2022",Deluxe Twin Room,6,Couple,8.5,1,1,1,1,1,0,1,0,1,0,0.002206110601602957
"Old but well kept apartment, badly equipped kitchen, good wifi, disorganized cleaning service","•The kitchen has less than the basics and that is a problem if you expect to cook during your stay because, even if you complain, they will not be able to bring you everything you need. In my case, for example, I needed a pasta strainer, bowls and a good knife and they said they didn't have them.
•The gym is small and does not have much.
•The apartments are cold and don’t have heating. The only way they solve it is by giving you a blanket.
•Regarding cleanliness: I do not like that the floor of the room is covered by a carpet; also, the carpet was completely disgusting. In addition, the utensils they used to clean were more dirty than clean. The surfaces and the bathroom were always very clean, but the floors were not.
It is very important to take care of cleaning, disinfection and vacuuming very well, especially when the accommodation accepts pets and considering that we are still living in a pandemic.
In conclusion, we had a good stay although perhaps I would recommend it more for a short stay. By the end I was already a bit upset by the carpet and the little glitches. But for the offer that there is and the quality / price ratio that you can find, it is not bad. What is certain is that the hotel would gain a lot of potential if it remodeled the apartments (I think it needs urgent restoration).","•Good breakfast. They made us a vegan breakfast, even when they don't normally offer vegan options; but it was the same every day.
•Cleaning and daily amenities. (Although in the ""cons"" I detail the issue of cleaning)
•Excellent service. All the staff are more than helpful and resolutive.
•The Internet connection is good and stable. We were working 8 hours a day and we had no problems. ATTENTION HERE because we asked to change a room with a better view and when they changed us, there was no internet, so we had to go back to where we were before. So, keep in mind that there are apartments with no Wi-Fi.
•24h reception
•Very quiet. There's no noise. This gave us a lot of quality of life and more coming from the noise hell that there was in the accommodation in Playa del Carmen.
•Spacious. Enough space for storage and put the suitcases.
•Good workspace. (desk and confortable chair)
•Spa. However, there are restrictions to use the spa",5.0,January 2022,"January 13, 2022",Standard Suite,13,Couple,8.5,1,1,1,1,1,0,1,0,1,0,0.002206110601602957
"Old but well kept apartment, badly equipped kitchen, good wifi, disorganized cleaning service","•The kitchen has less than the basics and that is a problem if you expect to cook during your stay because, even if you complain, they will not be able to bring you everything you need. In my case, for example, I needed a pasta strainer, bowls and a good knife and they said they didn't have them.
•The gym is small and does not have much.
•The apartments are cold and don’t have heating. The only way they solve it is by giving you a blanket.
•Regarding cleanliness: I do not like that the floor of the room is covered by a carpet; also, the carpet was completely disgusting. In addition, the utensils they used to clean were more dirty than clean. The surfaces and the bathroom were always very clean, but the floors were not.
It is very important to take care of cleaning, disinfection and vacuuming very well, especially when the accommodation accepts pets and considering that we are still living in a pandemic.
In conclusion, we had a good stay although perhaps I would recommend it more for a short stay. By the end I was already a bit upset by the carpet and the little glitches. But for the offer that there is and the quality / price ratio that you can find, it is not bad. What is certain is that the hotel would gain a lot of potential if it remodeled the apartments (I think it needs urgent restoration).","•Good breakfast. They made us a vegan breakfast, even when they don't normally offer vegan options; but it was the same every day.
•Cleaning and daily amenities. (Although in the ""cons"" I detail the issue of cleaning)
•Excellent service. All the staff are more than helpful and resolutive.
•The Internet connection is good and stable. We were working 8 hours a day and we had no problems. ATTENTION HERE because we asked to change a room with a better view and when they changed us, there was no internet, so we had to go back to where we were before. So, keep in mind that there are apartments with no Wi-Fi.
•24h reception
•Very quiet. There's no noise. This gave us a lot of quality of life and more coming from the noise hell that there was in the accommodation in Playa del Carmen.
•Spacious. Enough space for storage and put the suitcases.
•Good workspace. (desk and confortable chair)
•Spa. However, there are restrictions to use the spa",5.0,January 2022,"January 13, 2022",Standard Suite,7,Couple,8.5,1,1,1,1,1,0,1,0,1,0,0.002206110601602957
Stay There,"The suites didn't have a kitchen towel or paper towel in the kitchen and no dishwashing soap. The housekeeping staff took care of all the cleaning and tidying up, so it wasn't much of an issue. I just like having the option because sometimes we ran out of clean dishes. The staff member who spoke the most English worked the not too busy shift. Not that it was a problem for us, but it may be something for other guests.","I am glad we chose here! The breakfast was superb. The restaurant's offerings were deliciously mouth-watering and filling. The pride in preparation was evident. The rooms were spacious and clean. The housekeeping staff did an excellent job. The taxis arranged by the hotel were reliable. The young staff member with the braces (sorry I didn't get his name) was the best at his job. The location was good for getting around to some of the main attractions. Overall, it was an excellent experience.",10.0,June 2023,"June 22, 2023",Family Suite,3,Family,8.5,1,1,1,1,1,1,1,0,1,0,0.0021992600168286337
It was very good for the price. We enjoy our stayed at Tequendama.,"The bed was not as comfort as I expected, the noise from the city was a little discomfort at night but it was ok. The cleannig staff forgot to leave the towels so we have to ask the front desk to bring them. One day they forgot to clean the room eventhought we ask them to clean. I thing they don´t have to many staff.","The breakfast was fine. The location was good. The staff were very attentive. It was near of most of the attractions like shops, convinience store and other buildings. The view of the city was superb from my window and the mountains. The room was bigger than I expected. I could study at night and the desk and chair were comfort.",8.0,January 2024,"January 14, 2024",Standard Suite,5,Family,8.5,1,1,1,1,1,1,1,0,1,0,0.0021992600168286337
A long weekend in Bogota,Some furniture and carpeting is starting to look dated.,"Convenient location near many buses, the City Center, the National Museum, with restaurants and banks close by, and a large garage below.  The breakfast was very good, the rooms were spacious, with great views, lots of hot water in the shower and many TV channels to choose from.  Cordial staff everywhere, safe place to leave luggage in case of a late flight, and all elevators were working well for easy access to rooms.  The rooms have great views.  I had a very pleasant experience.",9.0,May 2023,"May 25, 2023",Standard Suite,5,Solo traveler,8.5,1,1,1,0,1,0,1,0,1,0,0.002175358214037549
Wonderful,"Windows were little dusty, needed cleaning.","Marvelous 'old-school' classic hotel. I enjoyed staying here a lot: it has a perfect location near the National Museum, a nice view of Chicago-alike buildings of Taquendama. The staff is also very supportive and eager to help: they allowed me to make a 'late' late checkout (2 hours more). Room service is also very useful, and the food was delicious.",9.0,November 2022,"November 17, 2022",Deluxe Suite,2,Solo traveler,8.5,1,1,1,0,1,0,1,0,1,0,0.002175358214037549
it’s definitely worth $50 a day . I enjoyed staying.,I m not complaining but if u r light sleeper then room is not sound prof especially weekends there’s loud music going on till late night . Even your neighbor rooms u can hear banging 🤣 . they woke me up at 2:am 😂 she was loud 😜.,my room is big +big windows +Mountain View’s . I like the breakfast buffet that was included. they change the menu every day👍 they also have the small gym but I walk all day so no need gym for me … also spa if u need massage they told me it’s $40 for 1hours . there’s also spa right next to the hotel they charge $20 for an hours . when u walk all day u need that body massage to relax n refresh so that u r ready for tomorrow adventures. Also I like the front desk they’re friendly . if u have google translator will be helpful,8.0,March 2022,"March 8, 2022",Standard Suite,1,Solo traveler,8.5,1,1,1,0,1,0,1,0,1,0,0.0021753582140375486
great value for money and great location,"The rooms lacked heating, which was a slight issue on one day. Rooms remained about 67-70 degrees. No drive-up entrance to the hotel.","The value for money including breakfast and 24hr room service was great. Staff was great and responsive, property was clean. Wifi speed were good. location was great. and always felt safe.",8.0,March 2022,"March 9, 2022",Deluxe Suite,4,Couple,8.5,1,1,1,0,1,0,1,0,1,0,0.002175358214037548
