Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
My sister and I had lots of fun,"Their was no coffee and sugar in the holders in the kitchen and no cleaning kitchen soap.
Also no instructions how to use the safe and no information on TV programmes available.",Love the location and whole set-up with restaurants on the premises.  Staff extremely helpful and friendly.;-) Room was nice size and clean and comfortable - also love the balcony.,10.0,September 2021,"September 22, 2021",Suite with Balcony,3,Family,7.5,1,1,0,1,1,0,1,0,1,0,0.001061072941186183
"Convenient, quiet eventhough it’s in the middle of a busy street, safe and inexpensive","The WiFi connection was patchy
Better channels connected to the TV
We got a scouring pad for the kitchen
Maybe you can leave cleaning aid for the toilet/","The location was perfect - near to the beach for morning walks - restaurants and shopping malls.
The staff were super friendly and helpful.
Thankyou for showing us the different room options - we got the best balcony view with ample windows and sliding doors for light and fresh air 😅👍",9.0,November 2022,"November 17, 2022",Suite with Balcony,3,Family,7.5,1,1,0,1,1,0,1,0,1,0,0.001061072941186183
Great Loction,"The bathroom windows need blinds as everyone walking past can see in when the light is on. The tea and coffee station in room only had milk and 2 sugar sachets but no tea or coffee and nothing to wash or dry dishes with. Elevator smelled like a garbage bin.
The showerhead over bath needs to be replaced as it just has 1 spout of water.
The freezer and toaster were both on the verge of breaking.",The room was spacious and clean. Staff were friendly. The hotel is within walking distance of shops and the beach. The food and vibe at the restaurant downstairs is fantastic  Great location!,7.0,February 2022,"February 5, 2022",Suite with Balcony,6,Family,7.5,1,1,1,1,1,0,1,0,1,0,0.0010606041357850407
"Great staff, great location, spacious room but facilities were old and poor.","The facilities in the room were told and ragged. The bed linen was good but the double bed was too tiny for me and my 9 year old daughter. The couch in the room was ragged from use, one of the floor tiles was broken, the reading lamp on my bedside only worked after much persuasion. I think the switch was too old. A slightly better quality and bigger rug in the room would have helped.","The staff -- every single one of them -- was fantastic. Friendly, helpful, efficient. It was useful to have the restaurant on the ground floor-- very nice vibe. The location was great in terms of all the tourist attractions. Lots of places to eat nearby. A couple of supermarkets were close. The rooms were spacious, each room had a balcony. We booked 3 rooms and each had a view of the sea.",7.0,October 2023,"October 11, 2023",Suite with Balcony,4,Group,7.5,1,1,1,1,1,0,1,0,1,0,0.0010606041357850407
Convenient and roomy accomodations. Pleasant staff.,"A little noisy (our room was near the elevator), lack of black out curtains in the bedroom on the window that opened to the 24 hr lighted atrium.","Convenient location, helpful and courteous staff, good sized suite.",8.0,March 2024,"March 28, 2024",Studio with Balcony,2,Family,7.5,1,1,0,1,1,0,0,0,1,0,0.0010374979243162016
Good,"Parking onsite is no longer available, which came as a surprise.  Curtains and furniture needs an upgrade.",Great location! Rooms are serviced daily by friendly and helpful staff.,7.0,April 2024,"April 9, 2024",Suite with Balcony,4,Solo traveler,7.5,1,1,0,1,1,0,0,0,1,0,0.0010374979243162016
Beautiful Staying Capetown at The Amalfi Boutique Hotel,"The tiles on the floor were chipped. Bathroom needed a hanging line for wet clothes, no face towel provided and towel hanging hooks.","Attentive staff and willing to go an extra mile to assist. Nice views of Table Mountain from the room's balcony. Walking distance to shopping malls, the beach, Green Park and eateries. Easy access to Taxis. The room has a fridge and microwave plus cutlery and crockery sets.",8.0,August 2023,"August 31, 2023",Suite with Balcony,3,Solo traveler,7.5,1,1,0,1,1,0,0,0,1,0,0.0010374979243162016
Decent stay,The room is beyond basic. Not what is expected from the gorgeous lobby. There was some dangerous looking mold in the bathroom.,"Location is great as it is in the heart of Sea Point. Comfortable, clean bed

The front desk staff are fantastic!! Super responsive and helpful.",6.0,July 2024,"July 11, 2024",Suite with Balcony,2,Family,7.5,1,1,0,1,1,0,0,0,1,0,0.0010374979243162016
Good,"Limited room furniture.  Old (fragile) furniture. Noisy environments. Lack of proper kitchen items. Feeling not secure (can't lock door from inside). No in-room safe box. Poorly maintained TV air-conditioning and microwave devices. Rooms need update to suitable working visitors (desk, office chair, desk light, fast wifi).",Friendly staff. Location is very good. Room size. Balcony. Outstanding service from cleaning staff. Small kitchen. Room conditions could be better and more stylish.,7.0,October 2022,"October 23, 2022",Suite with Balcony,1,Solo traveler,7.5,1,1,0,1,1,0,0,0,1,0,0.0010374979243162013
Couple,"I didnt like the fact that they didn't do house keeping. The TV was a problem, cz it kept switching over to store mode while we were watching. I would've like a kitchen cloth. The bed was 2 singles together, didn't work that well as we're a couple and couldn't lie in the middle of the bed. It would've helped if they were to tell us that the shower's hot& cold were switched around. But the stay was good.","I love the place was clean, the view was awesome, it wasn't as noisy. I loved the staff, they were very accommodating",7.0,June 2022,"June 12, 2022",Suite with Balcony,2,Couple,7.5,1,1,0,1,1,0,0,0,1,0,0.0010374979243162013
"Clean, basic, and well located. Not the best - but would stay there again.","The website stated the room had aircon and a hairdryer, but no bath towels. When checking in - it was a great surprise that there were bath towels - but no hairdryer. It wasn't a very big issue for me - but it would've been nice to have a hairdryer as stated and expected. There are not enough plug points. One of the bedside lamps was not working and the aircon was dismal.","Fantastic location, basic accommodation, but the room has everything you need. It is clean and serviced daily. The room is also bigger than the normal size rooms available in Sea Point.",7.0,January 2024,"January 22, 2024",Suite with Balcony,3,Couple,7.5,1,1,0,1,1,0,0,0,1,0,0.0010374979243162013
