Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
"Excellent price for a tiny, clean room in a friendly central hotel opposite Kings Cross Station.",Damaged shower room door.,"Excellent location, friendly, helpful staff, very clean room, very reasonable price for a central London room.
Bed linen was very clean and the window opened to let fresh air into the room.",7.0,November 2023,"November 23, 2023",Single Room,1,Solo traveler,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
I wouldn't stay here for a long stay. It is necessities only.,"The room was tiny, with some many tiny rooms crammed in, the walls were paper thin so I could hear the person over the corridor in their room and also the person next door. The shower was too small for me and there was a huge hole in the floor sort of under the bed. The bed was also tiny and when you opened the bathroom door, it was so tight the door opened and hit the bed.",It was in a really good location. A stones throw away from Kings Cross. The rooms were clean and the staff were polite.,5.0,March 2023,"April 8, 2023",Double Room,2,Family,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
My single room was tiny but it served its purpose.,Bad smell in shower,"Convenient location, staff was nice, room cleaned everyday",5.0,December 2023,"December 27, 2023",Double Room,4,Family,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
2nd time and still great value hotel,Nothing. We knew what to expect and we got it. We had the same room as last time and was great.,2nd time we stayed here. We love the location. Ideal if you come with the eurostar and you arrive late or leave early. It is on 1 zone so  you can walk everywhere or using the tube you are in  few minutes in piccadilly. The hotel is old-fashion but very clean and the staff is very friendly. It feels home to us. Price is ideal for us which travel on budget.,10.0,January 2024,"January 6, 2024",Double Room with Shared Bathroom,7,Family,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
"Basic but clean, and really lovely staff!",Some of the stairs on the way up to the room were slightly uneven and creaky. It didn't negatively impact our stay but it made me cautious of disturbing other guests while going to and from the room.,"First and foremost, the location is incredible! Which made the already reasonable price even better! My mum was nervous of going down the stairs from reception to our initial room (where the staircase wasn't as well lit as the room upstairs) and the staff immediately and without any hassle allowed us to switch to a room upstairs which was more manageable. All the staff were incredibly friendly and helpful. The room was basic and but very clean.",10.0,December 2022,"December 11, 2022",Twin Room with Shared Bathroom,2,Family,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
"Bare bones room but if you are only looking for a place to shower and sleep, this is good.","The stairs!!! Also, do not opt for rooms with a shared external bathroom. Its a mess and too many people sharing and cleanliness is iffy (covid). These rooms are on the 4th floor and its all stairs if you have heavy bags.",The location and the staff were excellent. I booked months in advance so I got a good rate. Good hot showers! Staff will let you leave your bags there with no problem.,5.0,July 2022,"July 23, 2022",Twin Room with Shared Bathroom,4,Family,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
The hotel was comfortable as it was in a central location and very close to the underground and train station. Regardles,"The rooms were very small. This was the third time I stayed in this hotel, previously having had a room for two people as well. This is the smallest the room has ever been. In one particular room the bathroom door opened into the bed leaving literally no room to walk around. Since we only used the room at the end of the day to sleep for the night, this didn’t prove to be a problem but it could be an issue for anyone needing a bedroom to use for the majority of the day. 

The room I had in also had a particular issue with the bathroom light. The light worked with a sensor that would turn on when it feels your presence in the room. The problem was that the sensor did not sense us when in the shower so we’d end up using the shower in the dark or having to continuously move our hand out of the shower to wave for the light to turn back on.",The hotel is less than 2 minutes walk away from the entrance to the king’s cross underground station so the location was optimal for easy traveling around central London. The staff were very welcoming and accommodating (they provided 2 extra pillows when requested). The rooms/bathroom were clean.,8.0,December 2023,"December 13, 2023",Double Room,5,Group,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
Good value for money for a short stay with super nice staff!,"We were put in one of the downstairs rooms and there was constantly a smell of cigarettes. At night, it can be a little bit noisy.",The staff were super friendly and helped us out as much as possible. It was also a convenient location. The bathroom and room were clean.,7.0,May 2024,"May 23, 2024",Double Room,2,Family,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
Wonderful,"No lift with narrow stairs, and bed divided in 2 (uncomfortable for couples)",Good location. Clean and nice staff,9.0,January 2024,"February 6, 2024",Double Room,2,Couple,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
Good hotel for a city trip,"Room, and in-room bathroom were a bit small, which is to be expected at the price range. As a tall person, the bathroom was almost too small though. Directly in front of my window was a quite loud heater/air conditioning system, which for people with light sleep may be an issue. The buzzer at the front door makes an electric sound that was still quite loud in my room.","The room was cozy, and the staff was really nice. The location was amazing, with Kings Cross St Pancras entrance right at the front giving you a quick route to all major sight-seeing locations via the tube and bus. For the price the hotel was decent, but it depends on what you are expecting. My room was about 5 sqm bathroom not included, enough for the single bed, a small closet and a make-shift desk on top of the radiator. Bathroom was about 2-3 sqm, enough for toilet, sink and small shower. The room and bathroom was serviced everyday, and was clean. As a budget city-trip, this is a good place to stay.",7.0,October 2023,"November 2, 2023",Single Room,4,Solo traveler,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
Pleasant,"Rooms are very utilitarian and small (especially the shower).  You wouldn't want to book here if you planned to spend a lot of time in your hotel, but as a place to sleep, store luggage and take a shower in central London, its great.",The location is excellent for London and the staff were very helpful.  Beds were comfortable and plenty of hot water and water pressure in the shower.,6.0,September 2022,"September 29, 2022",Quadruple Room,2,Family,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
An affordable crash-pad convenient to King's Cross.,Very small. The shower is tiny and the tiles and grout were in poor repair.,"The staff were friendly and accommodating. It was reasonably clean, and located very close to King's Cross Station. Great price for this location and this time of year.",7.0,July 2023,"July 8, 2023",Single Room,1,Solo traveler,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
Great location and good pied-a-terre for a short trip to London.,"Very small, bad smell in bathroom, thin walls - could hear flushing in other rooms","Location, staff, room cleaned daily",5.0,December 2023,"December 28, 2023",Single Room,4,Family,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
Fair,"Very small amount of hangers And cupboards. The room Is small, never mind but there Is  almost no place where tu put the small things like mobiles, books, deodorants etc. Even in the bathroom. That Is the ONLY thing that was annoying.","The Location And Staff was super, thé Hotel Is Simple but clean and tidy",5.0,July 2023,"July 11, 2023",Triple Room,4,Family,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
"Pleasant, but could do with some attention to make it more comfortable.",Curtains could be longer and lined to keep out the sunlight and insulate the room. Net curtains would provide privacy when the curtains were open. The plug hole in the shower could do with some attention to make it look more hygienic eg filler.,"Excellent location and transport links eg buses. Off the main road. I liked that there was 24 hour shift cover. Staff very friendly and helpful. Nice, thick, white towels. A fan in the room, if needed. Room quiet and cool.",7.0,June 2024,"July 21, 2024",Twin Room,2,Family,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
"attended an event so just needed a bed for one night, close to Kings X. great location. Lovely ladies on reception. clea","Bathroom quite dated, but everything worked.","Extremely lovely and helpful ladies on reception.
Room was clean, and quiet. 
location couldn’t be better - literally 100 yards from Kings Cross / St. Pancras…",8.0,April 2023,"April 21, 2023",Single Room,1,Solo traveler,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
"great location, comfy beds, clean. my room was quite small for 3 persons",room was small and with too many doors that cannot be open simultaneously,"location, staff and beds are the best of this property",8.0,June 2024,"July 1, 2024",Triple Room,2,Group,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
Handy stopover near to stations.,Stairs down to room weren't well lit until already part way down. Window was difficult to open and couldn't secure it part way down for security. Needed it open as room was hot,Location opposite St Pancras was perfect. Price was good. Ideal for one night  Very helpful staff member in evening helped us to alter the room temperature,7.0,March 2022,"March 26, 2022",Double Room,1,Couple,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
It was a lovely stay and will definitely be staying at this hotel again when I’m next in London.,The bathroom was very small - the shower didn’t offer a lot of room for movement and everything was squeezed into a very small room. There are only stairs in this property - we were on the second floor so it wasn’t that big of a problem but be mindful if you’ll be having a lot of luggage.,The location is superb - only a 2 minute walk away from King’s Cross/St Pancras which means you’re well connected to all of London. The staff were all lovely and very friendly and the bed was super comfortable!,8.0,December 2022,"December 17, 2022",Double Room,5,Group,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
Adequate to crash for one night after a gig,"No bathroom mat.
Windows were very stiff - only managed to crack them open slightly to allow for some airflow.
Room was very small and very hot in the summer heat which made for a rather uncomfortable stay.","Great location - only a 5 minute walk from St Pancras station and another 5 minutes or so from the venue I attended.
Friendly staff - check in/out was quick and painless.
No temperamental keycard - provided with a key instead.
Room very quick to find.",5.0,August 2022,"August 17, 2022",Single Room,1,Solo traveler,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
"Honest, basic and well located for a relatively inexpensive stay for a couple of nights.","Very basic, room in the basement, quite hot and stuffy. A few details of light concern, the apparent lack of security from the outside, though I could be wrong.","Was probably a good deal considering the location, and due to the out of the way situation of our basement room it was fairly quiet except for some continuous pump or fan noise. 
Quite clean, beds very comfortable, friendly staff, 30 seconds from the Kings cross underground very handy.

Would consider staying again but ask for an upstairs room.",7.0,July 2023,"July 21, 2023",Twin Room,2,Family,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
Good budget option,Bed not that comfy but totally managable,Location really handy for kings cross and getting about london. Room very basic but had everything we needed. Reception staff were friendly.,7.0,August 2024,"August 13, 2024",Double Room,4,Couple,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
Fair,Hair in the shower and worn bedding. Electricity was off for part of the night with no lights in the toilet,Lovely and friendly staff and easy check in. Great location and a goof price for central london for onsuite room,5.0,December 2021,"December 20, 2021",Double Room,1,Group,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
Small but clean,Room extremely small with limited storage.  Bathroom so small there was not even room to put up a toilet roll holder!,"Room clean and maid service every day.  Bed comfortable and shower good.
Easy access to central London within 10 minutes via picadilly line which was yards away.",7.0,April 2024,"April 15, 2024",Single Room,4,Solo traveler,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
Good,The place needs a major renovation. There was a bad smell in the bathroom. Plenty of white stains on the red curtains. Cardboard thin doors.,Friendly staff. Clean bedsheets. Great location.,7.0,May 2023,"May 28, 2023",Single Room,1,Solo traveler,5.9,1,1,0,0,1,0,0,0,1,0,0.001142284329777617
