Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
A cool hotel in a great location,"The breakfast options for vegan are very limited. While they tried to accommodate me, I ended up canceling the rest of my breakfast reservations. It’s more affordable and easy to pick up breakfast at the Starbucks across the street (they had good vegan options). 

Note of caution. While I like a quiet hotel and didn’t have any issues, the hotel bar seems to host a few parties and the bar is a local destination for people looking to party and hang out. This makes the check in are a bit crowded if you’re looking to do anything at the registration area. Again, I had no issue and did not find that this disturbed the noise level in the hotel. Its just a watch out for anyone trying to avoid crowds.",It’s a very good location - close to lots of shops and restaurants. The room was spacious and had nice touches like the wall projector. The staff were very attentive,9.0,March 2023,"March 29, 2023",Special Offer - Standard Double - Omiki,5,Solo traveler,8.5,1,1,1,1,1,0,1,1,1,0,0.0019064469688771105
"Spacious room, convinient location","I stayed in Omiki room, and the bed was quite lower which was very close to the floor. It would be better if the mattress was a little bit higher.","The location is very close to Ginza metro station and airport limousine bus station. Staffs are extremely kind and helpful. Most of all, considering the usual tiny room size of the Tokyo area hotels, the room was quite spacious. Also very popular sushi restaurant named Midori is just a minute away.",8.0,February 2023,"February 1, 2023",Special Offer - Standard Double - Omiki,3,Family,8.5,1,1,1,0,1,0,1,0,1,0,0.0018823048763981587
A really comfortable and welcoming stay in Tokyo,My room overlooked a busy train line. I believe the window was double glazed but there was sometimes a dull sound of passing trains.  No other negative aspects come to mind. I believe there was a DJ in attendance for social activities near the reception area but in my room at night I was unaware of music being played.,"It was my first stay at this very new accommodation which was chosen because of its location for a specific event I was attending in Tokyo.  It was perfect for that activity with good access to the Tokyo Metro system and hundreds of restaurants within a short walk in many directions. The room was well designed, a moderate size as with many Tokyo hotel rooms but not cramped either especially for one person. The storage space was minimal but sufficient for my basic essentials.  Instead of a flat screen TV, there was a video projector attached to the ceiling. With a little assistance from the technical staff at the hotel, I was able to stream video material from my iPhone and iPad on to the wall, a lightly textured grey paper but not affecting the brightness of the image significantly. Wifi worked well. A good shower with ample hot water. My room overlooked a fairly busy railway line which could be heard distantly during its working hours. If someone requires complete silence, perhaps a request for a room on the other side of the building could be suggested. Although I didn't try the food near the reception area of the hotel, I had a couple of meals in the Italian restaurant on the ground level and these were very good. In the neighbourhood were all manner of culinary treats from Japanese seafood to Spanish, Indian, Cantonese, Vietnamese and other cuisines. I look forward to another stay at this hotel. The room was a comfortable temperature at the end of Autumn. I could wash essential clothes and they would be dry within 24 hours, a very great consideration when travelling light.",10.0,November 2023,"January 22, 2024",Moderate King - Omiki,15,Solo traveler,8.5,1,1,1,0,1,0,1,0,1,0,0.0018823048763981587
Fantastic hotel in a great location - Ginza,"No tv in room, but you can connect your laptop/phone to projector.",Fantastic hotel in the centre of everything. Rooms clean and comfortable. lovely hot powerful shower. Nice Canvas bar which has a terrace for warm evening drinks (blankets when not). hotel staff friendly and helpful. located about 5 mins between 4 different train stops. surrounded by lots of Japanese and worldwide restaurants. lots of high end designer shops close by. About a 25mins walk to Tsukiji Market and about 20 mins to Imperial palace.,10.0,May 2023,"May 15, 2023",Standard Double - Omiki,4,Solo traveler,8.5,1,1,1,0,1,0,1,0,1,0,0.0018823048763981587
convenient location,an onsen in the room will be nice,"location, tons of restaurants, shops, etc
room is very quiet (good sound isolation) could NOT hear any traffic/train or corridor noise (we were on the 9th floor) facing the train tracks
breakfast was ok (about the same everyday) just like the photo on the hotel website
there was a safe, a refrigerator ; the AC worked well; shower water pressure was good. Lobby area had a balcony (facing the train tracked); mattress (firm) and pillows were comfortable; they stored the luggage for us and received a package for us as well (which was very helpful)",7.0,November 2023,"November 9, 2023",Standard Double - Prosecco,4,Couple,8.5,1,1,1,0,1,0,1,0,1,0,0.0018823048763981587
Exceptional,"Spa would have been nice. Also no room service, they could collaborate with uber ears for example.","Cozy, new, modern, clean, very cheap hotel for its location in central Ginza. It is a business hotel, so no gym, no spa, no room service, no cleaning service; but that is what I wanted.  Overall exceptional!",10.0,February 2023,"February 4, 2023",Standard Hollywood Twin - Omiki,10,Solo traveler,8.5,1,1,1,1,1,1,1,1,1,0,0.0018723149593985083
"Great Location, Very Clean and Helpful Staffs.","Lobby is on the 2nd floor. You can either use the stair or an elevator then change to another elevator to go to the room.
During the party time, it might be crowded at the lobby.
All of the Amenities and Iron, will be available outside the room. Amenities have to be collected from the lobby. For Ironing, you may have to go to another floor. I could not find the iron in the room.","The room I stayed is large for one person and it would fit 2 people comfortably. It has a sliding door in the middle of the room to separate the entrance area and bedroom; as it is the one-bedroom studio. Instead of TV, the room equipped with projector. We can connect the mobile phone to it via HDMI cable and lighting-to-HDMI that provided by hotel; which you can use the projector to watch movie or work on a big projector screen.
As the hotel is located opposite the Ginza Corridor, you can find many restaurants along the corridor and it open until very late. From the hotel, it does not take long time to walk to Ginza Shopping street. Very convenience.
At night, the hotel lobby turns into a party. Live DJ and Saxophone.
Staffs were very helpful and room as super clean everyday.",10.0,May 2023,"May 22, 2023",Standard Twin - Prosecco,3,Solo traveler,8.5,1,1,1,1,1,0,1,0,1,0,0.001871169728343753
Very Good,"The breakfast was terrible. We booked breakfast for 4 days and only chose to eat it once. Food was soggy, choice was very limited and was neither western or Japanese. The restaurant itself was clean","location was excellent, close to restaurants. Room overlooked the train line. It wasn't overly noisy but they can be heard.
Bar area is really good and has a terrace. Rooms were spacious and clean. Shower has Bluetooth which was quirky",8.0,August 2024,"August 19, 2024",Moderate King - Prosecco,4,Couple,8.5,1,1,1,0,0,0,1,1,1,0,0.0018617963588801717
Good,"Having to check in electronically, even though the reception desk was manned - the last thing we needed after a long flight! We noticed people arriving at other times were not asked to do this so the policy is unclear.
We paid for breakfasts in advance, not knowing the content of the set menu wouldn’t be to our taste. That was our fault; we should have checked.
Our room was almost entirely taken up by the bed - not as indicated in the photos!","Good location
Lounge/bar area with reasonably priced drinks
Very comfortable bed
Excellent bakeries and restaurants in the area
The loan of umbrellas to guests is such a good idea!",7.0,March 2024,"March 19, 2024",Standard Hollywood Twin - Omiki,4,Couple,8.5,1,1,1,0,0,0,1,1,1,0,0.0018617963588801717
Definitely I want to return next time when I am in Tokyo,There should be some varieties with breakfast. Free welcome drink should be free.,"One of the best hotel I stayed. I liked the layout of the room, spacious room, especially for Japan standards, very clean, nice design. Exceptional location, everything you need is nearby - the food places, bars, subway, train station. Good service, friendly staff. Comfortable lobby bar for business meetings as well as for socializing at night, nice view from the balcony in bar.",10.0,October 2023,"October 19, 2023",Standard Double - Prosecco,2,Family,8.5,1,0,1,0,1,0,1,1,1,0,0.0018479882749612194
