Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Good,"The design is modern but very boring and dismal. The rooms are small, dark, the corridors are gloomy. There is no wardrobe, only a bracket and a chest of drawers. For 6 days, tea and coffee bags were placed only 1 time (1 bag). The doors to the floors have electronic locks and are hard to open. This increases safety, but all together creates a depressing impression. The street around the hotel is under renovation, making it difficult to approach and drive up, but this is temporary. The price is too high and does not correspond to the size of the rooms, level of comfort and design.",The location is good. There are many pubs and restaurants around. The central square is a 5-minute walk. Friendly staff. Nice lobby with space to work. Modern design. Everything in the rooms is new.,7.0,May 2024,"May 14, 2024",Standard King Room,6,Solo traveler,9,1,1,1,0,1,0,1,0,1,0,0.001748190222403809
Wonderful,"The sink was outside the bathroom, in the main bedroom. Lighting not great for doing make up.",Staff were friendly... recieved a cake and a drink on arrival. Spacious reception with nice colours. Beds very comfortable. Great Central location,9.0,April 2024,"April 18, 2024",Standard Queen Room,1,Group,9,1,1,1,0,1,0,1,0,1,0,0.001748190222403809
"Welcoming,  clean, and excellent location",Not much to complain about except I felt the lighting in the room where the mirror is situated could have been brighter.,"Friendly, welcoming and relaxing vibe in reception. Staff  very pleasant and helpful making check-in process a breeze.
Room very clean and towels changed daily. Bottles of water in room were appreciated.
Window that actually opened, unlike other hotels. Effective air con and heating controls in room. TV that included streaming facility.
Quiet area despite being in a city centre and as our room overlooked the private courtyard there was no outside noise at all.
We didn't have breakfast but did enjoy a delicious evening meal and dessert. Again, service was top quality.
Location superb, 2 minute walk to shops and cafes, 5 minutes from George Square and 10 mins to Glasgow Green.   Very accessible to Argyle, Queen Street and Central train stations.
 Also walkable to Buchanan Bus station (20 mins)",9.0,August 2024,"August 19, 2024",Standard Queen Room,3,Couple,9,1,1,1,0,1,0,1,0,1,0,0.0017481902224038089
Nearly perfect,"The shower is terribly weak. 
I hated not having an iron in the room. I needed to use it every day because I was heading to a conference and it was very annoying having to get up get dressed, head down to the laundry room Iron the clothes and go back up.",Decor is very cool. The bed is amazingly comfortable. Location is brilliant. Staff are exceptional! The gym is great too,8.0,May 2024,"May 8, 2024",Standard Queen Room,5,Solo traveler,9,1,1,1,0,1,0,0,0,1,0,0.0017355936097009073
Amazing place to stay,The water pressure in the shower was quite weak,"Friendly staff, fantastic location, great array of facilities, all the facilities as well as my room were very clean. The room itself was modern and very spacious. Great hotel",10.0,May 2024,"May 22, 2024",Standard Queen Room,4,Solo traveler,9,1,1,1,0,1,0,0,0,1,0,0.0017355936097009073
The hotel was centrally located and modern the bedrooms were functional but overlooked and the made squeked whick the ma,"Use of mass concrete made rooms dull and soulless 
Rooms functional not comftable 
Bathroom sink in the bedroom",Central location good facilities friendly staff and clean,6.0,June 2024,"June 29, 2024",Standard Queen Room,2,Couple,9,1,1,1,0,1,0,0,0,1,0,0.0017355936097009073
Will be back again. Excellent!,I don’t have much negative to say. If I was looking for something the lighting was a bit dull in the room.,"Great location, modern, good facilities, clean and really friendly staff. Lovely vibe in the place.",9.0,July 2024,"July 5, 2024",Deluxe Room,2,Couple,9,1,1,1,0,1,0,0,0,1,0,0.0017355936097009073
Good,No light switch at the bedside like most hotels. Air conditioning was rather noisy. The bathroom was quite small with a tight squeeze between the shower door and bathroom door.,"The location of the hotel is perfect. Not completely in the city centre but a short walk away, in a relatively quiet spot. The hotel itself is very modern, and check-in was quite easy. The room was cleaned every day and the staff were very pleasant. The WiFi was free and fast, and the ability to cast to the TV was a bonus",7.0,May 2024,"May 12, 2024",Standard Queen Room,4,Solo traveler,9,1,1,1,0,1,0,0,0,1,0,0.0017355936097009073
Great hotel,"The address provided is the wrong address. 
The hotel is actually on Brunswick street not candleriggs.
If you or someone in the room around your runs the hot water there is a loud humming noise that fills the room like there is an air bubble in the system somewhere or there's a water pipe not secured to a wall and vibrating.we where in room 354. 
Space between our bed and the table was a little too narrow for a big clumsy guy like me I hit my shin on the bed frame a few times.","Great location in the city centre but not with drunken folk walking past singing shouting n fighting under the window.
Really clean, stylish.
The café/restaurant is set up for people with most allergies and preferences e.g vegan friendly options gluten free options.
The foyer is full of comfy sofas and places to relax and a pool table.
The staff are all friendly and happy to help but theres no uniforms which can make them hard to spot.
Rooms are more spacious than a lot of more expensive hotels we have stayed in.
Big comfy beds
Big comfy pillows",8.0,June 2024,"June 2, 2024",Standard Queen Room,2,Couple,9,1,1,1,1,1,0,1,0,1,0,0.00169744103335388
First time visiting Glasgow? Base yourself here.,"The only strange feature of the studio-style room that I booked, is that the sink is outside of the bathroom rather than in, presumably due to how the space has been divided for efficiency. I can't say whether this is true for all room types. One plus is that the natural light meant the mirror ring outside of the all-black bathroom was fab for applying makeup.","This hip hotel has a similar vibe to Citizen M, but with the added bonus of free table tennis and snooker in the foyer! If you're lucky enough to have booked your stay during one of their many monthly art and social events then you're sure to have a packed out itinerary for your trip. Suffice to say, the amenities on site blew me away, there's a theatre and a shop (supporting charitable causes) and the cafe does great coffee/sweets too. It's a self check-in system but the staff always welcome you with a useful speech about everything you need to know. The room keycards are wooden and they are SO cool, becoming optional keepsakes after you have checked out. The elevators are well lit and love the rainbow interior - loads of unique features in terms of art choice. I stayed in a studio-style room which was en-suite and had ample space for what I needed. It was slightly industrially-styled which is to my personal taste. It has an open wardrobe, plenty of storage, spacious bathroom/shower, desk and very comfortable bed - worth noting that it's a medium hard spring mattress which I appreciate is not to everyone's liking. On my first night I had an issue with the bed as it creaked loudly with any micro movement, however when I relayed this to the staff it was immediately fixed by the maintenance crew! The room is equipped with everything you need from coffee brew bags to shortbread nibbles to hairdryer. Housekeeping come round every day and are very lovely people. On one of the days I was tied into an online meeting, the cleaning staff offered to skip my room and come back in 30 minutes to allow me to complete the call. Linens and towels were changed each day, and refreshments also replenished generously. You will not find a more well-priced contemporary hotel situated this centrally. Merchant City is a brilliant place to be based as there is so much to see and do.",10.0,August 2024,"August 12, 2024",Single Room,3,Solo traveler,9,1,1,1,1,1,0,0,0,1,0,0.0016708854398791192
