Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating,Room amenities - positive,Room amenities - negative,Hotel amenities - positive,Hotel amenities - negative,Staff - positive,Staff - negative,Food and beverages - positive,Food and beverages - negative,Location - positive,Location - negative,PageRank Score
Exceptional,Didn't love that sink was actually in room but I understand why they designed it that way.,"Comfy hostel - beds with lights, sockets, lots of storage. Great shower in room. Nice lounge area. Breakfast available and good value for the spread available. Near metro, lots of places to eat near by - restaurants, bakeries, Lidl supermarket ( can recommend Malaysian restaurant down street). Felt pretty safe with 24hr reception, you have to be buzzed in and show your bracelet which is also electronic key to your room- and friendly staff. And that they have female dorms available is a draw for me. Would very happily stay again!",10.0,January 2023,"January 18, 2023",Bed in 6-Bed Female Dormitory Room,2,Solo traveler,9,1,1,1,0,1,0,1,0,1,0,0.0008090797322982334
Overall stay was amazing best hostel I’ve been to so far !,"Only thing I thought was OK was the bars we went to for the bar crawl, not the best but the club was fun. The room shower is small and bathroom sink is outside so if you need to get ready early, everyone will hear you.",I love everything about it the staff were super welcoming the facility was centered and you could literally walk everywhere. Taxis were easily accessible if you needed them. Breakfast and dinner all 10 out of 10. The bar at night was a lot of fun and the bar crawl but that was because of the group we had. The room was awesome we had a small balcony looking out into the street.,10.0,April 2024,"May 29, 2024",Bed in 4-Bed Female Dormitory Room,3,Solo traveler,9,1,1,1,0,1,0,1,0,1,0,0.0008090797322982334
Excellent first solo hostel experience,"The aircon in the room didn't seem to work too well, and the windows could only be opened by cleaners, so the room got a bit stuffy at times.","I was very impressed by the hostel's general atmosphere and cleanliness - at times it almost felt like being in a hotel.

The hostel is modern, clean, and has decent facilities. The lounge area is a nice place to spend time relaxing or working, the terrace has great views over the north of the city, and the kitchen and restaurant are good too. 

The staff are friendly, welcoming, and knowledgeable regarding local attractions and getting around the city. There are too many to name them all individually, but Pablo's tours (day and night) were great, and all of the staff running the family dinners or managing the front desk (Felipe, Franky, Ana, Eli, and the rest) were lovely too.

The rooms themselves were great value for money. The storage for each bunk was more than sufficient, the beds were surprisingly comfy, and the en-suite showers and WCs were very convenient.",10.0,March 2023,"March 11, 2023",Bed in 6-Bed Mixed Dormitory Room,4,Solo traveler,9,1,1,1,0,1,0,1,0,1,0,0.0008090797322982334
Really great place to stay!,"Wi-Fi in room didn't work well, I needed to switch to my own data from time to time :(","I really enjoyed staying here for 8 days! I was supposed to stay for a shorter time, but I liked Barcelona and ""Yeah Barcelona Hostel"" so much I decided to extend my stay :)
Regarding the pros:
- Location, I mostly walked everywhere;
- The hostel itself is clean and nice, the first floor has work space;
- The €5 breakfast was really excellent; fresh breads, pastries, cold cuts, cheeses, oats, fruits, juices. etc. I usually prefer to go to local cafes for breakfast, but in this case I had breakfast at the hostel every day. Only the coffee from the coffee machine was so-so, but for this price it was acceptable.
- There was access to the kitchen and it was cleaned on a regular basis (the problem of kitchen cleanliness is quite common in hostels, but here there was nothing to complain about).
- The hostel organizes club outings and daily dinners, which allows you to meet other people! This is a good place to socialize,
- People working here have nice and friendly attitude, are super helpful and kind!

Overall, I had a pleasure to meet many great people there and would definitely come back again :)",10.0,October 2021,"November 8, 2021",Bed in 6-Bed Mixed Dormitory Room,1,Solo traveler,9,1,1,1,0,1,0,1,0,1,0,0.0008090797322982334
Excellent Experience that will make you fall in love with Barcelona!,"There is nothing I can say here, except that maybe the rooms could have been just a tad bigger. My 4 bed dormitory was very comfortable but did feel a little cramped.","Yeah Barcelona was probably one of the best hostels I stayed in during my 10 week trip in Europe.

The staff are particularly friendly, welcoming and try to make you feel at home. Yeah doesn't feel like a hostel it feels like a friendly hotel in the center of town. It is close to a metro station and the Sagrada Familia.

ROOM: The Air conditioning works like a charm. The shower and WC cubicles are separate inside the room which is convenient for the people sharing the room. The water pressure and temperature in the shower was great!

WALKING TOUR: They offer walking tours in the morning (11am) and I took one on Classic Modernism which was all about Antoni Gaudi. The tour was conducted by Pablo and he did a fantastic job of explaining things to us, keeping the group together, keeping us entertained with his stories and along the way imparting real knowledge as well. Pablo was funny, friendly and cheerful the whole time.

PUB CRAWL: I along with 44 other hostel residents signed up for the Pub crawl one night and it was just marvellous! We went to 2 bars (Mobsters) and 1 club (Sutton). I have not had so much fun in years under the watchful eye of hostel staff who ensured those getting too drunk were kept hydrated and made sure everyone was safe.

DINNER: Yeah offered a fabulous dinner at 12 Euros for a 3 course meal (soup + main course + dessert) and 2 drinks (sangria or draught beer). You can't get that much food at that rate at a restaurant in the city. I choose to eat on Seafood Paella night and the meal was excellent! The portions were generous and the evening boisterous.

BREAKFAST: The value of a good breakfast while travelling on a budget is underrated. The breakfast was 8 Euros if memory serves well and had everything from hot scrambled eggs and hash browns to flaky croissants, dense cakes and various types of coffee (from a machine), orange juice, cereals, cheese platters with manchego cheese and meat platters replete with ham and pepperoni.",10.0,August 2022,"November 8, 2022",Bed in 4-Bed Female Dormitory Room,3,Solo traveler,9,1,1,1,0,1,0,1,0,1,0,0.0008090797322982334
Excellent stay!,The shower room could be a bit bigger.,"Excellent hostel! 
It's very clean, in a very convenient location, and it has a a floor where you can read books, watch TV or just relax with others.
The dorm rooms are very clean, and there is enough space to fit your luggage and a lot of other things.
You can eat breakfast and dinner for good price.
Last but not least, the stuff is really cool and helpful! 
I recommend it hands down!",10.0,November 2023,"November 29, 2023",Bed in 4-Bed Mixed Dormitory Room,4,Solo traveler,9,1,1,1,0,1,0,1,0,1,0,0.0008090797322982334
"Excellent stay, warm and helpful staff, comfortable beds.","Top beds could have a little curtain too, only the bottom ones have them.","Yeah Hostel is super comfortable, an excellent choice. Staff is very warm and helpful, location is perfect, rooms are great and the pool on the roof is very charming. I was working some days and the wifi is great, besides having plenty of places to sit and work from. Breakfast is also amazing and well worth the price! Bonus feature: the lockers for the luggage under the bed are huge!! I could fit my big luggage open inside.",10.0,June 2022,"June 23, 2022",Bed in 4-Bed Female Dormitory Room,4,Solo traveler,9,1,1,1,0,1,0,1,0,1,0,0.0008090797322982334
Perfect place to stay,"Thin walls and party music in the night, could be very noisy, though we're ok with that. Another thing to mention is that the double bed is VERY HIGH. For someone shorter as 160cm it might be hard to get on, but we found a small ladder in the closet which helped us solve this small issue.","Perfect location! Walking distance to many famous attractions like Casa Mila and Casa Batllo. The metro station is 5 min walk away, plenty restaurants and supermarkets nearby. The room is also very clean, staffs are very nice. The breakfast buffet (which is included in double bed room reservation) is also nice, you can make pan cakes on your own and it was delicous : )
For it's price it might be the best room at this location. We had a great stay in Barcelona and would recommend it to everyone!",10.0,July 2024,"July 30, 2024",Double Room,5,Group,9,1,1,1,0,1,0,1,0,1,0,0.0008090797322982334
"Awesome hostel, great people and good location!!",The only complaint I have is that the tile is very slippery getting out of the shower LOL,"Great location, friendly staff! The beds were really comfy and it was nice and quiet at night, with the option to go out on the night tour with the other guests! The dinner was awesome to meet people and socialize! Lots of great food options nearby too and metro was really easy to use! The walking tour by Mario was a lovely bonus! He took us to the Modernist buildings in the area and explained the recent history of Barcelona very well! You can really tell he is passionate about his city and loves his home, and it really makes you love Barcelona too! Thank you Mario, I learned so much from you.",9.0,August 2023,"August 9, 2023",Bed in 4-Bed Mixed Dormitory Room,3,Solo traveler,9,1,1,1,0,1,0,1,0,1,0,0.0008090797322982334
Exceptional,We didn't get a lock for room storage,"Staff were friendly. They let us use facilities before check-in time.
It was clean, nice looking.
They have extra-paid breakfast and they often go clubbing at night.
The location is not that far from Sagrada de Familia.",10.0,May 2024,"May 27, 2024",Bed in 4-Bed Mixed Dormitory Room,1,Group,9,1,1,1,0,1,0,1,0,1,0,0.0008090797322982334
