Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
A lovely small hotel nicely located in a quiet area. Great breakfast and kind staff!,Everything was amazing! Though the coffee at breakfast could be better :),"Great location within walking distance to a few metro lines. A quiet area and no noises are heard from the street at night but is quite lively during the day and evening with plenty of good restaurants and shops in the neighbourhood. 
The breakfast experience was particularly nice in a medium sized dinig area with big windows and gorgeous view of the trees and the street, big round tables and a big portion of full english breakfast. The ladies working at the hotel were very nice and sweet!
The beds were quite small but comfortable, the bathroom clean and functional. Internet connection worked well.",10,September 2022,"September 25, 2022",En Suite Triple Room,4,Family,8
Great value for money and an excellent location for transit and seeing the city!,Note there are a lot of stairs and no elevator - so keep this in mind if you have large luggage!,The location was super accessible. The room was very clean and quiet. Breakfast was great!,8.0,August 2024,"August 29, 2024",Standard Single Room with External Bathroom Facilities,1,Solo traveler,8
Very pleased,Nothing,Great location and very good value for money,8.0,August 2024,"August 28, 2024",En Suite Twin Room,2,Family,8
Excellent quiet location near stations. Amazing staff,As it’s an old Georgian house the rooms are not massive and the double bed was just that a double. Sleep disturbed  by the very loud creaking floorboards from room above.,"The location for us was perfect. 
Rooms and beds were comfortable and clean. Breakfast was basic but hot and tasty. Staff were excellent and accommodating. Loved we could leave our bags before checkin and after checkout so we could make the most of our short trip to London.",8.0,August 2024,"August 27, 2024",En Suite Triple Room,1,Family,8
We had a lovely overnight stay at the Euro hotel and would recommend it for value and location,The room was significantly smaller and more worn than the photos suggested. The cupboard creaked when anyone passed by it.,"The staff were welcoming, the room was spotless, and the location was exceptional. Breakfast was delicious.",7.0,August 2024,"August 25, 2024",En Suite Quadruple Room,1,Family,8
Very Good,"Toilet, shower and room were all pretty small, still manageable though.","Great location, good for a night or twos stay, or as a base for work and similar. 

Great to have a fan in the room, allowed great airflow, needed in summer.",8.0,August 2024,"August 21, 2024",Standard Single Room with External Bathroom Facilities,1,Solo traveler,8
Good,Bathroom was smaller than expected.,We stayed one night before a very early start for the Eurostar.  Room was for a family of four and the beds were comfy and clean.  It was surprisingly quiet.  We mentioned we were leaving earlier than breakfast and the lovely lady on reception offered to make us a breakfast tray which was full of goodies to take on the train for breakfast.  Very thoughtful.,7.0,August 2024,"August 21, 2024",En Suite Quadruple Room,1,Family,8
Wonderful,No wheelchair accessibility,"Clean, amazing location, nice enough breakfast",9.0,August 2024,"August 21, 2024",En Suite Double Room,1,Couple,8
A nice place to stay at the heart of London and economical,Physical key based detached bathroom which is a bit of inconvenience and there is no elevator,Location nice ambience,8.0,August 2024,"August 20, 2024",Standard Single Room with External Bathroom Facilities,3,Solo traveler,8
Superb - will definitely use again.,"The drawers needed a wipe over before we could put clothes in them and wardrobe had not been emptied.  This was a small thing and we appreciated how busy change over between guests can be.
A box of tissues in the room would have been appreciated.","Excellent location.  Staff attentive.  Rooms very comfortable.
Staff went out of their way to accommodate requests. 
Water provided.  
Excellent choice at breakfast. 
Able to leave cases on arrival prior to room being ready and after checking out until needed to collect on way to rail station.",9.0,August 2024,"August 19, 2024",En Suite Twin Room,2,Family,8
Good stay,nothing was wrong.,"room is great, however, the tennis court naturally makes noise from 7am+ so dont expect sleep in when the weathers good.",9.0,August 2024,"August 17, 2024",Standard Single Room with External Bathroom Facilities,1,Solo traveler,8
"Wonderful time and experience, would definitely book again",Fan did not work,Very comfortable,9.0,August 2024,"August 12, 2024",En Suite Double Room,1,Family,8
Very Good,"Fyi - no lift, so be prepared to carry your bags up flights of stairs.",Great area for quick night stop over.  Breakfast was lovely.,8.0,August 2024,"August 12, 2024",En Suite Double Room,1,Couple,8
Wonderful,"It would be better if the toilet is equipped with a wash basin. But overall, it was a great experience here.","Having such a nice breakfast is good for starting a lovely day in London. The location is perfect, within a 10-minute walk to the British Museum and King's Cross. Also with restaurants around the street.",9.0,July 2024,"August 7, 2024",Standard Single Room with External Bathroom Facilities,4,Solo traveler,8
Excellent clean and friendly hotel in nice location.!,The separate shower and toilet down the hall isn’t ideal but I knew that when I booked and the price reflected it. It was fine for one night.,"Really clean and comfortable. Breakfast room is lovely with a great selection. I had a lovely view to the tennis court and the fan was very welcome in this weather. 
Everything was much better than I expected for the price, very impressed.",8.0,July 2024,"July 31, 2024",Standard Single Room with External Bathroom Facilities,1,Solo traveler,8
Very Good,nothing,very near St Panceas and several good pubs,8.0,July 2024,"July 30, 2024",En Suite Double Room,1,Group,8
Nice place!,A bit pricey but good.,"Great location, comfortable room, quaint breakfast room.",9.0,July 2024,"July 29, 2024",En Suite Twin Room,4,Solo traveler,8
Very Good,Had to tighten the light bulb in my room before the light would work,"Great location, clean and great breakfast!",8.0,July 2024,"July 26, 2024",Standard Single Room with External Bathroom Facilities,1,Solo traveler,8
Well situated for Kings Cross station,Sheets with blanket and bedspread on bed. Double blanket was bald in places. Very noisy air conditioner. One of the light bulbs had gone.,"Very well situated hotel for Kings Cross station, 15 minutes walk. Good sized room for 3 people, decent towels, shower gel & soap. Excellent breakfast",8.0,July 2024,"July 24, 2024",En Suite Triple Room,2,Family,8
Worth it's value,The bed was not so comfortable,Location was great and the staff very pleasant,8.0,July 2024,"July 24, 2024",Standard Single Room with External Bathroom Facilities,1,Solo traveler,8
Very Good,It was hot so we opened the windows but it was quite noisy outside well into the night.  The floor above us was also very creaky.  I don't think the noises would have bothered me if I hadn't been so uncomfortably hot.,"The staff was great, everything was clean, we were able to stow our luggage until check in, and breakfast was exceptional.  I liked that four of us could share a room, and the location within walking distance from the train station suited our needs.",8.0,June 2024,"July 20, 2024",Superior En Suite Quadruple Room,1,Family,8
Comfortable stay in a good location.,,"The location, the staff and the cleanliness. The breakfast is freshly cooked.",8.0,July 2024,"July 17, 2024",En Suite Twin Room,3,Group,8
Very Good,,Great central location within 15mins walk from Euston station. CLose by to lots of great places to eat and drink and nice cosey pubs and winebars. Good quality full english and decent buffet.,8.0,July 2024,"July 16, 2024",En Suite Double Room,1,Couple,8
A nice stay for a short trip in London,Breakfast could be better,"The very central location close to St Pancras, the nice old-style building, the option to leave our luggage after check out.",7.0,April 2024,"July 15, 2024",En Suite Triple Room,1,Family,8
Wonderful,Nothing,The staff was very friendly and answered all questions. The breakfast had good options. The room and bathroom were very clean. Location near Camden and St Pancras. It was on a quiet street.,9.0,July 2024,"July 15, 2024",En Suite Twin Room,1,Family,8
"Good location, value for money, very convenient",,"Clean, comfortable, great location and good value for money. Staff very friendly and helpful. Not ideal if you require assistance climbing stairs but otherwise a very convenient place to say if your arriving by train from the North or on the Euro Star.",9.0,July 2024,"July 11, 2024",Standard Single Room with External Bathroom Facilities,1,Solo traveler,8
Fabulous Hotel close to St Pancras/Kings Cross,Renovations that meant debris was partially blocking a fire exit.,"The ground floor room that meant we did not have to carry heavy luggage upstairs, the breakfast room, the staff, almost everything really including the location on a fabulous crescent. And the close proximity to St Pancras.",9.0,May 2024,"July 11, 2024",En Suite Double Room,1,Couple,8
Wonderful,Hard to find too much to fault but personally the bed and the pillows were a little hard for me and the shower was quite small (I'm pretty tall). To be honest both wold be pretty harsh observations!,"We were stopping for just one night to attend a concert so was perfect. The location was great, nice and quiet and close to Euston, the staff were helpful pleasant efficient and accommodating, the rooms were very clean and tidy and the breakfast was well presented with lots of choice and enjoyable. Would definitely stay again.",9.0,July 2024,"July 9, 2024",En Suite Twin Room,1,Group,8
Recommended stay!,Mixing tap in the shower needs some fixing..,"Very calm, given the central location. Staff very friendly.",9.0,July 2024,"July 9, 2024",En Suite Twin Room,3,Family,8
"Great location, comfortable stay","No lift, I was on 3rd floor, I’m not young and no one there to help with my suitcase. However, once the suitcase had been dragged up the stairs were a good form of exercise 😁","Love the location near St Pancras/Kings Cross/Euston and Bloomsbury. Nice room, comfortable bed. Good breakfast included.",9.0,July 2024,"July 6, 2024",En Suite Double Room,2,Solo traveler,8
Perfect for what I needed as a short stay in and out of London,Not an en suite bedroom,Perfect location for Euston Station and links,8.0,May 2024,"July 4, 2024",Standard Single Room with External Bathroom Facilities,1,Solo traveler,8
Wonderful,"Water from the sink was always hot. Water in the shower was always cold. I personally don't mind, but it would be nicer if the water temperature control could function properly.",Very quiet place considering the location is well within walking distance from St. Pancras / King's Cross train stations. Great service. WiFi signal was great. Breakfast quality was decent. Highly recommend.,9.0,June 2024,"July 4, 2024",Standard Single Room with External Bathroom Facilities,1,Solo traveler,8
Excellent value,NA,Proximity to London museums and library. Breakfast included and comfort in the room. Hospitable  staff and spaces.,8.0,July 2024,"July 4, 2024",Standard Single Room with External Bathroom Facilities,3,Solo traveler,8
Very Good,,"Great value for the price. A great team work in this place. It was very clean, the helpdesk available and helpful, and breakfasts were decent.",8.0,June 2024,"July 2, 2024",Standard Single Room with External Bathroom Facilities,5,Solo traveler,8
Nice experience.,"our room is a little bit small for three adults, and if I know this room is that small I will consider with bigger room.",The location is really convenient. Near to the attraction such as the British museum and UCL. The stuff are also really nice.,8.0,July 2024,"July 2, 2024",En Suite Triple Room,3,Family,8
"Great location, clean and well equipped",Breakfast when busy was a bit chaotic,"Rooms are lovely and clean, well equipped and breakfast room was compact but pleasant.",9.0,June 2024,"July 2, 2024",En Suite Single Room,2,Solo traveler,8
Hotel in great location close to transport links to all major London attractions and Eurostar.,The family room was very small and in a heatwave became quite difficult to sleep in. Staff did provide a fan which definitely helped.,"The location close to St Pancras is excellent. The hotel itself is in a lovely quiet location within walking distance to multiple dining options. Very helpful and friendly staff, and good breakfast choices.",8.0,June 2024,"July 2, 2024",En Suite Quadruple Room,2,Family,8
Perfect location,Did not realize there was no air condition,"Nice breakfast, simple tidy rooms",8.0,June 2024,"June 29, 2024",En Suite Triple Room,3,Family,8
Very Good,,"Good location. Clean. Only negative is no airconditioner in room but fortunately, the windows open. Excellent breakfast. Phenomenal staff who are very helpful, friendly and accommodating.",8.0,June 2024,"June 26, 2024",En Suite Double Room,2,Family,8
A clean well located hotel with pleasant hosts and a great breakfast.,I think that this hotel was value for money but London accommodation  is eyewateringly expensive compared to say Paris.,This is a very well located hotel opposite a pleasant park. The staff were very pleasant and helpful. The room and facilities were nice and clean. It is an older building so very charming which includes the quirks of an older place.Breakfast was great.,8.0,June 2024,"June 24, 2024",Standard Single Room with External Bathroom Facilities,4,Solo traveler,8
Great hotel for a break in London,,Great location,9.0,June 2024,"June 24, 2024",En Suite Twin Room,2,Group,8
Good value hotel in central London,No issues,"Good value hotel in central London, near to King's Cross station. Nice location with plenty of pubs and restaurants. Have used before.",8.0,June 2024,"June 21, 2024",Standard Single Room with External Bathroom Facilities,3,Solo traveler,8
Lovely stay,"Facilities fairly old, no elevator, floor in my room is tilted at an angle which took a bit of getting used to. There is a sink in the room and none in the private bathroom. A bit of street noise so had to shut the windows at night (also someone had an early-morning tennis lesson!)","Great location - in a row of hotels facing a park with a tennis court, with the British Museum and convenient stores nearby, felt safe walking back alone from Soho at night. Excellent full breakfast with lots of options to choose from. Friendly and efficient staff. Firm bed, sink and mirror in the room. Good value for money considering it's in the heart of London",8.0,May 2024,"June 18, 2024",Standard Single Room with External Bathroom Facilities,3,Solo traveler,8
Great family room in excellent location,"Still painting and refurbishing the downstairs, room needs a little more tlc. Window sash on basement level didn't feel secure (someone outside window late evening)","Excellent Location, staff were excellent. Comfortable and great breakfast. Family room ideal for 2 adults and 2 children (not relying on a sofa bed)",7.0,June 2024,"June 16, 2024",En Suite Quadruple Room,1,Family,8
"Great value and great location. Clean, simple, basic hotel room - perfect for a short stay.",,"Fantastic location for St Pancras International Station. We were departing London at 6am so were going to miss our complimentary breakfast, so the staff delivered some croissants, fruit and yoghurt to our room the night before. Such a lovely touch!",8.0,June 2024,"June 16, 2024",En Suite Twin Room,1,Couple,8
Very Good,,"Great local, good value",8.0,June 2024,"June 15, 2024",Standard Single Room with External Bathroom Facilities,1,Solo traveler,8
Friendly and accomodating. Close to most train lines. Included breakfast was a great start each day,blackout curtains would have helped with sleeping,friendly an accomodating,9.0,June 2024,"June 14, 2024",En Suite Twin Room,5,Couple,8
Good,"Hairdryer broken
Having to get iron n board from reception instead of it being in room.","Location, quiet, character",7.0,June 2024,"June 8, 2024",Standard Single Room with External Bathroom Facilities,1,Solo traveler,8
Top stay ad affordable price.,hair conditioner with the shower gel/shampoo. Apart form that - everything great,"I wasn't sure what to expect as I usually stay in more expensive hotels but this time I wanted to save money as it was a quick business trip. I have to say I was really impressed. The hotel is clean, newly decorated. My room was spotless and the bed comfy. Nice ensuite shower.  The location is outstanding for small authentic cafes, restaurants and a few good old London pubs.  The breakfast was quick, hot, and tasty. The staff super helpful and polite.  Good job!",9.0,June 2024,"June 6, 2024",En Suite Double Room,1,Solo traveler,8
Very Good,"I had bad luck, third floor and no lift. But if you are sporty and ready for it, it is no problem. I had private toilette and separate shower down the corridor. Both were super clean but toilette had musty sharp odour due the lack of ventilation I guess. You could also hear your neughbors so earplugs needed. I heard nothing at night. Nice people there.","This was very very clean, cozy nice hotel. Bed was good. Breakfast was good and had enough variety. Staff was friendly and welcoming. I would visit again. Near restaurants and stations. You can walk to British Museum.",8.0,May 2024,"June 4, 2024",Standard Single Room with External Bathroom Facilities,2,Solo traveler,8
Very Good,The breakfast wasn't amazing but it was fine.,The room was fine. Location great.,8.0,June 2024,"June 3, 2024",Standard Single Room with External Bathroom Facilities,1,Solo traveler,8
Next Best to Perfect,"The temperature of the shower was a bit variable, and it would have been nice to have had a way to get light from the window without letting everyone in the park opposite see what you were doing - lace curtains, maybe","The location was fantastic. The facilities were well-kept and very nice. The bed was extremely comfortable. The big windows let in a lot of light and could be opened for a breeze, and the curtains were practically blackout curtains.",8.0,May 2024,"May 26, 2024",Standard Single Room with External Bathroom Facilities,1,Solo traveler,8
