Review Title,Negative Reviews,Positive Reviews,Rating,Stay Date,Review Date,Room Type,Number of Nights,Traveler Type,Overall Average Rating
Fabulous hotel one that we visit again and again .,,"Love the location, the room is clean and the beds are very comfortable.",10,August 2023,"August 26, 2023",Standard Twin Room,1,Group,8
Good,Bathroom needs updating,"Great location and friendly staff
Very comfortable bed",7.0,August 2024,"August 27, 2024",Superior Double Room,1,Couple,8
Wonderful,Maybe the bathroom is a little bit old fashioned - but this wasn't a problem for us.,"Breakfast was great - I was really happy to find a lot of gluten free products (cereals and sliced bread). The staff was kind and helpful. The position of the hotel is very good - it's only a few minutes walk to the nearest underground station (Paddington). We also had the possibility to have dinner at the hotel, which was delicious. 
The room was comfortable and well cleaned.",9.0,August 2024,"August 26, 2024",Basic Standard Double Room,3,Group,8
Wonderful,"There was a lot of noise from the road in the night. Had the window slightly open and there were loud conversations beneath our window, scooter noises all night despite being a quiet street. This was 1- 4 pm so I didn'tsleep well.",Clean. Comfortable. Good facilities,9.0,August 2024,"August 26, 2024",Standard Twin Room,1,Family,8
I would stay again fir location,,Location excellent .quiet hotel.  All needs met,7.0,August 2024,"August 24, 2024",Standard Twin Room,3,Family,8
Very Good,No air conditioning in our room....it was HOT.,"Staff amazing, location great, breakfast decent for the price",8.0,August 2024,"August 20, 2024",Basic Standard Double Room,3,Family,8
"Good location, comfortable and enjoyable stay and the staff were extremely helpful and pleasant in every way. We will co","Bathrooms maybe could do with a little upgrade but clean and functional.
No aircon but windows open and fans provided.","Lovely staff.
Comfortable beds and good lighting in rooms.
Cleanliness both in rooms and public areas.
Breakfast is continental with good quality bakery and fresh fruit and vegetable options.
Good shower and plenty of hot water at all times.",8.0,August 2024,"August 20, 2024",Standard Twin Room,2,Group,8
Very enjoyable I will happily stay there again,I would prefer a harder mattress but I didn’t ask for one so it’s my own fault,It was very clean the breakfast was very good and the employees were very nice and very helpful,9.0,August 2024,"August 19, 2024",Superior Double Room,3,Couple,8
"Great location,  friendly staff.",The coffee at breakfast is really not nice. A walk-in shower would be good rather than a flappy shower curtain in a bath.,"The location is lovely,  near the Park, near Paddington.  Craven Road itself feels quirky and friendly,  with nice cafes and a great Italian restaurant opposite the hotel.
The staff are friendly and helpful.",9.0,August 2024,"August 17, 2024",Standard Twin Room,2,Couple,8
"Our room went off power in the last day but the staff helped us to change room soon, overall it’s a nice experience of l","The power sockets are all on lower walls without hand reach, so you need to bow every time to charge and check your charging devices.","Excellent location with walking distance to restaurants, shops, bus and rail stations. Nice breakfast",8.0,August 2024,"August 12, 2024",Standard Twin Room,6,Family,8
Very Good,The check out time is too early. It is 10:30,"It is in a great location, comfortable beds with air-condition",8.0,August 2024,"August 12, 2024",Superior Double Room,1,Family,8
"Good location, good price, comfortable.",There is a bit noise with air conditioning.,Location is very good.,8.0,August 2024,"August 12, 2024",Superior Twin Room,2,Group,8
Very lovely and clean hotel.,Bathroom finishes was very old.,"Location, friendly staff, room facilities and breakfast.",9.0,July 2024,"August 10, 2024",Basic Standard Double Room,2,Couple,8
Wonderful,Maybe the toilet is a bit small..,The staff was really friendly and cooperative .. especially Maria and Tiago at the front desk.. very helpful,9.0,August 2024,"August 6, 2024",Standard Twin Room,2,Couple,8
Dated bathroom dampens a pleasant overall experience,"Dated bathroom. Mould around edge of bath. Not a fan of hotels that place towel rails above the toilet. Tiny, old kettle in room that me and my partner didn't want to use. Tired carpet. Until new bathrooms are fitted, the hotel feels considerably overpriced.","The bedroom was comfortable and clean. Air-conditioning and WiFi worked great. Friendly and professional staff. Fantastic location, near Hyde Park and within 30-minutes walk of the Royal Albert Hall. Good breakfast for the price.",7.0,August 2024,"August 5, 2024",Basic Standard Double Room,1,Couple,8
Very Good,,"Although this is a traditional style of hotel, it has been kept in good condition. The location is excellente for London, just 7 min. walk from Paddington Station and 5 min walk to the parks. Tucked away, quiet. Plenty of small shops in the area. Very good wifi. The breakfast is a very good value at £8 (if not included in your room price)! The staff at reception are all so welcoming and helpful.",8.0,July 2024,"July 29, 2024",Basic Standard Double Room,2,Solo traveler,8
"Excellent stay, perfect location, great breakfast.","Insufficient ventilation in the room. As the rooms don't have aircon, the room was quite stuffy, even on a mild summers day in June. The windows only open a tiny bit for safety reasons, and heavy drapes impede any airflow you might get. There was a small desk-top fan available but there wasn't really a desk to position it.  At the very least a floor fan would help a bit better.","Excellent stay, very good location. Lovely helpfull staff, helping us to store our luggage when we arrived long before our room was going to be ready. Great (continental, not english) breakfast. Comfortable quiet room, we were on the third floor looking over the back yard and it was very quiet. Spacious bathroom with a good shower over bath. I would definitely stay again.",9.0,July 2024,"July 29, 2024",Standard Twin Room,4,Family,8
Wonderful hotel for a 2 night stay!,,"Wonderful hotel for a 2 night stay! Had all the necessities. Room was clean and tidy, bathrooms were in good working condition, rooms had good AC and the TV had lots of stations. We were able to drop off our bags before Check-in and front desk was very nice and welcoming. We received 2 free bottles of water in our room upon arrival and there was a little tea set for nights. Breakfast was mid- nothing spectacular (boiled eggs, bread, pastries, croissants, tea). The bag drop area was a bit outdated but the room section of the hotel was more modern.

It was very close to bus and train stations- 5/8 min walk tops and close to restaurants, supermarket and such in the Paddington area. Very safe area and close to the city Centre- we got to most of the main attractions within 20 min or so by public transit (with traffic). 

Overall a very good experience for a short stay!",8.0,July 2024,"July 28, 2024",Superior Double Room,2,Family,8
It was goof experience just need to improve the breakfast,Warm hospitality,Location,7.0,July 2024,"July 27, 2024",Basic Standard Double Room,3,Family,8
Wonderful,,Great friendly and helpful staff.,9.0,June 2024,"July 23, 2024",Standard Twin Room,4,Family,8
Good,"Breakfast good, but could have been more varied.",Close to lot of undergrounds lines and buses.,7.0,July 2024,"July 22, 2024",Standard Twin Room,4,Family,8
Good stay as always,It can get a bit warm in the rooms in the summer,"Super well located, simple but comfortable",9.0,June 2024,"July 21, 2024",Single Room,1,Solo traveler,8
